Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Leeds United,1,Manchester United,Away,Premier League,2021,4141,4231,1,0.703895,0.354874,0,0.3490209,10,3,30.0000,0.0000,5,1.53116048,1.4464697,0.057091069,0.0846909,16,8,40.74,51,42.7135678,0.2538276,438,9,11,1,14,2,8.5128,0.0107,0.0061,10,9,2,0,0,0.7438,1.9996,0.3810585,0.1272309,0.2538276
Leeds United,2,Everton,Home,Premier League,2021,3331,4411,2,0.959663941,0.8019153,0,0.157748638,17,4,23.5294,0.0000,2,1.805439021,0.9397687,0,0.083921354,17,8,38.43,70,65.5737704,0.2789757,606,12,19,1,25,4,7.6923,0.084,0.0648,12,6,2,0,1,0.6902,2.0642,0.5787394,0.2997637,0.2789757
Leeds United,3,Burnley,Away,Premier League,2021,3331,442,1,1.4072933,1.2427005,0,0.1645928,12,2,16.6667,0.0000,1,1.50952275,0.238068,0,1.2714548,12,3,29.9775,64,52.2321428,0.9563591,521,7,24,2,27,3,11.3684,0.0712,0.0328,12,9,3,0,1,1.3258,1.3336,1.2145537,0.2581946,0.9563591
Leeds United,4,Liverpool,Home,Premier League,2021,4141,433,0,0.65412453,0.6287052,0,0.025419321,9,4,44.4444,0.0000,3,4.582563555,4.0049287,1.193167865,0.543840414,30,9,19.845,44,35.8744394,0.6641837,404,7,21,2,19,0,32.25,0.0257,0.0168,7,9,2,1,0,0.0492,2.9262,0.8587802,0.1945965,0.6641837
Leeds United,5,Newcastle United,Away,Premier League,2021,4141,541,1,1.9289666,1.7000651,0.093893774,0.2289013,22,9,40.9091,0.0000,1,1.15348397,1.0777106,0.113044411,0.0757734,17,7,34.7025,65,60.1659751,0.9508411,541,11,36,2,23,3,7.7931,0.0604,0.0334,9,11,2,0,1,1.9202,0.8438,1.4613082,0.5104671,0.9508411
Leeds United,6,West Ham United,Home,Premier League,2021,4141,4231,1,1.241258292,1.1701034,0.089376338,0.071154706,15,5,33.3333,93.3333,2,2.147691167,1.6932261,0.518549286,0.341337387,21,7,28.1925,54,50.9345794,0.5170068,414,5,27,2,13,2,14,0.0495,0.0344,5,10,3,0,0,0.7266,2.0568,0.8521053,0.3350985,0.5170068
Leeds United,7,Watford,Home,Premier League,2021,4141,4231,1,1.70535508,0.7972982,0,0.824573478,20,4,20.0000,0.0000,0,0.187977988,0.187978,0,0,5,1,32.97,67,69.483568,0.6509059,497,9,29,4,26,4,9.8636,0.0381,0.0245,15,10,0,0,3,2.5824,0.2496,1.1869371,0.5360312,0.6509059
Leeds United,8,Southampton,Away,Premier League,2021,3331,442,0,0.358780853,0.3521237,0,0,3,0,0.0000,0.0000,1,2.103150055,0.7054613,0.488188386,1.002666771,19,5,33.705,55,41.5525114,0.2812097,452,11,11,1,9,0,7.4,0.0224,0.0044,15,14,3,0,0,0.1852,2.6968,0.3637029,0.0824932,0.2812097
Leeds United,9,Wolverhampton Wanderers,Home,Premier League,2021,4411,3421,1,1.625634801,0.6178265,0,0.226059304,18,4,22.2222,0.0000,1,0.851977779,0.6981472,0.102451116,0.039800849,8,4,47.565,63,66.6666666,0.4686193,494,21,39,2,21,2,5.5208,0.04,0.0262,12,15,2,0,1,2.0646,0.651,0.7189283,0.250309,0.4686193
Leeds United,10,Norwich City,Away,Premier League,2021,3331,442,2,0.731455805,0.642373,0.018464757,0.089082778,13,6,46.1538,0.0000,1,0.662192641,0.3282725,0,0.198668292,14,3,31.08,52,44.2211055,0.6089364,345,13,21,4,7,0,6.9167,0.052,0.0206,13,23,4,0,3,1.4104,1.219,0.8601049,0.2511685,0.6089364
Leeds United,11,Leicester City,Home,Premier League,2021,4231,433,1,1.450671973,0.536519,0,0.885472501,18,5,27.7778,0.0000,1,0.822666366,0.712736,0,0.109930316,9,3,37.17,56,61.5702479,0.6811504,431,11,27,1,31,5,9.7333,0.0354,0.0211,5,12,1,0,1,1.8268,0.8734,0.8582514,0.177101,0.6811504
Leeds United,12,Tottenham Hotspur,Away,Premier League,2021,3331,3421,1,1.276267826,0.9447675,0,0.298557059,18,7,38.8889,0.0000,2,2.208362367,1.460225,0,0.653628947,13,4,32.025,57,60.4545454,0.5183524,521,13,24,0,21,3,9.6471,0.0816,0.0641,11,12,4,0,0,0.7208,2.0492,0.7273104,0.208958,0.5183524
