Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Leicester City,1,Manchester United,Away,Premier League,2018,4231,-1,1,1.890130513,1.625312,0,0.069613163,13,4,30.7692,0.0000,2,1.545313458,0.7635644,0,0,8,6,41.7375,54,62.7819548,0.7960655,543,9,29,1,27,0,11.9375,0.0244,0.0119,11,8,1,0,0,1.3948,1.2694,1.0271287,0.2310632,0.7960655
Leicester City,2,Wolverhampton Wanderers,Home,Premier League,2018,4231,-1,2,0.4364147,0.3864903,0,0.0499244,6,2,33.3333,0.0000,0,0.93856539,0.9385653,0,0,11,3,16.59,43,37.3913043,0.3740203,382,21,15,0,13,6,16.1364,0.0457,0.0173,8,10,2,1,3,0.8248,1.8166,0.6092635,0.2352432,0.3740203
Leicester City,3,Southampton,Away,Premier League,2018,4231,-1,2,0.562009018,0.5181372,0,0.043871883,8,5,62.5000,0.0000,1,0.518511765,0.3672178,0,0.131451218,11,5,19.7925,48,43.3460076,0.3038467,425,3,15,1,15,2,15.5263,0.0063,0.0057,11,11,1,0,3,1.329,1.224,0.6413764,0.3375297,0.3038467
Leicester City,4,Liverpool,Home,Premier League,2018,4231,-1,1,1.171332995,1.1171592,0,0,12,5,41.6667,0.0000,2,1.24644481,1.0548108,0,0.191634033,10,4,25.62,51,57.1428571,0.393459,496,12,16,2,17,1,14.9615,0.018,0.0143,11,9,3,0,0,1.3658,1.2986,0.4313338,0.0378748,0.393459
Leicester City,5,Bournemouth,Away,Premier League,2018,4231,-1,2,2.257272967,1.2121109,0.363413453,0.18222983,14,8,57.1429,0.0000,4,2.29239184,1.4918043,0.374098748,0.018838441,10,5,30.975,53,56.0165975,0.8018506,398,8,26,2,28,0,8.8571,0.0302,0.0105,12,15,2,1,0,1.3144,1.4332,0.9969775,0.1951269,0.8018506
Leicester City,6,Huddersfield Town,Home,Premier League,2018,4231,-1,3,1.745353105,1.2941575,0.86420235,0.349330829,18,8,44.4444,0.0000,1,0.595488972,0.2346004,0,0.360888577,9,2,29.61,62,67.9166666,0.4999101,589,5,13,4,15,2,8.5313,0.0759,0.0631,14,10,2,0,3,2.284,0.496,0.8613935,0.3614834,0.4999101
Leicester City,7,Newcastle United,Away,Premier League,2018,4231,-1,2,1.38674157,0.166848,0.025515448,0.414047112,12,5,41.6667,0.0000,0,0.457368471,0.4377477,0,0.019620804,6,1,38.2725,58,58.3333333,0.2798098,525,5,16,1,23,1,9.9333,0.0301,0.0085,9,5,0,0,3,2.2478,0.497,0.3917062,0.1118964,0.2798098
Leicester City,8,Everton,Home,Premier League,2018,4231,-1,1,1.095176483,0.6261778,0.082840733,0.46899863,8,2,25.0000,0.0000,2,1.097539632,0.7311774,0,0.366362209,17,8,23.415,51,45.6431535,0.2200524,461,7,13,3,11,2,13.3043,0.0719,0.0499,11,10,2,1,0,1.378,1.306,0.4569604,0.236908,0.2200524
Leicester City,9,Arsenal,Away,Premier League,2018,3412,-1,1,0.821342606,0.2064008,0.093471833,0.594989708,8,2,25.0000,0.0000,3,2.513043514,2.3502485,0,0.098674982,19,6,25.83,31,27.5862068,0.1520844,309,10,22,2,12,0,18.8462,0.0191,0.0097,10,10,2,0,0,0.2996,2.5676,0.4256522,0.2735678,0.1520844
Leicester City,10,West Ham United,Home,Premier League,2018,4231,4141,1,1.9279725,1.1497911,0,0.7781814,21,7,33.3333,0.0000,1,1.59117967,0.5291204,0,1.0620593,11,3,44.835,64,75.1748251,0.5554821,552,14,31,2,45,1,6.6341,0.0188,0.0155,4,17,1,0,1,1.6962,1.0248,1.0452153,0.4897332,0.5554821
Leicester City,11,Cardiff City,Away,Premier League,2018,4231,-1,1,2.546016551,2.0240082,0.440786242,0.522008272,13,5,38.4615,0.0000,0,0.948498726,0.2123853,0,0.642845767,11,2,20.685,60,52.4444444,0.3674194,403,5,29,1,27,2,10.5882,0.0306,0.0152,12,12,2,0,3,2.3504,0.4664,0.5402622,0.1728428,0.3674194
Leicester City,12,Burnley,Home,Premier League,2018,4231,-1,0,1.68115362,1.2480211,0.273076504,0.410318729,22,5,22.7273,0.0000,0,0.627339203,0.4463765,0,0.082092188,6,1,32.55,63,58.6065573,0.6450976,479,9,31,0,42,2,12.4211,0.0798,0.0747,9,13,2,0,1,2.1602,0.6002,1.0981632,0.4530656,0.6450976
Leicester City,13,Brighton and Hove Albion,Away,Premier League,2018,4231,-1,1,1.086290465,0.1532481,0,0.15129327,8,3,37.5000,0.0000,1,0.800166933,0.4716594,0,0.229640428,14,3,25.515,45,47.5336322,0.4578301,369,6,20,0,12,2,10.9667,0.0636,0.0363,9,7,1,1,1,1.7026,0.9724,0.5131,0.0552699,0.4578301
