Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Liverpool,1,West Ham United,Home,Premier League,2018,433,-1,4,3.871550279,2.9543133,0,0.793103138,18,8,44.4444,0.0000,0,0.402040057,0.2725602,0,0.129479822,5,2,45.885,65,77.1428571,1.2103863,673,7,36,3,21,4,9.1667,0.0884,0.0356,7,14,1,0,3,2.9538,0.0276,1.6529199,0.4425336,1.2103863
Liverpool,2,Crystal Palace,Away,Premier League,2018,433,-1,2,2.467956216,1.5265515,0.327144682,0.043916568,16,6,37.5000,0.0000,0,0.512123846,0.470017,0,0,8,2,35.805,63,65.9722222,0.7402787,625,16,40,2,23,4,8.2647,0.0894,0.0591,5,13,1,0,3,2.7064,0.1876,1.0840588,0.3437801,0.7402787
Liverpool,3,Brighton and Hove Albion,Home,Premier League,2018,433,-1,1,1.93456701,1.4246292,0,0.422274005,22,8,36.3636,0.0000,0,0.752979379,0.6965804,0,0,6,2,42,70,74.4897959,1.0090315,765,10,37,1,24,3,8.3438,0.0721,0.0558,12,8,1,0,3,2.2348,0.55,1.4331695,0.424138,1.0090315
Liverpool,4,Leicester City,Away,Premier League,2018,433,-1,2,1.24644481,1.0548108,0,0.191634033,10,4,40.0000,0.0000,1,1.171332995,1.1171592,0,0,12,5,31.08,49,42.8571428,0.3285197,473,8,18,0,8,2,12.2069,0.0495,0.0386,9,12,2,0,3,1.2986,1.3658,0.5173548,0.1888351,0.3285197
Liverpool,5,Tottenham Hotspur,Away,Premier League,2018,433,-1,2,2.643775087,2.4199313,0,0.200407231,17,10,58.8235,0.0000,1,0.689063145,0.5749557,0,0.02443241,11,3,29.505,40,48.7309644,0.476754,356,6,28,3,10,3,21,0.0276,0.0122,16,16,0,0,3,2.66,0.2282,0.5875855,0.1108315,0.476754
Liverpool,6,Southampton,Home,Premier League,2018,4231,-1,3,1.660181567,0.5696674,0.125392839,1.033742361,12,4,33.3333,0.0000,0,0.299114594,0.2570829,0,0.042031709,7,1,30.45,61,57.3289902,0.8884867,750,8,39,2,13,4,16.9,0.0796,0.0692,10,7,0,0,3,2.6294,0.221,1.4253612,0.5368745,0.8884867
Liverpool,7,Chelsea,Away,Premier League,2018,433,-1,1,1.440727917,1.356749,0,0.035229228,13,6,46.1538,0.0000,1,1.828724571,0.8709374,0,0.957787231,10,4,37.38,53,62.4087591,0.7294533,616,7,27,2,20,2,16.1429,0.0412,0.0157,7,9,2,0,1,1.0738,1.6756,1.0440274,0.3145741,0.7294533
Liverpool,8,Manchester City,Home,Premier League,2018,433,-1,0,0.346021185,0.259148,0,0.08687322,7,2,28.5714,0.0000,0,1.04969715,0.2679481,0,0,6,2,24.15,49,50.2304147,0.4174408,515,4,21,1,18,1,25.0588,0.0686,0.0546,10,10,1,0,1,0.5228,2.1908,0.5589723,0.1415315,0.4174408
Liverpool,9,Huddersfield Town,Away,Premier League,2018,433,-1,1,0.616274534,0.5444461,0.099267907,0.07182847,11,2,18.1818,0.0000,0,0.638269575,0.6053113,0,0,13,1,21.735,52,59.9236641,0.4492946,585,8,24,0,14,5,18.5833,0.0503,0.0338,9,6,2,0,3,1.2828,1.3074,0.4900204,0.0407258,0.4492946
Liverpool,10,Cardiff City,Home,Premier League,2018,4231,-1,4,2.8827215,2.7633417,0.524020454,0.1193798,19,7,36.8421,0.0000,1,0.63082682,0.6308268,0,0,2,1,33.39,80,75.4966887,0.8603501,818,9,39,2,24,4,8.6316,0.0165,0.0112,4,6,0,0,3,2.7244,0.163,1.2648431,0.404493,0.8603501
Liverpool,11,Arsenal,Away,Premier League,2018,433,-1,1,1.3116323,1.1671138,0,0.1445187,13,4,30.7692,0.0000,1,1.29606931,1.1990388,0,0.0970305,12,4,20.055,38,36.9047619,0.4570209,356,13,28,3,16,0,24.4444,0.2742,0.2712,6,7,1,0,1,1.3944,1.3134,0.7182569,0.261236,0.4570209
Liverpool,12,Fulham,Home,Premier League,2018,4231,-1,2,2.099003871,1.2213943,0,0.64902499,21,7,33.3333,0.0000,0,0.550920814,0.5509208,0.114075176,0,8,3,44.1525,73,71.659919,0.6768402,725,9,33,3,20,4,6.9412,0.0207,0.01,7,11,1,0,3,2.44,0.3802,1.3319785,0.6551383,0.6768402
Liverpool,13,Watford,Away,Premier League,2018,4231,-1,3,1.553115422,1.2499934,0.931869,0.238355171,10,7,70.0000,0.0000,0,0.61161203,0.4229806,0,0.18863146,5,1,29.19,64,56.6037735,0.6280233,637,9,23,3,18,2,9.4483,0.0542,0.0527,11,13,0,1,3,2.0426,0.6704,0.9234467,0.2954234,0.6280233
Liverpool,14,Everton,Home,Premier League,2018,4231,-1,1,2.9789116,1.5134231,0.056060541,1.4654885,16,3,18.7500,0.0000,0,1.31242996,1.0046333,0.072116241,0.3077966,9,3,38.745,58,65.5737704,0.7183014,521,9,26,2,21,3,9.2941,0.0373,0.0294,7,12,3,0,3,2.5494,0.3078,1.0442415,0.3259401,0.7183014
Liverpool,15,Burnley,Away,Premier League,2018,442,-1,3,2.892248,1.8964252,0.562067926,0.9958228,18,12,66.6667,0.0000,1,1.33194989,0.1429213,0,1.1890285,10,6,27.72,74,62.109375,1.1551074,681,6,34,2,20,2,14.4167,0.2025,0.1914,10,3,0,0,3,2.6232,0.2484,1.5163178,0.3612104,1.1551074
Liverpool,16,Bournemouth,Away,Premier League,2018,442,-1,4,1.755836805,1.623063,0.414884299,0.038666226,10,4,40.0000,0.0000,0,0.281942201,0.147393,0,0.066906514,8,2,31.605,60,62.5786163,0.420695,634,13,24,4,13,3,12.3462,0.0779,0.0697,8,11,1,0,3,2.568,0.2676,0.7769901,0.3562951,0.420695
Liverpool,17,Manchester United,Home,Premier League,2018,4411,-1,3,3.5902688,2.3546747,0,1.2355941,36,11,30.5556,0.0000,1,0.62599781,0.604894,0,0.0211038,6,2,42.42,64,69.5924764,0.7804432,562,13,42,1,29,4,10.08,0.1042,0.1027,14,6,0,0,3,2.852,0.092,1.1235292,0.343086,0.7804432
Liverpool,18,Wolverhampton Wanderers,Away,Premier League,2018,4231,-1,2,2.3171416,1.5959631,0,0.7211785,15,6,40.0000,0.0000,0,0.86121093,0.7999641,0,0.0612469,11,5,34.44,62,67.1096345,0.8447221,675,16,28,4,15,5,13.32,0.14,0.1293,7,3,0,0,3,2.274,0.534,1.0674237,0.2227016,0.8447221
Liverpool,19,Newcastle United,Home,Premier League,2018,4231,532,4,3.459720387,1.7850293,0,0.746265065,16,8,50.0000,0.0000,0,0.406997639,0.3765628,0,0.030434905,6,2,40.635,75,75.5639097,1.473057,723,4,42,7,26,5,7.64,0.0419,0.0213,10,7,0,0,3,2.9146,0.0496,1.7048915,0.2318345,1.473057
Liverpool,20,Arsenal,Home,Premier League,2018,4231,-1,5,3.705353654,2.1418557,0.060594439,0,15,10,66.6667,0.0000,1,0.957155511,0.9571556,0,0,8,2,42.315,48,54.3307086,0.7874706,511,13,32,4,8,8,14.2424,0.0143,0.0094,12,8,1,0,3,2.8774,0.0796,1.061333,0.2738624,0.7874706
Liverpool,21,Manchester City,Away,Premier League,2018,433,-1,1,1.3682419,1.2884222,0,0.0798198,7,5,71.4286,0.0000,2,1.14174779,1.1417479,0.279848009,0,9,4,31.185,50,48.9711934,0.6357262,583,11,20,3,13,0,23.05,0.0114,0.007,12,7,2,0,0,1.5842,1.109,0.650305,0.0145788,0.6357262
Liverpool,22,Brighton and Hove Albion,Away,Premier League,2018,4231,-1,1,2.08993701,1.1833912,0,0.124796767,10,3,30.0000,0.0000,0,0.298122781,0.235975,0,0.062147759,7,0,23.3625,71,70.7224334,0.7845002,755,9,35,0,16,6,18.3571,0.0546,0.0487,12,5,0,0,3,2.7408,0.1578,0.913442,0.1289418,0.7845002
Liverpool,23,Crystal Palace,Home,Premier League,2018,4231,-1,4,2.7542921,1.9173937,0.239291601,0.8368985,19,9,47.3684,0.0000,3,0.60435803,0.5006312,0.134316221,0.1037269,9,3,42.315,71,78.8519637,0.7488936,734,8,58,2,22,4,8.2188,0.0775,0.052,8,6,0,1,3,2.7472,0.1654,1.2942516,0.545358,0.7488936
Liverpool,24,Leicester City,Home,Premier League,2018,4231,-1,1,0.748791141,0.595712,0.018070703,0.132954961,10,3,30.0000,0.0000,1,1.045322795,0.4256554,0.036365613,0.619667355,0,2,38.22,72,75.4491017,0.5095478,779,11,37,2,23,4,7.1471,0.0319,0.0238,6,13,1,0,1,1.0428,1.6086,1.0485594,0.5390116,0.5095478
Liverpool,25,West Ham United,Away,Premier League,2018,433,-1,1,1.049172769,0.885432,0,0.163740886,11,6,54.5455,0.0000,1,0.791405736,0.3451264,0.120195761,0.403306495,13,2,38.3775,73,74.9019607,0.7772363,690,14,26,3,18,2,7.2222,0.1756,0.1644,8,11,1,0,1,1.5984,1.08,1.2441893,0.466953,0.7772363
Liverpool,26,Bournemouth,Home,Premier League,2018,433,-1,3,2.403419943,2.2265952,0.413835317,0.176824715,20,9,45.0000,0.0000,0,0.328289588,0.2203494,0,0.107940262,12,2,27.93,66,69.7749196,1.2340788,707,6,41,4,17,5,8.2857,0.0687,0.0547,6,14,2,0,3,2.7136,0.1822,1.9348501,0.7007713,1.2340788
Liverpool,27,Manchester United,Away,Premier League,2018,433,-1,0,0.331784313,0.0305705,0,0.20986397,7,1,14.2857,0.0000,0,0.365917177,0.1803461,0,0.185571041,6,3,46.5675,65,74.8,0.4090218,565,13,30,0,26,2,7.7429,0.1893,0.1637,14,17,3,0,1,1.1766,1.26,0.6419911,0.2329693,0.4090218
