Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Manchester City,1,Brighton and Hove Albion,Away,Premier League,2017,3142,442,2,2.065369429,1.9619285,0,0.026996845,14,4,28.5714,0.0000,0,0.271339461,0,0,0.271339461,6,2,39.2175,78,85.582822,1.2628536,768,6,28,3,27,10,8.087,0.0318,0.0174,6,9,2,0,3,2.6552,0.2096,1.6717021,0.4088485,1.2628536
Manchester City,2,Everton,Home,Premier League,2017,3142,352,1,1.094435818,0.8491689,0,0.158006413,19,6,31.5789,0.0000,1,0.575239808,0.4923224,0,0.082917405,7,2,33.18,65,68.115942,0.7838841,560,13,37,1,24,3,13.8333,0.0199,0.0146,8,7,1,1,1,1.772,0.8972,1.2408097,0.4569256,0.7838841
Manchester City,3,Bournemouth,Away,Premier League,2017,433,532,2,1.868802507,1.3845356,0,0.414471067,19,8,42.1053,0.0000,1,0.438466979,0.4210758,0,0.017391134,9,3,33.81,70,74.7292418,0.7179961,604,13,40,2,27,6,6.6,0.0529,0.0116,13,14,4,1,3,2.4216,0.3876,1.1901157,0.4721196,0.7179961
Manchester City,4,Liverpool,Home,Premier League,2017,3142,433,5,2.583937177,2.111776,0,0.472161103,13,10,76.9231,0.0000,0,0.543034637,0.4131834,0,0.018591736,7,3,33.2325,66,58.0508474,0.862655,730,4,26,6,19,2,9.9333,0.0413,0.0384,9,10,2,0,3,2.6742,0.2142,1.3035204,0.4408654,0.862655
Manchester City,5,Watford,Away,Premier League,2017,433,-1,6,3.607130394,2.3469258,0.070324145,0.478455526,28,10,35.7143,0.0000,0,0.938185228,0.0666894,0,0.871495776,7,1,31.7625,67,76.061776,0.7956106,637,13,43,3,26,4,8.9,0.0583,0.0369,8,6,0,0,3,2.8212,0.1188,1.292987,0.4973764,0.7956106
Manchester City,6,Crystal Palace,Home,Premier League,2017,433,4231,5,5.2308413,4.3438517,0,0.8869896,25,9,36.0000,0.0000,0,0.51684872,0.503952,0,0.0128967,5,0,40.95,72,80.4216867,1.6064217,724,14,58,2,24,6,8.8571,0.058,0.0391,6,6,3,0,3,2.9744,0.0158,2.1382846,0.5318629,1.6064217
Manchester City,7,Chelsea,Away,Premier League,2017,433,3511,1,0.872655314,0.6263662,0,0.193858603,17,6,35.2941,0.0000,0,0.656135436,0.3404609,0,0.315674517,0,2,34.86,62,62.8975265,0.6388991,653,8,36,5,20,5,8.5385,0.0758,0.067,8,13,2,0,3,1.4464,1.1842,1.012895,0.3739959,0.6388991
Manchester City,8,Stoke City,Home,Premier League,2017,433,4411,7,4.028003694,3.7882529,0.527930856,0.12331453,20,11,55.0000,695.0000,2,0.725824354,0.7258244,0,0,6,1,46.305,79,80,1.5323723,892,5,51,3,14,6,8.08,0.031,0.0201,8,5,0,0,3,2.9044,0.061,2.1826359,0.6502636,1.5323723
Manchester City,9,Burnley,Home,Premier League,2017,433,4411,3,4.015734918,2.8587917,0,0.375194097,15,10,66.6667,0.0000,0,0.18692955,0.1339419,0,0.018773502,6,0,31.29,77,71.8045112,0.6275971,803,17,38,0,17,3,10.2778,0.0149,0.0096,6,10,2,0,3,2.9736,0.0138,1.2996031,0.672006,0.6275971
Manchester City,10,West Bromwich Albion,Away,Premier League,2017,433,352,3,2.643228177,2.506392,0,0,15,5,33.3333,0.0000,2,1.324436504,1.3244364,0,0,7,4,44.31,78,81.9121447,1.4326538,929,15,29,2,10,4,5.8205,0.0451,0.0415,10,7,3,0,3,2.2762,0.538,1.9044475,0.4717937,1.4326538
Manchester City,11,Arsenal,Home,Premier League,2017,433,3421,3,1.961615835,0.8252276,0.063176468,0.354639307,9,5,55.5556,0.0000,1,0.294028824,0.2380791,0.11879579,0.033041339,6,3,32.445,58,52.2900763,0.5786191,624,16,27,5,13,6,9.7059,0.0249,0.0159,15,15,1,0,3,2.7444,0.1554,0.7833553,0.2047362,0.5786191
Manchester City,12,Leicester City,Away,Premier League,2017,433,4411,2,1.8118204,1.6764155,0,0.1354049,12,4,33.3333,0.0000,0,0.3560092,0.0193623,0,0.3366469,2,0,43.3125,75,74.0458015,1.2606069,784,13,45,4,14,4,7.2121,0.1296,0.0242,8,10,1,0,3,2.5882,0.25,1.9418034,0.6811965,1.2606069
Manchester City,13,Huddersfield Town,Away,Premier League,2017,433,451,2,2.736568642,1.7898522,0,0.094610257,14,5,35.7143,192.8571,1,0.499934219,0.4343671,0,0,5,0,39.9,80,79.1666666,0.9641212,733,15,28,7,16,11,4.4848,0.0813,0.0539,10,10,3,0,3,2.7946,0.124,1.3896215,0.4255003,0.9641212
Manchester City,14,Southampton,Home,Premier League,2017,433,541,2,1.8924724,0.9757849,0.045111684,0.9166875,26,12,46.1538,0.0000,1,1.57304244,0.4257191,0,1.1473234,0,2,51.345,74,81.8443804,0.8326333,778,7,33,1,21,10,5.5854,0.1034,0.0881,11,12,1,0,3,1.5286,1.2046,0.7933453,-0.039288,0.8326333
Manchester City,15,West Ham United,Home,Premier League,2017,433,3511,2,2.543003113,2.419603,0,0.042251643,24,8,33.3333,0.0000,1,0.340686563,0.1540528,0.01960678,0.186633766,7,4,38.43,77,86.8055555,1.3234663,753,13,53,5,28,3,6.6207,0.113,0.1049,7,5,2,0,3,2.7946,0.1264,2.0673438,0.7438775,1.3234663
Manchester City,16,Manchester United,Away,Premier League,2017,433,4231,2,2.010062613,0.9568886,0,1.053174019,14,7,50.0000,0.0000,1,1.534129841,1.511594,0,0,8,5,38.85,65,70.4225352,0.5358906,606,17,43,3,10,5,9.4483,0.0555,0.0272,15,10,2,0,3,1.859,0.8726,1.4253865,0.8894959,0.5358906
Manchester City,17,Swansea City,Away,Premier League,2017,433,451,4,3.446733063,2.615905,0,0.330489632,23,10,43.4783,0.0000,0,0.550123565,0.3920339,0.070148341,0.158089664,7,3,31.605,78,81.4696485,0.8444605,834,19,43,3,16,5,7.7917,0.094,0.092,11,6,0,0,3,2.849,0.0998,1.9125655,1.068105,0.8444605
Manchester City,18,Tottenham Hotspur,Home,Premier League,2017,433,41212,4,4.238921595,2.7545686,0.067617349,0.702604063,20,11,55.0000,0.0000,1,0.480802832,0.4581921,0,0.02261072,7,2,44.5725,53,61.2765957,0.5756726,456,14,33,1,11,0,9.1842,0.0845,0.0821,19,13,2,0,3,2.96,0.0242,1.205834,0.6301614,0.5756726
Manchester City,19,Bournemouth,Home,Premier League,2017,433,-1,4,1.4432874,1.3858407,0,0.0574467,14,5,35.7143,0.0000,0,0.59822963,0.1753106,0,0.422919,0,1,41.0025,79,81.0725552,0.7502619,901,9,27,5,18,4,7.0714,0.0646,0.0527,7,8,0,0,3,2.0888,0.6416,1.1753965,0.4251346,0.7502619
Manchester City,20,Newcastle United,Away,Premier League,2017,433,541,1,1.873606,1.5877438,0.289026141,0.2858622,22,6,27.2727,0.0000,0,0.16009707,0.1355018,0,0.0245952,6,2,39.69,78,79.5379537,1.0262003,824,13,24,4,15,5,7.36,0.0516,0.0476,9,6,0,0,3,2.6268,0.216,1.5368188,0.5106185,1.0262003
Manchester City,21,Crystal Palace,Away,Premier League,2017,433,433,0,1.090238833,0.9521167,0,0,15,4,26.6667,0.0000,0,1.526692011,0.5827899,0,0.162153068,10,2,25.62,74,69.4117647,0.8576572,626,14,28,1,20,4,5.1481,0.0283,0.0195,14,11,4,0,1,0.9678,1.7544,1.3169628,0.4593056,0.8576572
Manchester City,22,Watford,Home,Premier League,2017,433,4231,3,2.667941962,1.3334158,0,1.152566807,18,7,38.8889,0.0000,1,0.844730957,0.8266211,0,0.018109919,7,4,48.825,77,79.7202797,0.8283654,854,16,37,0,21,5,7.5667,0.0768,0.0548,12,8,1,0,3,2.57,0.2828,1.5838727,0.7555073,0.8283654
Manchester City,23,Liverpool,Away,Premier League,2017,433,433,3,0.827517,0.7780935,0,0.0494235,11,4,36.3636,0.0000,4,0.82099772,0.7319,0.100670986,0.0890976,16,7,28.14,64,51.2605042,0.6088882,667,20,16,2,13,2,8.4375,0.0482,0.025,10,7,3,0,0,1.3584,1.2942,0.9338859,0.3249977,0.6088882
Manchester City,24,Newcastle United,Home,Premier League,2017,433,541,3,2.448644441,1.471799,0,0.162768936,21,9,42.8571,0.0000,1,1.026189567,0.9627543,0.590987384,0.063435294,6,4,36.54,80,84.4547563,1.2705044,799,22,49,0,32,7,6.1667,0.0556,0.0478,10,5,0,0,3,2.366,0.4412,1.8465386,0.5760342,1.2705044
Manchester City,25,West Bromwich Albion,Home,Premier League,2017,433,4411,3,2.362758606,2.2274985,0.962556258,0.017269762,19,10,52.6316,0.0000,0,0.101574035,0.1015741,0,0,3,1,52.29,74,83.9743589,0.9543764,695,13,47,4,20,4,5.9474,0.0941,0.0592,10,10,1,0,3,2.8236,0.0972,1.5937431,0.6393667,0.9543764
Manchester City,26,Burnley,Away,Premier League,2017,433,442,1,2.404966978,1.7454037,0,0.579523111,20,7,35.0000,0.0000,1,0.810348116,0.599854,0,0.210494082,8,3,25.83,71,68.1286549,0.936871,695,7,52,0,16,2,11.2353,0.0298,0.0227,8,6,1,0,1,2.4744,0.3702,1.6570127,0.7201417,0.936871
Manchester City,27,Leicester City,Home,Premier League,2017,433,352,5,2.3625185,2.3210266,0,0.0414919,19,11,57.8947,0.0000,1,0.36634237,0.3663424,0,0,0,2,44.1,70,78.2208588,1.1444525,705,18,40,2,18,2,8.4,0.1198,0.0998,12,10,2,0,3,2.7544,0.148,1.7653108,0.6208583,1.1444525
Manchester City,28,Arsenal,Away,Premier League,2017,433,4231,3,1.878239311,1.857426,0,0.020813389,9,5,55.5556,0.0000,0,1.32324525,0.4197495,0,0.079985387,10,5,23.73,54,42.5925925,0.5701567,653,21,15,2,3,2,20.1579,0.0228,0.021,11,11,1,0,3,1.8888,0.8208,0.8339618,0.2638051,0.5701567
Manchester City,29,Chelsea,Home,Premier League,2017,433,3421,1,0.784353811,0.7278055,0,0.056548387,13,3,23.0769,0.0000,0,0.103918931,0.0602581,0,0.043660875,3,0,61.53,71,80.8917197,0.2795374,976,20,29,1,19,4,11.0625,0.0617,0.0505,8,8,2,0,3,2.0148,0.5604,0.6479654,0.368428,0.2795374
Manchester City,30,Stoke City,Away,Premier League,2017,433,433,2,1.6726546,1.5101048,0.094783947,0.1625498,17,6,35.2941,0.0000,0,0.14830899,0.0596081,0,0.0887009,3,0,36.54,77,77.4193548,0.5703077,847,10,33,4,10,3,8.0385,0.0792,0.0204,6,8,0,0,3,2.5688,0.2534,1.0243056,0.4539979,0.5703077
Manchester City,31,Brighton and Hove Albion,Home,Premier League,2017,433,-1,3,1.875883336,1.7423546,0.505938411,0.077776423,19,7,36.8421,0.0000,1,1.19780239,1.1727581,0,0.025044274,6,3,42.84,74,87.1641791,1.3158051,854,15,38,1,13,2,11.4167,0.0451,0.0387,7,5,0,0,3,1.861,0.8626,1.9543033,0.6384982,1.3158051
Manchester City,32,Everton,Away,Premier League,2017,352,4231,3,1.895143608,1.7444965,0,0.15064716,18,4,22.2222,0.0000,1,0.80758973,0.6122692,0,0.119647013,6,2,25.41,82,73.8636363,0.5951718,976,9,36,5,12,8,9.5625,0.0312,0.0221,10,8,0,0,3,2.1854,0.5906,1.1029322,0.5077604,0.5951718
Manchester City,33,Manchester United,Home,Premier League,2017,433,433,2,2.871697739,1.9095645,0,0.917495787,20,6,30.0000,0.0000,3,1.064520346,0.7388999,0,0.325620532,5,4,33.81,65,61.728395,0.7994325,596,11,35,6,16,2,8.0333,0.0196,0.0093,8,17,6,0,0,2.488,0.3628,1.3580197,0.5585872,0.7994325
Manchester City,34,Tottenham Hotspur,Away,Premier League,2017,433,4231,3,3.740610649,1.9757165,0,0.903712835,17,6,35.2941,0.0000,1,0.557868671,0.5378552,0,0.02001352,8,3,23.94,52,40.3225806,0.5822889,511,13,27,5,12,5,10.3548,0.0854,0.0771,11,12,4,0,3,2.8674,0.0828,1.0384711,0.4561822,0.5822889
Manchester City,35,Swansea City,Home,Premier League,2017,433,541,5,3.331089571,2.1687249,0,0.340618253,19,12,63.1579,0.0000,0,0.255953714,0.1283348,0.104784481,0.062407315,4,1,44.835,83,87.9629629,1.460017,1015,16,44,7,19,6,6.5862,0.0827,0.0662,7,6,0,0,3,2.9448,0.0324,1.9515238,0.4915068,1.460017
Manchester City,36,West Ham United,Away,Premier League,2017,433,3511,4,2.465393657,2.3367093,0,0,19,8,42.1053,0.0000,1,0.177518163,0.0657399,0,0.086510638,4,1,42,75,77.5384615,1.0912508,876,13,40,9,13,2,7.2121,0.0802,0.0631,4,11,1,0,3,2.8258,0.1042,1.6590507,0.5677999,1.0912508
Manchester City,37,Huddersfield Town,Home,Premier League,2017,433,532,0,0.8304643,0.6418659,0,0.1885983,15,2,13.3333,0.0000,0,0.34844691,0.1175314,0,0.2309155,5,3,30.345,79,79.4871794,0.6199282,720,7,31,1,37,1,6.619,0.0431,0.0322,4,9,0,0,1,1.7418,0.8628,1.1424478,0.5225196,0.6199282
