Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Manchester United,1,Leeds United,Home,Premier League,2021,4231,4141,5,1.5311606,1.4464697,0.057091069,0.0846909,16,8,50.0000,0.0000,1,0.70389496,0.354874,0,0.3490209,10,3,42.42,49,57.2864321,0.6911851,422,12,20,10,11,4,12.5161,0.04,0.0293,9,11,1,0,3,1.9996,0.7438,0.9376235,0.2464384,0.6911851
Manchester United,2,Southampton,Away,Premier League,2021,4231,442,1,1.825814834,0.4126096,0,1.337226538,15,4,26.6667,93.3333,1,0.632271567,0.5406922,0,0.046180837,9,3,28.14,64,59.0517241,0.573085,520,11,28,1,19,4,12.8235,0.0353,0.0334,12,10,3,0,1,2.185,0.5632,0.7784189,0.2053339,0.573085
Manchester United,3,Wolverhampton Wanderers,Away,Premier League,2021,4231,343,1,0.655745771,0.1592969,0,0.453402303,10,3,30.0000,0.0000,0,2.511469377,1.7547095,0.855839413,0.756759832,15,6,31.92,56,56.6801619,0.4064948,552,4,24,5,18,2,10.7,0.2223,0.0353,7,9,4,0,3,0.27,2.6004,0.7521043,0.3456095,0.4064948
Manchester United,4,Newcastle United,Home,Premier League,2021,4231,541,4,2.851143,2.5799471,0.246943437,0.2711958,21,7,33.3333,0.0000,1,0.54692859,0.5220731,0,0.0248555,12,3,39.7425,64,79.3002915,0.4879788,644,7,41,1,23,1,9.4516,0.024,0.0165,2,9,1,0,3,2.746,0.1666,1.3140393,0.8260605,0.4879788
Manchester United,5,West Ham United,Away,Premier League,2021,4231,442,2,2.136790289,1.9205047,0,0.216285668,17,10,58.8235,0.0000,1,1.824415365,0.9975227,0,0.045143618,13,4,27.9825,60,65.3465346,0.5267141,624,19,31,4,33,5,13.5,0.2262,0.2133,5,8,0,0,3,1.39,1.309,0.8321507,0.3054366,0.5267141
Manchester United,6,Aston Villa,Home,Premier League,2021,4231,352,0,2.19181332,0.9527972,0.136727609,0.390101946,28,4,14.2857,0.0000,1,1.313928846,0.7434238,0,0.544907145,7,3,22.995,60,55.7603686,0.4003444,409,16,34,6,21,3,9.8,0.0347,0.0311,11,9,2,0,0,2.0216,0.752,0.7388285,0.3384841,0.4003444
Manchester United,7,Everton,Home,Premier League,2021,4231,4411,1,1.5054306,1.105723,0,0.3997076,13,6,46.1538,0.0000,1,1.11443348,1.036091,0.578927718,0.0783425,12,2,32.445,72,75.900277,0.6984276,700,11,28,1,28,7,10.35,0.0969,0.0774,9,10,1,0,1,1.671,1.0452,1.1256746,0.427247,0.6984276
Manchester United,8,Leicester City,Away,Premier League,2021,4231,3412,2,1.091041394,0.9584691,0,0.137916297,18,6,33.3333,0.0000,4,2.605799217,1.1808364,0.037328191,1.328387611,22,11,34.335,51,59.9206349,0.4461311,517,6,19,3,17,3,13.6,0.0292,0.0084,5,17,3,0,0,0.4928,2.3372,0.5653314,0.1192003,0.4461311
Manchester United,9,Liverpool,Home,Premier League,2021,4231,433,0,1.3347982,0.6111181,0,0.72368,12,4,33.3333,0.0000,5,3.58320433,3.3874346,0.755757004,0.1957698,19,8,24.3075,37,36.2962962,0.4441012,409,12,23,1,21,1,62,0.0082,0.0072,8,10,6,1,0,0.2564,2.6414,0.5350946,0.0909934,0.4441012
Manchester United,10,Tottenham Hotspur,Away,Premier League,2021,352,4231,3,1.327518136,1.3275182,0.497404695,0,10,4,40.0000,0.0000,0,0.996953565,0.1645233,0,0.779794631,9,0,24.045,42,38.9285714,0.4013288,421,8,20,2,8,1,10.9412,0.0351,0.0213,12,14,3,0,3,1.6518,1.0332,0.7009054,0.2995766,0.4013288
Manchester United,11,Manchester City,Home,Premier League,2021,352,433,0,0.6788291,0.6124894,0,0.0663397,5,1,20.0000,0.0000,2,1.51027342,1.2689484,0.118233867,0.2413249,17,5,24.36,33,21.5339233,0.0689332,400,4,4,0,9,2,23.9474,0.0078,0.0071,12,9,1,0,0,0.6944,2.0264,0.1631736,0.0942404,0.0689332
Manchester United,12,Watford,Away,Premier League,2021,4231,4141,1,1.278849596,1.2788495,0.070744567,0,9,3,33.3333,0.0000,4,2.546962409,1.4996665,0.11628221,0.196812482,20,7,16.3275,61,37.6068376,0.5582582,553,11,20,3,12,0,34.6667,0.0224,0.0208,7,5,1,1,0,0.5742,2.2368,0.9255799,0.3673217,0.5582582
Manchester United,13,Chelsea,Away,Premier League,2021,4312,3421,1,0.667268792,0.6672687,0.618968904,0,3,2,66.6667,0.0000,1,2.923579582,1.8904245,0,0.25140606,24,6,15.96,34,28.2868525,0.1119031,318,9,7,2,8,2,15.6538,0.1287,0.0395,13,14,5,0,1,0.1286,2.7842,0.2164373,0.1045342,0.1119031
Manchester United,14,Arsenal,Home,Premier League,2021,4231,4411,3,2.030115671,1.0901018,0.120299242,0.15826492,14,10,71.4286,0.0000,2,1.212571739,0.9641172,0,0.163081596,17,8,19.635,44,52.3648648,0.5504417,431,4,21,0,12,2,16.4783,0.0212,0.0175,10,9,1,0,3,2.0522,0.7208,0.953868,0.4034263,0.5504417
Manchester United,15,Crystal Palace,Home,Premier League,2021,4222,433,1,0.794294176,0.6381146,0,0.073763592,16,3,18.7500,0.0000,0,0.809293526,0.5290451,0.48103869,0.280248505,8,2,31.92,61,75.0889679,0.6530378,530,5,33,1,20,4,9.931,0.2057,0.1929,9,16,2,0,3,1.2382,1.3918,0.8747432,0.2217054,0.6530378
Manchester United,16,Norwich City,Away,Premier League,2021,4222,433,1,1.981580043,0.9847938,0.603703201,0.037123449,13,5,38.4615,0.0000,0,1.180067552,0.7710833,0,0.408984328,11,5,31.08,53,63.0188679,0.5660591,501,9,27,1,14,3,10.6471,0.1294,0.0573,6,17,1,0,3,2.058,0.7092,0.9847236,0.4186645,0.5660591
Manchester United,17,Brentford,Away,Premier League,2021,4231,352,3,2.222308701,2.0589241,0.55543083,0.163384451,13,5,38.4615,0.0000,1,2.83771327,1.6418748,0.626483772,1.195838466,18,9,24.045,56,51.2820512,0.4987717,519,14,25,3,27,4,13.0909,0.0352,0.0314,6,9,0,0,3,1.088,1.6628,0.8604569,0.3616852,0.4987717
Manchester United,18,Brighton and Hove Albion,Home,Premier League,2021,4231,41212,2,2.435517734,1.2264016,0,1.030955948,19,7,36.8421,0.0000,0,1.03793415,1.0136971,0,0.024237024,10,3,38.85,50,57.9113924,0.5693368,512,18,33,3,21,3,13.5517,0.0187,0.0109,9,8,3,0,3,2.2896,0.5304,1.1947833,0.6254465,0.5693368
Manchester United,19,Newcastle United,Away,Premier League,2021,4222,451,1,1.72866,1.3216915,0,0.4069686,13,4,30.7692,0.0000,1,1.26879321,1.2687932,0.072792679,0,13,8,21.84,69,60.1731601,0.3989516,566,11,18,2,23,5,9.6,0.0659,0.0381,11,8,3,0,1,1.695,1.0194,0.6282902,0.2293386,0.3989516
Manchester United,20,Burnley,Home,Premier League,2021,4222,442,3,2.008266078,1.5267931,0,0.373495579,18,6,33.3333,0.0000,1,1.184299428,0.5489244,0,0.635375071,10,3,18.6375,57,60.8695652,0.0432023,484,6,31,2,26,2,20.6429,0.0287,0.0103,10,5,0,0,3,1.9484,0.8102,0.6103724,0.5671701,0.0432023
Manchester United,21,Wolverhampton Wanderers,Home,Premier League,2021,4222,343,0,0.782552482,0.6994425,0.127953619,0,9,2,22.2222,0.0000,1,0.669255906,0.4286346,0.069831707,0.217810122,19,6,23.625,51,50.6849315,0.1857385,488,14,17,0,21,3,15.95,0.0418,0.0144,8,9,3,0,0,1.4244,1.1886,0.6076724,0.4219339,0.1857385
Manchester United,22,Aston Villa,Away,Premier League,2021,433,433,2,1.170220357,1.0766691,0.127488796,0.052774981,13,6,46.1538,0.0000,2,1.593068302,1.3564342,0,0.236634217,13,9,33.915,45,35.5,0.1552944,451,7,16,0,13,0,11.6176,0.0404,0.0206,8,13,2,0,1,1.0074,1.7154,0.3820736,0.2267792,0.1552944
Manchester United,23,West Ham United,Home,Premier League,2021,4231,4231,1,1.561911637,1.4661121,0,0.072535701,18,3,16.6667,0.0000,0,0.300901901,0.2212448,0,0.07965716,6,1,26.46,57,63.076923,0.9510289,548,10,28,1,17,7,13.875,0.0371,0.0169,8,9,1,0,3,2.4902,0.3176,1.281391,0.3303621,0.9510289
Manchester United,24,Burnley,Away,Premier League,2021,4231,442,1,2.2899903,2.0769693,0,0.2130208,22,5,22.7273,0.0000,1,0.56145807,0.492756,0,0.068702,9,3,34.02,64,65.8436213,0.922218,518,4,42,2,23,5,10.55,0.0572,0.0374,10,10,1,0,1,2.5716,0.2736,1.5542978,0.6320798,0.922218
Manchester United,25,Southampton,Home,Premier League,2021,4231,442,1,2.918419192,1.6924772,0.379872739,1.225942027,12,8,66.6667,0.0000,1,0.83146057,0.7333317,0,0.098128812,13,4,38.7975,52,54.3568464,1.0877279,469,10,24,2,13,3,11.0667,0.0497,0.0118,11,12,4,0,1,2.702,0.2036,1.4918092,0.4040813,1.0877279
Manchester United,26,Leeds United,Away,Premier League,2021,4231,4231,4,2.3092565,2.235983,0,0.0732735,15,9,60.0000,0.0000,2,1.50295082,1.4896047,0.115363277,0.0133461,16,6,35.385,46,50,1.1480923,340,15,25,1,13,4,9.2778,0.0821,0.0458,13,19,3,0,3,1.9618,0.8164,1.4201314,0.2720391,1.1480923
Manchester United,27,Watford,Home,Premier League,2021,4231,433,0,2.487386038,2.2452802,0.502072453,0.186418541,22,3,13.6364,0.0000,0,0.743826423,0.6154882,0,0.128338208,10,2,33.495,67,73.6196319,1.1131931,676,10,51,7,31,4,11.3478,0.0447,0.027,7,2,0,0,1,2.5334,0.317,1.6526247,0.5394316,1.1131931
Manchester United,28,Manchester City,Away,Premier League,2021,4231,433,1,0.779879003,0.7698647,0,0.010014339,5,2,40.0000,0.0000,4,3.245763099,2.6188197,0.104573973,0.513055086,24,10,22.89,31,30.5555555,0.3034169,331,9,18,0,9,3,22.5417,0.0235,0.0162,9,14,1,0,0,0.1766,2.7242,0.5331151,0.2296982,0.3034169
Manchester United,29,Tottenham Hotspur,Home,Premier League,2021,4231,3421,3,0.917459743,0.8248775,0.05246824,0.09258223,10,6,60.0000,290.0000,2,1.632626341,0.3784634,0,0.405439682,11,3,22.575,44,43.7007874,0.3058513,459,12,15,0,10,1,27.25,0.0289,0.0047,6,8,2,0,3,0.7092,2.0166,0.6285944,0.3227431,0.3058513
Manchester United,30,Liverpool,Away,Premier League,2021,3421,433,0,0.103721,0.103721,0.066314392,0,2,1,50.0000,0.0000,4,2.44421128,2.0508113,0.130718797,0.3934001,14,5,26.67,28,25.3623188,0.1541831,354,7,9,3,6,2,28.8261,0.0442,0.0426,3,6,2,0,0,0.0726,2.871,0.2677755,0.1135924,0.1541831
Manchester United,31,Leicester City,Home,Premier League,2021,4231,4231,1,0.8850622,0.7609726,0,0.1240896,11,5,45.4545,0.0000,1,0.9013418,0.8269834,0,0.0743584,11,3,31.815,54,59.3333333,0.600372,582,13,29,3,19,3,15.375,0.0206,0.0155,6,13,2,0,1,1.3156,1.345,0.9086894,0.3083174,0.600372
Manchester United,32,Everton,Away,Premier League,2021,4231,433,0,0.8656912,0.6880072,0,0.177684,12,4,33.3333,0.0000,1,0.8759635,0.7737542,0,0.1022093,7,3,25.7775,68,67.8678678,0.9541699,641,10,43,0,24,6,7.931,0.0324,0.0151,4,10,2,0,0,1.316,1.3412,1.3453291,0.3911592,0.9541699
Manchester United,33,Norwich City,Home,Premier League,2021,433,4231,3,1.479962711,1.2773398,0,0.178627199,20,9,45.0000,0.0000,2,1.435828343,1.2794295,0.068536252,0.133301015,15,4,30.8175,61,72.0496894,0.7048776,623,18,51,5,13,8,13.6522,0.0431,0.0263,6,8,0,0,3,1.384,1.3462,1.4469099,0.7420323,0.7048776
Manchester United,34,Arsenal,Away,Premier League,2021,4231,4231,1,2.032197151,1.1689528,0.060336128,0.081495235,14,5,35.7143,0.0000,3,2.338872898,1.3525389,0,0.129300296,14,7,34.125,45,40.2489626,0.2664165,412,5,15,0,16,3,16.1364,0.1788,0.0091,8,12,4,0,0,1.142,1.5848,0.4409625,0.174546,0.2664165
Manchester United,35,Brentford,Home,Premier League,2021,4231,532,3,1.980546537,0.8114348,0,0.361728579,9,5,55.5556,0.0000,0,1.001970068,0.779993,0,0.180400662,12,4,15.0675,64,58.9285714,0.2601331,714,4,14,2,7,2,16,0.0182,0.0164,6,4,1,0,3,2.1632,0.6128,0.6111078,0.3509747,0.2601331
Manchester United,36,Brighton and Hove Albion,Away,Premier League,2021,4231,3421,0,0.897377056,0.7050709,0,0.12047726,15,5,33.3333,0.0000,4,2.875107476,2.6952396,0.594595253,0.179867968,17,6,14.595,58,42.2310756,0.4085801,526,9,21,0,22,4,14.9375,0.2303,0.2211,12,9,2,0,0,0.296,2.5676,0.4308307,0.0222506,0.4085801
Manchester United,37,Chelsea,Home,Premier League,2021,4231,3412,1,0.494034,0.3531416,0,0.1408924,6,3,50.0000,0.0000,1,1.97066458,1.7757927,0,0.1948721,21,6,16.275,35,25.9818731,0.3669844,345,8,16,1,10,4,22.5,0.0146,0.0052,10,9,0,0,1,0.3704,2.4476,0.2132917,-0.1536927,0.3669844
Manchester United,38,Crystal Palace,Away,Premier League,2021,4231,433,0,1.006535271,0.6807534,0.018327242,0.2840339,10,4,40.0000,0.0000,1,0.419050727,0.288966,0,0.130084675,6,3,38.955,62,61.038961,0.3592778,526,6,16,2,21,3,8.129,0.0745,0.0296,12,22,4,0,0,1.9336,0.7324,0.6839541,0.3246763,0.3592778
