Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Newcastle United,1,Tottenham Hotspur,Home,Premier League,2017,4231,4231,0,0.5188446,0.4574996,0,0.061345,6,2,33.3333,0.0000,2,2.05457926,1.9491522,0,0.1054271,18,6,21.9975,27,26.9090909,0.1921733,245,4,16,3,19,1,28.2941,0.062,0.0574,9,6,1,1,0,0.3202,2.5222,0.3318462,0.1396729,0.1921733
Newcastle United,2,Huddersfield Town,Away,Premier League,2017,4231,4231,0,0.9200259,0.5719216,0,0.3481043,13,5,38.4615,0.0000,1,0.26323227,0.2509155,0,0.0123168,7,3,25.8825,47,51.6949152,0.8479699,415,9,19,0,14,0,14.2692,0.0147,0.0078,12,10,4,0,0,2.0006,0.6362,1.0812093,0.2332394,0.8479699
Newcastle United,3,West Ham United,Home,Premier League,2017,4231,4231,3,2.763829671,2.7082119,0,0.055617738,17,8,47.0588,0.0000,0,0.43446263,0.4106046,0,0,8,3,37.695,38,56.7708333,0.3506212,271,8,32,1,21,5,12.1714,0.1315,0.0021,10,17,1,0,3,2.8118,0.1118,0.8298335,0.4792123,0.3506212
Newcastle United,4,Swansea City,Away,Premier League,2017,4231,4312,1,1.096597337,0.6426885,0,0.453908792,16,8,50.0000,0.0000,0,1.121295156,0.6081284,0,0.468375189,10,4,26.7225,38,46.743295,0.2028492,329,5,16,0,19,1,11.7273,0.1082,0.0722,11,15,3,0,3,1.2906,1.3932,0.442579,0.2397298,0.2028492
Newcastle United,5,Stoke City,Home,Premier League,2017,4231,-1,2,2.718617476,1.4748126,0,1.243804891,14,3,21.4286,0.0000,1,0.595943866,0.4862275,0,0.089367172,13,4,26.46,42,39.5918367,0.3323672,291,6,20,2,18,2,12.4583,0.0309,0.022,11,13,3,0,3,2.6942,0.2018,0.4830085,0.1506413,0.3323672
Newcastle United,6,Brighton and Hove Albion,Away,Premier League,2017,4231,4411,0,1.420175273,1.0758451,0,0.233492866,17,5,29.4118,0.0000,1,1.129247423,0.2351954,0,0.894051999,7,3,20.16,51,55.5555555,0.7373466,458,11,24,1,20,2,19.0588,0.0198,0.018,6,8,1,0,0,1.5746,1.1054,0.9707951,0.2334485,0.7373466
Newcastle United,7,Liverpool,Home,Premier League,2017,4231,-1,1,0.547823543,0.1886579,0,0.359165609,8,5,62.5000,0.0000,1,1.647349004,1.0439548,0,0.553543799,17,2,21.7875,32,27.173913,0.290534,295,3,9,3,10,1,25.1176,0.0679,0.0665,6,11,1,0,1,0.5528,2.2004,0.3848823,0.0943483,0.290534
Newcastle United,8,Southampton,Away,Premier League,2017,442,442,2,1.336275429,0.8807655,0,0.455510022,19,5,26.3158,0.0000,2,1.760081537,0.630397,0,0.347935498,12,2,25.095,38,41.1111111,0.3828873,347,9,23,3,26,1,18.0417,0.026,0.0213,11,12,2,0,1,0.9896,1.7438,0.5244161,0.1415288,0.3828873
Newcastle United,9,Crystal Palace,Home,Premier League,2017,4231,442,1,0.3274946,0.2538646,0,0.07363,7,3,42.8571,0.0000,0,0.49810033,0.3812354,0,0.116865,10,0,26.67,55,47.7477477,0.29393,453,5,14,0,17,3,9,0.0224,0.0187,14,12,4,0,3,1.0778,1.4,0.4545469,0.1606169,0.29393
Newcastle United,10,Burnley,Away,Premier League,2017,4231,4411,0,0.4489631,0.3286789,0,0.1202842,12,5,41.6667,0.0000,1,0.90543279,0.7080805,0,0.1973523,12,5,26.46,53,46.8253968,0.3699564,521,7,6,0,16,5,14,0.1219,0.0762,7,10,0,0,0,0.8914,1.729,0.5184635,0.1485071,0.3699564
