Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Nottingham Forest,1,Newcastle United,Away,Premier League,2022,3412,433,0,0.205661707,0.2056617,0,0,5,0,0.0000,0.0000,2,1.708774455,1.4389745,0,0.244831849,23,10,21.105,39,23.9583333,0.2711156,294,5,8,0,9,0,13.15,0.0306,0.017,9,14,3,0,0,0.2814,2.5236,0.4199697,0.1488541,0.2711156
Nottingham Forest,2,West Ham United,Home,Premier League,2022,3412,433,1,1.811483946,1.2496292,0,0.54214525,13,6,46.1538,0.0000,0,2.068761461,0.9902578,0.122239724,0.179369099,19,5,23.73,43,45.4545454,0.3721782,288,7,20,5,20,0,12.1818,0.1084,0.1063,10,10,4,0,3,1.1068,1.6276,0.4577948,0.0856166,0.3721782
Nottingham Forest,3,Everton,Away,Premier League,2022,3412,343,1,0.847276142,0.7781764,0,0.026053121,14,5,35.7143,0.0000,1,1.614804991,1.5491991,0,0.028763063,19,8,27.825,52,48.9626556,0.1759542,444,5,17,1,15,3,17.3333,0.086,0.0215,4,9,2,0,1,0.7776,1.9656,0.3765315,0.2005773,0.1759542
Nottingham Forest,4,Tottenham Hotspur,Home,Premier League,2022,3421,3421,0,0.660977473,0.4416886,0,0.19054576,17,1,5.8824,0.0000,2,2.558823492,1.7770745,0.122648954,0,18,7,43.89,55,68.2142857,0.8176381,568,8,40,0,24,4,10.4737,0.0597,0.0457,11,11,6,0,0,0.2638,2.6212,0.9662956,0.1486575,0.8176381
Nottingham Forest,5,Manchester City,Away,Premier League,2022,532,4231,0,0.7830278,0.7237814,0.369710036,0.037420951,8,1,12.5000,0.0000,6,3.885718252,2.1289205,0.226447389,1.756797641,17,9,20.1075,25,17.1755725,0.0241953,261,6,7,0,7,1,47.3636,0.0083,0.0055,9,7,1,0,0,0.082,2.8744,0.1697684,0.1455731,0.0241953
Nottingham Forest,6,Bournemouth,Home,Premier League,2022,3421,4231,2,1.325567399,0.4303094,0,0.113509098,11,3,27.2727,0.0000,3,1.05663823,0.6969644,0.083658285,0.359673769,8,3,34.1775,53,54.5081967,0.406037,486,8,22,0,27,2,13.08,0.0643,0.0504,8,13,2,0,0,1.6282,1.0498,0.6362244,0.2301874,0.406037
Nottingham Forest,7,Leeds United,Away,Premier League,2022,4321,4231,1,0.614076871,0.1808579,0,0.433218967,13,1,7.6923,0.0000,2,2.025288627,1.8211158,0.166886881,0.204172866,21,6,20.16,38,30.2681992,0.3844497,296,10,20,2,11,0,11.1724,0.333333333,0.138888889,11,13,4,0,0,0.4286,2.3858,0.3734006,-0.0110491,0.3844497
Nottingham Forest,8,Fulham,Home,Premier League,2022,3412,4231,2,1.534779733,0.6387268,0,0.835946351,11,3,27.2727,0.0000,3,1.417214198,1.0950251,0.117400155,0.156251186,15,7,23.52,41,33.17757,0.3699501,375,1,10,2,14,0,20.15,0.0355,0.0271,10,11,2,0,0,1.4282,1.2938,0.4795232,0.1095731,0.3699501
Nottingham Forest,9,Leicester City,Away,Premier League,2022,4231,4141,0,1.300041489,1.2390712,0,0.060970321,10,3,30.0000,0.0000,4,1.67325807,1.3563388,0,0.208976224,17,7,28.665,48,36.1502347,0.3263243,464,11,15,3,13,3,21.1765,0.0192,0.0093,11,12,4,0,0,1.1038,1.6342,0.3412462,0.0149219,0.3263243
Nottingham Forest,10,Aston Villa,Home,Premier League,2022,433,433,1,0.25309667,0.1912018,0,0.061894815,6,3,50.0000,0.0000,1,0.48144658,0.1913113,0,0.18809188,12,2,19.74,40,39.3939393,0.171997,333,9,9,1,12,0,28.8333,0.0468,0.0162,19,13,3,0,1,0.9686,1.4876,0.3177528,0.1457558,0.171997
