Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Southampton,1,Burnley,Home,Premier League,2018,3421,-1,0,0.88160327,0.6755809,0,0.206022278,18,3,16.6667,0.0000,0,1.385252632,0.8969916,0.104599111,0.409965767,16,6,25.095,48,43.9393939,0.4013559,369,8,21,2,20,2,16.1176,0.0399,0.0127,8,10,0,0,1,0.9578,1.7534,0.6694524,0.2680965,0.4013559
Southampton,2,Everton,Away,Premier League,2018,442,-1,1,1.731018769,1.0002195,0,0.699702062,15,4,26.6667,0.0000,2,2.249967065,1.5426045,0,0.707362445,13,7,27.51,42,38.5281385,0.4780377,299,4,17,0,16,2,12.1111,0.0906,0.088,8,20,5,0,0,0.8846,1.8608,0.5354393,0.0574016,0.4780377
Southampton,3,Leicester City,Home,Premier League,2018,442,-1,1,0.518511765,0.3672178,0,0.131451218,11,5,45.4545,0.0000,2,0.562009018,0.5181372,0,0.043871883,8,5,42.4725,52,56.6539923,0.4718418,447,10,21,0,28,2,9.697,0.0614,0.0433,11,13,1,1,0,1.224,1.329,0.696008,0.2241662,0.4718418
Southampton,4,Crystal Palace,Away,Premier League,2018,442,-1,2,3.015100931,2.2223782,0.254538238,0.010973815,19,6,31.5789,0.0000,0,2.218219601,1.9072794,0,0.310940262,20,6,26.25,49,45.1612903,0.39002,423,7,25,1,22,2,10.8966,0.0437,0.0214,10,12,1,0,3,1.745,1.028,0.5875039,0.1974839,0.39002
Southampton,5,Brighton and Hove Albion,Home,Premier League,2018,442,-1,2,2.26974259,0.5646017,0,0.888857812,14,5,35.7143,0.0000,2,1.890862211,0.3956783,0,0.713434905,12,4,35.4375,51,49.122807,0.3224155,468,9,17,2,13,4,11.129,0.0268,0.0129,13,10,2,0,1,1.4752,1.2316,0.4671044,0.1446889,0.3224155
Southampton,6,Liverpool,Away,Premier League,2018,4141,-1,0,0.299114594,0.2570829,0,0.042031709,7,1,14.2857,0.0000,3,1.660181567,0.5696674,0.125392839,1.033742361,13,4,20.16,39,42.6710097,0.3743871,479,1,16,2,14,6,25.0455,0.02,0.0175,7,10,2,0,0,0.221,2.6294,0.4608995,0.0865124,0.3743871
Southampton,7,Wolverhampton Wanderers,Away,Premier League,2018,442,-1,0,0.693209125,0.650911,0,0.018945567,17,6,35.2941,0.0000,2,1.283344546,1.0591979,0,0.148209901,14,6,30.555,51,52.4444444,0.5799605,444,7,24,2,18,3,13.16,0.0195,0.0129,11,7,1,0,0,0.8466,1.8702,0.6971102,0.1171497,0.5799605
Southampton,8,Chelsea,Home,Premier League,2018,3421,-1,0,1.301588205,1.2168785,0,0.042161057,15,6,40.0000,0.0000,3,3.099975666,1.9600169,0.377614945,1.139958829,21,6,20.16,35,29.1390728,0.4818181,346,2,14,0,11,2,13.0667,0.0048,0.0027,11,13,6,0,0,0.412,2.4358,0.4156121,-0.066206,0.4818181
Southampton,9,Bournemouth,Away,Premier League,2018,442,-1,0,0.519908269,0.4789969,0,0.013637713,8,4,50.0000,0.0000,0,0.796389107,0.6355714,0,0.160817701,0,2,35.91,43,51.1210762,0.4733708,346,3,12,0,18,2,10.9143,0.0239,0.0176,11,14,2,0,1,1.0292,1.5752,0.4345245,-0.0388463,0.4733708
Southampton,10,Newcastle United,Home,Premier League,2018,442,4411,0,1.09447,1.0350458,0,0.0594242,22,4,18.1818,0.0000,0,0.291806,0.2325283,0.086455636,0.0592778,6,0,31.29,50,59.2,0.5756361,405,9,28,0,31,2,12.7308,0.0239,0.015,11,9,0,0,1,2.0766,0.6078,0.7965492,0.2209131,0.5756361
Southampton,11,Manchester City,Away,Premier League,2018,4321,-1,1,2.169616396,1.0926996,0,0.295167729,13,6,46.1538,92.3077,6,2.834795618,2.6643869,0.151273817,0.031601004,19,8,23.7825,33,29.6969696,0.2699792,341,6,19,1,20,1,25.6111,0.0459,0.0426,12,9,1,0,0,0.9496,1.825,0.333208,0.0632288,0.2699792
Southampton,12,Watford,Home,Premier League,2018,4231,-1,1,1.301071913,0.6421659,0,0.658905892,14,4,28.5714,0.0000,1,1.231333459,1.19247,0,0.038863547,12,6,26.6175,42,41.5254237,0.3206924,305,9,19,0,17,1,9.5938,0.0438,0.041,13,13,3,0,1,1.4128,1.2862,0.4651329,0.1444405,0.3206924
Southampton,13,Fulham,Away,Premier League,2018,4231,-1,2,2.0019048,1.4225936,0,0.5793113,19,8,42.1053,0.0000,3,1.25725179,1.1867788,0.151234835,0.070473,10,5,34.65,63,60.0694444,0.6281676,600,10,32,0,33,6,11.625,0.0135,0.01,10,6,3,0,0,1.891,0.8662,0.886661,0.2584934,0.6281676
Southampton,14,Manchester United,Home,Premier League,2018,3412,532,2,0.651889733,0.4183028,0,0.044053376,16,6,37.5000,0.0000,2,0.969858374,0.8214625,0,0.148395749,11,5,30.03,40,57.9908675,0.3062442,358,9,20,3,13,5,13.6364,0.0199,0.0072,13,12,4,0,1,1.0364,1.6124,0.5340712,0.227827,0.3062442
Southampton,15,Tottenham Hotspur,Away,Premier League,2018,4231,-1,1,2.007008089,1.4743247,0.079022653,0.532683508,18,5,27.7778,0.0000,3,1.545764983,0.8420838,0.086378567,0.681129022,13,8,30.975,48,57.5971731,0.3885915,473,7,30,1,26,2,15.8462,0.225,0.2154,7,5,0,0,0,1.6748,1.0604,0.3585851,-0.0300064,0.3885915
Southampton,16,Cardiff City,Away,Premier League,2018,4321,-1,0,0.548970909,0.1324797,0,0.294129061,12,1,8.3333,0.0000,1,1.484553231,0.8501691,0.0321417,0.634384103,13,4,26.67,64,56.5400843,0.2910329,448,4,18,2,16,2,6.3214,0.0903,0.0768,7,10,2,0,0,0.6052,2.1448,0.4444937,0.1534608,0.2910329
Southampton,17,Arsenal,Home,Premier League,2018,3421,-1,3,1.294604,1.2022705,0.051841732,0.0923335,12,7,58.3333,0.0000,2,1.93131488,1.8750564,0.044944379,0.0562585,13,4,33.915,34,44.5945945,0.4943186,317,4,17,1,14,1,13.3077,0.0357,0.0312,9,12,3,0,3,0.8954,1.8512,0.6099269,0.1156083,0.4943186
Southampton,18,Huddersfield Town,Away,Premier League,2018,3421,-1,3,2.573831215,1.7169826,0.325467289,0.075099679,13,6,46.1538,0.0000,1,0.822112975,0.3217444,0,0.500368582,16,5,22.2075,38,42.7385892,0.6068148,329,13,22,2,5,1,16.913,0.0316,0.0199,11,9,3,0,3,2.5784,0.2888,0.6610209,0.0542061,0.6068148
Southampton,19,West Ham United,Home,Premier League,2018,3421,-1,1,2.3558483,2.333214,0,0.0226342,11,5,45.4545,0.0000,2,1.32984958,1.1871198,0.483085155,0.1427298,16,5,29.505,46,50.7575757,0.4218942,409,17,23,1,17,3,10.0571,0.156,0.0232,3,10,2,0,0,1.7904,0.9228,0.6204351,0.1985409,0.4218942
