Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Tottenham Hotspur,1,Newcastle United,Away,Premier League,2017,4231,4231,2,2.0545794,1.9491522,0,0.1054271,18,6,33.3333,0.0000,0,0.51884473,0.4574996,0,0.061345,0,2,28.14,73,73.090909,0.9697652,702,10,25,5,19,4,10.05,0.0663,0.058,6,10,2,0,3,2.5222,0.3202,1.1622867,0.1925215,0.9697652
Tottenham Hotspur,2,Chelsea,Home,Premier League,2017,4321,3511,1,0.599897616,0.4090144,0,0.190883093,18,6,33.3333,0.0000,2,0.781795293,0.6648918,0.124125205,0.033752419,9,2,36.645,68,72.3636363,0.5357186,592,16,30,0,37,4,9.0385,0.0638,0.02,20,14,4,0,0,1.1202,1.4736,0.7366178,0.2008992,0.5357186
Tottenham Hotspur,3,Burnley,Home,Premier League,2017,4231,4411,1,2.215874126,1.1180577,0,1.068426351,28,5,17.8571,0.0000,1,0.687673218,0.3930339,0,0.294639215,13,3,35.07,67,67.4825174,0.7570146,588,10,33,1,26,1,9.4348,0.0553,0.0222,9,9,0,0,1,2.4186,0.408,1.0748452,0.3178306,0.7570146
Tottenham Hotspur,4,Everton,Away,Premier League,2017,3511,4231,3,2.039035607,1.9362068,0,0.080265731,15,6,40.0000,0.0000,0,1.007336891,0.491524,0,0.515812866,12,1,27.195,49,56.5836298,0.6720818,458,10,23,0,17,1,11.7419,0.0221,0.0124,14,14,1,0,3,2.2118,0.5738,0.7825054,0.1104236,0.6720818
Tottenham Hotspur,5,Swansea City,Home,Premier League,2017,3511,352,0,1.187860898,0.8517876,0,0.292376116,26,8,30.7692,0.0000,0,0.177056557,0.0838639,0,0.093192596,4,0,39.165,75,83.7696335,0.8246592,757,7,30,1,42,6,8.1481,0.0289,0.0263,9,11,1,0,1,2.2598,0.4364,1.3065017,0.4818425,0.8246592
Tottenham Hotspur,6,West Ham United,Away,Premier League,2017,3511,343,3,1.548017291,1.3610477,0,0.132734081,15,5,33.3333,0.0000,2,0.652557816,0.24808,0,0.404477912,10,4,28.035,51,47.3933649,0.5194872,394,9,15,5,16,1,8.6667,0.0612,0.0545,10,20,2,1,3,2.0976,0.6462,0.8320428,0.3125556,0.5194872
Tottenham Hotspur,7,Huddersfield Town,Away,Premier League,2017,3421,4231,4,1.8206301,1.7519925,0.138484389,0.0686376,14,7,50.0000,0.0000,0,0.20915882,0.2091589,0,0,6,1,22.8375,60,52.6548672,0.6178081,558,12,34,0,16,2,16.2778,0.027,0.009,6,4,1,0,3,2.6098,0.235,0.8214971,0.203689,0.6178081
Tottenham Hotspur,8,Bournemouth,Home,Premier League,2017,4231,-1,1,1.944802454,1.7045322,0.541574299,0.128462527,18,6,33.3333,0.0000,0,0.19124445,0.1473193,0,0.043925103,5,1,47.775,73,75.4448398,1.1795725,688,8,33,0,32,6,6.0857,0.0418,0.0156,7,9,1,0,3,2.6712,0.2004,1.4662454,0.2866729,1.1795725
Tottenham Hotspur,9,Liverpool,Home,Premier League,2017,352,-1,4,2.4233049,1.5419105,0.481995672,0.8813944,14,6,42.8571,0.0000,1,0.60841298,0.5892836,0,0.0191293,12,7,24.675,36,30.8641975,0.5383699,359,6,14,3,11,0,27,0.0285,0.0216,8,2,0,0,3,2.5934,0.2774,0.7266145,0.1882446,0.5383699
Tottenham Hotspur,10,Manchester United,Away,Premier League,2017,3511,3412,0,0.972528446,0.8248459,0,0.147682503,13,4,30.7692,0.0000,1,1.125890622,1.0624103,0.068112947,0.041126542,11,3,23.31,55,52.6315789,0.6373408,509,8,18,2,17,5,11.2917,0.0312,0.0222,11,14,0,0,0,1.1572,1.5064,0.7907826,0.1534418,0.6373408
Tottenham Hotspur,11,Crystal Palace,Home,Premier League,2017,3511,442,1,1.0609033,0.6407428,0,0.4201605,12,2,16.6667,0.0000,0,0.9896014,0.5121626,0.398334224,0.4774388,11,3,27.615,68,67.6,0.6440688,583,7,25,1,30,3,8.75,0.0297,0.0253,6,6,0,0,3,1.4036,1.277,0.9943992,0.3503304,0.6440688
Tottenham Hotspur,12,Arsenal,Away,Premier League,2017,352,3421,0,1.060814003,1.0002494,0,0.060564583,14,4,28.5714,0.0000,2,2.191373823,2.093932,0.496691056,0.071477681,14,5,30.45,58,53.1772575,0.6595774,549,15,21,4,20,5,9.8,0.0544,0.0481,11,16,1,0,0,0.6024,2.184,0.8392204,0.179643,0.6595774
Tottenham Hotspur,13,West Bromwich Albion,Home,Premier League,2017,352,352,1,1.525242534,1.2261372,0,0.216107986,25,5,20.0000,0.0000,1,0.678724451,0.6138647,0,0.06485974,5,2,41.79,72,79.5180722,0.9157393,689,17,34,0,35,2,9.0769,0.112,0.0965,12,10,1,0,1,1.9818,0.7296,1.3924659,0.4767266,0.9157393
Tottenham Hotspur,14,Leicester City,Away,Premier League,2017,352,4411,1,2.8574077,2.4638673,0.360571176,0.3935404,18,6,33.3333,0.0000,2,0.74893344,0.4907426,0,0.2581908,7,4,30.87,63,71.4285714,0.9926267,561,10,33,4,27,5,9.4,0.0866,0.0788,7,10,2,0,0,2.6842,0.2104,1.2573232,0.2646965,0.9926267
Tottenham Hotspur,15,Watford,Away,Premier League,2017,4231,3421,1,0.729683596,0.6130074,0.103777949,0.045375387,8,2,25.0000,0.0000,1,0.248320953,0.0714261,0,0.176894896,6,2,25.62,50,45.7983193,0.4196447,404,7,12,5,15,3,11.1538,0.0659,0.0423,16,8,1,1,1,1.8958,0.7042,0.598658,0.1790133,0.4196447
Tottenham Hotspur,16,Stoke City,Home,Premier League,2017,4231,343,5,4.095822824,3.7502661,0.699675627,0.322484952,20,11,55.0000,0.0000,1,0.700907234,0.3031195,0,0.397787787,0,3,40.6875,71,67.6470588,1.3839358,657,5,38,8,26,3,6.4688,0.0699,0.0454,8,12,1,0,3,2.9208,0.0486,1.9162341,0.5322983,1.3839358
Tottenham Hotspur,17,Brighton and Hove Albion,Home,Premier League,2017,4231,451,2,2.49508049,1.6040724,0,0.80145411,25,8,32.0000,0.0000,0,0.344697005,0.2585263,0,0.086170759,7,4,50.925,75,77.4907749,0.6707481,749,11,37,1,26,4,8.2593,0.0768,0.0504,10,5,1,0,3,2.707,0.1882,1.0948994,0.4241513,0.6707481
Tottenham Hotspur,18,Manchester City,Away,Premier League,2017,41212,433,1,0.480802832,0.4581921,0,0.02261072,7,2,28.5714,0.0000,4,4.238921595,2.7545686,0.067617349,0.702604063,20,11,38.64,47,38.7234042,0.2471137,412,13,7,1,7,2,7.9,0.0539,0.0296,13,20,4,0,0,0.0242,2.96,0.3156808,0.0685671,0.2471137
Tottenham Hotspur,19,Burnley,Away,Premier League,2017,4231,4411,3,3.500183781,2.6801813,0.520393193,0.03825343,18,8,44.4444,0.0000,0,0.157291189,0.100695,0,0.056596182,5,2,30.87,60,59.090909,0.6407073,527,9,25,2,11,2,13.3182,0.1336,0.1239,10,10,2,0,3,2.956,0.0256,1.0041066,0.3633993,0.6407073
Tottenham Hotspur,20,Southampton,Home,Premier League,2017,4231,4141,5,2.861018878,2.0524125,0.79293248,0.786471102,16,7,43.7500,0.0000,2,0.681921265,0.5455506,0,0.13637059,16,6,26.6175,57,58.490566,1.4045243,493,15,25,4,9,5,9.2143,0.0355,0.0301,15,8,0,0,3,2.7278,0.1826,1.6667811,0.2622568,1.4045243
Tottenham Hotspur,21,West Ham United,Home,Premier League,2017,4231,3511,1,2.2875712,2.0885401,0,0.1990311,31,8,25.8065,0.0000,1,0.47755249,0.2608388,0,0.2167137,3,1,38.9025,71,77.2189349,1.0791338,669,13,43,4,27,1,7.6563,0.0791,0.0427,6,10,0,0,1,2.552,0.3008,1.5260944,0.4469606,1.0791338
Tottenham Hotspur,22,Swansea City,Away,Premier League,2017,4231,532,2,1.429806473,0.9770455,0.663886741,0.428666059,12,5,41.6667,0.0000,0,0.330739268,0.184569,0.027609037,0.069822102,8,1,30.975,68,78.1512605,0.9519848,675,6,27,1,18,7,8.875,0.1042,0.0798,11,9,2,0,3,2.3104,0.4474,1.2079818,0.255997,0.9519848
Tottenham Hotspur,23,Everton,Home,Premier League,2017,4231,4231,4,4.1201374,4.0931078,0,0.0270296,20,10,50.0000,0.0000,0,0.32096686,0.2061874,0,0.1147794,7,0,31.815,62,62.3655913,0.591505,579,18,24,3,18,6,9.4839,0.1439,0.1364,15,11,0,0,3,2.9672,0.02,0.9089231,0.3174181,0.591505
Tottenham Hotspur,24,Southampton,Away,Premier League,2017,4231,4231,1,1.280343,0.7704651,0,0.5098779,17,2,11.7647,94.1176,1,1.01224639,0.7410093,0,0.2712372,11,4,34.23,59,57.6470588,0.6482645,491,7,39,1,24,3,9.1034,0.072,0.0629,7,15,3,0,1,1.5372,1.1568,0.7619286,0.1136641,0.6482645
