Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Watford,1,Liverpool,Home,Premier League,2017,433,-1,3,2.182184669,0.8294454,0,1.352739349,9,4,44.4444,0.0000,3,2.346437798,1.4426583,0,0.122030467,14,5,34.125,46,52.34375,0.3457303,395,11,11,2,16,2,12.5161,0.0366,0.0324,8,14,0,0,1,1.1734,1.5394,0.4075971,0.0618668,0.3457303
Watford,2,Bournemouth,Away,Premier League,2017,433,4411,2,1.941899938,1.7574191,0,0.184480686,19,7,36.8421,0.0000,0,1.023459574,0.722623,0,0.300836602,6,2,28.0875,44,46.2686567,0.6785093,338,9,34,1,20,3,11.5714,0.019,0.0158,6,14,3,0,3,2.0746,0.6844,0.7307931,0.0522838,0.6785093
Watford,3,Brighton and Hove Albion,Home,Premier League,2017,433,-1,0,0.209582682,0.1056645,0,0.10391825,8,0,0.0000,0.0000,0,0.724066197,0.3411493,0,0.284274044,16,2,14.07,42,45.9677419,0.2672956,334,8,13,0,11,1,29,0.024,0.0143,18,7,0,1,1,0.7348,1.822,0.3865349,0.1192393,0.2672956
Watford,4,Southampton,Away,Premier League,2017,4231,4231,2,0.537609355,0.2823562,0,0.203144953,12,3,25.0000,0.0000,0,0.30415242,0.167432,0,0.136720397,9,1,24.99,47,44.6640316,0.2795487,384,10,19,0,9,2,13.7826,0.0513,0.0486,8,11,0,0,3,1.5122,0.9878,0.3252911,0.0457424,0.2795487
Watford,5,Manchester City,Home,Premier League,2017,4231,-1,0,0.938185228,0.0666894,0,0.871495776,7,1,14.2857,0.0000,6,3.607130394,2.3469258,0.070324145,0.478455526,28,10,20.265,33,23.9382239,0.2770046,312,11,10,1,10,4,29.0667,0.0332,0.0011,6,8,2,0,0,0.1188,2.8212,0.3403,0.0632954,0.2770046
Watford,6,Swansea City,Away,Premier League,2017,4231,-1,2,1.140490428,1.1404905,0,0,8,4,50.0000,0.0000,1,1.634412824,1.2328038,0,0.315823976,10,3,23.94,49,49.7409326,0.3283554,433,12,21,0,12,1,11.1935,0.0314,0.0067,8,16,3,0,3,0.9494,1.751,0.2954065,-0.0329489,0.3283554
Watford,7,West Bromwich Albion,Away,Premier League,2017,4231,4231,2,1.6379512,1.2324675,0,0.4054837,15,3,20.0000,0.0000,2,2.20713879,0.9828868,0.619708806,1.224252,9,4,27.0375,65,65.1340996,0.965957,552,9,23,0,27,1,10.4167,0.09,0.0391,12,11,0,0,1,0.8774,1.8746,1.3729151,0.4069581,0.965957
Watford,8,Arsenal,Home,Premier League,2017,343,-1,2,1.945301588,1.1635526,0,0,11,2,18.1818,0.0000,1,1.006791588,0.8967237,0,0.110067893,9,6,26.04,46,48.1228668,0.3386133,465,6,22,1,19,2,19.0476,0.0335,0.0315,9,8,1,0,3,2.133,0.6246,0.5583743,0.219761,0.3386133
Watford,9,Chelsea,Away,Premier League,2017,343,343,2,1.888338685,1.2167458,0,0.646343907,16,5,31.2500,0.0000,4,1.627056548,1.3472378,0,0.279818743,14,8,37.065,48,47.9838709,0.6725789,406,5,28,0,22,6,10.3824,0.0138,0.0066,13,16,3,0,0,1.5672,1.179,0.760161,0.0875821,0.6725789
Watford,10,Stoke City,Home,Premier League,2017,4231,-1,0,1.064901086,0.6771371,0,0.387763851,15,0,0.0000,0.0000,1,1.177628277,0.8722398,0.313560605,0.30538851,6,2,38.535,70,74.9019607,1.3374816,561,11,34,0,30,4,9.7826,0.0713,0.0489,9,10,4,0,0,1.2088,1.4812,1.5282145,0.1907329,1.3374816
