Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
West Ham United,1,Manchester United,Away,Premier League,2017,4231,4231,0,0.8579225,0.5858415,0,0.272081,9,1,11.1111,0.0000,4,2.34519441,1.9636766,0.506105006,0.3815178,21,5,23.625,45,42.1052631,0.5500718,397,3,12,1,14,2,13.4,0.0157,0.0084,19,7,2,0,0,0.4476,2.3706,0.6369285,0.0868567,0.5500718
West Ham United,2,Southampton,Away,Premier League,2017,4231,4231,2,1.529516364,1.3106603,0,0.218856114,16,8,50.0000,0.0000,3,2.099186127,0.5356882,0,0,14,5,21.6825,34,32.5174825,0.1999134,287,6,14,1,18,0,24.6667,0.0125,0.005,18,10,1,1,0,0.7758,1.9674,0.2863341,0.0864207,0.1999134
West Ham United,3,Newcastle United,Away,Premier League,2017,4231,4231,0,0.43446263,0.4106046,0,0,8,3,37.5000,0.0000,3,2.763829671,2.7082119,0,0.055617738,17,8,29.19,62,43.2291666,0.1098064,473,8,10,0,15,1,8.6818,0.0263,0.0156,16,11,3,0,0,0.1118,2.8118,0.1658359,0.0560295,0.1098064
West Ham United,4,Huddersfield Town,Home,Premier League,2017,343,4231,2,1.985181495,0.7053218,0,1.213375961,19,3,15.7895,0.0000,0,0.332223463,0.2995248,0,0.032698712,10,2,35.595,44,56.7839195,0.3314349,311,4,15,0,32,0,10.3235,0.0452,0.015,12,11,1,0,3,2.6284,0.235,0.3489613,0.0175264,0.3314349
West Ham United,5,West Bromwich Albion,Away,Premier League,2017,343,4231,0,0.2623565,0.1877236,0,0.0746329,9,1,11.1111,0.0000,0,0.61106326,0.5180799,0,0.0929834,6,1,29.715,63,60.4519774,0.1731759,487,5,9,1,33,1,11.6,0.0296,0.0193,14,7,2,0,1,0.8688,1.662,0.3746197,0.2014438,0.1731759
West Ham United,6,Tottenham Hotspur,Home,Premier League,2017,343,3511,2,0.652557816,0.24808,0,0.404477912,10,4,40.0000,0.0000,3,1.548017291,1.3610477,0,0.132734081,15,5,35.49,49,52.606635,0.271502,367,6,18,2,26,1,8.4103,0.0257,0.016,20,10,4,0,0,0.6462,2.0976,0.3506949,0.0791929,0.271502
West Ham United,7,Swansea City,Home,Premier League,2017,442,4312,1,0.852854754,0.8183711,0,0.034483674,9,4,44.4444,0.0000,0,0.219978357,0.1733542,0,0,6,1,32.97,43,45.4545454,0.0959548,375,6,14,0,26,2,12.5313,0.0051,0.003,13,15,3,0,3,1.9374,0.6642,0.2231695,0.1272147,0.0959548
West Ham United,8,Burnley,Away,Premier League,2017,442,-1,1,0.893814469,0.8938145,0,0,8,6,75.0000,0.0000,1,1.051504408,0.7547683,0,0.153311672,20,5,22.155,38,36.1623616,0.2905377,285,6,9,0,10,3,14.9,0.0407,0.0166,9,14,2,1,1,1.2454,1.4272,0.4788685,0.1883308,0.2905377
West Ham United,9,Brighton and Hove Albion,Home,Premier League,2017,4231,442,0,0.63308039,0.4008439,0,0.132212968,16,2,12.5000,0.0000,3,1.843807255,0.7866572,0,0.275401142,7,5,40.635,65,72.6495726,0.5857468,604,8,26,0,39,3,14.15,0.0968,0.0917,13,5,1,0,0,0.4436,2.3738,0.8668594,0.2811126,0.5857468
West Ham United,10,Crystal Palace,Away,Premier League,2017,352,442,2,0.668840583,0.4553923,0,0.213448238,6,2,33.3333,0.0000,2,2.845782521,0.4544374,0,1.54203444,20,9,23.3625,44,39.4957983,0.3321088,331,15,15,0,17,0,13.8636,0.0566,0.0421,18,15,2,0,1,0.1654,2.7454,0.3448627,0.0127539,0.3321088
