Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Wolverhampton Wanderers,1,Leicester City,Away,Premier League,2021,343,4231,0,1.2869055,1.2542877,0.573621208,0.0326178,17,3,17.6471,0.0000,1,0.51187838,0.5118783,0.09622255,0,9,5,26.1975,44,48.275862,0.4253029,443,21,29,2,16,3,21.8636,0.0121,0.01,6,10,2,0,0,2.0692,0.6478,0.9012179,0.475915,0.4253029
Wolverhampton Wanderers,2,Tottenham Hotspur,Home,Premier League,2021,343,433,0,1.730322841,1.5370033,0.580622673,0.193319467,25,6,24.0000,0.0000,1,1.829838173,0.9948852,0,0.053203989,8,6,39.27,58,71.3114754,0.5707404,470,19,38,5,35,1,8.5882,0.1266,0.082,7,9,1,0,0,1.0426,1.657,0.7959408,0.2252004,0.5707404
Wolverhampton Wanderers,3,Manchester United,Home,Premier League,2021,343,4231,0,2.511469377,1.7547095,0.855839413,0.756759832,15,6,40.0000,0.0000,1,0.655745771,0.1592969,0,0.453402303,10,3,23.625,44,43.319838,0.4664553,427,14,21,1,18,1,23.2222,0.0207,0.0174,9,7,3,0,0,2.6004,0.27,0.7035218,0.2370665,0.4664553
Wolverhampton Wanderers,4,Watford,Away,Premier League,2021,343,4141,2,2.571777072,2.1515611,0.450546235,0.367681477,14,5,35.7143,0.0000,0,0.179053456,0.138203,0,0.040850397,6,2,38.4825,56,55.5555555,0.758781,485,19,23,2,15,1,8.1842,0.0256,0.0104,13,13,3,0,3,2.8852,0.067,1.1605948,0.4018138,0.758781
Wolverhampton Wanderers,5,Brentford,Home,Premier League,2021,343,352,0,1.135643509,1.0715131,0,0.011891029,11,0,0.0000,0.0000,2,2.223758447,1.4420095,0,0,9,3,35.07,62,67.5675675,0.3054493,519,20,26,3,23,0,12.0455,0.0141,0.0057,6,10,4,0,0,0.5828,2.2082,0.7056303,0.400181,0.3054493
Wolverhampton Wanderers,6,Southampton,Away,Premier League,2021,343,442,1,0.805189822,0.7404794,0,0.078778826,5,3,60.0000,0.0000,0,1.132971515,1.0987581,0,0.010590491,18,6,19.95,43,42.7561837,0.3119224,383,8,18,0,6,1,20.75,0.0512,0.0203,11,8,0,0,3,1.0756,1.5874,0.596356,0.2844336,0.3119224
Wolverhampton Wanderers,7,Newcastle United,Home,Premier League,2021,343,4141,2,0.954651112,0.9546512,0.479390055,0,7,3,42.8571,0.0000,1,0.819988471,0.6840576,0,0.083484273,8,2,27.4575,52,45.4545454,0.244593,460,13,11,2,5,0,12.625,0.0334,0.0242,5,15,0,0,3,1.4516,1.1786,0.5062182,0.2616252,0.244593
Wolverhampton Wanderers,8,Aston Villa,Away,Premier League,2021,3421,3412,3,2.181154733,0.4232502,0,1.362876313,9,4,44.4444,0.0000,2,1.501269627,1.4684427,0,0.03282702,14,5,34.2825,52,54.5064377,0.8300429,415,8,21,2,21,2,10.0313,0.0333,0.0249,8,17,3,0,3,1.85,0.9176,0.9979446,0.1679017,0.8300429
Wolverhampton Wanderers,9,Leeds United,Away,Premier League,2021,3421,4411,1,0.851977779,0.6981472,0.102451116,0.039800849,8,4,50.0000,0.0000,1,1.625634801,0.6178265,0,0.226059304,18,4,22.9425,37,33.3333333,0.224286,293,11,11,1,5,1,15.4348,0.2398,0.2352,15,14,3,0,1,0.651,2.0646,0.2755052,0.0512192,0.224286
Wolverhampton Wanderers,10,Everton,Home,Premier League,2021,3421,442,2,1.881086262,1.3074072,0,0.518418271,10,4,40.0000,0.0000,1,1.631106278,1.2084907,0.104467541,0.4226154,14,5,31.7625,62,54.1125541,0.5845415,617,18,20,1,9,1,9.8214,0.0207,0.0145,8,10,1,0,3,1.5812,1.1594,0.8180015,0.23346,0.5845415
Wolverhampton Wanderers,11,Crystal Palace,Away,Premier League,2021,3421,433,0,0.253004862,0.1000748,0,0.087840071,4,2,50.0000,0.0000,2,2.713519219,2.6245511,0,0.088968214,13,6,29.5575,40,39.047619,0.1661139,360,9,19,1,10,4,16.8077,0.0283,0.0218,13,13,1,0,0,0.073,2.872,0.2197335,0.0536196,0.1661139
Wolverhampton Wanderers,12,West Ham United,Home,Premier League,2021,3421,4231,1,1.2155662,0.8294098,0.051915642,0.3861564,15,5,33.3333,0.0000,0,0.33784203,0.2726821,0,0.0651599,8,3,25.9875,52,47.8260869,0.5328741,530,14,20,3,25,0,24.2667,0.0148,0.014,8,6,1,0,3,2.1272,0.5834,0.6981456,0.1652715,0.5328741
Wolverhampton Wanderers,13,Norwich City,Away,Premier League,2021,343,4141,0,0.262397014,0.2360393,0,0.026357757,5,2,40.0000,0.0000,0,1.341140331,1.2481492,0,0.058340542,14,4,24.3075,57,42.2924901,0.2276989,601,9,17,1,9,1,16.2632,0.0072,0.0052,11,10,2,0,1,0.4216,2.3338,0.4198299,0.192131,0.2276989
Wolverhampton Wanderers,14,Burnley,Home,Premier League,2021,343,442,0,0.7114433,0.7114433,0.108858101,0,16,2,12.5000,0.0000,0,0.53028141,0.4317012,0,0.0985802,6,1,32.34,65,67.7419354,0.4729533,589,18,34,0,27,4,8.6,0.0524,0.0443,6,5,2,0,1,1.4502,1.1466,0.8204,0.3474467,0.4729533
Wolverhampton Wanderers,15,Liverpool,Home,Premier League,2021,343,433,0,0.0927438,0.0927438,0,0,3,1,33.3333,0.0000,1,2.13041447,1.4268014,0,0.703613,17,5,19.32,33,21.7241379,0.130963,320,10,10,2,7,1,32.5,0.0106,0.0073,7,4,2,0,0,0.1114,2.7994,0.2523358,0.1213728,0.130963
