Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Ajaccio,,GFC Ajaccio,Away,Ligue 2,2017,4231,4231,1,0,0,0,0,7,4,57.1429,0.0000,0,0,0,0,0,8,0,0,51,49.2957746,0,296,12,0,1,19,0,0,0,0,18,19,3,0,3,0,0,0,0,0
Ajaccio,,Orléans,Home,Ligue 2,2017,4411,451,1,0,0,0,0,11,1,9.0909,0.0000,1,0,0,0,0,8,0,0,53,62.4413145,0,351,4,0,1,34,0,0,0,0,22,17,2,0,1,0,0,0,0,0
Ajaccio,,Paris FC,Away,Ligue 2,2017,4411,433,1,0,0,0,0,8,3,37.5000,0.0000,2,0,0,0,0,9,0,0,57,49.4565217,0,484,9,0,2,17,0,0,0,0,8,14,4,0,0,0,0,0,0,0
Ajaccio,,Tours,Home,Ligue 2,2017,4231,4141,2,0,0,0,0,12,4,33.3333,0.0000,1,0,0,0,0,11,0,0,56,66.0550458,0,402,13,0,0,29,0,0,0,0,23,15,1,0,3,0,0,0,0,0
Ajaccio,,Nîmes,Away,Ligue 2,2017,4231,442,1,0,0,0,0,8,5,62.5000,0.0000,1,0,0,0,0,14,0,0,34,36.3247863,0,263,8,0,0,7,0,0,0,0,12,21,2,1,1,0,0,0,0,0
Ajaccio,,Lorient,Home,Ligue 2,2017,4231,4231,3,0,0,0,0,13,6,46.1538,0.0000,2,0,0,0,0,12,0,0,53,60.7142857,0,417,5,0,1,26,0,0,0,0,15,16,1,0,3,0,0,0,0,0
Ajaccio,,Valenciennes,Away,Ligue 2,2017,4231,442,0,0,0,0,0,13,2,15.3846,0.0000,2,0,0,0,0,10,0,0,57,64.5833333,0,453,6,0,0,28,0,0,0,0,13,17,4,0,0,0,0,0,0,0
Ajaccio,,Sochaux,Home,Ligue 2,2017,4231,4141,3,0,0,0,0,13,6,46.1538,292.3077,2,0,0,0,0,11,0,0,41,43.75,0,302,14,0,1,14,0,0,0,0,13,8,2,1,3,0,0,0,0,0
Ajaccio,,Bourg-en-Bresse,Away,Ligue 2,2017,4231,4231,4,0,0,0,0,6,3,50.0000,0.0000,5,0,0,0,0,12,0,0,60,54.2056074,0,415,13,0,0,14,0,0,0,0,13,17,4,0,0,0,0,0,0,0
Ajaccio,,Quevilly Rouen,Home,Ligue 2,2017,4231,4231,2,0,0,0,0,6,3,50.0000,0.0000,0,0,0,0,0,7,0,0,51,48.9795918,0,426,11,0,0,15,0,0,0,0,7,8,1,0,3,0,0,0,0,0
