Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Angers,1,Strasbourg,Away,Ligue 1,2021,3412,442,2,1.2646831,0.8368577,0,0.4278254,9,2,22.2222,0.0000,0,0.29154356,0.2810874,0,0.0104561,7,1,27.405,43,40.1785714,0.340357,391,9,18,1,9,2,14.5185,0.0291,0.0112,14,18,3,0,3,2.2724,0.4598,0.6905126,0.3501556,0.340357
Angers,2,Lyon,Home,Ligue 1,2021,3412,433,3,1.370670471,0.876692,0,0.456640869,13,6,46.1538,0.0000,0,0.899458145,0.8430057,0,0.056452401,8,3,36.855,42,53.0805687,0.4007538,365,17,24,3,17,1,12.0909,0.0437,0.0365,17,11,1,0,3,1.737,0.9726,0.8066577,0.4059039,0.4007538
Angers,3,Bordeaux,Away,Ligue 1,2021,3412,532,1,0.85081453,0.8140141,0.292158246,0.036800362,6,3,50.0000,0.0000,1,0.689615322,0.5741133,0,0.036716804,14,5,25.095,47,35.3260869,0.2090159,451,9,10,1,10,2,17.6522,0.0575,0.0254,19,5,0,0,1,1.4994,1.1436,0.339634,0.1306181,0.2090159
Angers,4,Rennes,Home,Ligue 1,2021,3412,4231,2,2.477562696,2.3337535,0.08897575,0.081246745,16,4,25.0000,0.0000,0,0.975665039,0.742501,0.643429399,0.210402437,7,2,32.76,53,53.2818532,0.4096426,537,7,31,1,25,1,15.7391,0.0509,0.0446,10,14,1,0,3,2.4306,0.3942,0.6826966,0.273054,0.4096426
Angers,5,Brest,Away,Ligue 1,2021,3412,4231,1,1.081286019,0.2068012,0,0.092735875,8,2,25.0000,0.0000,1,1.469174978,0.6372325,0,0.050193485,12,6,29.19,51,40.776699,0.2825157,496,13,11,0,14,2,13.3846,0.0145,0.007,18,9,2,0,1,0.9606,1.665,0.5307171,0.2482014,0.2825157
Angers,6,Nantes,Home,Ligue 1,2021,343,4231,1,0.527053038,0.4338727,0,0.058093362,10,5,50.0000,0.0000,4,2.54773762,1.4090294,0,0.35695924,0,4,31.29,66,63.0434782,0.5360215,568,11,21,0,19,5,9.5417,0.0499,0.0399,15,10,2,0,0,0.1652,2.7476,0.7649096,0.2288881,0.5360215
Angers,7,Marseille,Home,Ligue 1,2021,3412,343,0,0.3219021,0.2555138,0,0.0663883,9,1,11.1111,0.0000,0,0.5989541,0.5024242,0,0.09653,6,1,32.76,40,40.1544401,0.3420167,468,14,15,2,13,1,15.0294,0.0162,0.0118,6,9,1,0,1,0.919,1.609,0.4743233,0.1323066,0.3420167
Angers,8,Troyes,Away,Ligue 1,2021,3412,3421,1,1.304788825,0.3410164,0,0.182023358,17,6,35.2941,0.0000,1,1.230524097,1.2305241,0.418189049,0,6,3,45.15,63,72.3756906,0.3758187,563,9,14,1,24,1,8.9063,0.0384,0.0263,9,8,2,0,1,1.4292,1.2258,0.6358427,0.260024,0.3758187
Angers,9,Metz,Home,Ligue 1,2021,3412,451,3,2.120450374,0.9871134,0,1.065022895,18,5,27.7778,0.0000,2,0.774743021,0.3797464,0,0.394996643,0,2,47.67,58,60.6796116,0.513013,563,5,25,2,26,0,9.125,0.06,0.0382,10,16,1,0,3,2.4,0.411,0.9843632,0.4713502,0.513013
Angers,10,Paris Saint-Germain,Away,Ligue 1,2021,3412,433,1,1.101810966,1.0102606,0,0.091550339,7,2,28.5714,0.0000,2,2.271890667,0.9191045,0,0.49498749,13,2,24.7275,27,19.1011235,0.1583308,260,9,16,0,13,2,22.3684,0.0029,0.0006,8,10,2,0,0,0.5312,2.255,0.409036,0.2507052,0.1583308
