Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Auxerre,1,Sochaux,Home,Ligue 2,2020,4231,4231,0,0.180605002,0.1023196,0,0.078285404,3,1,33.3333,0.0000,2,1.371178487,1.1669841,0,0.138500947,17,4,32.865,53,49.4023904,0.3932028,515,6,8,0,12,4,9.3889,0.0435,0.0265,9,18,2,1,0,0.3618,2.3976,0.4553971,0.0621943,0.3932028
Auxerre,2,Châteauroux,Away,Ligue 2,2020,433,433,2,1.645050859,1.565902,0.120327607,0.079148876,20,8,40.0000,0.0000,1,0.579881895,0.4231825,0.05122849,0.079885834,13,3,35.07,58,55.1724137,0.5596615,512,7,23,0,23,6,10,0.0318,0.0128,11,11,1,0,3,2.248,0.5254,0.770874,0.2112125,0.5596615
Auxerre,3,Clermont,Home,Ligue 2,2020,433,4231,0,0.1777526,0.1476649,0,0.0300877,7,1,14.2857,0.0000,1,0.99668539,0.9966854,0,0,14,3,27.51,48,57.3221757,0.4349873,498,21,12,0,15,2,16.75,0.0471,0.0039,8,16,0,0,0,0.5302,2.1286,0.5674094,0.1324221,0.4349873
Auxerre,4,Troyes,Home,Ligue 2,2020,4231,433,2,0.64234782,0.5169771,0.016039686,0.125370832,9,3,33.3333,0.0000,1,2.002545487,1.5501314,0,0.407900445,19,5,27.93,36,35.7723577,0.3513868,296,9,12,2,12,3,11.9355,0.0886,0.0555,12,19,1,0,3,0.3692,2.4536,0.4776815,0.1262947,0.3513868
Auxerre,5,Toulouse,Away,Ligue 2,2020,442,352,1,1.84314468,1.3816963,0.337646186,0.384762805,18,4,22.2222,0.0000,3,2.478428623,1.5306679,0.471066494,0.166011829,16,7,30.87,55,56.4444444,0.2538035,370,10,15,0,26,5,5.9268,0.1013,0.0106,23,20,1,0,0,0.9226,1.8532,0.6152076,0.3614041,0.2538035
Auxerre,6,Ajaccio,Home,Ligue 2,2020,4141,442,5,2.682516542,0.9745294,0,0.144489123,13,8,61.5385,0.0000,1,0.756047809,0.6015538,0,0.154494062,12,2,23.4675,45,49.21875,0.2051405,369,7,24,1,16,4,11.5556,0.0244,0.0114,16,11,2,0,3,2.6738,0.2192,0.4100671,0.2049266,0.2051405
Auxerre,7,Guingamp,Away,Ligue 2,2020,4231,442,0,0.495646764,0.4002589,0,0.095388021,11,1,9.0909,0.0000,2,1.251504852,1.1544168,0,0.097087985,10,7,39.27,61,65.3136531,0.4945146,596,3,21,0,32,3,13.4583,0.1147,0.0118,5,10,2,0,0,0.659,2.0642,0.8229693,0.3284547,0.4945146
Auxerre,8,Chambly,Home,Ligue 2,2020,4141,532,4,2.309263205,1.8329874,0,0.476275727,10,5,50.0000,0.0000,0,0.568016464,0.5037788,0,0.024557978,11,6,36.9075,62,61.3207547,0.3244152,526,6,22,2,18,0,8.8438,0.0189,0.0097,13,14,1,0,3,2.6106,0.252,0.7036527,0.3792375,0.3244152
Auxerre,9,Rodez,Away,Ligue 2,2020,4141,352,2,1.536351078,0.6448446,0,0.044240795,11,3,27.2727,0.0000,2,1.213427159,1.0476067,0,0.16582033,13,5,29.4,62,65.7777777,0.4557041,511,5,17,0,15,7,11.5238,0.0878,0.0234,14,8,2,0,1,1.6866,1.0086,0.582811,0.1271069,0.4557041
Auxerre,10,Amiens,Home,Ligue 2,2020,4141,4141,2,2.360870111,1.8844433,0,0.476426892,18,8,44.4444,0.0000,1,0.421191646,0.1162356,0,0.212831661,9,2,27.51,60,53.9419087,0.7226968,505,8,27,1,21,6,7.8438,0.0558,0.0151,21,21,3,0,3,2.6386,0.2362,0.7945338,0.071837,0.7226968
