Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Bordeaux,1,Clermont,Home,Ligue 1,2021,4231,4231,0,0.5910633,0.494815,0,0.0962483,10,6,60.0000,0.0000,2,3.20442909,2.6628752,0.471487969,0.541554,19,10,32.655,44,44.6236559,0.2763852,439,6,12,1,18,3,11.8378,0.0456,0.0055,9,13,1,0,0,0.1336,2.7928,0.3451424,0.0687572,0.2763852
Bordeaux,2,Marseille,Away,Ligue 1,2021,532,3241,2,0.386762183,0.3086912,0.026803073,0.078071013,8,2,25.0000,0.0000,2,1.066138528,0.9114956,0,0.024956739,10,2,36.75,32,29.245283,0.2257642,327,4,14,2,14,1,17.5172,0.0248,0.0049,6,11,2,0,1,0.6932,1.976,0.269777,0.0440128,0.2257642
Bordeaux,3,Angers,Home,Ligue 1,2021,532,3412,1,0.689615322,0.5741133,0,0.036716804,14,5,35.7143,0.0000,1,0.85081453,0.8140141,0.292158246,0.036800362,6,3,47.355,53,64.673913,0.6146638,505,10,20,2,26,6,8.3913,0.0865,0.0248,4,19,2,0,1,1.1436,1.4994,0.8073398,0.192676,0.6146638
Bordeaux,4,Nice,Away,Ligue 1,2021,532,442,0,0.914772334,0.7815382,0,0.100501249,13,4,30.7692,0.0000,4,2.313243759,1.4700743,0.454881772,0.061420482,11,5,37.065,57,57.8947368,0.4119179,520,10,13,1,15,2,14.5909,0.0192,0.0093,18,11,2,0,0,0.4124,2.423,0.6164631,0.2045452,0.4119179
Bordeaux,5,Lens,Home,Ligue 1,2021,4132,3412,2,0.942824059,0.2353298,0,0.655437056,10,3,30.0000,0.0000,3,2.842330349,1.1934041,0.017389985,0.867177218,13,5,29.295,55,55.8375634,0.4221893,508,8,15,0,8,2,14.3478,0.0363,0.0152,11,8,3,0,0,0.2674,2.611,0.6031513,0.180962,0.4221893
Bordeaux,6,St Etienne,Away,Ligue 1,2021,532,3421,2,1.9652163,1.9314555,0,0.0337608,13,3,23.0769,0.0000,1,1.48931779,1.4377427,0.445824087,0.051575,12,5,28.6125,45,42.0792079,0.4940866,355,20,25,1,10,2,10.4333,0.0279,0.0199,8,12,4,0,3,1.7766,0.9492,0.6431549,0.1490683,0.4940866
Bordeaux,7,Montpellier,Away,Ligue 1,2021,3421,4231,3,1.2890003,0.8383465,0.124172222,0.4506537,15,7,46.6667,0.0000,3,1.409776,1.2836508,0,0.1261253,15,6,23.31,45,43.0894308,0.4710439,408,24,21,3,16,2,15.0417,0.0226,0.0109,10,8,2,0,1,1.2576,1.4556,0.6909344,0.2198905,0.4710439
Bordeaux,8,Rennes,Home,Ligue 1,2021,3421,442,1,0.743158837,0.2365074,0,0.419121377,10,3,30.0000,0.0000,1,1.518709645,1.4018312,0.115411624,0.116878482,18,8,30.9225,46,45.8333333,0.1679532,326,10,12,4,22,1,12.8333,0.0284,0.0171,20,6,1,0,1,0.7484,1.9862,0.2855798,0.1176266,0.1679532
Bordeaux,9,Monaco,Away,Ligue 1,2021,3421,4231,0,0.877375045,0.8647417,0,0.012633384,4,1,25.0000,0.0000,3,1.646458815,0.6957943,0.147178635,0.096075069,12,4,27.93,43,31.7307692,0.293446,360,15,9,1,9,0,11.8571,0.0247,0.0175,12,13,1,0,0,0.55,2.1208,0.392989,0.099543,0.293446
Bordeaux,10,Nantes,Home,Ligue 1,2021,4132,4231,1,0.521806922,0.4431431,0,0.078663826,8,1,12.5000,0.0000,1,1.081189387,0.8973758,0.121194527,0.1280137,13,7,25.725,60,50.7614213,0.3207696,490,14,14,0,15,1,14.4444,0.0406,0.0378,15,10,2,0,1,0.7902,1.89,0.541194,0.2204244,0.3207696
Bordeaux,11,Lorient,Away,Ligue 1,2021,4132,532,1,0.916163644,0.6759787,0.332729965,0.162436031,11,5,45.4545,0.0000,1,2.021862164,1.402347,0,0.576029267,15,4,22.2075,46,48.031496,0.5590211,447,13,15,3,11,5,15.04,0.0339,0.0267,11,13,2,1,1,0.6004,2.1988,0.7283076,0.1692865,0.5590211
