Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Brest,1,Lens,Away,Ligue 1,2022,442,3421,2,1.45433844,0.316191,0,0.356398463,6,4,66.6667,0.0000,3,3.514714076,2.0101616,0,0.722803512,0,7,35.175,38,47.027027,0.2349877,297,5,15,0,11,1,16.76,0.021,0.0093,15,14,4,0,0,0.2802,2.604,0.2291614,-0.0058263,0.2349877
Brest,2,Marseille,Home,Ligue 1,2022,433,3421,1,1.8367509,1.5473856,0,0.2893652,17,5,29.4118,0.0000,1,1.00337907,0.6432411,0,0.360138,5,2,40.95,47,58.9861751,0.3562506,397,3,23,0,29,3,10.4359,0.074,0.051,15,10,1,0,1,2.0532,0.684,0.5243361,0.1680855,0.3562506
Brest,3,Angers,Away,Ligue 1,2022,433,4231,3,2.280426174,1.4860679,0,0.794358298,11,7,63.6364,0.0000,1,1.064019233,0.8772269,0,0,7,5,31.605,50,55.8704453,0.6563464,488,11,25,0,21,3,17.6087,0.0109,0.0082,9,10,0,0,3,2.1082,0.673,1.0582491,0.4019027,0.6563464
Brest,4,Montpellier,Home,Ligue 1,2022,433,4231,0,0.189996909,0.0531248,0,0.114201984,6,0,0.0000,0.0000,7,2.272821397,1.8144699,0.248323895,0.458351556,14,8,51.24,52,59.5505617,0.4569202,380,4,12,0,17,0,9.2571,0.0296,0.0158,16,15,0,1,0,0.1344,2.775,0.4676367,0.0107165,0.4569202
Brest,5,Rennes,Away,Ligue 1,2022,4231,433,1,0.2660128,0.193157,0,0.072855841,7,2,28.5714,0.0000,3,1.480518336,1.2964432,0,0.18407508,16,9,23.625,35,36.5771812,0.1892354,339,2,9,1,15,1,15.5,0.0113,0.007,10,6,0,0,0,0.3912,2.376,0.2465601,0.0571821,0.1892354
Brest,6,Strasbourg,Home,Ligue 1,2022,4231,352,1,0.823575115,0.4962301,0,0.327345021,11,2,18.1818,0.0000,1,2.319956838,1.4471865,0.690006792,0,10,3,34.965,59,52.0491803,0.3181517,485,3,16,2,35,3,7.7742,0.032,0.0247,9,15,3,0,1,0.35,2.4866,0.4637255,0.1455738,0.3181517
Brest,7,Paris Saint-Germain,Away,Ligue 1,2022,532,3412,0,1.167720749,0.3859717,0,0,6,3,50.0000,0.0000,1,2.011648459,1.9162918,0,0.09535671,13,4,34.545,39,28.9682539,0.2839153,425,3,10,1,15,3,13.6667,0.0271,0.0158,13,16,2,0,0,0.7584,1.9884,0.2166406,-0.0672747,0.2839153
Brest,8,Ajaccio,Home,Ligue 1,2022,532,442,0,0.561308091,0.5206303,0,0.121695574,8,4,50.0000,0.0000,1,0.425434472,0.2919162,0,0.108178323,6,4,42.4725,59,68.2464454,0.3588316,501,4,25,0,28,0,9.2059,0.1246,0.1199,12,13,2,0,0,1.6078,0.9574,0.591333,0.2325014,0.3588316
Brest,9,Auxerre,Away,Ligue 1,2022,4231,4141,1,0.652641683,0.5348776,0,0.117763983,9,2,22.2222,0.0000,1,1.144726348,0.3426584,0,0.02031889,11,3,34.86,51,55,0.4256391,453,6,17,1,23,0,12.2333,0.0196,0.0093,14,18,4,0,1,0.7882,1.8676,0.5255665,0.0999274,0.4256391
Brest,10,Lorient,Home,Ligue 1,2022,442,4231,1,0.8397483,0.7039805,0,0.1357678,11,4,36.3636,0.0000,2,1.35422643,1.3151906,0.296615977,0.0390358,14,5,32.865,50,55.2884615,0.532193,437,4,27,0,34,3,10,0.0088,0.001,13,14,3,0,0,0.9384,1.7424,0.558984,0.026791,0.532193
Brest,11,Nantes,Away,Ligue 1,2022,4231,4231,1,0.55482851,0.4512464,0,0.103582064,11,2,18.1818,0.0000,4,3.030398602,1.1462371,0,0.320663494,17,6,17.745,46,48.6363636,0.3653487,364,7,27,2,19,4,23.2857,0.0409,0.0199,12,10,2,0,0,0.094,2.8516,0.6082798,0.2429311,0.3653487
Brest,12,Clermont,Away,Ligue 1,2022,433,3421,3,3.373064187,2.5066924,1.347633809,0.044988088,19,11,57.8947,0.0000,1,0.814204713,0.72085,0,0.093354672,14,4,31.815,38,33.3333333,0.3385081,352,8,22,0,14,6,14.3214,0.0335,0.0301,10,17,1,0,3,2.774,0.152,0.8107538,0.4722457,0.3385081
Brest,13,Reims,Home,Ligue 1,2022,4231,4231,0,1.7304496,1.3489842,0,0.3814654,12,4,33.3333,0.0000,0,0.84630475,0.7872298,0.036343869,0.0590749,11,3,39.06,51,56.1983471,0.6742567,415,9,26,0,16,5,9.1351,0.0806,0.0338,13,15,1,0,1,2.0264,0.7238,0.52695,-0.1473067,0.6742567
Brest,14,Nice,Away,Ligue 1,2022,433,442,0,0.8537813,0.7943569,0,0.0594244,12,2,16.6667,0.0000,1,1.2762473,1.1085721,0,0.1676753,14,9,30.765,44,48.0620155,0.6260409,436,5,16,2,20,4,20.45,0.0735,0.0478,6,11,1,0,0,0.9598,1.7356,0.7043023,0.0782614,0.6260409
Brest,15,Troyes,Home,Ligue 1,2022,433,343,2,2.496255378,0.9019618,0.068214633,0.030795539,15,5,33.3333,193.3333,1,0.85545823,0.777992,0.046905421,0,9,2,40.74,54,53.960396,0.4283756,429,7,30,1,21,3,10.5862,0.1183,0.1096,12,13,3,0,3,2.5888,0.2746,0.7096225,0.2812469,0.4283756
