Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Clermont,1,Caen,Home,Ligue 2,2020,4231,433,0,0.381862,0.208966,0,0.172896,12,3,25.0000,0.0000,0,0.39869511,0.3109066,0,0.0877884,9,4,25.935,60,51.2195121,0.3888257,504,7,10,0,19,0,14.7895,0.0192,0.0078,11,9,0,0,1,1.2348,1.2366,0.3444749,-0.0443508,0.3888257
Clermont,2,Dunkerque,Away,Ligue 2,2020,4231,4231,1,1.87227928,1.0151677,0.039780412,0.85711159,17,5,29.4118,0.0000,1,1.097344428,0.0280851,0,0.287510276,4,2,36.96,71,70.4761904,0.3814448,679,10,23,1,33,5,9.2222,0.0277,0.0128,17,11,2,0,1,1.9134,0.8148,0.7795,0.3980552,0.3814448
Clermont,3,Auxerre,Away,Ligue 2,2020,4231,433,1,0.9966854,0.9966854,0,0,14,3,21.4286,0.0000,0,0.17775257,0.1476649,0,0.0300877,7,1,29.6625,52,42.6778242,0.7089361,544,10,23,1,20,2,19.2,0.035,0.0306,13,8,2,0,3,2.1286,0.5302,1.0991665,0.3902304,0.7089361
Clermont,4,Toulouse,Home,Ligue 2,2020,4231,352,1,2.715108365,2.0682207,0,0.082210705,13,5,38.4615,0.0000,1,0.738688439,0.6461556,0,0,11,5,26.145,47,47.0297029,0.3519512,351,10,19,0,19,2,15.3158,0.1013,0.0816,18,15,2,1,1,2.408,0.413,0.4169859,0.0650347,0.3519512
Clermont,5,Troyes,Away,Ligue 2,2020,4231,433,0,0.595184317,0.3849484,0,0.121268731,9,4,44.4444,0.0000,1,1.070778387,0.6242394,0,0.364145448,15,5,24.57,48,30.2439024,0.5229856,407,12,15,0,16,2,19.0556,0.0089,0.0013,13,11,1,0,0,0.9214,1.7428,0.6524638,0.1294782,0.5229856
Clermont,6,Rodez,Home,Ligue 2,2020,4231,343,3,2.5786183,1.0035401,0.115351431,1.5750782,19,8,42.1053,0.0000,0,1.62263073,0.4693185,0,1.1533124,13,3,25.095,47,40.8163265,0.4612319,374,12,23,1,10,5,13.4167,0.0115,0.0044,18,10,2,0,3,1.6526,1.0724,0.6191109,0.157879,0.4612319
Clermont,7,Chambly,Away,Ligue 2,2020,4231,433,3,2.290735626,1.8478141,0.036862258,0.389465513,18,9,50.0000,0.0000,0,0.760116576,0.1744062,0,0.585710397,9,1,31.5,63,47.5961538,0.4446132,612,21,21,1,12,4,14.05,0.0127,0.0078,15,9,1,0,3,2.449,0.385,0.8131063,0.3684931,0.4446132
Clermont,8,Ajaccio,Home,Ligue 2,2020,4231,4231,0,2.094083742,1.5010157,0,0.593067975,15,3,20.0000,0.0000,2,1.948019741,0.3845218,0,0,4,3,42.1575,72,70.6422018,0.4701922,622,9,30,1,40,1,7.8214,0.0512,0.0347,17,9,2,0,0,1.4278,1.2892,0.6928641,0.2226719,0.4701922
Clermont,9,Valenciennes,Away,Ligue 2,2020,4231,3142,3,2.784934539,1.8701367,0,0.133048968,23,9,39.1304,0.0000,1,1.790265125,1.6263797,0.107899562,0.080369326,16,6,34.23,50,50,0.6693252,448,12,33,0,18,2,11.7813,0.0262,0.0194,12,13,0,0,3,2.1216,0.6798,0.8145178,0.1451926,0.6693252
Clermont,10,Guingamp,Home,Ligue 2,2020,4231,433,0,0.78892645,0.4857026,0,0.201214688,14,3,21.4286,0.0000,0,1.24247849,0.9143211,0,0.306628406,9,3,40.635,57,57.3991031,0.6472398,505,9,23,0,23,3,8.4865,0.0253,0.0098,15,14,2,0,1,0.9254,1.7864,0.787769,0.1405292,0.6472398
