Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lens,1,Rennes,Away,Ligue 1,2021,3412,433,1,2.225573366,0.9653994,0,1.260173954,11,6,54.5455,0.0000,1,0.565224588,0.4367925,0.073845476,0.03708227,10,2,23.625,40,44.2786069,0.220337,343,9,16,3,22,1,17.25,0.0075,0.0022,10,14,2,0,1,2.5382,0.3098,0.011621,-0.208716,0.220337
Lens,2,St Etienne,Home,Ligue 1,2021,3412,433,2,1.0874991,0.8381152,0,0.2493839,22,7,31.8182,0.0000,2,1.17817542,1.1010858,0,0.0770896,12,7,48.09,58,64.3564356,0.5279336,486,16,25,0,24,1,7.2045,0.0913,0.0136,17,10,1,0,1,1.24,1.459,0.660845,0.1329114,0.5279336
Lens,3,Monaco,Away,Ligue 1,2021,3412,4411,2,0.481859483,0.4235569,0,0.058302578,4,2,50.0000,0.0000,0,0.25149555,0.0853703,0,0.118932426,9,2,21.5775,29,26.3374485,0.3057924,239,6,5,0,8,2,13.6552,0.0427,0.0164,11,14,1,1,3,1.5278,0.9482,0.3923755,0.0865831,0.3057924
Lens,4,Lorient,Home,Ligue 1,2021,3412,532,2,1.101581982,1.0334359,0,0,19,9,47.3684,0.0000,2,1.489932938,1.3770669,0.099299625,0.044891292,14,7,35.07,54,59.51417,0.5540774,476,13,29,1,26,6,11.4286,0.0649,0.052,10,10,2,0,1,1.0362,1.6788,0.6894315,0.1353541,0.5540774
Lens,5,Bordeaux,Away,Ligue 1,2021,3412,4132,3,2.842330349,1.1934041,0.017389985,0.867177218,13,5,38.4615,0.0000,2,0.942824059,0.2353298,0,0.655437056,10,3,27.195,45,44.1624365,0.419832,402,12,20,0,21,1,18.6957,0.0697,0.0616,7,11,2,0,3,2.611,0.2674,0.6604764,0.2406444,0.419832
Lens,6,Lille,Home,Ligue 1,2021,3412,442,1,0.786339,0.6834192,0.054331128,0.1029198,13,4,30.7692,0.0000,0,1.1529201,1.1529201,0,0,6,2,44.1,47,59.6590909,0.2950402,396,9,19,0,18,1,11.8,0.0341,0.0243,8,12,2,0,3,1.0236,1.6422,0.7363095,0.4412693,0.2950402
Lens,7,Strasbourg,Home,Ligue 1,2021,3412,532,0,2.9547576,2.4625657,0,0.4921919,17,4,23.5294,0.0000,1,1.09910985,0.8764282,0,0.2226816,6,1,46.62,60,68.6363636,0.4613088,666,11,31,1,20,5,12.4194,0.0969,0.01,7,14,2,1,0,2.3078,0.4688,1.1180613,0.6567525,0.4613088
Lens,8,Marseille,Away,Ligue 1,2021,343,343d,3,2.207963626,1.3934536,0.468700178,0.032761,13,5,38.4615,0.0000,2,1.891985385,0.8583847,0.073946491,0.173534241,13,4,33.81,40,39.5833333,0.132737,361,13,18,2,14,3,19.0417,0.2622,0.2524,3,14,1,0,3,1.658,1.0742,0.2576417,0.1249047,0.132737
Lens,9,Reims,Home,Ligue 1,2021,3412,433,2,2.230312434,1.1295233,0.486479133,0.225709587,13,7,53.8462,0.0000,0,0.100073794,0.0514601,0,0.04861366,3,0,44.7825,61,70.5357142,0.6448431,660,7,20,4,25,2,11.3636,0.0519,0.028,13,13,3,0,3,2.8624,0.076,0.9508748,0.3060317,0.6448431
Lens,10,Montpellier,Away,Ligue 1,2021,3412,4231,0,0.853771305,0.7740128,0,0.04533824,18,5,27.7778,0.0000,1,1.394924147,1.3394561,0.429795712,0,15,6,28.875,50,51.7094017,0.2224221,413,14,25,1,20,6,10.6897,0.0261,0.0178,7,15,4,0,0,0.918,1.8036,0.516899,0.2944769,0.2224221
