Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lille,1,Auxerre,Home,Ligue 1,2022,4231,4231,4,1.440546637,1.3814335,0.097582407,0.034910187,16,6,37.5000,0.0000,1,1.056449356,0.9751616,0,0.081287736,10,2,29.715,60,61.5384615,1.2576184,613,7,29,2,14,2,12.3846,0.0412,0.0317,8,10,2,0,3,1.6054,1.114,1.3963421,0.1387237,1.2576184
Lille,2,Nantes,Away,Ligue 1,2022,4231,352,1,1.985550007,1.8145538,0,0.170996297,16,5,31.2500,0.0000,1,1.580189548,0.896906,0.793202788,0.662210181,10,1,25.2,70,70.6827309,0.675822,622,5,38,3,26,4,8.8077,0.0647,0.0568,14,10,4,0,1,1.567,1.159,0.7192162,0.0433942,0.675822
Lille,3,Paris Saint-Germain,Home,Ligue 1,2022,4231,3421,1,1.8557374,1.4248782,0,0.4308592,16,10,62.5000,0.0000,7,4.27601246,3.3796666,0.909565739,0.8963458,16,9,29.505,48,44.7154471,0.3002115,550,10,21,1,8,0,16.6786,0.0392,0.0066,7,13,2,0,0,0.2608,2.635,0.8423542,0.5421427,0.3002115
Lille,4,Ajaccio,Away,Ligue 1,2022,4231,442,3,2.079951511,1.2268707,0,0.071331829,7,4,57.1429,0.0000,1,1.384599562,1.0029481,0,0.381651454,14,2,24.78,58,51,0.410625,489,11,22,0,11,4,10.4091,0.1133,0.0535,13,13,3,0,3,1.9798,0.751,0.5462939,0.1356689,0.410625
Lille,5,Nice,Home,Ligue 1,2022,4231,352,1,0.989890722,0.6587989,0,0.331091856,18,6,33.3333,0.0000,2,1.601345824,0.0378478,0,0,3,2,45.045,63,68.8,0.7375336,541,4,31,1,33,2,8.8333,0.0267,0.0218,20,15,1,0,0,0.7154,2.0288,1.2927931,0.5550837,0.7375336
Lille,6,Montpellier,Away,Ligue 1,2022,4231,4321,3,1.753174149,1.2124592,0,0.540715091,26,8,30.7692,0.0000,1,0.858642444,0.7236196,0,0,4,2,30.45,76,80.6060606,0.9647207,681,8,45,1,23,5,7.04,0.0334,0.021,8,11,4,0,3,1.9868,0.746,1.4770973,0.5123766,0.9647207
Lille,7,Marseille,Away,Ligue 1,2022,343,3421,1,0.774077013,0.6655474,0,0.108529616,7,3,42.8571,0.0000,2,2.145987546,1.6049506,0.517307043,0.54103704,14,7,30.03,47,43.2539682,0.6372247,402,8,12,0,11,0,10.625,0.024,0.0131,21,17,1,0,0,0.4318,2.3812,0.7445698,0.1059764,0.6372247
Lille,8,Toulouse,Home,Ligue 1,2022,4231,541,2,1.333701771,1.0546333,0,0.100095145,10,4,40.0000,0.0000,1,1.187226458,0.5076053,0,0.589630925,14,5,34.65,45,50.4545454,0.4045703,408,11,20,3,9,4,9.3659,0.0254,0.0177,14,20,2,0,3,1.5998,1.0844,0.7245435,0.3199732,0.4045703
Lille,9,Lorient,Away,Ligue 1,2022,4231,4231,1,1.7345093,1.1837358,0,0.5507735,20,4,20.0000,95.0000,2,0.59077951,0.5907796,0,0,8,4,50.3475,63,76.1403508,1.5066399,516,9,49,2,40,6,6.975,0.07,0.009,12,14,3,0,0,2.2578,0.5208,2.0749196,0.5682797,1.5066399
Lille,10,Lens,Home,Ligue 1,2022,4231,3421,1,2.125912463,1.2517884,0,0.09237512,12,6,50.0000,0.0000,0,1.102283465,0.1659078,0,0.154626607,10,3,38.1675,45,52.7363184,0.6957852,366,8,21,1,13,2,7.9778,0.0393,0.0103,15,19,3,0,3,2.233,0.52,0.8342888,0.1385036,0.6957852
Lille,11,Strasbourg,Away,Ligue 1,2022,4231,352,3,2.441080443,1.61607,0.387782246,0,10,7,70.0000,0.0000,0,0.342646529,0.2669846,0,0.075661936,12,1,37.065,57,50,0.455663,582,7,21,5,4,2,9.4118,0.0216,0.0133,12,17,1,0,3,2.798,0.1256,0.6236166,0.1679536,0.455663
Lille,12,Monaco,Home,Ligue 1,2022,4231,442,4,2.463521278,1.8992958,0,0.522645429,20,7,35.0000,0.0000,3,1.515038237,1.0281885,0,0.463011147,9,6,36.8025,60,55.0847457,0.6475708,498,8,25,1,8,2,13.1053,0.0205,0.0187,10,8,1,0,3,2.0426,0.7178,1.1114676,0.4638968,0.6475708
Lille,13,Lyon,Away,Ligue 1,2022,4231,352,0,1.508990576,1.1701065,0.066279292,0.260150202,15,5,33.3333,0.0000,1,1.209149165,1.2091492,0.328748584,0,6,3,40.425,55,53.0701754,0.5642696,537,4,29,0,15,2,8.7632,0.0737,0.0702,10,15,1,0,0,1.489,1.2052,0.8701727,0.3059031,0.5642696
Lille,14,Rennes,Home,Ligue 1,2022,4231,433,1,3.212918999,1.5568824,0,1.635703301,19,7,36.8421,0.0000,1,1.031481729,0.1974547,0,0.052278008,0,2,42.42,62,75.1131221,0.5991806,579,11,36,1,15,2,10.4194,0.047,0.0432,13,9,4,0,1,2.6182,0.2446,0.741833,0.1426524,0.5991806
Lille,15,Angers,Home,Ligue 1,2022,4231,532,1,1.025368,0.5359664,0.073787846,0.4894016,9,4,44.4444,0.0000,0,0.59699647,0.4378635,0.065255791,0.1591329,0,2,37.59,58,64.8241206,0.2311968,568,6,12,0,8,3,9.8286,0.0721,0.0219,12,18,3,1,3,1.7902,0.8758,0.4918899,0.2606931,0.2311968
Lille,16,Clermont,Away,Ligue 1,2022,3421,3421,2,1.94790076,0.7360432,0.380243659,0.378087381,14,3,21.4286,0.0000,0,0.76523007,0.6410764,0,0.124153711,9,3,40.215,57,62.3853211,0.6043687,519,7,18,0,6,4,7.5366,0.0376,0.0277,8,17,2,0,3,2.3156,0.4862,0.8598939,0.2564392,0.6043687
Lille,17,Reims,Home,Ligue 1,2022,3421,4231,1,2.170881596,2.1097089,0,0.061172582,14,5,35.7143,0.0000,1,1.216483748,1.1475603,0.033490934,0.010237554,9,6,40.74,62,60.4444444,1.0707065,602,16,33,3,13,3,9.4063,0.1434,0.1335,11,8,1,0,1,2.001,0.7656,1.2358886,0.1651821,1.0707065
Lille,18,Brest,Away,Ligue 1,2022,4231,433,0,1.05970148,0.6064729,0,0.453228675,11,4,36.3636,0.0000,0,0.490668952,0.4615601,0,0.02910886,5,0,49.56,72,76.9230769,0.931598,688,8,26,0,23,3,6.5946,0.078,0.0667,15,12,1,0,1,1.8586,0.8056,1.0327081,0.1011101,0.931598
Lille,19,Troyes,Home,Ligue 1,2022,442,4231,5,4.3836326,4.3180194,0,0.0656132,23,13,56.5217,0.0000,1,0.94406518,0.8269757,0.375106245,0.1170895,10,2,42,67,75.7142857,0.2917242,665,11,39,1,15,6,10.6786,0.0369,0.0307,4,12,1,0,3,2.8564,0.0976,1.1175027,0.8257785,0.2917242
Lille,20,Nice,Away,Ligue 1,2022,4231,433,0,2.412137997,2.0662827,1.289135724,0.32274837,16,7,43.7500,0.0000,1,1.256424386,1.1482655,0,0.108158994,12,6,31.6575,56,52.6785714,0.5401956,562,11,27,5,13,0,10.1818,0.0493,0.0325,12,11,2,0,0,2.1636,0.6336,1.0157276,0.475532,0.5401956
Lille,21,Clermont,Home,Ligue 1,2022,4231,3421,0,1.588799078,1.0104775,0,0.535275048,22,5,22.7273,0.0000,0,1.992234913,1.9922348,0,0,13,5,60.48,66,82.7922077,0.7853539,611,18,29,0,24,6,5.0536,0.1404,0.0857,11,15,0,0,1,1.2912,1.4298,1.211742,0.4263881,0.7853539
Lille,22,Rennes,Away,Ligue 1,2022,4231,442,3,2.3888171,2.3888171,0,0,15,6,40.0000,0.0000,1,1.71801758,1.7180175,0,0,10,6,35.385,62,65.0224215,0.5555402,584,7,35,1,10,3,9.7742,0.028,0.0135,13,9,2,0,3,1.7884,0.9772,0.9729262,0.417386,0.5555402
Lille,23,Strasbourg,Home,Ligue 1,2022,4231,3421,2,3.578720207,1.7139752,0,1.003946815,14,10,71.4286,0.0000,0,0.221289199,0.2110054,0,0.010283738,5,0,33.18,67,66.5236051,0.7862593,738,12,26,2,11,2,9.1667,0.5,0.361111111,13,13,1,0,3,2.9508,0.0288,1.3693873,0.583128,0.7862593
