Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lorient,1,Strasbourg,Home,Ligue 1,2020,4231,4231,3,3.013453103,2.1622313,0.588488936,0.02791875,10,7,70.0000,0.0000,1,0.346176775,0.3163008,0.120275118,0.029875835,7,1,43.05,50,47.027027,0.279175,400,7,23,1,23,2,8.3415,0.039,0.018,10,17,3,0,3,2.882,0.0728,0.4970466,0.2178716,0.279175
Lorient,2,St Etienne,Away,Ligue 1,2020,433,4231,0,0.190993192,0.1427971,0,0,6,1,16.6667,0.0000,2,1.799942207,1.0613146,0.06848938,0.713158881,13,5,42.315,48,53.3333333,0.2665577,378,13,16,0,21,0,8.1667,0.0409,0.0122,12,23,1,0,0,0.226,2.626,0.3957796,0.1292219,0.2665577
Lorient,3,Lens,Home,Ligue 1,2020,433,3412,2,0.945154909,0.1278458,0,0.013659801,6,3,50.0000,0.0000,3,2.293997404,1.1638757,0,0.325968206,12,6,36.75,46,42.7927927,0.3492678,354,10,11,1,16,1,8.2703,0.0582,0.0455,16,20,4,0,0,0.3618,2.4504,0.4513959,0.1021281,0.3492678
Lorient,4,Brest,Away,Ligue 1,2020,4231,4231,2,1.5670147,1.2544199,0.367075533,0.3125948,10,4,40.0000,0.0000,3,1.20209756,1.1549799,0,0.0471177,14,6,31.29,43,31.277533,0.3207624,369,6,17,0,17,3,15.625,0.0082,0.0059,19,13,1,0,0,1.6742,1.0646,0.5008554,0.180093,0.3207624
Lorient,5,Lyon,Home,Ligue 1,2020,541,3412,1,0.203382913,0.1530924,0,0.050290454,4,2,50.0000,0.0000,1,0.854696882,0.5374913,0,0.295338545,19,6,25.2,31,20,0.3260873,304,2,7,1,8,1,18.0909,0.0091,0.001,7,19,2,0,1,0.6362,1.9598,0.4246336,0.0985463,0.3260873
Lorient,6,Metz,Away,Ligue 1,2020,541,4231,1,1.046580538,0.1610905,0,0.755773797,10,4,40.0000,0.0000,3,1.733720545,0.8943844,0.087657236,0.034570691,16,8,28.875,42,36.4055299,0.289916,386,4,5,0,15,0,12.2813,0.015,0.0097,10,15,2,0,0,0.7482,1.9596,0.4286626,0.1387466,0.289916
Lorient,7,Reims,Away,Ligue 1,2020,442,4231,3,2.672513014,1.1258069,0,0.742346167,14,4,28.5714,0.0000,1,0.265368415,0.2423735,0,0.022994757,6,3,34.965,53,43.2291666,0.6754577,388,12,20,1,22,2,7.8,0.0232,0.018,14,11,1,0,3,2.9008,0.0592,0.915749,0.2402913,0.6754577
Lorient,8,Marseille,Home,Ligue 1,2020,442,4312,0,0.685353,0.5738471,0,0.1115059,12,3,25.0000,0.0000,1,1.4156053,1.0854292,0,0.330176,15,3,39.375,35,41.5178571,0.2235365,278,13,14,0,23,1,10.7,0.0308,0.0071,10,10,3,0,0,0.7356,1.9902,0.1337853,-0.0897512,0.2235365
Lorient,9,Dijon,Away,Ligue 1,2020,442,4231,0,1.159389117,0.3015807,0,0.076059416,9,1,11.1111,0.0000,0,0.328724255,0.1943418,0,0.113560654,11,2,36.12,47,49.1891891,0.3681858,410,6,13,0,21,4,11.7647,0.0214,0.0085,17,13,1,0,1,2.281,0.4642,0.508486,0.1403002,0.3681858
Lorient,10,Nantes,Home,Ligue 1,2020,442,4231,0,1.649145574,1.5123826,0,0.13676302,18,4,22.2222,0.0000,2,1.168802368,1.0310754,0,0.091524396,16,4,31.185,48,50.4587155,0.5298062,401,6,15,0,14,2,10,0.0244,0.0116,10,18,3,0,0,1.7538,0.9936,0.6694107,0.1396045,0.5298062
Lorient,11,Lille,Away,Ligue 1,2020,4411,442,0,0.6778762,0.6206114,0,0.0572648,7,2,28.5714,0.0000,4,4.06996352,3.9012351,0.596195228,0.1687285,31,13,27.93,36,25.8389261,0.5171496,396,6,10,0,7,2,20.5909,0.0343,0.0225,9,11,3,0,0,0.0614,2.9012,0.8001011,0.2829515,0.5171496
