Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lyon,1,Strasbourg,Home,Ligue 1,2017,4231,4141,4,2.054638439,1.1140402,0,0.071154729,13,7,53.8462,0.0000,0,0.402337802,0.364865,0,0.037472792,7,1,45.36,62,70.8994708,0.4802783,529,8,21,2,14,5,7.375,0.0466,0.0187,16,11,2,0,3,2.6588,0.2156,0.7519811,0.2717028,0.4802783
Lyon,2,Rennes,Away,Ligue 1,2017,4231,442,2,1.573682366,0.9210342,0,0.530698098,17,8,47.0588,0.0000,1,0.646887967,0.2393868,0,0.360384161,17,5,23.52,48,47.643979,0.4296207,401,15,27,1,13,3,11.6296,0.0403,0.0261,9,16,3,0,3,2.0816,0.6698,0.7577445,0.3281238,0.4296207
Lyon,3,Bordeaux,Home,Ligue 1,2017,4231,433,3,0.701049507,0.1238768,0,0.413387269,8,5,62.5000,0.0000,3,1.193328679,1.0160412,0,0.136385864,16,6,24.78,41,23.4972677,0.1164869,355,12,4,1,2,2,11.1667,0.0036,0.003,14,20,2,1,1,0.9548,1.7156,0.1966549,0.080168,0.1164869
Lyon,4,Nantes,Away,Ligue 1,2017,4231,442,0,0.94799143,0.8476094,0,0.100382105,16,3,18.7500,0.0000,0,0.297926723,0.2130263,0,0,6,2,35.385,62,56.4102564,0.6359796,609,13,38,1,23,5,9.8,0.0597,0.0489,12,11,1,0,1,1.9682,0.6752,1.1565074,0.5205278,0.6359796
Lyon,5,Guingamp,Home,Ligue 1,2017,4231,433,2,0.714568756,0.6105553,0,0.030646881,12,4,33.3333,0.0000,1,0.776262362,0.6354751,0,0.120753335,13,6,27.9825,57,37.8698224,0.2844097,429,11,7,2,7,2,9.2593,0.0141,0.0085,14,16,2,0,3,1.2824,1.3394,0.4331301,0.1487204,0.2844097
Lyon,6,Paris Saint-Germain,Away,Ligue 1,2017,4231,4231,0,0.808427391,0.4667863,0,0.320208497,13,5,38.4615,0.0000,2,1.831265678,0.8150412,0,0.12414776,16,5,26.985,30,28.8461538,0.1965643,293,16,20,1,9,1,19.5652,0.0301,0.0214,11,15,2,0,0,0.536,2.2442,0.5885647,0.3920004,0.1965643
Lyon,7,Dijon,Home,Ligue 1,2017,4231,4231,3,3.233196988,2.1845144,0.079383753,0,20,6,30.0000,0.0000,3,1.550957687,0.3621105,0,0.381482821,11,6,33.6,59,62.22222222,0.3362149,465,19,26,0,19,2,13.75,0.0244,0.0151,18,17,1,0,1,2.467,0.3856,0.8266047,0.4903898,0.3362149
Lyon,8,Angers,Away,Ligue 1,2017,4231,4141,3,1.382664787,0.9442584,0,0.331505798,13,6,46.1538,292.3077,3,1.07347492,0.8390663,0,0.155622283,16,4,20.895,40,28.251121,0.452039,348,15,10,4,11,1,13.16,0.0276,0.0228,12,14,3,1,1,1.606,1.1062,0.7253466,0.2733076,0.452039
Lyon,9,Monaco,Home,Ligue 1,2017,4411,4231,3,2.018321174,1.5590598,0,0.379529074,22,7,31.8182,0.0000,2,1.771311728,1.4917329,0,0.259763874,14,7,24.78,61,51.8518518,0.5011056,482,17,23,2,22,4,13.1765,0.0327,0.0252,15,9,4,0,3,1.5432,1.209,0.9347689,0.4336633,0.5011056
Lyon,10,Troyes,Away,Ligue 1,2017,433,4231,5,2.899183699,2.0788233,0,0.038611397,14,10,71.4286,0.0000,0,0.309048086,0.1729844,0,0.024960551,9,3,28.35,57,48.5829959,0.2833233,557,21,28,5,8,4,10.4286,0.0314,0.022,11,13,2,0,3,2.8886,0.0668,0.7230379,0.4397146,0.2833233
