Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Marseille,1,Montpellier,Away,Ligue 1,2021,3241,4231,3,2.019334531,1.5188274,0.04636354,0.345692962,21,7,33.3333,295.2381,2,0.71073384,0.6913925,0,0.019341249,9,1,25.305,59,70.6081081,1.2245122,530,10,47,1,28,7,12.8261,0.02,0.0154,10,5,1,0,3,2.314,0.49,1.7644255,0.5399133,1.2245122
Marseille,2,Bordeaux,Home,Ligue 1,2021,3241,532,2,1.066138528,0.9114956,0,0.024956739,10,2,20.0000,0.0000,2,0.386762183,0.3086912,0.026803073,0.078071013,8,2,33.0225,68,70.7547169,0.5488689,701,10,17,1,11,3,16.5294,0.0352,0.0261,10,6,2,1,1,1.976,0.6932,0.9884197,0.4395508,0.5488689
Marseille,3,Nice,Away,Ligue 1,2021,3511,442,1,0.36020113,0.3381534,0,0.022047669,7,1,14.2857,0.0000,1,1.554744819,1.2638279,0.148085013,0.290916877,11,3,36.855,55,50.9433962,0.2559617,535,9,14,0,14,0,13.5385,0.0427,0.0271,15,8,4,0,1,0.406,2.377,0.1555224,-0.1004393,0.2559617
Marseille,4,St Etienne,Home,Ligue 1,2021,343d,433,3,2.6775132,2.5931203,0.297053589,0.0843929,19,5,26.3158,0.0000,1,1.40898398,0.7443148,0,0.664669,11,7,34.44,64,58.6734693,0.5116638,631,11,27,4,11,2,10.32,0.0099,0.0017,16,11,1,0,3,2.2384,0.5722,0.9054956,0.3938318,0.5116638
Marseille,5,Monaco,Away,Ligue 1,2021,3331,442,2,1.3920104,1.3477446,0.117775478,0.0442658,13,5,38.4615,0.0000,0,0.70024965,0.5860254,0,0.1142242,7,0,28.245,49,35.4430379,0.3218524,461,16,24,1,9,4,22.125,0.0562,0.0177,17,8,1,0,3,1.9202,0.7838,0.8673695,0.5455171,0.3218524
Marseille,6,Rennes,Home,Ligue 1,2021,3331,442,2,1.931588967,1.3897399,0.065927498,0.459768487,17,6,35.2941,0.0000,0,1.107553735,0.7058342,0,0.318203641,13,2,27.195,65,62.605042,0.2517259,542,8,29,1,23,2,16.1429,0.1363,0.1233,15,5,0,0,3,2.0486,0.7154,0.6483973,0.3966714,0.2517259
Marseille,7,Angers,Away,Ligue 1,2021,343,3412,0,0.5989542,0.5024242,0,0.09653,6,1,16.6667,0.0000,0,0.32190208,0.2555138,0,0.0663883,9,1,39.795,60,59.8455598,0.2192975,697,17,12,3,12,6,11.6875,0.0155,0.0117,9,7,3,0,1,1.609,0.919,0.631802,0.4125045,0.2192975
Marseille,8,Lens,Home,Ligue 1,2021,343d,343,2,1.891985385,0.8583847,0.073946491,0.173534241,13,4,30.7692,0.0000,3,2.207963626,1.3934536,0.468700178,0.032761,13,5,26.67,60,60.4166666,0.3343814,554,7,18,4,11,2,15.5263,0.0248,0.0163,13,4,2,0,0,1.0742,1.658,0.6815016,0.3471202,0.3343814
Marseille,9,Lille,Away,Ligue 1,2021,4231,442,0,0.353153505,0.2900062,0,0.041434458,10,3,30.0000,0.0000,2,3.349486798,3.3224839,0.10880319,0.027002882,12,5,27.51,64,55.0660792,0.3848612,552,8,15,1,21,3,12,0.088,0.0047,8,13,1,1,0,0.0374,2.9378,0.5453982,0.160537,0.3848612
Marseille,10,Lorient,Home,Ligue 1,2021,3241,532,4,1.676080627,1.441838,0.388892204,0.234242596,16,5,31.2500,0.0000,1,2.207313246,1.2239305,0,0.157432038,15,7,47.5125,64,65.68627451,0.7359373,574,18,30,2,17,5,10.1111,0.0863,0.068,10,7,0,0,3,0.9212,1.8458,1.0061641,0.2702268,0.7359373
Marseille,11,Paris Saint-Germain,Home,Ligue 1,2021,4231,4231,0,1.271627802,0.8850234,0,0.223259428,15,1,6.6667,0.0000,0,2.001042459,1.8861959,0,0.114846542,10,4,29.4,48,50.2222222,0.1865967,484,10,21,0,21,2,17,0.0802,0.0767,8,7,1,0,1,0.861,1.8954,0.3128307,0.126234,0.1865967
Marseille,12,Clermont,Away,Ligue 1,2021,4141,4231,1,1.178005153,1.1780052,0.298583597,0,9,4,44.4444,0.0000,0,0.595773611,0.536852,0.065358318,0.03392281,12,1,29.5575,59,57.0680628,0.50681,557,10,17,1,10,3,17.3333,0.0357,0.031,15,11,4,0,3,1.8776,0.8204,0.510876,0.004066,0.50681
Marseille,13,Metz,Home,Ligue 1,2021,4411,3421,0,1.341265348,1.1359929,0,0.183101087,15,4,26.6667,0.0000,0,1.720019361,0.4532125,0.137187611,1.266806694,13,4,28.455,76,75.9656652,0.936447,632,4,31,2,22,6,7.6316,0.0315,0.0253,9,8,1,0,1,1.2928,1.4026,1.3510332,0.4145862,0.936447
Marseille,14,Lyon,Away,Ligue 1,2021,433,3421,1,0.7616921,0.5008118,0.034041829,0.2608803,9,1,11.1111,0.0000,2,1.62118348,1.6018762,0,0.0193073,12,4,29.925,46,41.0138248,0.0243184,510,6,13,1,11,3,29.1875,0.0735,0.0735,7,8,0,0,0,0.6896,2.0648,0.2534396,0.2291212,0.0243184
Marseille,15,Troyes,Home,Ligue 1,2021,4141,541,1,1.719805691,1.4927264,0,0.116743067,14,4,28.5714,0.0000,0,0.107533215,0.0873621,0.027281346,0.020170987,5,2,42.735,56,69.117647,0.2919666,490,10,22,2,19,3,13.037,0.0188,0.0152,17,10,1,0,3,2.6952,0.1716,0.6846008,0.3926342,0.2919666
Marseille,16,Nantes,Away,Ligue 1,2021,3241,442,1,1.450344915,1.2685418,0,0.068578435,15,5,33.3333,0.0000,0,0.151016209,0.1029878,0,0,3,1,29.295,71,74.1666666,0.763621,765,5,30,0,15,3,15.8235,0.0311,0.0265,13,7,2,0,3,2.4614,0.3194,1.1152012,0.3515802,0.763621
Marseille,17,Brest,Home,Ligue 1,2021,3241,442,1,1.802209879,1.6282189,0,0.098561492,16,4,25.0000,0.0000,2,1.424447351,0.5951418,0.17983716,0,9,4,40.3725,74,71.7557251,0.582558,824,8,30,0,20,3,8.6429,0.0736,0.0501,7,10,1,0,0,1.6554,1.077,1.1566948,0.5741368,0.582558
Marseille,18,Strasbourg,Away,Ligue 1,2021,4141,532,2,0.95144706,0.8231053,0,0.128341762,8,3,37.5000,0.0000,0,1.57470144,1.0054766,0,0.569224816,11,3,23.205,51,40.8866995,0.1009467,510,5,12,3,7,1,24.4667,0.107,0.0088,10,12,1,0,3,0.9226,1.7878,0.3214977,0.220551,0.1009467
Marseille,19,Reims,Home,Ligue 1,2021,343,343,1,1.780027819,0.6078799,0,0.390398746,14,6,42.8571,0.0000,1,0.828397509,0.4120502,0,0.416347358,7,2,50.19,73,84.6153846,0.3850103,717,9,36,0,23,5,11.45,0.0387,0.0205,6,12,4,1,1,2.1748,0.5896,0.7428846,0.3578743,0.3850103
Marseille,20,Bordeaux,Away,Ligue 1,2021,433,442,1,2.43687528,1.8559272,0,0.58094814,18,6,33.3333,0.0000,0,0.372154989,0.2581423,0.179690197,0.09052354,6,2,46.095,66,78.6407766,0.4978113,634,10,26,1,14,6,9.6875,0.0328,0.0257,13,7,1,0,3,2.7006,0.192,0.9237001,0.4258888,0.4978113
Marseille,21,Lille,Home,Ligue 1,2021,433,442,1,1.376872769,0.4283978,0,0.841252833,22,6,27.2727,0.0000,1,0.865857055,0.6453725,0,0.220484542,5,4,45.15,78,90.3047091,0.7366924,689,6,60,0,46,3,7.1852,0.0506,0.0271,11,10,1,0,1,1.7904,0.9114,1.0327841,0.2960917,0.7366924
Marseille,22,Lens,Away,Ligue 1,2021,4141,3421,2,1.325936496,0.4786673,0,0.02937636,10,7,70.0000,0.0000,0,0.714088054,0.6471033,0,0.066984726,9,3,29.1375,53,55.6313993,0.5066865,595,3,23,2,10,7,18.3333,0.0365,0.0244,7,6,2,0,3,1.9578,0.7338,0.9412795,0.434593,0.5066865
Marseille,23,Angers,Home,Ligue 1,2021,41212,352,5,2.293714208,1.7668183,0,0.487380605,18,8,44.4444,0.0000,2,1.006130157,1.0061301,0.523334742,0,4,2,54.39,60,66.8246445,0.8332259,577,7,22,3,19,3,9,0.0389,0.0294,13,13,0,0,3,2.304,0.4992,1.0679517,0.2347258,0.8332259
Marseille,24,Metz,Away,Ligue 1,2021,433,541,2,2.022807368,1.3220806,0.343013734,0.700726792,13,5,38.4615,0.0000,1,0.756210655,0.6538979,0.071392536,0.056829531,11,4,33.075,55,55.8951965,0.4936,477,6,23,2,16,1,17.0556,0.0548,0.0393,11,6,2,0,3,2.3148,0.4824,0.6474961,0.1538961,0.4936
Marseille,25,Clermont,Home,Ligue 1,2021,433,433,0,1.2835982,0.6410717,0,0.6425263,18,4,22.2222,0.0000,2,0.95244909,0.5852867,0,0.3671624,0,3,58.8,65,78.4431137,0.6794175,737,5,34,0,26,4,10.7273,0.0334,0.0195,9,11,2,0,0,1.5674,1.1222,1.1755604,0.4961429,0.6794175
Marseille,26,Troyes,Away,Ligue 1,2021,433,352,1,1.066877783,0.0592954,0,0.138702629,8,3,37.5000,0.0000,1,1.854190883,1.555666,0.561420202,0.254984844,9,3,31.8675,58,48.7179487,0.1858964,593,10,8,0,12,2,14.1818,0.0247,0.0134,14,8,3,0,1,0.6638,2.0588,0.3083966,0.1225002,0.1858964
Marseille,27,Monaco,Home,Ligue 1,2021,4231,442,0,0.7495963,0.4856202,0,0.2639761,14,2,14.2857,0.0000,1,0.72903714,0.6959418,0,0.0330953,5,3,41.4225,67,65.3136531,0.4991427,666,11,30,3,24,6,7.9697,0.0372,0.0194,9,13,2,0,0,1.305,1.302,1.0829978,0.5838551,0.4991427
