Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Monaco,1,Toulouse,Home,Ligue 1,2017,442,433,3,1.891132599,1.206079,0,0.507005541,17,7,41.1765,0.0000,2,0.232627494,0.1398281,0,0.04333261,6,3,44.6775,71,66.6666666,0.3565866,492,10,29,0,28,5,5.3871,0.0432,0.0158,21,12,1,0,3,2.6244,0.2268,0.5341735,0.1775869,0.3565866
Monaco,2,Dijon,Away,Ligue 1,2017,442,541,4,1.717127152,0.8119942,0,0.78647829,16,6,37.5000,0.0000,1,1.147166045,0.6945421,0,0.271867148,15,3,32.76,52,46.26865672,0.6357486,414,7,17,1,22,5,10.4815,0.0199,0.0069,10,12,2,0,3,1.7982,0.9378,0.7629323,0.1271837,0.6357486
Monaco,3,Metz,Away,Ligue 1,2017,442,4231,1,1.869578345,1.428222,0,0.31662528,22,5,22.7273,0.0000,0,0.991559166,0.8621478,0.330560058,0.129411297,10,5,38.85,57,60.2316602,0.6041567,489,21,33,2,26,5,7.975,0.1591,0.1035,16,16,1,0,3,2.0696,0.6884,0.9930066,0.3888499,0.6041567
Monaco,4,Marseille,Home,Ligue 1,2017,442,541,6,4.191944301,1.365441,0,1.26300532,14,8,57.1429,0.0000,1,1.328402907,1.3093742,0,0,11,3,35.3325,47,44.6327683,0.6803437,390,7,26,1,10,1,14.08,0.0113,0.0083,14,11,2,0,3,2.8186,0.1186,0.8621063,0.1817626,0.6803437
Monaco,5,Nice,Away,Ligue 1,2017,442,442,0,0.843194452,0.2883542,0,0.554840345,11,1,9.0909,0.0000,4,3.365882586,2.1851036,0.935792208,0.399030004,10,5,51.555,55,65.470852,0.5099267,465,5,25,0,31,3,9.5714,0.0834,0.0198,19,14,2,0,0,0.1058,2.8334,0.8006058,0.2906791,0.5099267
Monaco,6,Strasbourg,Home,Ligue 1,2017,442,4231,3,2.377385565,2.1140012,0,0.062353484,14,5,35.7143,0.0000,0,0.774055762,0.1371511,0,0.561769843,11,1,29.19,60,63.8297872,1.0179872,493,10,30,1,21,7,8.8889,0.0753,0.07,12,13,2,0,3,2.5642,0.2902,1.2752772,0.25729,1.0179872
Monaco,7,Lille,Away,Ligue 1,2017,442,541,4,2.733450075,1.9517011,0,0,12,7,58.3333,0.0000,0,1.038395134,0.9729354,0,0.025064383,11,2,30.87,37,43.438914,0.2691787,338,14,11,3,5,0,13.7353,0.1146,0.109,18,14,2,0,3,2.538,0.3246,0.5241966,0.2550179,0.2691787
Monaco,8,Montpellier,Home,Ligue 1,2017,442,3412,1,0.797672573,0.7120621,0.09546873,0.062910754,8,1,12.5000,0.0000,1,0.86262925,0.6173062,0,0.165396493,15,3,29.4,52,49.1735537,0.5273033,435,8,14,2,17,2,8.0571,0.0396,0.0243,12,19,3,0,1,1.298,1.346,0.7531432,0.2258399,0.5273033
Monaco,9,Lyon,Away,Ligue 1,2017,4231,4411,2,1.771311728,1.4917329,0,0.259763874,14,7,50.0000,0.0000,3,2.018321174,1.5590598,0,0.379529074,22,7,25.62,39,48.1481481,0.3668476,305,6,22,1,16,1,13.9259,0.0407,0.022,9,15,1,0,0,1.209,1.5432,0.5424619,0.1756143,0.3668476
Monaco,10,Caen,Home,Ligue 1,2017,4231,4231,2,2.350272615,1.332147,0.498685002,0.21326459,15,6,40.0000,0.0000,0,0.438972615,0.2726904,0,0.166282222,9,1,34.86,48,51.243781,0.3805824,325,19,21,5,21,5,6.9024,0.1715,0.1403,15,12,3,0,3,2.7184,0.178,0.6355403,0.2549579,0.3805824
Monaco,11,Bordeaux,Away,Ligue 1,2017,4231,433,2,1.028144002,0.918462,0,0.10968205,12,5,41.6667,0.0000,0,1.333513582,1.2755499,0.032014206,0.057963748,12,4,29.925,46,50.7042253,0.4410533,373,14,22,1,22,2,12.069,0.0853,0.0621,21,12,0,0,3,1.1102,1.5872,0.62675,0.1856967,0.4410533
Monaco,12,Guingamp,Home,Ligue 1,2017,4231,433,6,3.000120006,2.218371,0,0,18,9,50.0000,0.0000,0,0.368017369,0.3477637,0.070191696,0.020253688,12,3,40.005,50,52.9100529,0.6637542,446,12,28,2,16,1,8.5814,0.0601,0.0497,9,17,1,0,3,2.8656,0.084,1.008385,0.3446308,0.6637542
Monaco,13,Amiens,Away,Ligue 1,2017,442,4231,1,0.823653713,0.6485943,0,0.175059369,15,4,26.6667,0.0000,1,1.395201564,0.8999844,0,0.495217193,10,2,34.125,64,67.4897119,0.6689008,541,7,22,0,30,4,7.4706,0.0356,0.0297,15,15,3,0,1,0.8486,1.8722,1.0080417,0.3391409,0.6689008
Monaco,14,Paris Saint-Germain,Home,Ligue 1,2017,41212,433,1,0.672881361,0.2922456,0,0.02082582,8,2,25.0000,0.0000,2,3.774778345,2.8573453,0.089805797,0.078855131,18,5,33.18,34,47.4418604,0.366306,322,10,7,4,15,2,13.4872,0.0257,0.0081,13,17,3,0,0,0.0776,2.8856,0.6188267,0.2525207,0.366306
