Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Montpellier,1,Dijon,Home,Ligue 1,2018,343,343,1,1.138729571,0.7244097,0,0.353129029,17,7,41.1765,0.0000,2,2.347272323,0.9407467,0.041545011,0.55283846,10,4,35.7,55,63.01369863,0.3933878,460,10,23,0,26,2,12.1786,0.0585,0.015,19,15,2,0,0,0.5676,2.25,0.48188,0.0884922,0.3933878
Montpellier,2,Amiens,Away,Ligue 1,2018,3412,4231,2,0.274647236,0.2420382,0,0.032608915,7,3,42.8571,0.0000,1,1.100484433,0.1393861,0,0.09834014,11,2,22.05,43,46.9827586,0.2989302,347,6,13,0,16,2,21.2222,0.0027,0.0009,15,15,3,0,3,0.4132,2.3236,0.4407888,0.1418586,0.2989302
Montpellier,3,St Etienne,Home,Ligue 1,2018,3412,4231,0,0.4516797,0.247123,0,0.2045567,14,1,7.1429,0.0000,0,0.3013537,0.2785792,0,0.0227745,9,2,37.59,46,50.4672897,0.3180035,431,9,12,0,21,2,11.5897,0.0219,0.0147,14,12,3,0,1,1.3984,1.075,0.6416244,0.3236209,0.3180035
Montpellier,4,Reims,Away,Ligue 1,2018,3421,433,1,0.407531344,0.2444462,0.096796908,0.163085155,9,3,33.3333,0.0000,0,1.111082426,0.5687094,0,0.519602982,20,6,22.155,43,37.8486055,0.2452196,425,7,11,1,19,2,18.9545,0.0106,0.0094,11,11,0,0,3,0.7246,1.945,0.3820641,0.1368445,0.2452196
Montpellier,5,Strasbourg,Home,Ligue 1,2018,343,3142,1,0.307513978,0.2472145,0,0.037014321,10,3,30.0000,0.0000,1,0.5389437,0.1609913,0,0.377952438,7,1,32.4975,41,49.5762711,0.2188048,336,9,16,0,21,1,14,0.1517,0.1488,13,15,1,0,1,0.9652,1.549,0.3186797,0.0998749,0.2188048
Montpellier,6,Nice,Home,Ligue 1,2018,3412,352,1,1.600447288,0.9096721,0,0.690775167,12,5,41.6667,0.0000,0,0.325017299,0.1655231,0,0.083226087,9,2,29.715,40,50.4545454,0.4640848,381,8,17,1,20,4,15.4839,0.1223,0.1168,9,14,3,0,3,2.4854,0.3302,0.6796254,0.2155406,0.4640848
Montpellier,7,Caen,Away,Ligue 1,2018,532,4231,2,2.274249458,1.2813636,0,0.992885846,16,6,37.5000,0.0000,2,0.90435345,0.6145253,0,0.201879889,11,3,37.905,49,62.3931623,0.5468505,422,9,21,1,26,4,13.1379,0.033,0.0195,9,14,2,1,1,2.3746,0.439,0.7149231,0.1680726,0.5468505
Montpellier,8,Nîmes,Home,Ligue 1,2018,3412,442,3,2.792688489,1.5976676,0,0.235917643,19,6,31.5789,0.0000,0,0.789349323,0.7893493,0,0,11,3,36.96,58,64.88888889,0.5177966,425,9,25,1,19,7,8.1935,0.0413,0.0333,18,15,2,0,3,2.6736,0.216,0.6935071,0.1757105,0.5177966
Montpellier,9,Guingamp,Away,Ligue 1,2018,3412,541,1,1.11643852,1.0123603,0,0.104078192,11,5,45.4545,0.0000,1,0.705065401,0.6634824,0,0,7,2,30.6075,59,55.3191489,0.5945263,564,2,21,0,14,3,10.4194,0.0659,0.052,10,17,1,1,1,1.6836,0.9702,0.6799418,0.0854155,0.5945263
Montpellier,10,Bordeaux,Home,Ligue 1,2018,352,433,2,1.71600991,0.7233137,0,0.101117438,13,4,30.7692,0.0000,0,0.768562931,0.6011688,0,0.167394087,12,3,42.6825,41,47.7832512,0.1994241,388,7,14,0,16,2,12.025,0.1624,0.0299,10,13,2,0,3,2.1824,0.587,0.3445381,0.145114,0.1994241
