Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Nantes,1,Lille,Away,Ligue 1,2017,442,541,0,1.195250507,1.1220126,0,0.049516581,9,4,44.4444,0.0000,3,1.924938199,1.0102039,0,0.132985339,14,5,30.555,38,43.0555555,0.3584691,300,7,11,2,13,1,9.186,0.0292,0.0225,11,17,3,0,0,0.7974,1.9446,0.5908781,0.232409,0.3584691
Nantes,2,Marseille,Home,Ligue 1,2017,442,4231,0,1.042497952,0.9369732,0,0.105524775,14,3,21.4286,0.0000,1,1.957521371,1.7924607,0,0.110953568,13,10,23.52,36,44.7698744,0.4755614,259,7,21,1,24,3,17.9524,0.0063,0.0055,12,13,1,0,0,0.859,1.8334,0.7433146,0.2677532,0.4755614
Nantes,3,Troyes,Away,Ligue 1,2017,4231,4231,1,0.7189299,0.5641738,0,0.154756,11,4,36.3636,0.0000,0,0.90368793,0.9036878,0,0,8,1,30.66,35,42.4657534,0.1259064,327,9,19,1,26,4,14.6452,0.0978,0.0543,7,8,0,1,3,1.133,1.4954,0.2966928,0.1707864,0.1259064
Nantes,4,Lyon,Home,Ligue 1,2017,442,4231,0,0.297926723,0.2130263,0,0,6,2,33.3333,0.0000,0,0.94799143,0.8476094,0,0.100382105,16,3,31.3425,38,43.5897435,0.4503896,374,4,9,0,11,3,16.3,0.0076,0.0037,10,13,1,0,1,0.6752,1.9682,0.3422515,-0.1081381,0.4503896
Nantes,5,Montpellier,Away,Ligue 1,2017,4231,442,1,0.622554017,0.2548266,0,0.24618965,12,4,33.3333,0.0000,0,0.391581888,0.3296615,0,0.061920311,11,3,20.265,40,39.5256916,0.1454954,337,8,8,0,11,3,15.4091,0.0165,0.0134,7,12,2,0,3,1.5656,0.9836,0.2318931,0.0863977,0.1454954
Nantes,6,Caen,Home,Ligue 1,2017,4231,442,1,0.379534659,0.3575738,0,0,8,4,50.0000,0.0000,0,0.222052306,0.2220523,0,0,8,1,31.5,45,50.9433962,0.6436085,397,11,23,0,16,2,12.6563,0.0619,0.0468,11,12,0,0,3,1.3992,1.0092,0.8869015,0.243293,0.6436085
Nantes,7,Strasbourg,Away,Ligue 1,2017,442,41212,2,0.59112516,0.4878516,0.05515575,0.103273666,12,4,33.3333,0.0000,1,1.130260746,0.8760679,0,0.231305989,21,5,18.2175,31,30.9090909,0.1060426,270,9,10,1,11,0,18.6667,0.0448,0.0341,7,5,1,0,3,0.8858,1.8056,0.2005377,0.0944951,0.1060426
Nantes,8,Metz,Home,Ligue 1,2017,442,4231,1,2.021570684,1.8680757,0.346836478,0.153494934,15,6,40.0000,0.0000,0,1.272595834,0.370986,0,0.119860847,9,1,30.555,53,52.9411764,0.2666084,479,12,24,0,21,1,12.0357,0.0418,0.034,9,14,2,0,3,1.7398,0.9484,0.6704044,0.403796,0.2666084
Nantes,9,Bordeaux,Away,Ligue 1,2017,4231,433,1,1.448181391,1.1234925,0,0.268809885,14,4,28.5714,0.0000,1,0.910089834,0.7739155,0,0.070145462,18,3,20.58,44,53.2751091,0.310549,336,11,9,0,17,3,13.96,0.0255,0.0183,13,15,2,0,1,1.841,0.8732,0.3062175,-0.0043315,0.310549
Nantes,10,Guingamp,Home,Ligue 1,2017,4231,433,2,0.623820765,0.4814371,0,0.103253067,9,3,33.3333,0.0000,1,0.817510206,0.6973411,0.485106945,0.097356755,10,4,26.67,44,40.625,0.2511528,401,9,10,0,16,2,13.931,0.0444,0.0366,12,13,3,0,3,1.0738,1.5526,0.5557272,0.3045744,0.2511528
