Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Nice,1,Toulouse,Away,Ligue 1,2022,433,4231,1,0.888508442,0.8110122,0,0,11,4,36.3636,0.0000,1,1.227117468,1.0288891,0,0.198228389,0,4,26.3025,54,52.0912547,0.4479201,544,14,23,1,14,0,14.5833,0.0548,0.0499,9,8,2,0,1,1.0354,1.6576,0.702629,0.2548665,0.4479201
Nice,2,Strasbourg,Home,Ligue 1,2022,4231,352,1,1.377553039,0.4964879,0,0.0468647,13,3,23.0769,0.0000,1,1.29336044,1.2492938,0,0.044066533,9,5,35.595,54,50.627615,0.3317795,532,15,20,1,23,2,14.875,0.0144,0.0116,13,7,1,0,1,1.4146,1.2868,0.78085,0.4490705,0.3317795
Nice,3,Clermont,Away,Ligue 1,2022,4231,4231,0,1.5720959,1.4183118,0,0.1537841,13,4,30.7692,0.0000,1,0.73043716,0.6380408,0,0.0923963,7,2,48.51,52,64.9253731,0.3460874,553,6,25,0,23,5,11.5833,0.0277,0.0168,3,21,0,2,0,2.0112,0.6882,0.4556987,0.1096113,0.3460874
Nice,4,Marseille,Home,Ligue 1,2022,4231,3421,0,0.577806799,0.3846343,0,0.11554419,16,2,12.5000,0.0000,3,1.262883199,1.1382459,0,0.12463727,13,4,25.3575,49,39.7683397,0.3261664,436,5,17,0,17,2,13.3913,0.0137,0.0105,14,7,1,0,0,0.7348,1.9714,0.579241,0.2530746,0.3261664
Nice,5,Lille,Away,Ligue 1,2022,352,4231,2,1.601345824,0.0378478,0,0,3,2,66.6667,0.0000,1,0.989890722,0.6587989,0,0.331091856,18,6,17.4825,37,31.2,-0.0120502,326,6,12,0,14,1,18.3684,0.0242,0.0202,14,21,4,0,3,2.0288,0.7154,0.0835881,0.0932394,-0.0120502
Nice,6,Monaco,Home,Ligue 1,2022,3421,3421,0,0.748167,0.377497,0,0.37067,12,5,41.6667,0.0000,1,1.00638438,0.9538281,0,0.0525563,14,2,28.1925,52,32.7974276,0.2591994,522,8,22,0,16,1,12.0455,0.0125,0.0082,12,10,2,0,0,1.0542,1.6104,0.5411329,0.2819335,0.2591994
Nice,7,Ajaccio,Away,Ligue 1,2022,442,442,1,0.9037367,0.7758954,0,0.1278413,12,3,25.0000,0.0000,0,0.45037073,0.4115973,0.121707201,0.0387734,9,3,31.4475,56,48.5829959,0.4392071,502,11,22,1,9,0,9.9032,0.0182,0.01,9,11,5,0,3,1.7522,0.8816,0.6912663,0.2520592,0.4392071
Nice,8,Angers,Home,Ligue 1,2022,442,4231,0,1.091092421,0.8551219,0,0.216471556,18,5,27.7778,0.0000,1,1.590211436,1.4581616,0,0.054292802,16,3,19.74,50,36.8181818,0.4597645,420,5,13,0,15,0,12.2609,0.0485,0.0115,9,9,0,1,0,0.982,1.7488,0.5632272,0.1034627,0.4597645
Nice,9,Paris Saint-Germain,Away,Ligue 1,2022,541,3421,1,0.920660861,0.8793685,0,0.041292243,4,1,25.0000,0.0000,2,0.74830774,0.337554,0,0.161202349,12,4,31.71,43,41.6666666,0.2232499,485,9,12,0,12,3,13.5833,0.0522,0.0113,12,9,1,0,0,1.5898,1.0474,0.7688358,0.5455859,0.2232499
Nice,10,Troyes,Home,Ligue 1,2022,343,541,3,2.361222047,1.5057748,0.439339574,0.050388176,14,6,42.8571,0.0000,2,1.623809768,1.5869948,0,0.036814876,17,6,30.24,61,57.6036866,0.6216537,615,9,26,2,15,4,10.9259,0.0342,0.0291,8,8,1,0,3,2.044,0.7426,0.9986242,0.3769705,0.6216537
