Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Paris Saint-Germain,1,Caen,Home,Ligue 1,2018,433,-1,3,2.872812307,2.6887181,0.768899739,0.0163336,11,8,72.7273,0.0000,0,0.123302612,0.0669784,0,0.034170282,5,1,44.94,66,80.0847457,0.8875476,782,14,27,6,12,2,12,0.0347,0.0248,7,13,1,0,3,2.9454,0.0306,1.2478638,0.3603162,0.8875476
Paris Saint-Germain,2,Guingamp,Away,Ligue 1,2018,433,-1,3,2.105518683,1.1311061,0,0.160376348,17,7,41.1765,0.0000,1,1.180662568,1.146627,0,0.034035554,11,3,40.32,66,64.3382352,0.8206843,605,14,23,7,11,2,5.25,0.1359,0.1267,15,16,1,0,3,2.1154,0.6496,1.231042,0.4103577,0.8206843
Paris Saint-Germain,3,Angers,Home,Ligue 1,2018,3412,-1,3,1.725320857,1.7253208,0,0,13,5,38.4615,0.0000,1,1.42735223,0.6456032,0.022597605,0,11,6,34.5975,60,72.3837209,0.8175784,679,16,41,8,25,5,9.5897,0.0828,0.0452,1,10,2,0,3,1.608,1.1112,1.1270636,0.3094852,0.8175784
Paris Saint-Germain,4,Nîmes,Away,Ligue 1,2018,4231,-1,4,2.388580367,2.1359123,0.516425669,0.252668053,7,5,71.4286,0.0000,2,1.412017373,0.436743,0,0.070972731,14,6,31.9725,61,44.6009389,0.7798361,508,10,12,3,9,6,7.4,0.0415,0.0138,11,11,3,1,3,2.4996,0.3582,1.1776671,0.397831,0.7798361
Paris Saint-Germain,5,St Etienne,Home,Ligue 1,2018,433,-1,4,2.502448063,1.6160418,0,0.10465722,16,9,56.2500,0.0000,0,0.78950045,0.5418979,0,0.183448203,11,2,35.6475,64,69.0298507,0.8293025,668,4,34,5,16,2,12.3043,0.0195,0.0142,13,12,1,0,3,2.5392,0.3198,1.3880567,0.5587542,0.8293025
Paris Saint-Germain,6,Rennes,Away,Ligue 1,2018,433,-1,3,1.53155469,1.5125943,0,0.018960455,15,6,40.0000,293.3333,1,1.294630732,0.654166,0,0.339404577,15,4,34.65,61,62.9955947,0.6191943,536,12,22,6,11,8,11.4783,0.0451,0.0151,11,17,3,0,3,1.5504,1.1448,0.9849171,0.3657228,0.6191943
Paris Saint-Germain,7,Reims,Home,Ligue 1,2018,4231,-1,4,3.330482575,1.6583809,0,0.864718169,15,7,46.6667,0.0000,1,0.289877051,0.1791233,0,0.110753683,9,3,41.79,72,78.2771535,1.1516677,713,9,36,6,16,7,7.1429,0.0653,0.0413,13,12,0,0,3,2.9392,0.0364,1.5288309,0.3771632,1.1516677
Paris Saint-Germain,8,Nice,Away,Ligue 1,2018,3421,-1,3,3.036468601,2.891288,0.55171068,0.105421117,20,9,45.0000,0.0000,0,0.342889618,0.2846902,0,0.058199406,9,1,29.82,62,72.8205128,0.6962345,577,6,37,3,13,4,8.6571,0.0341,0.0111,13,12,2,0,3,2.8522,0.0886,1.1020197,0.4057852,0.6962345
Paris Saint-Germain,9,Lyon,Home,Ligue 1,2018,4231,-1,5,4.089451392,3.3077024,0.494093686,0,14,8,57.1429,0.0000,0,1.487409214,1.049696,0,0.302166942,16,6,25.41,48,42.4242424,0.8993171,434,6,31,10,3,2,9.2647,0.0294,0.0209,16,11,2,1,3,2.7236,0.197,1.4174606,0.5181435,0.8993171
Paris Saint-Germain,10,Amiens,Home,Ligue 1,2018,433,-1,5,2.494746117,1.7444695,0,0.60423829,16,8,50.0000,0.0000,0,0.462281259,0.3793807,0,0.082900547,8,2,28.98,59,57.0175438,0.654466,558,12,27,3,20,7,10.9231,0.0726,0.056,8,12,0,0,3,2.7176,0.1814,1.152195,0.497729,0.654466
Paris Saint-Germain,11,Marseille,Away,Ligue 1,2018,3421,-1,2,1.396840135,1.3271398,0.965053126,0.069700357,13,6,46.1538,0.0000,0,0.419561567,0.2348292,0,0.128885388,12,2,30.975,53,47.755102,0.4086948,491,10,32,3,13,4,7.7632,0.0378,0.0241,11,15,2,0,3,2.2506,0.5004,0.8169774,0.4082826,0.4086948
Paris Saint-Germain,12,Lille,Home,Ligue 1,2018,352,-1,2,2.387236582,1.8141123,0,0.532762179,19,5,26.3158,0.0000,1,0.917322136,0.1355731,0.040585041,0,6,2,46.41,66,73.8461538,0.7093191,648,28,36,4,15,5,5.434,0.2004,0.1625,12,16,2,0,3,2.4544,0.3682,1.1932656,0.4839465,0.7093191
Paris Saint-Germain,13,Monaco,Away,Ligue 1,2018,3421,-1,4,3.748512118,2.8873256,0.089843735,0.079437552,14,9,64.2857,0.0000,0,1.339335681,1.2439186,0.0938657,0.095417053,15,2,39.69,66,64.7058823,1.0965602,586,15,37,12,11,5,7.4333,0.0319,0.0111,15,10,0,0,3,2.753,0.1706,1.6310239,0.5344637,1.0965602
Paris Saint-Germain,14,Toulouse,Home,Ligue 1,2018,3421,-1,1,1.4794539,1.1136668,0,0.3657871,9,2,22.2222,0.0000,0,0.55817766,0.4510837,0.13771914,0.1070939,11,3,33.18,73,78.8643533,0.7945338,722,7,24,4,26,3,9.9524,0.0606,0.0512,8,12,0,0,3,2.1502,0.601,1.3351617,0.5406279,0.7945338
Paris Saint-Germain,15,Bordeaux,Away,Ligue 1,2018,3421,-1,2,1.4817447,1.4817447,0.630822048,0,9,2,22.2222,0.0000,2,0.85538524,0.5644597,0,0.2909253,18,4,28.875,64,62.109375,0.7149881,662,15,30,4,14,3,7.8889,0.0711,0.0282,12,12,2,0,1,1.932,0.8028,1.0290313,0.3140432,0.7149881
Paris Saint-Germain,16,Strasbourg,Away,Ligue 1,2018,352,-1,1,2.247466205,0.4677982,0,0.842399733,20,5,25.0000,0.0000,1,0.963769959,0.182021,0.08634536,0,0,2,48.3525,68,77.739726,0.8415289,626,6,40,1,26,5,7.2941,0.036,0.0282,12,14,3,0,1,2.378,0.4172,1.1329145,0.2913856,0.8415289
Paris Saint-Germain,17,Montpellier,Home,Ligue 1,2018,442,-1,5,4.003844544,3.3421957,0.488965347,0.639648955,18,9,50.0000,0.0000,1,1.232818759,1.0907941,0,0.119805988,15,7,42.21,65,70.1818181,1.7261427,712,14,38,12,14,4,9.125,0.0515,0.0243,11,11,2,0,3,2.7662,0.1634,2.181505,0.4553623,1.7261427
Paris Saint-Germain,18,Dijon,Away,Ligue 1,2018,352,-1,4,2.579321927,2.2683523,0,0.179636806,16,7,43.7500,0.0000,0,0.311156457,0.2463113,0,0.064845227,9,2,41.8425,62,66.4948453,0.800119,686,15,27,8,10,4,12.1429,0.0235,0.0131,15,5,1,0,3,2.8312,0.103,1.3217858,0.5216668,0.800119
Paris Saint-Germain,19,Nantes,Home,Ligue 1,2018,4222,-1,1,2.3354445,1.5321845,0.134614021,0.80326,23,3,13.0435,0.0000,0,0.39441121,0.3485204,0,0.0458909,11,2,43.26,68,76.060606,1.026526,689,15,41,2,17,1,8.7742,0.0418,0.0333,10,7,2,0,3,2.7276,0.1692,1.4875327,0.4610067,1.026526
Paris Saint-Germain,20,Amiens,Away,Ligue 1,2018,4312,-1,3,2.391416668,1.2608281,0.444682628,0.251016192,20,9,45.0000,0.0000,0,0.264689626,0.2646896,0.119347602,0,4,1,54.6,74,87.6447876,0.777929,653,9,42,3,26,2,5.9189,0.0549,0.033,15,16,0,0,3,2.8018,0.1228,1.1556785,0.3777495,0.777929
Paris Saint-Germain,21,Guingamp,Home,Ligue 1,2018,4222,-1,9,5.300788806,4.6031405,0,0.644050185,26,12,46.1538,0.0000,0,0.039356581,0.0393566,0,0,0,0,49.035,68,91.3846153,2.3085983,618,18,49,3,12,8,6.0698,0.0562,0.046,7,11,1,0,3,2.9976,0.0012,3.0035548,0.6949565,2.3085983
Paris Saint-Germain,22,Rennes,Home,Ligue 1,2018,4222,-1,4,2.597014956,2.531915,0.201197848,0.065099955,16,7,43.7500,0.0000,1,0.9536982,0.8533936,0,0.078842901,10,3,32.13,57,49.7584541,0.5186521,585,9,28,3,11,0,11.0667,0.0274,0.0129,7,8,1,0,3,2.4492,0.3954,1.1766955,0.6580434,0.5186521
Paris Saint-Germain,23,Lyon,Away,Ligue 1,2018,352,-1,1,1.317070907,0.9023398,0.06771915,0.4147311,16,9,56.2500,0.0000,2,3.035381271,2.0397391,0.060631774,0.213893309,14,10,33.0225,55,56.0185185,0.490184,560,7,27,1,20,3,14.25,0.0169,0.0076,10,12,2,0,0,0.3776,2.4944,0.8092654,0.3190814,0.490184
Paris Saint-Germain,24,Bordeaux,Home,Ligue 1,2018,442,-1,1,2.32741461,1.445815,0,0.099850606,10,3,30.0000,0.0000,0,0.980585488,0.5715921,0.068619326,0.408993337,8,3,28.7175,65,67.2645739,1.0600921,573,16,24,5,13,1,10.0435,0.0231,0.0231,21,14,3,0,3,2.283,0.5202,1.4287836,0.3686915,1.0600921
Paris Saint-Germain,25,St Etienne,Away,Ligue 1,2018,352,-1,1,1.1506461,1.0369857,0.488508098,0.1136604,11,3,27.2727,0.0000,0,0.5736421,0.5141465,0,0.0594955,11,2,33.18,58,54.5454545,0.6062925,588,11,24,9,10,2,9.2059,0.0172,0.012,8,18,5,0,3,1.8926,0.7892,0.9018406,0.2955481,0.6062925
Paris Saint-Germain,26,Nîmes,Home,Ligue 1,2018,343,-1,3,4.043829713,3.8732734,0.492678732,0.148340384,21,7,33.3333,0.0000,0,0.558030336,0.1267388,0,0.431291538,8,3,41.8425,71,73.3990147,1.4472022,649,18,37,8,16,11,6.0513,0.0415,0.0371,9,15,3,0,3,2.9228,0.0452,1.9299482,0.482746,1.4472022
Paris Saint-Germain,27,Caen,Away,Ligue 1,2018,442,-1,2,4.1049984,2.4902129,0.549549989,0.833036615,25,7,28.0000,0.0000,1,0.447399774,0.0716826,0.030456709,0.375717094,7,2,45.885,72,82.4786324,0.8040923,596,9,34,2,29,6,5.3784,0.0289,0.0162,10,13,1,0,3,2.9752,0.0154,0.8997598,0.0956675,0.8040923
Paris Saint-Germain,28,Nantes,Away,Ligue 1,2018,442,-1,2,0.516435972,0.516436,0,0,9,6,66.6667,188.8889,3,1.776221954,1.4251368,0.088943817,0.324555523,15,7,34.125,71,64.6226415,0.6324021,648,12,22,3,15,2,7.0345,0.0215,0.0197,13,14,3,0,0,0.4248,2.382,0.9460198,0.3136177,0.6324021
Paris Saint-Germain,29,Marseille,Home,Ligue 1,2018,352,-1,3,1.185865068,0.2417109,0.115617987,0,9,7,77.7778,0.0000,1,0.186024867,0.1099654,0,0.076059416,3,2,41.79,62,67.5862068,0.4203714,564,12,15,6,9,2,10.8571,0.0319,0.0285,18,11,4,0,3,2.4816,0.3066,0.5778698,0.1574984,0.4203714
Paris Saint-Germain,30,Toulouse,Away,Ligue 1,2018,352,-1,1,1.317042313,1.1710134,0.750653438,0.102982402,10,4,40.0000,0.0000,0,1.138005746,0.6108883,0,0.527117412,9,3,41.055,65,65.7258064,0.6353764,607,6,39,1,18,6,5.6364,0.0271,0.017,13,14,1,0,3,1.4648,1.2002,1.0159292,0.3805528,0.6353764
Paris Saint-Germain,31,Strasbourg,Home,Ligue 1,2018,442,-1,2,2.7941123,2.5326158,0,0.2614964,21,6,28.5714,0.0000,2,0.47292329,0.334537,0.212471955,0.1383863,9,4,42.42,74,87.7142857,1.3698226,758,16,53,11,27,0,9.0417,0.0478,0.0314,10,7,0,0,1,2.7586,0.157,1.8650956,0.495273,1.3698226
