Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Reims,1,Marseille,Away,Ligue 1,2022,433,3421,1,0.8787963,0.5471516,0,0.3316447,16,6,37.5000,93.7500,4,2.63500748,2.321854,0.76690948,0.3131535,17,6,22.155,44,38.6178861,0.5856972,379,8,24,2,18,1,15,0.0429,0.0159,13,10,0,0,0,0.297,2.5758,0.8052113,0.2195141,0.5856972
Reims,2,Clermont,Home,Ligue 1,2022,3421,4231,2,2.582111925,1.0186139,0,0,9,6,66.6667,0.0000,4,1.626311266,0.2016025,0,0.642959798,10,5,44.415,41,48.3516483,0.5211337,315,9,16,2,12,2,9.3,0.1567,0.134,7,18,3,1,0,2.1454,0.622,0.651907,0.1307733,0.5211337
Reims,3,Strasbourg,Away,Ligue 1,2022,3412,352,1,2.164101303,2.079185,0.280305952,0.063558007,12,6,50.0000,0.0000,1,1.133961326,0.4601257,0,0.585121347,12,3,33.285,36,34.8214285,0.6937474,304,9,26,1,13,2,12.4194,0.0204,0.0057,11,16,4,0,1,2.1328,0.649,0.9214287,0.2276813,0.6937474
Reims,4,Lyon,Home,Ligue 1,2022,3412,433,1,0.677187044,0.6000291,0.026363771,0,8,5,62.5000,0.0000,1,1.429022745,1.283582,0,0.10384491,18,5,22.6275,26,25.0755287,0.2452959,244,7,14,5,6,1,13.7,0.1571,0.0093,12,12,1,1,1,0.7776,1.9356,0.3476954,0.1023995,0.2452959
Reims,5,Angers,Away,Ligue 1,2022,3412,3142,4,2.364158943,1.5534083,0.260376126,0,11,5,45.4545,0.0000,2,1.199159255,0.2589414,0,0.134619027,10,3,34.23,42,44.493392,0.2806433,333,12,20,4,9,3,10.8824,0.0337,0.0155,8,15,4,1,3,2.2936,0.5002,0.5062094,0.2255661,0.2806433
Reims,6,Lens,Home,Ligue 1,2022,3412,343,1,1.68647433,1.3126218,0,0.286362296,17,4,23.5294,0.0000,1,1.742463518,1.7233479,0,0.019115618,20,4,29.2425,36,40,0.7953513,317,5,19,2,17,1,14,0.0454,0.0309,11,9,2,0,1,1.3458,1.395,1.2043548,0.4083901,0.7953513
Reims,7,Toulouse,Away,Ligue 1,2022,3412,541,0,0.708789914,0.6420644,0,0.066725517,11,1,9.0909,0.0000,1,2.435063412,2.360391,0.306403965,0.027022531,14,3,35.2275,53,50.4273504,0.4282714,438,9,21,1,21,0,12.2,0.0278,0.0155,17,11,2,1,0,0.2834,2.5922,0.4283057,0.0000343,0.4282714
Reims,8,Monaco,Home,Ligue 1,2022,3412,442,0,0.2616332,0.236173,0,0.0254602,9,2,22.2222,0.0000,3,2.08599913,2.0352054,0.149673432,0.0507939,20,11,27.0375,32,27.0833333,0.2204576,256,13,11,7,15,4,14.92,0.0305,0.0272,16,14,3,0,0,0.2164,2.6446,0.311529,0.0910714,0.2204576
Reims,9,Troyes,Away,Ligue 1,2022,3412,532,2,1.252500542,0.4852174,0,0.76728306,5,2,40.0000,0.0000,2,1.79407295,1.3800475,0,0.336800234,19,6,21.0525,33,21.3178294,0.1392162,276,7,9,0,8,1,17.3,0.0222,0.0092,12,13,2,1,1,0.9624,1.773,0.279109,0.1398928,0.1392162
Reims,10,Paris Saint-Germain,Home,Ligue 1,2022,352,3421,0,1.756540632,0.7904163,0,0.860228082,24,4,16.6667,0.0000,0,1.023988906,0.8319167,0,0.12130174,11,3,41.685,36,45.338983,0.5777499,339,9,27,0,16,2,11.3171,0.0341,0.0157,12,20,3,0,1,1.8644,0.8744,1.124425,0.5466751,0.5777499
