Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Rennes,1,Lens,Home,Ligue 1,2021,433,3412,1,0.565224588,0.4367925,0.073845476,0.03708227,10,2,20.0000,0.0000,1,2.225573366,0.9653994,0,1.260173954,11,6,33.81,60,55.721393,0.2554502,526,9,21,2,13,0,9.9615,0.1704,0.1591,13,10,0,0,1,0.3098,2.5382,0.5999314,0.3444812,0.2554502
Rennes,2,Brest,Away,Ligue 1,2021,433,4231,1,1.1162092,0.9684257,0,0.1477835,6,2,33.3333,0.0000,1,1.69840603,1.6086009,1.005359024,0.089805,10,5,29.085,60,50.4385964,0.4828091,520,12,23,1,19,2,8.0938,0.25,0.0434,7,16,3,0,1,1.0052,1.6904,0.6681512,0.1853421,0.4828091
Rennes,3,Nantes,Home,Ligue 1,2021,4231,442,1,0.8580827,0.7656625,0,0.0924201,14,5,35.7143,0.0000,0,0.23106837,0.1559106,0,0.0751577,4,1,41.37,62,54.950495,0.5697536,523,10,21,1,22,1,10.1739,0.0197,0.0054,12,13,2,0,3,1.9326,0.675,0.7618656,0.192112,0.5697536
Rennes,4,Angers,Away,Ligue 1,2021,4231,3412,0,0.975665039,0.742501,0.643429399,0.210402437,7,2,28.5714,0.0000,2,2.477562696,2.3337535,0.08897575,0.081246745,16,4,20.3175,47,46.7181467,0.7131564,488,4,20,0,14,3,23.0588,0.0403,0.0158,13,10,0,1,0,0.3942,2.4306,0.6790135,-0.0341429,0.7131564
Rennes,5,Reims,Home,Ligue 1,2021,433,3142,0,0.762259215,0.5290904,0,0.180661898,10,1,10.0000,0.0000,2,0.814074418,0.7296125,0.041544642,0.084461879,7,3,40.635,64,71.09375,0.5649571,564,8,15,0,18,4,8.8333,0.0335,0.0183,11,18,1,0,0,1.2154,1.4152,0.9992815,0.4343244,0.5649571
Rennes,6,Marseille,Away,Ligue 1,2021,442,3331,0,1.107553735,0.7058342,0,0.318203641,13,2,15.3846,0.0000,2,1.931588967,1.3897399,0.065927498,0.459768487,17,6,24.36,35,37.3949579,0.2863276,291,3,16,0,16,3,13.6207,0.0423,0.0139,5,17,2,0,0,0.7154,2.0486,0.4622396,0.175912,0.2863276
Rennes,7,Clermont,Home,Ligue 1,2021,433,4231,6,2.8210386,2.6473475,0.040184725,0.1736912,21,10,47.6190,0.0000,0,0.33645213,0.2650028,0,0.0714493,4,1,46.305,56,64.8044692,0.4372793,521,9,24,4,16,1,9.3158,0.0315,0.0133,5,14,1,0,3,2.8564,0.0904,1.1868104,0.7495311,0.4372793
Rennes,8,Bordeaux,Away,Ligue 1,2021,442,3421,1,1.518709645,1.4018312,0.115411624,0.116878482,18,8,44.4444,0.0000,1,0.743158837,0.2365074,0,0.419121377,10,3,36.75,54,54.1666666,0.6264508,389,11,33,0,12,3,7.6471,0.1221,0.1008,5,20,4,0,1,1.9862,0.7484,0.8831911,0.2567403,0.6264508
Rennes,9,Paris Saint-Germain,Home,Ligue 1,2021,442,4231,2,1.194656224,1.1336298,0,0.061026361,12,4,33.3333,0.0000,0,1.256454824,1.0775988,0,0.01363841,13,0,25.305,33,35.56231,0.2871208,282,5,21,0,16,2,15.2917,0.0472,0.0343,4,9,2,0,3,1.2874,1.4164,0.3316934,0.0445726,0.2871208
Rennes,10,Metz,Away,Ligue 1,2021,442,4141,3,3.163417144,2.2457559,0,0.915523971,21,8,38.0952,0.0000,0,1.002273675,0.96219,0.088552319,0.032837802,9,2,39.795,65,61.2745098,1.2813551,655,8,39,3,24,6,12.4348,0.0782,0.0616,13,9,1,0,3,2.6302,0.2572,1.5883789,0.3070238,1.2813551
Rennes,11,Strasbourg,Home,Ligue 1,2021,442,532,1,1.184570292,0.4177996,0,0.766770616,18,3,16.6667,0.0000,0,1.061521979,0.6164559,0.586342752,0.412542419,8,2,25.1475,64,66.6666666,0.6477771,606,7,30,0,24,2,15.6875,0.0335,0.0212,10,6,1,0,3,1.3742,1.2986,0.7905549,0.1427778,0.6477771
Rennes,12,Troyes,Away,Ligue 1,2021,442,541,2,1.8370493,1.333649,0.050892327,0.5034003,13,5,38.4615,0.0000,2,2.00374575,1.3708927,0.297018375,0.6328531,14,5,35.28,62,60.5504587,0.5042687,452,10,31,2,31,3,7.1563,0.0448,0.0385,6,15,1,0,1,1.2856,1.471,0.9018766,0.3976079,0.5042687
Rennes,13,Lyon,Home,Ligue 1,2021,4411,433,4,3.925291534,3.3119979,0.504841387,0.509771265,25,12,48.0000,0.0000,1,1.015868902,0.1618802,0,0.023522191,6,4,40.425,48,54.8638132,1.2125604,447,9,42,3,20,2,13.8214,0.039,0.0274,9,12,2,0,3,2.7802,0.136,1.4869463,0.2743859,1.2125604
Rennes,14,Montpellier,Home,Ligue 1,2021,433,442,2,3.470433717,3.1425249,0.024599573,0.22547967,30,7,23.3333,0.0000,0,0.591131011,0.5496718,0,0.041459229,4,2,40.845,68,78.1021897,1.0383184,641,2,45,0,31,7,10.96,0.0505,0.0214,10,9,1,0,3,2.8546,0.091,1.4815388,0.4432204,1.0383184
Rennes,15,Lorient,Away,Ligue 1,2021,442,352,2,1.036667559,0.9164127,0,0.1202549,11,5,45.4545,0.0000,0,0.698119,0.6614413,0,0.016058346,6,0,30.975,58,49.7716894,0.43171,490,7,20,0,12,4,9.6296,0.0282,0.0071,11,11,2,0,3,1.599,1.0194,0.6195795,0.1878695,0.43171
Rennes,16,Lille,Home,Ligue 1,2021,442,442,1,0.8110848,0.5995734,0,0.2115114,10,2,20.0000,0.0000,2,0.77365162,0.7736517,0.145277485,0,6,2,50.2425,65,70,0.4920194,596,12,25,0,34,0,8.0541,0.0582,0.0186,9,12,2,0,0,1.33,1.3054,0.639135,0.1471156,0.4920194
Rennes,17,St Etienne,Away,Ligue 1,2021,433,442,5,2.8299446,2.7416596,0.125660449,0.0882851,18,10,55.5556,0.0000,0,0.44017784,0.3938248,0,0.046353,12,2,33.1275,56,62.8019323,0.7665317,489,9,28,3,13,3,10.6207,0.0491,0.0411,9,7,0,0,3,2.778,0.1416,1.206345,0.4398133,0.7665317
Rennes,18,Nice,Home,Ligue 1,2021,433,442,1,1.413506047,1.1283176,0,0.265220953,21,8,38.0952,0.0000,2,1.62507097,0.7216744,0,0.121647561,8,3,53.655,66,75.2808988,0.4234309,595,8,35,0,42,4,11.4091,0.0634,0.0479,11,10,1,0,0,1.1246,1.5824,0.6958031,0.2723722,0.4234309
Rennes,19,Monaco,Away,Ligue 1,2021,433,4231,1,1.3778284,1.2041296,0,0.17369872,16,6,37.5000,0.0000,2,1.475199462,0.6934505,0,0,11,3,21.1575,52,43.7037037,0.6003951,469,13,26,0,17,6,16.4444,0.0475,0.0401,9,9,1,0,0,1.226,1.469,0.6885076,0.0881125,0.6003951
Rennes,20,Lens,Away,Ligue 1,2021,433,3421,0,0.2950884,0.2950884,0.076926243,0,5,0,0.0000,0.0000,1,0.90373997,0.3541013,0,0.5496386,11,4,24.36,42,43.5087719,0.3654386,450,10,11,0,11,2,17.4615,0.0869,0.0817,5,6,1,0,0,0.6604,1.9846,0.6890337,0.3235951,0.3654386
Rennes,21,Bordeaux,Home,Ligue 1,2021,442,442,6,3.929929245,3.1062412,1.085303858,0.737626113,19,11,57.8947,0.0000,0,0.190567465,0.1191548,0,0.07141269,5,1,56.49,58,66.9603524,1.029401,506,5,33,2,22,1,7.7442,0.0833,0.0497,9,10,1,0,3,2.9598,0.0246,1.2817209,0.2523199,1.029401
Rennes,22,Clermont,Away,Ligue 1,2021,442,433,1,1.815337477,1.5895586,0.46683979,0.225778893,13,4,30.7692,0.0000,2,0.844893253,0.7122992,0.024704276,0.132594103,12,4,29.8725,53,47.2573839,0.6247024,436,10,25,3,15,1,9.9643,0.03,0.0207,9,17,3,0,0,2.1258,0.6498,0.7790817,0.1543793,0.6247024
Rennes,23,Brest,Home,Ligue 1,2021,433,442,2,2.273643924,1.7592552,0,0.514388671,19,8,42.1053,0.0000,0,0.235208517,0.0803492,0,0.102324763,5,1,28.4025,61,52.173913,0.6074313,553,10,31,6,16,1,14.2381,0.0409,0.0304,7,11,3,0,3,2.719,0.1726,0.8933526,0.2859213,0.6074313
Rennes,24,Paris Saint-Germain,Away,Ligue 1,2021,433,433,0,0.6977527,0.5752059,0,0.1225468,13,1,7.6923,0.0000,1,0.87482715,0.8308449,0.451326631,0.0439823,12,1,27.615,36,30.479452,0.2470268,392,7,16,1,11,4,21.5,0.0074,0.0028,11,10,1,0,0,1.1702,1.4732,0.5005769,0.2535501,0.2470268
Rennes,25,Troyes,Home,Ligue 1,2021,442,532,4,2.938006318,1.1957132,0,0.864211367,17,8,47.0588,0.0000,1,0.968849,0.0325732,0,0.93627584,4,1,36.75,63,70.0483091,0.8956252,554,5,22,1,15,5,9.9259,0.0548,0.0254,15,11,1,0,3,2.7982,0.1204,1.0550338,0.1594086,0.8956252
Rennes,26,Montpellier,Away,Ligue 1,2021,442,4231,4,1.903321994,1.0476396,0,0.073933333,11,9,81.8182,0.0000,2,1.149349067,0.7004176,0,0.420082685,12,5,24.99,53,58.3732057,0.5310204,471,11,18,0,8,3,15.9091,0.0304,0.023,11,11,2,0,3,1.993,0.7606,0.7539129,0.2228925,0.5310204
Rennes,27,Angers,Home,Ligue 1,2021,442,3142,2,1.9636507,1.3923108,0,0.5713399,15,4,26.6667,0.0000,0,0.33138249,0.2811112,0.074957684,0.0502713,7,2,43.4175,57,72.5581395,0.7544909,578,4,24,2,17,2,8.5957,0.2994,0.2388,7,11,1,0,3,2.5932,0.2574,0.9790989,0.224608,0.7544909
Rennes,28,Lyon,Away,Ligue 1,2021,433,4231,4,1.459724141,1.0725544,0.306992561,0.387169758,9,7,77.7778,388.8889,2,1.181095279,0.254915,0,0.144431234,12,2,37.065,38,44.723618,0.2194104,366,4,13,3,9,3,13.7941,0.0333,0.0198,8,12,3,0,3,1.5942,1.1094,0.3848852,0.1654748,0.2194104
Rennes,29,Metz,Home,Ligue 1,2021,433,343,6,3.628401296,2.0055623,0,0.841089895,21,8,38.0952,0.0000,1,0.681867978,0.6719873,0,0.009880682,2,1,49.35,64,66.6666666,0.6526487,530,11,32,0,17,3,8.6333,0.022,0.0133,11,13,1,0,3,2.9078,0.0524,0.8281356,0.1754869,0.6526487
Rennes,30,Nice,Away,Ligue 1,2021,433,442,1,1.107994,0.7272962,0,0.3806978,13,4,30.7692,0.0000,1,1.34411035,0.4842459,0,0.8598644,10,3,35.175,61,61.9266055,0.3015027,535,2,18,0,28,1,9.1333,0.0904,0.0876,12,12,1,0,1,1.0924,1.6126,0.7609687,0.459466,0.3015027
Rennes,31,Reims,Away,Ligue 1,2021,4231,352,3,1.318504619,1.0602303,0,0.23231416,14,8,57.1429,0.0000,2,2.549160737,0.9856628,0,0,14,7,32.1825,60,49.2822966,0.1138738,530,4,18,0,20,2,9.1333,0.0215,0.0143,13,7,0,0,3,0.5336,2.2772,0.3216985,0.2078247,0.1138738
Rennes,32,Monaco,Home,Ligue 1,2021,4231,4231,2,2.435785827,0.7936714,0,0.817056142,13,4,30.7692,0.0000,3,2.486463902,2.4864639,0.770994604,0,12,4,33.915,64,54.7826086,0.4809383,667,3,26,0,18,1,12.5652,0.0319,0.017,13,7,1,0,0,1.2944,1.448,0.8090545,0.3281162,0.4809383
Rennes,33,Strasbourg,Away,Ligue 1,2021,4231,352,1,0.7125597,0.6882035,0,0.0243562,11,3,27.2727,0.0000,2,2.13965934,1.2621187,0,0.8775408,13,5,35.6475,63,48.4162895,0.3083979,634,8,10,1,16,4,10.5769,0.0148,0.0125,16,11,2,0,0,0.4364,2.3906,0.5668208,0.2584229,0.3083979
Rennes,34,Lorient,Home,Ligue 1,2021,433,433,5,1.760741908,1.7151869,0.589832962,0.045555148,10,7,70.0000,0.0000,0,0.426883125,0.1532578,0,0.194226505,12,2,25.1475,59,55.2884615,0.5133275,552,7,30,0,11,3,14.1429,0.0102,0.0076,9,10,1,1,3,2.4458,0.3728,0.9581214,0.4447939,0.5133275
Rennes,35,St Etienne,Home,Ligue 1,2021,433,541,2,1.18991269,0.998334,0,0.191578757,13,3,23.0769,0.0000,0,0.569707507,0.4646413,0,0.035802383,8,3,44.625,73,62.5984251,0.7084038,724,4,29,1,17,6,5.8,0.1442,0.1208,15,11,1,0,3,1.9324,0.7732,0.8789514,0.1705476,0.7084038
Rennes,36,Nantes,Away,Ligue 1,2021,433,4231,1,1.447710553,0.9074154,0,0.474109702,17,5,29.4118,0.0000,2,1.145141201,1.0157952,0,0.129345943,9,3,28.14,70,65.055762,0.6114675,673,11,27,2,24,4,7.6538,0.0558,0.0508,13,9,1,0,0,1.5244,1.174,1.0814201,0.4699526,0.6114675
Rennes,37,Marseille,Home,Ligue 1,2021,433,433,2,1.2557528,1.1882041,0.489987224,0.0675487,12,4,33.3333,0.0000,0,0.29996736,0.2999673,0,0,8,0,39.6375,40,52.9147982,0.2734049,401,6,21,0,15,1,18.6667,0.0289,0.0089,8,14,1,0,3,2.2208,0.5018,0.5173465,0.2439416,0.2734049
Rennes,38,Lille,Away,Ligue 1,2021,433,442,2,1.340457244,1.1880401,0,0.074881447,13,3,23.0769,0.0000,2,2.276904558,2.0965491,0,0.180355472,13,4,30.6075,51,50,0.6961029,463,9,19,0,14,2,10.625,0.2735,0.1841,12,14,2,0,1,0.624,2.1342,0.7556033,0.0595004,0.6961029
