Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Strasbourg,1,Monaco,Home,Ligue 1,2022,3412,4231,1,1.065947206,0.9672918,0,0.056957837,11,7,63.6364,0.0000,2,2.780461703,2.2867622,0.312642545,0.461962566,24,11,29.505,53,39.1304347,0.9300646,482,8,23,0,16,0,9.4643,0.0576,0.0452,14,17,0,0,0,0.3664,2.4898,1.1704368,0.2403722,0.9300646
Strasbourg,2,Nice,Away,Ligue 1,2022,352,4231,1,1.29336044,1.2492938,0,0.044066533,9,5,55.5556,0.0000,1,1.377553039,0.4964879,0,0.0468647,13,3,33.495,46,49.3723849,0.8001217,454,4,19,5,14,2,11.6111,0.0475,0.019,7,13,4,0,1,1.2868,1.4146,0.9593164,0.1591947,0.8001217
Strasbourg,3,Reims,Home,Ligue 1,2022,352,3412,1,1.133961326,0.4601257,0,0.585121347,12,3,25.0000,0.0000,1,2.164101303,2.079185,0.280305952,0.063558007,12,6,40.845,64,65.1785714,0.3794175,531,10,22,0,18,2,7.3714,0.1064,0.09,16,12,1,0,1,0.649,2.1328,0.4750278,0.0956103,0.3794175
Strasbourg,4,Auxerre,Away,Ligue 1,2022,352,4141,0,1.1491563,0.9447618,0,0.2043945,14,4,28.5714,0.0000,1,0.68555915,0.6691467,0,0.0164126,7,3,18.8475,58,61.7363344,1.7227224,611,9,30,2,25,2,16.1429,0.0365,0.0326,2,6,1,0,0,1.7324,0.9386,1.7678827,0.0451603,1.7227224
Strasbourg,5,Nantes,Home,Ligue 1,2022,352,4231,1,0.405102203,0.2990205,0,0.07976494,5,2,40.0000,0.0000,1,0.536720158,0.4856305,0,0.051089624,12,3,36.225,46,52.3809523,0.1806391,440,11,11,2,16,1,12.3636,0.0374,0.0189,18,13,0,0,1,1.1404,1.3852,0.2851941,0.104555,0.1806391
Strasbourg,6,Brest,Away,Ligue 1,2022,352,4231,1,2.319956838,1.4471865,0.690006792,0,10,3,30.0000,0.0000,1,0.823575115,0.4962301,0,0.327345021,11,2,21.945,41,47.9508196,0.7932068,340,17,24,0,13,2,21.1765,0.0674,0.0631,14,9,1,1,1,2.4866,0.35,0.945006,0.1517992,0.7932068
Strasbourg,7,Clermont,Home,Ligue 1,2022,4312,3421,0,1.998407186,1.9093582,0,0.067739722,12,4,33.3333,0.0000,0,0.998609414,0.7084389,0,0.290170494,10,4,42.63,43,57.2727272,0.5537048,357,11,21,2,13,1,9.5349,0.0333,0.0264,15,20,2,1,1,2.11,0.6526,0.249269,-0.3044358,0.5537048
Strasbourg,8,Montpellier,Away,Ligue 1,2022,352,4231,1,0.710764479,0.5561487,0,0.154615812,8,2,25.0000,0.0000,2,1.876362235,0.6081541,0.0592032,0.486459162,10,4,27.195,50,47.4576271,0.445209,351,8,26,2,21,4,9.8148,0.0387,0.0251,11,20,4,0,0,0.483,2.3082,0.3658899,-0.0793191,0.445209
Strasbourg,9,Rennes,Home,Ligue 1,2022,352,442,1,1.13458612,0.278221,0,0.02632631,9,3,33.3333,0.0000,3,2.402924466,2.3347362,0,0,17,7,26.25,39,41.7355371,0.3870371,384,9,12,1,11,0,19.5455,0.0541,0.0271,12,9,0,1,0,0.5496,2.2386,0.4641288,0.0770917,0.3870371
Strasbourg,10,Angers,Away,Ligue 1,2022,352,442,3,2.4696082,1.2385536,0,1.2310546,15,7,46.6667,0.0000,2,1.9336501,0.8037755,0,1.1298745,14,8,30.3975,46,46.8401486,0.59029,425,8,30,0,26,2,16.0833,0.1629,0.1613,16,14,1,0,3,1.9332,0.8232,0.6666744,0.0763844,0.59029
Strasbourg,11,Lille,Home,Ligue 1,2022,352,4231,0,0.342646529,0.2669846,0,0.075661936,12,1,8.3333,0.0000,3,2.441080443,1.61607,0.387782246,0,10,7,45.675,43,50,0.2241823,416,9,18,2,22,5,10.5682,0.0643,0.0441,16,12,3,0,0,0.1256,2.798,0.383228,0.1590457,0.2241823
Strasbourg,12,Toulouse,Away,Ligue 1,2022,352,4231,2,1.92027362,0.5741713,0,0.564353231,11,5,45.4545,0.0000,2,1.816460479,1.0134271,0,0.803033315,17,6,17.745,52,47.6190476,0.3817995,450,4,17,0,20,0,21.8462,0.0377,0.0333,11,8,1,0,1,1.5108,1.221,0.6713221,0.2895226,0.3817995
Strasbourg,13,Marseille,Home,Ligue 1,2022,352,3421,2,1.2272021,1.1124451,0,0.1147569,12,5,41.6667,0.0000,2,2.0617235,2.0617235,0.046804216,0,13,5,36.855,50,51.082251,0.6557576,471,0,22,0,20,5,12.6333,0.025,0.0148,10,14,0,0,1,0.7706,2.0012,0.3594429,-0.2963147,0.6557576
Strasbourg,14,Ajaccio,Away,Ligue 1,2022,343,442,2,0.772050845,0.6607558,0,0.033719979,9,5,55.5556,0.0000,4,3.865606209,1.4459397,0.476414114,0.074419472,12,7,37.5375,51,52.3584905,0.4834672,380,5,16,2,20,1,11.1538,0.0486,0.0448,14,20,4,0,0,0.0464,2.9228,0.983109,0.4996418,0.4834672
Strasbourg,15,Lorient,Home,Ligue 1,2022,442,4141,1,1.6563057,1.6159655,0,0.0403401,20,4,20.0000,0.0000,1,0.96898799,0.5979038,0.422884852,0.3710842,6,2,44.3625,61,70.7692307,0.4165626,609,7,40,0,40,5,10.0313,0.0512,0.0405,9,9,4,0,1,1.913,0.8252,0.7484326,0.33187,0.4165626
Strasbourg,16,Paris Saint-Germain,Away,Ligue 1,2022,41212,4312,1,0.940305998,0.7644955,0,0.175810498,12,3,25.0000,0.0000,2,1.965808421,0.8232789,0,0.360780448,10,6,31.08,29,39.6887159,0.6918771,309,6,22,0,11,2,19.3,0.0083,0.0069,8,13,1,0,0,0.5236,2.2576,0.6179272,-0.0739499,0.6918771
Strasbourg,17,Troyes,Home,Ligue 1,2022,4312,4231,2,0.92234101,0.6288863,0,0.197744019,17,7,41.1765,0.0000,3,1.41976398,1.3961622,0,0.023601841,9,5,57.96,56,66.2921348,0.6339798,541,6,39,4,21,3,11.1471,0.0409,0.0226,11,10,1,0,0,0.9682,1.7452,0.9189392,0.2849594,0.6339798
Strasbourg,18,Lens,Home,Ligue 1,2022,532,3421,2,0.9414616,0.9073857,0,0.0340759,9,6,66.6667,0.0000,2,1.77467656,1.7267042,0.501893282,0.0479723,15,8,19.425,35,24.80314961,0.3338197,337,9,13,1,11,0,37.6,0.0042,0.003,9,15,1,0,1,0.7384,2.0194,0.3929952,0.0591755,0.3338197
Strasbourg,19,Lyon,Away,Ligue 1,2022,532,3412,2,2.220177743,2.199632,1.211970083,0.020545568,8,6,75.0000,0.0000,1,2.10239039,1.0031259,0,0.317515427,28,7,17.22,28,14.4295302,0.1390024,274,4,9,1,3,0,18.3333,0.0096,0.0062,10,16,3,0,3,0.5664,2.1516,0.3060995,0.1670971,0.1390024
Strasbourg,20,Toulouse,Home,Ligue 1,2022,352,433,1,1.088739127,1.0661105,0,0,11,2,18.1818,0.0000,2,1.31613989,1.263615,0,0,8,3,40.635,54,55.1470588,0.4317668,556,6,22,1,17,0,13.4,0,0,10,14,1,1,0,1.1714,1.5266,0.654163,0.2223962,0.4317668
Strasbourg,21,Rennes,Away,Ligue 1,2022,541,433,0,0.111125907,0.0687306,0,0.038286284,3,0,0.0000,0.0000,3,1.237257969,1.237258,0,0,6,3,34.755,41,55.6213017,0.1601564,398,4,7,0,13,0,17.5517,0.0148,0.0112,11,13,1,0,0,0.3236,2.4314,0.27141,0.1112536,0.1601564
Strasbourg,22,Montpellier,Home,Ligue 1,2022,541,433,2,1.1279181,1.0776742,0.235256437,0.0502439,6,2,33.3333,0.0000,0,0.62607734,0.5732894,0,0.0527879,11,0,20.16,32,28.0193236,0.3732797,275,9,9,0,7,1,25.625,0.01,0.01,16,11,3,1,3,1.8384,0.84,0.4488188,0.0755391,0.3732797
Strasbourg,23,Lille,Away,Ligue 1,2022,3421,4231,0,0.221289199,0.2110054,0,0.010283738,5,0,0.0000,0.0000,2,3.578720207,1.7139752,0,1.003946815,14,10,30.45,33,33.4763948,0.1898819,351,12,10,3,17,3,24.5455,0.333333333,0.066666667,12,13,2,0,0,0.0288,2.9508,0.3685759,0.178694,0.1898819
Strasbourg,24,Angers,Home,Ligue 1,2022,352,442,2,2.11871895,1.5840159,0.079177484,0.509000696,18,5,27.7778,0.0000,1,1.051056012,0.1244222,0,0.144884775,10,3,30.87,36,45.6989247,0.6150006,317,9,29,0,13,1,13.7419,0.52,0.36,16,14,3,0,3,2.1496,0.61,0.931083,0.3160824,0.6150006
Strasbourg,25,Clermont,Away,Ligue 1,2022,352,3421,1,0.978595224,0.896008,0,0.082587101,12,6,50.0000,0.0000,1,1.286939297,1.1247247,0,0.048790649,11,4,55.965,44,48.6772486,0.4977968,357,6,18,1,12,1,5.6429,0.638888889,0.361111111,16,25,4,0,1,1.0904,1.6016,0.4155788,-0.082218,0.4977968
Strasbourg,26,Brest,Home,Ligue 1,2022,352,4141,0,1.309901767,0.1904653,0,1.099120735,16,4,25.0000,0.0000,1,0.852064179,0.7835522,0.036683094,0.068511913,8,1,47.04,62,67.2131147,0.3642509,487,10,21,1,29,2,7.2424,0.551020408,0.408163265,17,14,2,0,0,1.7388,0.9642,0.6838474,0.3195965,0.3642509
Strasbourg,27,Marseille,Away,Ligue 1,2022,352,3421,2,2.628377899,2.2162211,0.247220695,0.358540284,24,9,37.5000,0.0000,2,1.424891918,0.090655,0,0.385679036,7,4,46.83,59,56.3380281,0.4450577,496,7,36,2,26,2,6.4146,0.638888889,0.361111111,6,15,4,0,1,2.1874,0.6082,1.288431,0.8433733,0.4450577
Strasbourg,28,Auxerre,Home,Ligue 1,2022,532,3421,2,2.531229064,1.2580105,0,0.49146942,13,6,46.1538,0.0000,0,0.620316103,0.5938352,0,0.026480937,8,1,41.37,51,59.0163934,0.9767048,379,11,22,2,16,3,7.3636,0.523809524,0.357142857,10,14,2,0,3,2.671,0.2158,1.0525349,0.0758301,0.9767048
Strasbourg,29,Monaco,Away,Ligue 1,2022,3142,442,3,1.655064,1.5457962,0.04616205,0.1092678,13,6,46.1538,0.0000,4,1.77900827,1.6687902,0.445393056,0.1102181,9,7,38.4825,50,51.3043478,0.6229081,430,13,19,3,21,2,9.5135,0.459459459,0.189189189,15,17,1,0,0,1.2676,1.4428,0.7412869,0.1183788,0.6229081
Strasbourg,30,Lens,Away,Ligue 1,2022,3421,343,1,0.584910448,0.4284703,0,0.087107254,13,3,23.0769,0.0000,2,1.161101794,1.1148091,0,0.046292722,13,9,46.2,45,58.9743589,0.6520563,423,9,23,0,16,1,9.0851,0.43902439,0.268292683,16,19,3,1,0,0.8166,1.8744,0.9133441,0.2612878,0.6520563
Strasbourg,31,Ajaccio,Home,Ligue 1,2022,532,4231,3,1.444536913,0.4857501,0.048943751,0.152664222,12,6,50.0000,0.0000,1,0.373013237,0.3482315,0,0.024781709,8,1,38.745,43,55.3191489,0.3164132,354,12,16,3,14,1,10.1463,0.382352941,0.117647059,19,14,2,0,3,2.4078,0.3732,0.5604797,0.2440665,0.3164132
Strasbourg,32,Reims,Away,Ligue 1,2022,343,4231,2,1.24384442,1.0660913,0.426677845,0.177753042,9,3,33.3333,0.0000,0,1.167739622,1.0064817,0,0.059774841,13,5,20.685,27,25.5813953,0.3512308,200,13,16,0,16,0,14.64,0.461538462,0.230769231,11,13,1,0,3,1.4474,1.2566,0.348452,-0.0027788,0.3512308
Strasbourg,33,Lyon,Home,Ligue 1,2022,3421,3142,1,1.456456996,0.4033058,0,1.001326306,11,3,27.2727,0.0000,2,1.014439428,0.2930144,0,0.721424948,7,4,39.3225,53,62.80193237,0.5009058,439,17,27,0,26,1,8.8611,0.612903226,0.35483871,23,13,2,0,0,1.7432,0.941,0.8471794,0.3462736,0.5009058
Strasbourg,34,Nantes,Away,Ligue 1,2022,3421,3412,2,2.053791368,1.1236804,0.041556716,0.148362048,8,6,75.0000,0.0000,0,0.911478173,0.5941699,0,0.27581582,13,5,26.9325,46,35.12195122,0.3158994,376,15,18,2,8,1,13.5217,0.418604651,0.348837209,22,15,1,0,3,2.2596,0.5328,0.7344391,0.4185397,0.3158994
Strasbourg,35,Nice,Home,Ligue 1,2022,3421,433,2,1.687735657,0.6052929,0,0.300693739,12,3,25.0000,0.0000,0,0.337542239,0.2071748,0,0.089308634,9,4,44.625,39,55.80110497,0.2704298,365,7,32,2,13,3,11.7045,0.361111111,0.222222222,9,14,1,0,3,2.5194,0.306,0.4259088,0.155479,0.2704298
Strasbourg,36,Troyes,Away,Ligue 1,2022,343,343,1,1.403582849,1.2129728,0.137417838,0.057402834,16,5,31.2500,0.0000,1,0.944465257,0.6444065,0,0.159909502,8,3,49.35,55,69.90291262,0.6037055,459,8,30,2,17,5,9.6765,0.483870968,0.387096774,7,17,1,1,1,1.7182,0.9994,0.8922155,0.28851,0.6037055
Strasbourg,37,Paris Saint-Germain,Home,Ligue 1,2022,3511,352,1,1.715938074,1.5447842,0.036821913,0.074988716,17,5,29.4118,0.0000,1,1.050005447,0.6247013,0,0.342052914,7,2,35.49,34,41.43646409,0.2860508,369,17,16,1,10,2,28.0952,0.222222222,0.111111111,7,9,1,0,1,1.75,0.9472,0.5772727,0.2912219,0.2860508
Strasbourg,38,Lorient,Away,Ligue 1,2022,343,3421,1,0.77722173,0.640644,0,0.080760123,15,7,46.6667,0.0000,2,0.903400406,0.9034004,0,0,0,3,46.095,47,63.42412451,0.5305491,524,10,20,2,15,5,12.8947,0.388888889,0.166666667,8,15,1,0,0,1.1618,1.4954,0.8897125,0.3591634,0.5305491
