Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Toulouse,1,Marseille,Away,Ligue 1,2018,4231,4231,0,0.267791864,0.2239332,0,0.043858711,5,1,20.0000,0.0000,4,3.186925553,2.0662327,0,0.272933823,23,10,29.925,39,40.8284023,0.2488568,319,11,13,1,8,0,12.4242,0.0641,0.0594,7,20,3,0,0,0.052,2.914,0.3367212,0.0878644,0.2488568
Toulouse,2,Bordeaux,Home,Ligue 1,2018,4231,4231,2,1.035737166,0.9544986,0,0.08123856,13,5,38.4615,0.0000,1,0.864462729,0.7016063,0,0.030548882,15,8,28.35,51,53.1400966,0.585175,464,21,16,3,14,5,17.75,0.0443,0.038,11,10,1,0,3,1.5158,1.163,0.8093744,0.2241994,0.585175
Toulouse,3,Nîmes,Home,Ligue 1,2018,4231,442,1,2.492123035,0.9068451,0,0,10,5,50.0000,0.0000,0,0.502111232,0.3420367,0,0.160074538,9,0,27.9825,63,52.60869565,0.6540885,524,11,18,3,15,3,9.8261,0.0203,0.0191,21,17,1,0,3,2.7768,0.1428,0.8319787,0.1778902,0.6540885
Toulouse,4,Guingamp,Away,Ligue 1,2018,4141,4231,2,1.000875138,0.938336,0.26689899,0.062539168,5,4,80.0000,0.0000,1,1.696311746,1.2393489,0,0.39964708,23,5,15.33,41,28.1124497,0.2101731,340,9,12,1,10,1,17.7059,0.3067,0.2972,11,13,0,1,3,0.883,1.8466,0.3961185,0.1859454,0.2101731
Toulouse,5,Monaco,Home,Ligue 1,2018,4231,4141,1,1.3372901,0.7626184,0,0.5746717,13,6,46.1538,0.0000,1,0.65650411,0.656504,0,0,12,2,30.87,54,48.2905982,0.6285495,459,11,22,2,17,2,8.875,0.0191,0.0148,16,17,2,0,1,1.9862,0.7316,0.821147,0.1925975,0.6285495
Toulouse,6,Angers,Away,Ligue 1,2018,4231,4141,0,0.317310655,0.2432653,0.064148299,0.074045323,7,0,0.0000,0.0000,0,0.63823107,0.4030471,0,0.20979948,16,4,27.405,60,46.7980295,0.4189016,523,5,17,5,22,4,7.1212,0.0562,0.0504,12,13,2,0,1,0.9644,1.5656,0.7033799,0.2844783,0.4189016
Toulouse,7,St Etienne,Home,Ligue 1,2018,4231,4321,2,2.0278839,1.5384649,0,0.489419,21,6,28.5714,0.0000,3,2.10978629,2.0963255,0,0.0134608,14,8,29.3475,57,66.1478599,0.6378395,461,9,23,3,25,3,14.5,0.0574,0.0476,14,13,1,0,0,1.2748,1.4962,1.3599554,0.7221159,0.6378395
Toulouse,8,Rennes,Away,Ligue 1,2018,4231,433,1,0.247268478,0.1042617,0,0.143006811,5,2,40.0000,0.0000,1,2.259849883,1.372249,0,0.061683398,22,7,23.1,35,21.025641,0.11629,277,6,5,1,7,0,16.4545,0.0073,0.0016,17,14,3,1,1,0.1168,2.8084,0.2099917,0.0937017,0.11629
Toulouse,9,Nice,Home,Ligue 1,2018,4141,343,1,0.8602774,0.2477521,0,0.6125254,13,2,15.3846,0.0000,1,0.70437717,0.6117948,0.256420493,0.0925823,11,2,30.135,40,48,0.4185725,379,14,29,2,20,4,15.2143,0.0163,0.0146,14,17,1,0,1,1.4466,1.1964,0.6566251,0.2380526,0.4185725
Toulouse,10,Nantes,Away,Ligue 1,2018,4231,4231,0,0.6166972,0.5939525,0.473296255,0.0227447,5,2,40.0000,0.0000,4,2.49555571,2.4324231,0.772194509,0.0631327,17,9,37.0125,51,40.8450704,0.1997058,476,5,8,2,11,1,11.7,0.1197,0.0776,10,13,1,0,0,0.221,2.6564,0.4941605,0.2944547,0.1997058
