Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Troyes,1,Rennes,Home,Ligue 1,2017,4231,4411,1,1.8014002,1.739672,0,0.0617282,12,4,33.3333,0.0000,1,1.82268032,1.3728977,0,0.4497827,17,3,22.785,36,37.5494071,0.2403312,308,7,16,1,14,0,17.3913,0.2284,0.2157,8,13,1,0,1,1.3652,1.3874,0.3777565,0.1374253,0.2403312
Troyes,2,Nice,Away,Ligue 1,2017,4231,4231,2,0.686640079,0.68664,0,0,10,4,40.0000,0.0000,1,2.071202452,1.0393584,0.064960398,0.198085921,20,6,24.885,30,30.3333333,0.2927284,319,7,17,0,15,3,25.5,0.0116,0.009,11,8,3,0,3,0.3918,2.4264,0.4248821,0.1321537,0.2927284
Troyes,3,Nantes,Home,Ligue 1,2017,4231,4231,0,0.9036878,0.9036878,0,0,8,1,12.5000,0.0000,1,0.71892983,0.5641738,0,0.154756,11,4,25.5675,65,57.5342465,0.7654384,622,9,19,1,28,7,11.2381,0.1327,0.1271,8,7,1,0,0,1.4954,1.133,0.8708091,0.1053707,0.7654384
Troyes,4,Bordeaux,Away,Ligue 1,2017,4141,433,1,0.520930069,0.4433652,0,0.077564865,5,2,40.0000,0.0000,2,2.318850053,2.1568546,0.293310016,0.108960681,13,8,29.9775,43,43.4977578,0.371533,408,2,14,0,21,1,15.6786,0.0358,0.024,8,17,1,0,0,0.2608,2.6056,0.4821188,0.1105858,0.371533
Troyes,5,Toulouse,Home,Ligue 1,2017,4141,4141,0,0.743900788,0.7009279,0,0,11,3,27.2727,0.0000,0,0.208809883,0.1414973,0,0.067312479,7,0,28.14,47,48.1481481,0.4295774,409,3,14,1,22,3,16.4783,0.012,0.0087,12,12,2,0,1,1.8764,0.6866,0.6755201,0.2459427,0.4295774
Troyes,6,Montpellier,Home,Ligue 1,2017,4141,4231,0,0.774409104,0.7502958,0,0,7,0,0.0000,0.0000,1,1.005033623,0.3996806,0,0.582496263,8,3,37.17,49,54.7325102,0.515849,474,5,8,0,19,4,12.7813,0.0292,0.0181,10,19,3,1,0,1.0576,1.5682,0.4130717,-0.1027773,0.515849
Troyes,7,Metz,Away,Ligue 1,2017,433,4231,1,0.655154627,0.6551547,0.438859403,0,9,3,33.3333,0.0000,0,1.229602341,1.1455366,0,0.0438223,15,7,21.63,38,42.578125,0.4392799,362,8,11,3,17,0,27.5882,0.2206,0.2113,11,12,1,1,3,0.9016,1.7614,0.6236702,0.1843903,0.4392799
Troyes,8,St Etienne,Home,Ligue 1,2017,4411,4231,2,0.657652751,0.4730391,0.312767535,0.068916053,9,7,77.7778,0.0000,1,1.122541986,0.7130247,0,0.388166053,14,4,21.84,29,30.8695652,0.3225734,215,7,12,1,14,1,28.6923,0.0098,0.0034,15,7,3,1,3,0.9302,1.7516,0.4290596,0.1064862,0.3225734
Troyes,9,Lille,Away,Ligue 1,2017,4231,4231,2,1.432264831,0.5763208,0,0.047790596,11,2,18.1818,0.0000,2,1.155718569,1.1065208,0,0.049197866,16,6,31.185,28,31.6,0.299625,264,4,11,0,9,2,17.4138,0.1553,0.1442,15,12,2,0,1,1.6396,1.0492,0.4226382,0.1230132,0.299625
Troyes,10,Lyon,Home,Ligue 1,2017,4231,433,0,0.309048086,0.1729844,0,0.024960551,9,3,33.3333,0.0000,5,2.899183699,2.0788233,0,0.038611397,14,10,28.7175,43,51.417004,0.3916643,405,7,15,0,18,4,18,0.0384,0.026,12,12,2,1,0,0.0668,2.8886,0.5618969,0.1702326,0.3916643
