Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
FC Augsburg,1,Borussia Dortmund,Away,Bundesliga,2019,4231,-1,1,0.7373959,0.7212616,0,0.0161343,5,1,20.0000,0.0000,5,3.00742146,2.5177493,0,0.4896721,22,10,18.165,22,11.3065326,0.1454144,246,7,12,0,5,0,21.2381,0.0176,0.0131,8,7,0,0,0,0.1946,2.708,0.2694007,0.1239863,0.1454144
FC Augsburg,2,1. FC Union Berlin,Home,Bundesliga,2019,4231,-1,1,1.535058141,1.1987343,0,0.284382487,12,4,33.3333,0.0000,1,1.045280133,0.979292,0.441377014,0.065988004,11,2,30.87,54,54.5454545,0.36401,382,7,12,0,19,1,10.1071,0.027,0.0202,19,17,3,0,1,1.731,0.9828,0.5953728,0.2313628,0.36401
FC Augsburg,3,SV Werder Bremen,Away,Bundesliga,2019,442,-1,2,1.471728027,1.2950597,0.682773173,0.041623052,12,6,50.0000,0.0000,3,2.214139275,2.0378205,0.545790136,0.17631875,15,5,26.985,33,30.859375,0.6792996,283,4,18,0,11,2,19.25,0.009,0.0068,9,14,2,1,0,0.8092,1.9432,0.8965293,0.2172297,0.6792996
FC Augsburg,4,Eintracht Frankfurt,Home,Bundesliga,2019,442,-1,2,1.4640995,1.0989568,0.297145903,0.3651427,8,6,75.0000,0.0000,1,0.92366833,0.7996519,0,0.1240165,22,3,18.585,31,27.2727272,0.2137844,242,5,13,1,6,0,19.2105,0.0648,0.0578,8,8,2,0,3,1.8092,0.9248,0.3270208,0.1132364,0.2137844
FC Augsburg,5,SC Freiburg,Away,Bundesliga,2019,442,-1,1,0.875056807,0.7103634,0,0.164693367,13,2,15.3846,0.0000,1,1.791021975,0.6482336,0,1.120282927,17,5,23.835,38,41.3461538,0.4542326,292,5,16,2,11,0,10.6857,0.0542,0.0195,13,13,1,0,1,0.7414,1.9978,0.5761576,0.121925,0.4542326
FC Augsburg,6,Bayer 04 Leverkusen,Home,Bundesliga,2019,442,-1,0,0.286580499,0.1970155,0,0.089565046,7,1,14.2857,0.0000,3,0.799926742,0.7421136,0.047117684,0.018730087,12,5,35.0175,25,27.8074866,0.1271306,274,1,14,1,8,0,24.1034,0.0076,0.0055,9,16,4,0,0,0.7292,1.8728,0.1216504,-0.0054802,0.1271306
FC Augsburg,7,Borussia Mönchengladbach,Away,Bundesliga,2019,442,-1,1,1.48337859,1.4188715,0.422735572,0.064507034,14,3,21.4286,0.0000,5,3.166671317,2.8228036,0.342347026,0.316978037,12,9,32.2875,37,31.7647058,0.2429254,332,8,17,1,13,0,14.9677,0.03,0.0023,9,9,2,0,0,0.4244,2.4278,0.4578792,0.2149538,0.2429254
FC Augsburg,8,FC Bayern München,Home,Bundesliga,2019,4141,-1,2,1.87906272,1.8293799,0.04231124,0.014608647,9,7,77.7778,0.0000,2,2.883600122,2.8072884,0,0.076311782,24,9,22.26,22,17.2955974,0.5819705,204,6,15,0,7,0,28.7059,0.0223,0.0015,6,11,3,0,1,0.7824,1.9998,0.7203129,0.1383424,0.5819705
FC Augsburg,9,VfL Wolfsburg,Away,Bundesliga,2019,442,-1,0,0.876668904,0.8057621,0,0.048404291,10,5,50.0000,0.0000,0,1.022687481,0.6977436,0.386387199,0.234911787,14,3,23.835,43,36.637931,0.2500661,340,7,16,0,14,2,13.8696,0.0491,0.0423,11,14,0,0,1,1.191,1.4898,0.3477065,0.0976404,0.2500661
FC Augsburg,10,FC Schalke 04,Home,Bundesliga,2019,4231,-1,2,1.593171339,0.8114223,0,0,12,4,33.3333,191.6667,3,0.361938294,0.2779062,0,0.084032068,11,3,32.445,33,46.3541666,0.4358983,263,11,15,0,10,3,19.2083,0.0602,0.0398,10,13,3,0,0,2.498,0.3266,0.4648573,0.028959,0.4358983
