Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
FC Bayern München,1,Bayer 04 Leverkusen,Home,Bundesliga,2017,433,-1,3,2.621604868,1.3490195,0.328108847,0.490836345,13,8,61.5385,0.0000,1,1.846043299,1.2700695,0,0.511483861,19,4,27.195,51,46.7181467,0.9524708,501,9,27,0,14,3,13.3333,0.0418,0.0063,16,13,1,0,3,2.0356,0.7582,1.4138351,0.4613643,0.9524708
FC Bayern München,2,SV Werder Bremen,Away,Bundesliga,2017,4231,-1,2,1.2846044,1.0663596,0,0.2182448,19,8,42.1053,0.0000,0,0.21556991,0.0554749,0,0.1600951,4,1,37.38,71,76.8229166,0.9891534,720,7,43,1,31,5,7.5667,0.0169,0.0109,9,10,1,0,3,2.315,0.416,1.4670612,0.4779078,0.9891534
FC Bayern München,3,TSG Hoffenheim,Away,Bundesliga,2017,4231,-1,0,1.598644088,1.2677709,0,0.308023189,23,6,26.0870,0.0000,2,0.569215961,0.4994763,0,0.046336424,6,3,43.05,72,73.3118971,0.9221044,655,8,34,0,44,2,7.931,0.0984,0.0804,15,9,1,0,0,2.1562,0.5914,1.3646487,0.4425443,0.9221044
FC Bayern München,4,1. FSV Mainz 05,Home,Bundesliga,2017,4231,-1,4,4.243275193,3.9600606,0,0.283214681,28,14,50.0000,0.0000,0,0.855647115,0.8056731,0,0.049973964,11,4,34.65,75,78.90625,1.6333679,738,9,64,1,25,2,7.2857,0.0325,0.0222,5,10,2,0,3,2.8482,0.105,2.1648271,0.5314592,1.6333679
FC Bayern München,5,FC Schalke 04,Away,Bundesliga,2017,4231,-1,3,2.247873561,1.3560165,0,0.110108094,13,8,61.5385,0.0000,0,0.980259639,0.9683253,0.403173972,0.011934356,11,4,38.325,66,72.265625,1.0515009,723,10,36,2,21,5,10.5667,0.0476,0.0408,12,11,1,0,3,2.3166,0.4986,1.0420801,-0.0094208,1.0515009
FC Bayern München,6,VfL Wolfsburg,Home,Bundesliga,2017,4231,-1,2,2.533432669,1.3656636,0.059028823,0.256417293,19,3,15.7895,0.0000,2,0.432329206,0.2116891,0.019623585,0.187284954,8,3,41.265,58,68.70229,0.5653646,600,6,29,0,17,4,15.5652,0.0289,0.0236,11,9,1,0,1,2.74,0.1636,0.7784595,0.2130949,0.5653646
FC Bayern München,7,Hertha BSC,Away,Bundesliga,2017,4231,-1,2,1.159590238,0.867635,0,0.291955223,17,5,29.4118,0.0000,2,1.408373065,0.9278413,0,0.446782071,10,5,34.86,67,63.9344262,0.8159712,625,5,30,0,29,0,11.1364,0.1011,0.0347,14,12,2,0,1,1.1154,1.6038,1.3721827,0.5562115,0.8159712
FC Bayern München,8,SC Freiburg,Home,Bundesliga,2017,4231,-1,5,1.9591788,1.8834376,0,0.0757412,24,10,41.6667,0.0000,0,0.45881769,0.4370815,0,0.0217362,6,2,45.78,68,80.1346801,0.9551941,725,12,43,0,30,4,12.625,0.1174,0.109,7,5,0,0,3,2.4654,0.3582,1.3992351,0.444041,0.9551941
FC Bayern München,9,Hamburger SV,Away,Bundesliga,2017,4231,-1,1,2.1050143,1.9481494,0.108144537,0.156865,21,4,19.0476,0.0000,0,0.14286882,0.0907376,0.019063357,0.0521313,6,3,35.385,75,73.6070381,0.8539045,720,12,38,2,23,1,7.12,0.0234,0.0141,9,9,2,0,3,2.7486,0.1476,1.5118772,0.6579727,0.8539045
FC Bayern München,10,RB Leipzig,Home,Bundesliga,2017,433,-1,2,2.480494071,2.0470289,0,0.284446334,23,7,30.4348,0.0000,0,0.193793576,0.1472358,0.081923336,0.046557766,0,1,62.265,72,87.2093023,0.593243,750,3,29,2,27,4,7.3684,0.0249,0.0186,9,7,1,0,3,2.8016,0.1148,0.9057802,0.3125372,0.593243
