Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
VfL Bochum 1848,,MSV Duisburg,Home,2.Bundesliga,2018,442,-1,2,0,0,0,0,18,5,27.7778,0.0000,1,0,0,0,0,18,0,0,57,100,0,537,10,0,0,22,0,0,0,0,10,14,1,0,3,0,0,0,0,0
VfL Bochum 1848,,1. FC Union Berlin,Home,2.Bundesliga,2018,442,4312,2,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,26,0,0,46,39.71962617,0,315,11,0,0,11,0,0,0,0,23,17,2,1,1,0,0,0,0,0
VfL Bochum 1848,,FC St. Pauli,Away,2.Bundesliga,2018,442,442,0,0,0,0,0,8,4,50.0000,0.0000,0,0,0,0,0,13,0,0,50,46.11872146,0,406,9,0,0,15,0,0,0,0,16,8,1,0,1,0,0,0,0,0
VfL Bochum 1848,,1. FC Magdeburg,Home,2.Bundesliga,2018,442,532,4,0,0,0,0,16,7,43.7500,0.0000,2,0,0,0,0,18,0,0,48,41.92139738,0,359,10,0,0,19,0,0,0,0,6,10,2,0,3,0,0,0,0,0
VfL Bochum 1848,,SV Darmstadt 98,Away,2.Bundesliga,2018,4231,4231,0,0,0,0,0,10,1,10.0000,0.0000,0,0,0,0,0,11,0,0,53,48.41628959,0,404,3,0,1,19,0,0,0,0,13,15,0,0,1,0,0,0,0,0
VfL Bochum 1848,,SpVgg Greuther Fürth,Home,2.Bundesliga,2018,4231,41212,3,0,0,0,0,20,8,40.0000,0.0000,2,0,0,0,0,21,0,0,47,57.32217573,0,357,9,0,1,22,0,0,0,0,11,13,3,0,3,0,0,0,0,0
VfL Bochum 1848,,SSV Jahn Regensburg,Away,2.Bundesliga,2018,4231,442,1,0,0,0,0,14,5,35.7143,0.0000,2,0,0,0,0,21,0,0,63,54.8951049,0,472,10,0,2,19,0,0,0,0,18,16,2,0,0,0,0,0,0,0
VfL Bochum 1848,,Hamburger SV,Home,2.Bundesliga,2018,4231,4231,0,0,0,0,0,12,3,25.0000,0.0000,0,0,0,0,0,16,0,0,55,54.03726708,0,463,4,0,0,15,0,0,0,0,11,12,1,0,1,0,0,0,0,0
VfL Bochum 1848,,Arminia Bielefeld,Away,2.Bundesliga,2018,442,4141,1,0,0,0,0,8,3,37.5000,0.0000,3,0,0,0,0,13,0,0,44,40.09661836,0,399,6,0,1,13,0,0,0,0,23,12,0,1,0,0,0,0,0,0
VfL Bochum 1848,,1. FC Heidenheim 1846,Home,2.Bundesliga,2018,442,4141,1,0,0,0,0,15,3,20.0000,0.0000,0,0,0,0,0,6,0,0,63,81.64794007,0,618,8,0,1,26,0,0,0,0,15,11,0,0,3,0,0,0,0,0
VfL Bochum 1848,,SG Dynamo Dresden,Away,2.Bundesliga,2018,442,343,2,0,0,0,0,9,5,55.5556,0.0000,2,0,0,0,0,16,0,0,36,44.10480349,0,300,7,0,0,12,0,0,0,0,14,18,3,0,1,0,0,0,0,0
VfL Bochum 1848,,Holstein Kiel,Home,2.Bundesliga,2018,3412,4312,1,0,0,0,0,6,2,33.3333,0.0000,3,0,0,0,0,15,0,0,52,52.7027027,0,442,11,0,0,25,0,0,0,0,19,15,0,0,0,0,0,0,0,0
VfL Bochum 1848,,FC Ingolstadt 04,Away,2.Bundesliga,2018,4231,433,1,0,0,0,0,11,5,45.4545,0.0000,2,0,0,0,0,12,0,0,58,55.76923077,0,444,7,0,0,32,0,0,0,0,14,11,1,0,0,0,0,0,0,0
VfL Bochum 1848,,SC Paderborn 07,Home,2.Bundesliga,2018,4231,442,1,0,0,0,0,14,4,28.5714,0.0000,2,0,0,0,0,20,0,0,55,67.0995671,0,344,6,0,0,22,0,0,0,0,14,19,3,0,0,0,0,0,0,0
VfL Bochum 1848,,SV Sandhausen,Away,2.Bundesliga,2018,4231,442,0,0,0,0,0,16,4,25.0000,0.0000,3,0,0,0,0,11,0,0,58,52.81385281,0,395,11,0,1,32,0,0,0,0,18,17,3,1,0,0,0,0,0,0
VfL Bochum 1848,,1. FC Köln,Home,2.Bundesliga,2018,4231,4141,0,0,0,0,0,14,2,14.2857,0.0000,2,0,0,0,0,16,0,0,47,55.9829059,0,387,12,0,1,22,0,0,0,0,18,14,3,0,0,0,0,0,0,0
VfL Bochum 1848,,SV Sandhausen,Home,2.Bundesliga,2018,442,442,1,0,0,0,0,15,7,46.6667,0.0000,0,0,0,0,0,10,0,0,60,50.8333333,0,527,8,0,2,25,0,0,0,0,12,8,0,0,3,0,0,0,0,0
VfL Bochum 1848,,1. FC Köln,Away,2.Bundesliga,2018,4231,3142,3,0,0,0,0,9,5,55.5556,0.0000,2,0,0,0,0,17,0,0,43,45.9143968,0,367,10,0,2,8,0,0,0,0,20,20,4,0,3,0,0,0,0,0
VfL Bochum 1848,,1. FC Union Berlin,Away,2.Bundesliga,2018,4231,442,0,0,0,0,0,21,6,28.5714,0.0000,2,0,0,0,0,19,0,0,56,54.2735042,0,399,13,0,0,18,0,0,0,0,22,10,0,0,0,0,0,0,0,0
VfL Bochum 1848,,FC St. Pauli,Home,2.Bundesliga,2018,4231,4231,1,0,0,0,0,22,6,27.2727,0.0000,3,0,0,0,0,16,0,0,66,75.4045307,0,538,14,0,2,36,0,0,0,0,18,12,2,0,0,0,0,0,0,0
VfL Bochum 1848,,1. FC Magdeburg,Away,2.Bundesliga,2018,4231,352,0,0,0,0,0,9,1,11.1111,0.0000,0,0,0,0,0,14,0,0,60,54.893617,0,461,6,0,0,19,0,0,0,0,19,15,4,0,1,0,0,0,0,0
VfL Bochum 1848,,FC Erzgebirge Aue,Home,2.Bundesliga,2018,4231,3412,2,0,0,0,0,19,5,26.3158,0.0000,1,0,0,0,0,4,0,0,70,84.090909,0,631,7,0,0,45,0,0,0,0,18,14,3,0,3,0,0,0,0,0
VfL Bochum 1848,,SV Darmstadt 98,Home,2.Bundesliga,2018,4231,4231,1,0,0,0,0,15,5,33.3333,0.0000,0,0,0,0,0,7,0,0,60,51.5837104,0,504,16,0,1,18,0,0,0,0,19,11,0,0,3,0,0,0,0,0
VfL Bochum 1848,,SpVgg Greuther Fürth,Away,2.Bundesliga,2018,4231,4411,2,0,0,0,0,10,5,50.0000,0.0000,2,0,0,0,0,17,0,0,53,46.875,0,464,17,0,1,18,0,0,0,0,18,20,3,0,1,0,0,0,0,0
VfL Bochum 1848,,SSV Jahn Regensburg,Home,2.Bundesliga,2018,4231,442,3,0,0,0,0,12,5,41.6667,0.0000,3,0,0,0,0,14,0,0,63,62.8571428,0,474,13,0,1,26,0,0,0,0,16,12,0,0,1,0,0,0,0,0
VfL Bochum 1848,,Hamburger SV,Away,2.Bundesliga,2018,4231,4141,0,0,0,0,0,11,2,18.1818,0.0000,0,0,0,0,0,18,0,0,43,39.9239543,0,337,7,0,1,18,0,0,0,0,14,16,2,0,1,0,0,0,0,0
VfL Bochum 1848,,Arminia Bielefeld,Home,2.Bundesliga,2018,451,352,1,0,0,0,0,11,3,27.2727,0.0000,0,0,0,0,0,20,0,0,43,41.9708029,0,383,5,0,1,11,0,0,0,0,14,8,1,0,3,0,0,0,0,0
VfL Bochum 1848,,1. FC Heidenheim 1846,Away,2.Bundesliga,2018,442,442,2,0,0,0,0,10,5,50.0000,0.0000,3,0,0,0,0,21,0,0,49,45.5128205,0,447,2,0,1,21,0,0,0,0,14,9,4,1,0,0,0,0,0,0
VfL Bochum 1848,,SG Dynamo Dresden,Home,2.Bundesliga,2018,4231,343,0,0,0,0,0,17,6,35.2941,0.0000,1,0,0,0,0,10,0,0,63,58.7121212,0,612,6,0,1,21,0,0,0,0,13,12,1,0,0,0,0,0,0,0
VfL Bochum 1848,,Holstein Kiel,Away,2.Bundesliga,2018,4231,4231,2,0,0,0,0,8,6,75.0000,187.5000,2,0,0,0,0,16,0,0,44,38.6831275,0,349,5,0,4,11,0,0,0,0,12,13,1,0,1,0,0,0,0,0
VfL Bochum 1848,,FC Ingolstadt 04,Home,2.Bundesliga,2018,4231,4231,6,0,0,0,0,20,10,50.0000,0.0000,0,0,0,0,0,0,0,0,66,72.5118483,0,522,5,0,0,34,0,0,0,0,19,11,1,0,3,0,0,0,0,0
VfL Bochum 1848,,SC Paderborn 07,Away,2.Bundesliga,2018,4231,442,2,0,0,0,0,5,2,40.0000,0.0000,2,0,0,0,0,22,0,0,43,38.5281385,0,324,8,0,3,12,0,0,0,0,11,17,4,0,1,0,0,0,0,0
