Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Borussia Mönchengladbach,1,FC Schalke 04,Home,Bundesliga,2019,41212,-1,0,1.341178238,1.136412,0,0.12353578,16,4,25.0000,0.0000,0,0.784438353,0.6369608,0,0.14747759,8,1,45.36,60,54.4247787,0.4411143,519,15,23,0,17,0,6.9048,0.129,0.0287,10,10,3,0,1,1.8376,0.874,0.7543166,0.3132023,0.4411143
Borussia Mönchengladbach,2,1. FSV Mainz 05,Away,Bundesliga,2019,4312,-1,3,2.194636018,1.0599349,0.317669898,0.724877365,15,6,40.0000,0.0000,1,1.498404695,0.686321,0,0.741685463,20,4,25.7775,52,45.2488687,0.6523016,422,7,30,0,13,2,12.8095,0.0549,0.0541,12,15,2,0,3,1.8496,0.9184,0.9769971,0.3246955,0.6523016
Borussia Mönchengladbach,3,RB Leipzig,Home,Bundesliga,2019,4231,-1,1,1.243035989,0.4629775,0,0.652308712,12,3,25.0000,0.0000,3,2.99300697,2.5686317,0.52509439,0.424375229,14,6,37.065,49,45.2282157,0.5566363,469,17,14,1,27,2,8.9535,0.028,0.0213,19,18,3,0,0,0.367,2.4922,0.76675,0.2101137,0.5566363
Borussia Mönchengladbach,4,1. FC Köln,Away,Bundesliga,2019,4312,-1,1,1.689196053,1.4410761,0,0.041279506,15,4,26.6667,0.0000,0,0.622962728,0.4535759,0.028609162,0.169386726,14,7,39.165,49,50.2074688,0.7369295,378,24,29,2,18,4,8.0769,0.102,0.0125,22,21,2,0,3,2.2138,0.562,1.174077,0.4371475,0.7369295
Borussia Mönchengladbach,5,Fortuna Düsseldorf,Home,Bundesliga,2019,4312,-1,2,3.689785334,3.0707106,0,0.512673549,23,11,47.8261,0.0000,1,1.273196289,0.6080825,0.121643838,0.665113643,18,4,22.26,58,53.2846715,0.7528907,476,16,36,3,29,2,10.5417,0.0506,0.034,11,15,2,0,3,2.557,0.3208,1.0097265,0.2568358,0.7528907
Borussia Mönchengladbach,6,TSG Hoffenheim,Away,Bundesliga,2019,4312,-1,3,2.640621813,2.5494029,0.46374511,0.068041652,12,5,41.6667,0.0000,0,1.271903736,1.2495213,0,0,17,4,34.86,48,41.4414414,0.6352852,436,8,25,4,18,2,11.3226,0.0239,0.0196,10,13,2,0,3,2.344,0.49,0.898431,0.2631458,0.6352852
Borussia Mönchengladbach,7,FC Augsburg,Home,Bundesliga,2019,4231,-1,5,3.166671317,2.8228036,0.342347026,0.316978037,12,9,75.0000,0.0000,1,1.48337859,1.4188715,0.422735572,0.064507034,14,3,35.91,63,68.2352941,0.8207279,572,16,34,0,11,5,9.3125,0.0228,0.0153,9,9,1,0,3,2.4278,0.4244,1.0920477,0.2713198,0.8207279
Borussia Mönchengladbach,8,Borussia Dortmund,Away,Bundesliga,2019,4231,-1,0,2.3487881,1.379307,0,0.9694811,14,3,21.4286,0.0000,1,1.62015927,1.1282676,0,0.4918917,16,7,31.71,46,49.2481203,1.1634162,403,5,32,2,15,4,11.6563,0.093,0.0751,13,16,2,0,0,1.8872,0.8912,1.4077892,0.244373,1.1634162
Borussia Mönchengladbach,9,Eintracht Frankfurt,Home,Bundesliga,2019,433,-1,4,1.907550529,1.43081,0.663878739,0.449880572,13,7,53.8462,0.0000,2,1.062898073,0.9072925,0,0.155605567,15,3,34.2825,49,51.6483516,0.6699415,418,8,25,0,15,4,12,0.2783,0.1354,11,13,1,0,3,2.0352,0.7326,0.7992507,0.1293092,0.6699415
Borussia Mönchengladbach,10,Bayer 04 Leverkusen,Away,Bundesliga,2019,352,-1,2,2.496808384,2.4452711,0.214235555,0.015898826,10,6,60.0000,0.0000,1,2.048781622,1.6701071,0.054359587,0.378674461,25,7,23.625,39,29.5081967,0.6394165,370,9,18,1,9,1,17,0.0243,0.0111,13,9,1,0,3,1.6938,1.0704,0.9089094,0.2694929,0.6394165
Borussia Mönchengladbach,11,SV Werder Bremen,Home,Bundesliga,2019,433,-1,3,2.021715202,1.9312068,0.877165821,0.064644568,17,7,41.1765,0.0000,1,1.527321915,0.5554794,0.066050552,0.145887743,16,7,39.9,54,61.7486338,0.4084828,456,13,18,2,13,1,8.0732,0.1104,0.1096,10,18,3,1,3,1.7698,0.9718,0.8637773,0.4552945,0.4084828
Borussia Mönchengladbach,12,1. FC Union Berlin,Away,Bundesliga,2019,4231,-1,0,1.0096546,0.9446821,0.468967766,0.0649725,13,2,15.3846,0.0000,2,1.5793154,1.4772996,0.269285202,0.1020158,11,6,30.555,63,57.2580645,0.6456855,612,12,25,0,26,5,15.1053,0.0469,0.0433,12,7,1,0,0,0.8876,1.832,0.634919,-0.0107665,0.6456855
