Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
1. FC Köln,1,Hertha BSC,Home,Bundesliga,2021,41212,433,3,1.562352866,1.4527562,0,0.109596517,14,5,35.7143,0.0000,1,1.872321257,0.7016252,0,1.139862899,10,5,38.85,59,74.7311827,0.5759478,447,7,27,0,25,2,7.0513,0.0591,0.0311,14,18,4,0,3,1.25,1.4486,0.7225939,0.1466461,0.5759478
1. FC Köln,2,FC Bayern München,Away,Bundesliga,2021,4132,4231,2,0.916748773,0.7087836,0,0.138246073,10,3,30.0000,0.0000,3,2.710331199,2.5606489,0.10224393,0.09455296,18,6,33.81,43,43.231441,0.2614612,396,9,16,3,22,0,10.2857,0.0381,0.0247,13,10,1,0,0,0.3324,2.5278,0.4257678,0.1643066,0.2614612
1. FC Köln,3,VfL Bochum 1848,Home,Bundesliga,2021,4132,433,2,2.583023079,2.3864138,0,0.196609307,22,5,22.7273,0.0000,1,0.782490466,0.7442339,0.042074237,0.018314248,11,1,26.88,71,72.2513089,0.788429,470,9,38,0,39,1,6.9231,0.0669,0.0595,21,11,2,0,3,2.5726,0.2944,0.7454462,-0.0429828,0.788429
1. FC Köln,4,SC Freiburg,Away,Bundesliga,2021,4132,442,1,1.191958854,0.6526573,0,0.539301561,15,4,26.6667,93.3333,1,0.825958775,0.3396477,0,0.486311223,10,3,38.2725,46,56.5853658,0.5463225,359,6,28,0,24,3,11.8065,0.0677,0.0435,13,12,1,1,1,1.615,1.0624,0.812779,0.2664565,0.5463225
1. FC Köln,5,RB Leipzig,Home,Bundesliga,2021,4132,4231,1,1.574708855,1.4359837,0.773539454,0.116301867,14,5,35.7143,0.0000,1,2.381224438,1.1957631,0.571628273,1.141864358,19,9,37.17,47,44.7488584,0.5316889,361,4,21,1,17,1,7.0889,0.13,0.1228,6,12,3,0,1,0.8456,1.9208,0.6270327,0.0953438,0.5316889
1. FC Köln,6,Eintracht Frankfurt,Away,Bundesliga,2021,41212,4231,1,1.042176042,0.9069474,0,0.135228725,14,2,14.2857,0.0000,1,1.064696769,0.7986399,0,0.266056862,10,3,26.1975,54,45.8715596,0.774203,399,9,22,0,24,5,6.7647,0.0358,0.0296,11,19,3,0,1,1.33,1.3462,1.0668656,0.2926626,0.774203
1. FC Köln,7,SpVgg Greuther Fürth,Home,Bundesliga,2021,4132,4132,3,2.4653622,1.8139385,0.484726906,0.6514237,18,8,44.4444,0.0000,1,1.09874036,0.9980122,0.042099137,0.1007281,7,3,38.43,67,69.7674418,1.376936,470,8,30,5,29,1,5.6286,0.0398,0.0218,17,16,1,0,3,2.4028,0.4246,1.4350199,0.0580839,1.376936
1. FC Köln,8,TSG Hoffenheim,Away,Bundesliga,2021,4132,3412,0,0.409359217,0.270537,0,0.138822239,10,0,0.0000,0.0000,5,3.571505554,3.3714832,0.761655867,0.111976668,14,8,29.82,49,50,0.245436,406,1,10,2,16,1,16.6667,0.0298,0.0094,12,8,1,0,0,0.0428,2.9342,0.4107123,0.1652763,0.245436
1. FC Köln,9,Bayer 04 Leverkusen,Home,Bundesliga,2021,41212,4231,2,1.663367869,1.1408095,0,0.522558251,19,5,26.3158,0.0000,2,1.694805393,1.6948053,1.014784105,0,9,6,46.62,62,62.3853211,0.3338877,461,4,25,0,28,3,5.6364,0.071,0.0286,13,10,1,0,1,1.3538,1.3784,0.5301275,0.1962398,0.3338877
1. FC Köln,10,Borussia Dortmund,Away,Bundesliga,2021,4132,3421,0,1.212602521,1.1098536,0,0.102748839,21,5,23.8095,0.0000,2,1.408122007,1.2697974,0,0.113656174,8,5,41.37,58,61.0169491,0.680277,537,5,26,0,22,3,8.7778,0.0389,0.0187,9,11,3,0,0,1.1552,1.5554,0.9797503,0.2994733,0.680277
