Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Borussia Dortmund,1,Bayer 04 Leverkusen,Home,Bundesliga,2022,433,4231,1,1.958320029,1.8143783,0,0.038121875,14,4,28.5714,0.0000,0,1.061687358,0.9678979,0,0.093789354,8,3,35.7,45,56.9288389,0.416728,398,9,24,0,12,3,9.4103,0.0965,0.073,11,13,2,0,3,1.9656,0.7686,0.6059314,0.1892034,0.416728
Borussia Dortmund,2,SC Freiburg,Away,Bundesliga,2022,4231,4231,3,0.916094899,0.830042,0,0.057596523,13,6,46.1538,0.0000,1,0.879713019,0.7477605,0,0.105470398,16,7,27.93,61,50,0.5924814,507,12,22,1,15,4,11.15,0.0395,0.0292,16,10,3,0,3,1.3708,1.2928,0.9686958,0.3762144,0.5924814
Borussia Dortmund,3,SV Werder Bremen,Home,Bundesliga,2022,4231,352,2,0.517368326,0.4989351,0,0.018433247,6,4,66.6667,0.0000,3,0.934416562,0.5552369,0,0.278585551,14,7,33.81,49,36.9369369,0.3327762,413,8,13,2,10,0,9.9333,0.0635,0.0302,9,13,4,0,0,0.9336,1.6998,0.6513094,0.3185332,0.3327762
Borussia Dortmund,4,Hertha BSC,Away,Bundesliga,2022,4231,433,1,2.935600106,2.5050579,0,0.347873438,22,7,31.8182,0.0000,0,0.441008358,0.3190121,0.072463915,0.121996242,13,3,38.85,62,61.5686274,0.714027,583,11,42,1,24,4,8.6364,0.037,0.0213,8,9,0,0,3,2.7652,0.1552,0.9207017,0.2066747,0.714027
Borussia Dortmund,5,TSG Hoffenheim,Home,Bundesliga,2022,451,352,1,2.180534102,2.085753,0.545074638,0.094781108,15,5,33.3333,0.0000,0,0.382295195,0.1751422,0,0.124042939,7,2,30.975,50,60.8527131,0.4802284,450,7,29,0,17,3,16.5,0.0324,0.0248,14,14,3,0,3,2.635,0.238,0.8185447,0.3383163,0.4802284
Borussia Dortmund,6,RB Leipzig,Away,Bundesliga,2022,4231,4231,0,0.4407016,0.3113035,0.165098861,0.1293982,5,0,0.0000,0.0000,3,1.49634102,1.32607,0,0.170271,15,5,36.96,56,52.2935779,0.2658607,464,12,19,0,21,2,9.1515,0.071,0.0373,12,6,1,0,0,0.5158,2.2354,0.4539818,0.1881211,0.2658607
Borussia Dortmund,7,FC Schalke 04,Home,Bundesliga,2022,4231,4231,1,2.057552,1.5964062,0.135618821,0.4611458,17,5,29.4118,0.0000,0,0.09573107,0.0706454,0,0.0250856,3,0,36.96,67,73.2851985,0.6015324,558,15,34,1,32,5,8.3667,0.0228,0.0162,13,12,3,0,3,2.7728,0.128,0.5234723,-0.0780601,0.6015324
Borussia Dortmund,8,1. FC Köln,Away,Bundesliga,2022,4231,4132,2,2.684164465,2.4269694,0.346100211,0.200647648,22,8,36.3636,0.0000,3,2.411332626,2.3135067,0.299161717,0.097825926,21,10,37.8,58,56.1403508,0.9190153,472,12,35,1,25,9,11.4615,0.034,0.0288,14,9,3,0,0,1.5548,1.2308,1.271567,0.3525517,0.9190153
Borussia Dortmund,9,FC Bayern München,Home,Bundesliga,2022,433,4231,2,1.7071884,1.6089263,0,0.0982621,12,6,50.0000,0.0000,2,1.04475337,1.0447533,0.121043473,0,9,3,31.5,44,40.5063291,0.6428599,440,4,27,2,17,4,16.7778,0.027,0.0121,11,8,3,0,1,1.9272,0.7836,1.0433877,0.4005278,0.6428599
Borussia Dortmund,10,1. FC Union Berlin,Away,Bundesliga,2022,352,352,0,0.968659983,0.7619876,0,0.129057581,14,6,42.8571,0.0000,2,1.432992302,1.1018056,0,0.3311866,16,5,32.0775,77,65.3543307,0.8887815,785,8,26,0,27,8,9.8889,0.0379,0.0316,15,5,2,0,0,0.928,1.7746,1.0059813,0.1171998,0.8887815
