Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Eintracht Frankfurt,1,FC Bayern München,Home,Bundesliga,2022,3421,442,1,0.717787411,0.6690696,0,0.048717847,8,2,25.0000,0.0000,6,4.068404591,3.8823213,0.616611443,0.163116325,23,10,26.145,37,39.5918367,0.164519,359,10,16,1,15,1,31.6667,0.0236,0.022,11,10,2,0,0,0.069,2.8914,0.1979081,0.0333891,0.164519
Eintracht Frankfurt,2,Hertha BSC,Away,Bundesliga,2022,3421,433,1,1.161610993,1.0578164,0,0.103794705,11,1,9.0909,0.0000,1,1.738593418,1.6727052,0,0.0658883,12,5,36.4875,62,54.4117647,0.4933968,482,10,23,2,20,2,8.4815,0.0733,0.053,11,11,1,0,1,0.913,1.831,0.764514,0.2711967,0.4933968
Eintracht Frankfurt,3,1. FC Köln,Home,Bundesliga,2022,4231,41212,1,0.931177002,0.4592621,0,0.093253054,9,3,33.3333,0.0000,1,0.189999729,0.1366181,0,0.053381585,5,2,34.2825,53,57.2769953,0.7816534,417,13,26,1,17,3,8.5143,0.1193,0.0744,10,16,0,0,1,2.0708,0.5702,0.9898613,0.2082079,0.7816534
Eintracht Frankfurt,4,SV Werder Bremen,Away,Bundesliga,2022,4231,352,4,1.859833164,1.4726007,0.51999557,0.38723251,10,7,70.0000,0.0000,3,1.710005709,0.8616019,0,0.066654801,10,4,38.01,45,49.787234,0.3967664,384,8,25,2,17,2,12,0.0796,0.0716,16,18,3,0,3,1.4842,1.243,0.5524866,0.1557202,0.3967664
Eintracht Frankfurt,5,RB Leipzig,Home,Bundesliga,2022,4231,3412,4,3.507050016,2.0064634,0,0.718837693,14,9,64.2857,0.0000,0,0.180723861,0.0519179,0,0.128805932,0,0,35.28,44,45.9227467,0.3492119,411,4,42,3,10,2,13.4688,0.0561,0.0259,10,14,1,0,3,2.9694,0.0168,0.7505796,0.4013677,0.3492119
Eintracht Frankfurt,6,VfL Wolfsburg,Home,Bundesliga,2022,4231,433,0,0.512842063,0.3372164,0,0.15109681,10,0,0.0000,0.0000,1,0.950592069,0.4640398,0,0.486552278,7,3,38.955,63,61.4583333,0.4748266,521,4,24,1,26,0,12.7619,0.0576,0.0388,13,16,2,0,0,0.8546,1.7864,0.5868039,0.1119773,0.4748266
Eintracht Frankfurt,7,VfB Stuttgart,Away,Bundesliga,2022,3421,352,3,1.607866293,0.7916364,0,0.517272804,13,8,61.5385,0.0000,1,0.940974345,0.4740173,0,0.463589555,15,2,16.905,44,35.9504132,0.3362329,408,9,18,0,9,0,20.5882,0.0199,0.016,9,11,0,0,3,1.8378,0.909,0.6040422,0.2678093,0.3362329
Eintracht Frankfurt,8,1. FC Union Berlin,Home,Bundesliga,2022,3421,352,2,1.460127028,1.3420373,0.023513218,0.08823286,13,4,30.7692,0.0000,0,0.884885444,0.8552445,0,0.029641055,16,5,14.4375,47,31.512605,0.2927561,457,21,25,1,7,2,25.3571,0.0602,0.0346,11,4,1,1,3,1.9172,0.7838,0.4421034,0.1493473,0.2927561
Eintracht Frankfurt,9,VfL Bochum 1848,Away,Bundesliga,2022,4222,4231,0,0.856675964,0.5699471,0,0.286728781,12,2,16.6667,0.0000,3,0.958295469,0.5709334,0,0.364893873,12,5,25.725,54,44.5595854,0.7602407,385,8,29,2,16,0,9.5714,0.0896,0.0752,11,10,1,0,0,1.2272,1.4312,0.8450448,0.0848041,0.7602407
Eintracht Frankfurt,10,Bayer 04 Leverkusen,Home,Bundesliga,2022,3421,343,5,4.125299121,2.533253,0,0.028548002,19,10,52.6316,0.0000,1,0.388759777,0.356822,0,0.031937882,5,2,43.785,49,63.6363636,0.4585815,491,4,35,5,20,4,16.6667,0.0481,0.0257,7,10,0,0,3,2.9702,0.0188,0.7676014,0.3090199,0.4585815
Eintracht Frankfurt,11,Borussia Mönchengladbach,Away,Bundesliga,2022,3421,4231,3,1.863424048,1.6346803,1.244161755,0.205689667,15,5,33.3333,0.0000,1,1.392550569,1.2136829,0.514889777,0.178867679,0,3,39.3225,40,49.7354497,0.4978874,381,7,22,1,10,1,11.2667,0.0829,0.0722,9,20,2,0,3,1.6846,1.048,0.8287776,0.3308902,0.4978874
Eintracht Frankfurt,12,Borussia Dortmund,Home,Bundesliga,2022,3421,4231,1,1.560125985,1.3631355,0,0.143943972,20,7,35.0000,0.0000,2,0.925329328,0.8465955,0,0,7,2,39.375,59,64.5021645,0.7498058,608,13,38,2,16,1,12.129,0.0334,0.025,11,15,5,0,0,1.8158,0.9212,1.0731073,0.3233015,0.7498058
Eintracht Frankfurt,13,FC Augsburg,Away,Bundesliga,2022,3421,4222,2,1.360131623,1.0006246,0,0.322598428,12,7,58.3333,0.0000,1,1.000984033,1.000984,0,0,10,4,27.405,59,53.9419087,0.4079222,500,10,31,0,19,1,11.8261,0.1118,0.0954,14,15,1,0,3,1.6544,1.0502,0.7170694,0.3091472,0.4079222
Eintracht Frankfurt,14,TSG Hoffenheim,Home,Bundesliga,2022,3421,352,4,3.5953211,3.5953211,0.511182964,0,14,7,50.0000,0.0000,2,1.19233656,1.0864728,0.096246853,0.1058638,12,3,26.355,51,45.8333333,1.1034773,514,6,29,1,10,3,18.2381,0.0234,0.0153,21,9,0,0,3,2.7072,0.21,1.5079492,0.4044719,1.1034773
Eintracht Frankfurt,15,1. FSV Mainz 05,Away,Bundesliga,2022,3421,3421,1,0.96968432,0.8324526,0,0.050583266,10,3,30.0000,0.0000,1,1.592948206,0.5736546,0,1.019293694,18,6,16.9575,61,44.3548387,0.5959325,547,5,26,1,14,2,13.0556,0.135,0.1086,11,8,2,0,1,0.909,1.7934,0.7188799,0.1229474,0.5959325
Eintracht Frankfurt,16,FC Schalke 04,Home,Bundesliga,2022,3421,4231,3,1.510171265,1.3023409,0,0.207830459,12,3,25.0000,0.0000,0,2.049892565,1.4261385,0.126306683,0.52960345,19,4,27.51,44,42.4242424,0.2897715,377,5,20,1,10,2,12.4688,0.0197,0.0145,10,16,2,0,3,1.037,1.7186,0.515675,0.2259035,0.2897715
