Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
SC Freiburg,1,Eintracht Frankfurt,Home,Bundesliga,2018,4132,-1,0,1.600811682,1.3063216,0,0.15977925,22,6,27.2727,0.0000,2,0.782081904,0.7077969,0,0.074284963,10,2,31.5525,52,49.4071146,0.9125642,417,7,28,0,19,0,14.3,0.0289,0.0264,11,7,1,0,0,1.9756,0.754,1.0172902,0.104726,0.9125642
SC Freiburg,2,TSG Hoffenheim,Away,Bundesliga,2018,4231,-1,1,1.532539518,0.9392106,0.43969506,0.523751652,11,4,36.3636,0.0000,3,3.283414326,3.0858588,0.578733454,0.197555453,22,8,34.0725,41,46,0.3386495,321,5,14,1,17,3,8.8333,0.1033,0.0148,11,14,2,0,0,0.427,2.4292,0.5475136,0.2088641,0.3386495
SC Freiburg,3,VfB Stuttgart,Home,Bundesliga,2018,4222,-1,3,1.182950162,0.8716989,0,0.287869343,12,5,41.6667,0.0000,3,1.544828687,1.3790763,0,0.165752367,12,6,20.58,42,41.3953488,0.1683798,339,0,14,0,24,1,17.381,0.1162,0.0154,11,15,1,1,1,1.2854,1.3958,0.3395059,0.1711261,0.1683798
SC Freiburg,4,VfL Wolfsburg,Away,Bundesliga,2018,442,-1,3,2.459469999,1.3274663,0.579551123,0.350254711,11,8,72.7273,0.0000,1,1.086677228,0.7875121,0,0.279062503,19,9,22.5225,27,32.6359832,0.3179759,237,5,13,1,13,4,18,0.0132,0.0063,12,16,3,0,3,2.3534,0.482,0.4218829,0.103907,0.3179759
SC Freiburg,5,FC Schalke 04,Home,Bundesliga,2018,442,-1,1,1.203973599,0.8501159,0,0.353857745,15,4,26.6667,0.0000,0,0.887174734,0.6974671,0,0.11956539,15,3,27.09,42,42.5120772,0.1706161,309,9,18,0,12,0,11.1071,0.015,0.0072,11,13,2,0,3,1.6064,1.0772,0.210477,0.0398609,0.1706161
SC Freiburg,6,FC Augsburg,Away,Bundesliga,2018,4411,-1,1,1.67305228,0.9634858,0,0.709566533,13,6,46.1538,0.0000,4,3.184368945,2.3377509,0,0.064869042,22,10,22.4175,50,45.9330143,0.364456,412,3,19,1,12,5,13.7083,0.0291,0.021,13,9,1,0,0,0.3956,2.4554,0.5661071,0.2016511,0.364456
SC Freiburg,7,Bayer 04 Leverkusen,Home,Bundesliga,2018,4141,-1,0,0.731580376,0.7315804,0,0,7,1,14.2857,0.0000,0,0.518652002,0.3546612,0,0.073608549,14,0,30.345,43,35.9788359,0.3333195,354,8,21,0,17,2,12.3667,0.0267,0.0183,12,13,3,0,1,1.5592,1.0432,0.5030876,0.1697681,0.3333195
SC Freiburg,8,Hertha BSC,Away,Bundesliga,2018,4141,-1,1,0.4882855,0.2971034,0,0.1911821,8,3,37.5000,0.0000,1,0.77493926,0.6915041,0,0.0834352,13,5,27.3,39,37.7659574,0.1917303,336,2,16,0,15,0,19.0455,0.0898,0.0721,12,14,0,0,1,1,1.6084,0.2868708,0.0951405,0.1917303
SC Freiburg,9,Borussia Mönchengladbach,Home,Bundesliga,2018,442,-1,3,1.389856287,0.5480033,0.067423515,0.060104057,13,7,53.8462,0.0000,1,1.137687896,0.253677,0,0.102261963,10,2,23.94,41,30.875576,0.2107437,426,3,14,2,9,1,22.8421,0.0091,0.0053,12,9,1,0,3,1.5496,1.0678,0.553186,0.3424423,0.2107437
SC Freiburg,10,FC Bayern München,Away,Bundesliga,2018,442,-1,1,0.548558122,0.548558,0,0,10,1,10.0000,0.0000,1,1.753351409,0.9935911,0,0.687802874,24,6,23.1,28,21.2827988,0.1217791,280,11,9,0,12,2,21,0.0091,0.0059,9,11,1,0,1,0.4886,2.2946,0.2266926,0.1049135,0.1217791
