Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Hertha BSC,1,VfB Stuttgart,Home,Bundesliga,2017,442,-1,2,0.546472927,0.4745911,0,0.071881838,10,4,40.0000,0.0000,0,0.71702721,0.6918581,0,0,8,2,36.855,54,52.173913,0.3787166,512,9,12,1,16,0,10.3333,0.0202,0.0072,12,18,2,0,3,1.132,1.471,0.8284868,0.4497702,0.3787166
Hertha BSC,2,Borussia Dortmund,Away,Bundesliga,2017,4231,-1,0,0.2986991,0.2173588,0,0.0813402,7,4,57.1429,0.0000,2,2.06811763,1.9895543,0.083807506,0.0785634,18,8,30.87,34,37.9912663,0.339924,327,4,14,0,13,2,19.3846,0.0545,0.0457,12,9,1,0,0,0.2254,2.647,0.3415495,0.0016255,0.339924
Hertha BSC,3,SV Werder Bremen,Home,Bundesliga,2017,4231,-1,1,0.2523599,0.1594423,0,0.0929176,8,4,50.0000,0.0000,1,0.46973611,0.3008846,0,0.1688517,10,5,38.115,53,60.7003891,0.3621996,480,6,13,1,18,2,9.6765,0.0145,0.0085,12,10,1,0,1,0.9996,1.4544,0.4671907,0.1049911,0.3621996
Hertha BSC,4,TSG Hoffenheim,Away,Bundesliga,2017,4231,-1,1,0.4888708,0.4888708,0,0,9,4,44.4444,0.0000,1,0.4326509,0.2643994,0,0.1682515,8,2,33.39,41,41.2878787,0.3503753,418,4,19,0,14,0,13.4848,0.0258,0.023,14,20,2,0,1,1.3054,1.2088,0.4797274,0.1293521,0.3503753
Hertha BSC,5,Bayer 04 Leverkusen,Home,Bundesliga,2017,4231,-1,2,0.432783904,0.0983997,0,0.33438422,5,3,60.0000,0.0000,1,0.560450864,0.4652537,0,0.095197095,12,5,28.035,36,29.5719844,0.4523304,366,3,10,0,13,4,16.1852,0.013,0.009,23,12,1,0,3,1.1532,1.3806,0.5089747,0.0566443,0.4523304
Hertha BSC,6,1. FSV Mainz 05,Away,Bundesliga,2017,4231,-1,0,0.540007819,0.5400078,0,0,5,1,20.0000,0.0000,1,1.06244344,0.1842054,0,0.020142483,8,3,39.165,58,57.0247933,0.3980065,508,10,8,1,11,1,7.7568,0.0471,0.0357,20,25,3,1,0,0.7174,1.9018,0.4340109,0.0360044,0.3980065
Hertha BSC,7,FC Bayern München,Home,Bundesliga,2017,4231,-1,2,1.408373065,0.9278413,0,0.446782071,10,5,50.0000,0.0000,2,1.159590238,0.867635,0,0.291955223,17,5,24.5175,33,36.0655737,0.58302,308,3,13,0,9,3,17.1923,0.005,0.0022,11,14,0,0,1,1.6038,1.1154,0.8428358,0.2598158,0.58302
Hertha BSC,8,FC Schalke 04,Home,Bundesliga,2017,4231,-1,0,0.023338857,0.0121342,0,0.011204617,2,0,0.0000,0.0000,2,1.527465113,0.7159112,0,0.029804962,11,7,31.08,38,34.2105263,0.0997178,379,11,8,0,8,3,15.6,0.0159,0.0074,20,12,1,1,0,0.118,2.7706,0.1762011,0.0764833,0.0997178
Hertha BSC,9,SC Freiburg,Away,Bundesliga,2017,4231,-1,1,2.062267558,0.4272934,0,0.046089387,12,3,25.0000,0.0000,1,2.687620374,1.6799776,0.083922394,0.138403643,20,8,23.52,43,40.625,0.7168737,366,6,25,1,17,1,15.16,0.0126,0.0085,21,15,3,0,1,0.9658,1.7788,0.75452,0.0376463,0.7168737
Hertha BSC,10,Hamburger SV,Home,Bundesliga,2017,4231,-1,2,1.036711463,0.9066052,0.613347232,0.130106214,8,3,37.5000,0.0000,1,0.77866045,0.5185217,0,0.226242092,11,4,34.02,48,42.2131147,0.4083938,385,7,14,0,16,1,6.8571,0.014,0.0077,13,14,2,0,3,1.6148,1.046,0.4977505,0.0893567,0.4083938
