Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
TSG Hoffenheim,1,SV Werder Bremen,Home,Bundesliga,2017,3142,-1,1,0.918325739,0.822753,0,0.072070593,14,3,21.4286,0.0000,0,0.74507121,0.593997,0,0.127283014,11,2,42.9975,64,69.9633699,0.4680827,618,8,22,1,20,1,7.7297,0.0584,0.0127,14,17,1,0,3,1.4742,1.1658,1.0879841,0.6199014,0.4680827
TSG Hoffenheim,2,Bayer 04 Leverkusen,Away,Bundesliga,2017,433,-1,2,0.691087137,0.6910871,0,0,7,4,57.1429,0.0000,2,2.229156422,1.4098522,0.037345879,0.037555339,17,3,31.6575,39,36.7924528,0.3701507,332,3,13,1,10,0,11.8788,0.0251,0.0073,16,11,2,0,1,0.3206,2.5244,0.7058235,0.3356728,0.3701507
TSG Hoffenheim,3,FC Bayern München,Home,Bundesliga,2017,3142,-1,2,0.569215961,0.4994763,0,0.046336424,6,3,50.0000,0.0000,0,1.598644088,1.2677709,0,0.308023189,23,6,24.675,28,26.6881028,0.2426828,271,3,5,0,2,1,20.2857,0.0058,0.0058,9,15,3,0,3,0.5914,2.1562,0.4785904,0.2359076,0.2426828
TSG Hoffenheim,4,Hertha BSC,Home,Bundesliga,2017,3421,-1,1,0.4326509,0.2643994,0,0.1682515,8,2,25.0000,0.0000,1,0.48887082,0.4888708,0,0,9,4,32.445,59,58.7121212,0.5112757,608,2,12,0,22,6,14.5217,0.0116,0.0085,20,15,2,0,1,1.2088,1.3054,0.7061238,0.1948481,0.5112757
TSG Hoffenheim,5,1. FSV Mainz 05,Away,Bundesliga,2017,3142,-1,3,1.163165687,0.4209234,0,0.584401962,19,7,36.8421,0.0000,2,1.566069139,1.4797208,0.345998794,0.034675865,21,7,25.2525,57,44.1747572,0.489124,488,7,23,0,14,1,11.375,0.0091,0.0052,9,13,3,0,3,1.0612,1.6738,0.5451476,0.0560236,0.489124
TSG Hoffenheim,6,FC Schalke 04,Home,Bundesliga,2017,3142,-1,2,1.449235605,1.3267135,0,0.066589512,12,6,50.0000,0.0000,0,1.031295279,0.8091447,0.0406298,0.222150564,16,2,33.915,44,38.7096774,0.4072301,434,6,10,2,6,2,15.4483,0.0015,0.0008,15,17,3,0,3,1.7422,0.9778,0.7980566,0.3908265,0.4072301
TSG Hoffenheim,7,SC Freiburg,Away,Bundesliga,2017,433,-1,2,0.710595672,0.5902394,0.019871883,0.120356316,15,6,40.0000,0.0000,3,1.031810603,0.3445959,0,0.687214712,15,6,30.24,57,47.9452054,0.9117852,457,4,27,0,23,1,10.037,0.0152,0.0105,13,17,3,0,0,1.0118,1.6628,1.0291952,0.11741,0.9117852
TSG Hoffenheim,8,FC Augsburg,Home,Bundesliga,2017,352,-1,2,1.928964566,0.9713077,0,0.891934704,23,7,30.4348,195.6522,2,0.779139826,0.1385315,0.045194525,0.640608304,13,4,26.985,55,57.6530612,0.459932,442,2,29,0,21,2,23.6154,0.0094,0.0085,11,6,1,0,1,2.1856,0.5866,0.8325227,0.3725907,0.459932
TSG Hoffenheim,9,VfL Wolfsburg,Away,Bundesliga,2017,4141,-1,1,1.988815126,1.0830475,0.54019288,0.124018654,14,5,35.7143,0.0000,1,1.707445726,0.6456716,0,0.181502327,15,6,31.3425,46,44.3925233,0.5632958,404,6,18,0,23,4,12.069,0.0267,0.0099,12,24,3,0,1,1.5388,1.1752,1.0553126,0.4920168,0.5632958
TSG Hoffenheim,10,Borussia Mönchengladbach,Home,Bundesliga,2017,3142,-1,1,1.07898196,1.078982,0,0,16,5,31.2500,0.0000,3,1.992613054,1.2843082,0.462059617,0.601911714,16,6,33.39,54,58.4415584,0.704994,490,9,28,1,29,1,10.8667,0.0178,0.0165,13,16,2,0,0,0.7444,2.038,0.9898518,0.2848578,0.704994
