Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
RB Leipzig,1,1. FSV Mainz 05,Away,Bundesliga,2021,4231,3412,0,0.8457981,0.4234537,0,0.373388,13,2,15.3846,0.0000,1,1.0581901,0.3524101,0,0.70578,0,2,42.105,72,70.8487084,0.5945417,618,7,34,1,36,4,5.9697,0.621621622,0.540540541,10,8,2,0,0,1.1002,1.5616,0.818271,0.2237293,0.5945417
RB Leipzig,2,VfB Stuttgart,Home,Bundesliga,2021,4231,3421,4,4.117962127,2.9535141,0,0.230881721,28,12,42.8571,0.0000,0,0.880714478,0.8218603,0,0.058854186,11,5,41.79,52,67.2811059,1.0497047,461,17,38,1,18,3,9.0488,0.0615,0.0509,10,10,0,0,3,2.8476,0.1008,1.5636622,0.5139575,1.0497047
RB Leipzig,3,VfL Wolfsburg,Away,Bundesliga,2021,4231,4231,0,1.316404503,0.1940253,0,1.101155678,11,2,18.1818,0.0000,1,0.916820545,0.8363882,0.039855834,0.057620021,8,2,41.37,53,55.8685446,0.7844531,424,12,19,1,13,1,7.2326,0.0859,0.0527,11,18,2,0,0,1.6938,0.9864,1.0163886,0.2319355,0.7844531
RB Leipzig,4,FC Bayern München,Home,Bundesliga,2021,4231,4231,1,0.363916585,0.2474498,0,0.064615535,10,4,40.0000,0.0000,4,4.482078799,3.2618134,0.555998601,0.438516242,18,6,29.925,52,57.5,0.4862901,458,10,29,3,21,3,9.5,0.0809,0.0689,13,9,0,0,0,0.0116,2.9798,0.5845021,0.098212,0.4862901
RB Leipzig,5,1. FC Köln,Away,Bundesliga,2021,4231,4132,1,2.381224438,1.1957631,0.571628273,1.141864358,19,9,47.3684,0.0000,1,1.574708855,1.4359837,0.773539454,0.116301867,14,5,28.455,53,55.2511415,0.9866133,405,13,43,2,22,2,12.5,0.0378,0.0273,12,6,1,0,1,1.9208,0.8456,1.2294037,0.2427904,0.9866133
RB Leipzig,6,Hertha BSC,Home,Bundesliga,2021,3421,3421,6,3.962986325,2.6326524,0,0.424600013,18,10,55.5556,0.0000,0,0.185531396,0.1855314,0,0,4,2,51.6075,61,66.060606,0.7055733,519,9,42,5,14,1,7.6842,0.1066,0.0321,19,8,1,0,3,2.9684,0.0176,1.0701343,0.364561,0.7055733
RB Leipzig,7,VfL Bochum 1848,Home,Bundesliga,2021,3421,4231,3,2.5587525,1.6022662,0,0.9564863,16,9,56.2500,0.0000,0,1.55240091,1.519263,0.529257417,0.0331379,9,2,31.71,60,41.8848167,0.4999234,522,10,27,7,11,1,11.8182,0.0212,0.011,15,10,1,0,3,2.0904,0.6912,1.0346464,0.534723,0.4999234
RB Leipzig,8,SC Freiburg,Away,Bundesliga,2021,433,343,1,1.676537833,0.7472882,0,0.147500746,12,3,25.0000,0.0000,1,1.46382728,0.8264157,0,0.614029685,15,4,35.6475,48,49.7652582,0.8357647,386,5,26,2,14,1,10.2647,0.1134,0.1058,9,17,4,0,1,1.5636,1.1526,0.8985771,0.0628124,0.8357647
RB Leipzig,9,SpVgg Greuther Fürth,Home,Bundesliga,2021,3421,4231,4,2.228274754,1.412964,0.606276155,0.033561852,13,5,38.4615,0.0000,1,1.775641129,0.7720017,0,0.221890435,9,4,32.55,57,60,0.8695996,519,9,32,0,18,8,8.5405,0.0826,0.0499,12,15,2,0,3,1.7334,0.9816,0.9504426,0.080843,0.8695996
RB Leipzig,10,Eintracht Frankfurt,Away,Bundesliga,2021,3421,3421,1,3.7739584,3.2227408,0,0.5512176,14,6,42.8571,0.0000,1,0.4975852,0.1695913,0,0.327994,11,3,37.905,54,57.5630252,0.8754051,525,6,37,1,18,2,13.6429,0.0901,0.0851,11,9,1,0,1,2.9056,0.061,1.1556322,0.2802271,0.8754051
