Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Bayer 04 Leverkusen,1,VfL Wolfsburg,Away,Bundesliga,2020,4141,433,0,0.3839079,0.1934222,0,0.1904858,7,3,42.8571,0.0000,0,1.04084341,0.7421438,0,0.2986996,9,1,30.5025,59,47.706422,0.4346128,576,8,20,0,15,6,12.0833,0.055,0.0357,14,12,2,0,1,0.6842,1.9898,0.6027608,0.168148,0.4346128
Bayer 04 Leverkusen,2,RB Leipzig,Home,Bundesliga,2020,4141,3421,1,0.795614605,0.7377741,0,0.057840485,11,4,36.3636,0.0000,1,0.90100648,0.6151609,0,0.242287502,7,2,37.3275,59,60.8247422,0.4153357,559,14,20,0,20,1,9.3611,0.0309,0.0159,10,16,1,0,1,1.1772,1.4742,0.6921638,0.2768281,0.4153357
Bayer 04 Leverkusen,3,VfB Stuttgart,Away,Bundesliga,2020,4141,3142,1,1.833097277,0.9262877,0.17189768,0.906809488,15,6,40.0000,0.0000,1,0.757296247,0.2672796,0,0.469837178,12,3,37.8,52,45.0704225,0.4130062,467,8,34,0,29,1,8.7895,0.0268,0.0172,8,17,2,0,1,2.2132,0.5656,0.624462,0.2114558,0.4130062
Bayer 04 Leverkusen,4,1. FSV Mainz 05,Away,Bundesliga,2020,4141,4231,1,0.4454944,0.3523304,0,0.093164,9,5,55.5556,0.0000,0,0.17871966,0.1684966,0,0.010223,6,0,26.88,61,53.3632286,0.3213136,597,13,11,0,22,2,14.3333,0.0198,0.0192,11,6,1,0,3,1.5216,0.8916,0.5382969,0.2169833,0.3213136
Bayer 04 Leverkusen,5,FC Augsburg,Home,Bundesliga,2020,433,442,3,2.427871263,1.4121224,0.623268815,0.233999807,15,7,46.6667,0.0000,1,0.279532553,0.2148146,0,0.064717956,6,3,48.51,66,65.625,0.3983788,701,7,24,0,20,2,9.6176,0.0132,0.0035,6,14,1,0,3,2.8332,0.1002,0.684744,0.2863652,0.3983788
Bayer 04 Leverkusen,6,SC Freiburg,Away,Bundesliga,2020,433,4222,4,1.30897435,1.1858691,0,0.123105206,18,7,38.8889,0.0000,2,1.431017986,1.3346097,0,0,8,5,37.59,60,51.8918918,0.4782852,577,12,14,1,16,0,15.8095,0.0194,0.0084,10,11,2,0,3,1.2048,1.509,0.6883031,0.2100179,0.4782852
Bayer 04 Leverkusen,7,Borussia Mönchengladbach,Home,Bundesliga,2020,433,4231,4,1.481409106,0.9987381,0.375164829,0.482671022,13,4,30.7692,0.0000,3,3.016595036,1.3069916,0,0.927854473,15,6,48.195,59,67.5675675,0.6485338,621,17,25,1,22,0,9.8462,0.0378,0.0187,12,15,4,0,3,0.4798,2.3578,0.841997,0.1934632,0.6485338
Bayer 04 Leverkusen,8,Arminia Bielefeld,Away,Bundesliga,2020,433,4141,2,1.7161033,0.5778401,0,1.1382632,8,4,50.0000,187.5000,1,0,0,0,0,0,0,43.47,70,71.6845878,0.561722,743,9,30,0,39,5,12.3913,0.0168,0.0121,5,10,1,0,3,2.7796,0.1102,0.8529301,0.2912081,0.561722
Bayer 04 Leverkusen,9,Hertha BSC,Home,Bundesliga,2020,433,442,0,0.901709827,0.2003539,0,0.553554555,16,1,6.2500,0.0000,0,0.541491818,0.5305975,0,0.010894329,5,3,48.93,58,68.6486486,0.2984245,512,10,16,0,21,1,9.1389,0.0293,0.0098,19,16,2,0,1,1.6416,0.9834,0.8874963,0.5890718,0.2984245
Bayer 04 Leverkusen,10,FC Schalke 04,Away,Bundesliga,2020,433,4231,3,2.37675084,2.139487,0.132259861,0.152122401,25,9,36.0000,0.0000,0,1.513641307,0.460226,0,0.271666311,15,4,31.815,64,61.3402061,0.4647146,559,12,31,2,18,2,10.1538,0.0339,0.0287,13,11,3,0,3,1.966,0.8086,0.7519496,0.287235,0.4647146
Bayer 04 Leverkusen,11,TSG Hoffenheim,Home,Bundesliga,2020,433,4132,4,2.332607702,1.4704457,0.198915165,0.08041295,13,8,61.5385,0.0000,1,1.617969042,1.048739,0,0.535568357,11,4,27.93,60,50.7177033,0.6241807,597,12,29,0,10,2,10.2069,0.0416,0.0353,11,12,3,0,3,1.9344,0.8334,1.1126289,0.4884482,0.6241807
Bayer 04 Leverkusen,12,1. FC Köln,Away,Bundesliga,2020,4231,3142,4,1.449337388,1.1438677,0,0.203239665,14,7,50.0000,0.0000,0,0.260403559,0.1963347,0,0.064068833,7,0,38.01,66,64.1255605,0.4305218,650,7,28,0,13,1,9.8846,0.0699,0.0569,9,13,1,0,3,2.407,0.3694,0.6093635,0.1788417,0.4305218
Bayer 04 Leverkusen,13,FC Bayern München,Home,Bundesliga,2020,433,4231,1,0.251059014,0.2149323,0,0.036126681,7,2,28.5714,0.0000,2,1.367191156,0.9012789,0,0.424015256,14,3,29.505,51,52.4590163,0.1941776,521,14,12,4,17,0,12.2647,0.0156,0.0066,6,13,1,0,0,0.4158,2.3376,0.4920193,0.2978417,0.1941776
Bayer 04 Leverkusen,14,Eintracht Frankfurt,Away,Bundesliga,2020,433,3421,1,0.628469597,0.4910565,0,0.114692064,7,2,28.5714,85.7143,2,1.432077677,1.3785472,0,0.027280413,12,4,34.02,65,61.9909502,0.4244139,604,15,17,0,23,1,9.0357,0.0416,0.0306,9,6,0,0,0,0.6668,2.0564,0.6273802,0.2029663,0.4244139
Bayer 04 Leverkusen,15,SV Werder Bremen,Home,Bundesliga,2020,433,352,1,0.830762482,0.7356154,0,0.042721038,12,3,25.0000,0.0000,1,0.373939998,0.0146295,0,0.359310448,2,1,61.215,73,77.8656126,0.4455666,708,11,22,1,33,3,6.8529,0.0416,0.0291,12,21,2,0,1,1.7752,0.832,0.7731167,0.3275501,0.4455666
Bayer 04 Leverkusen,16,1. FC Union Berlin,Away,Bundesliga,2020,433,3142,0,0.7271206,0.674383,0,0.0527376,13,3,23.0769,0.0000,1,1.70634178,1.3492007,1.059984066,0.3571409,11,3,44.31,67,67.7042801,0.6802992,738,20,21,1,20,4,8.5405,0.0807,0.0762,9,10,2,0,0,0.5872,2.1856,0.9364109,0.2561117,0.6802992
Bayer 04 Leverkusen,17,Borussia Dortmund,Home,Bundesliga,2020,433,4231,2,1.939218876,1.6804416,0.323276609,0.102713349,23,13,56.5217,0.0000,1,1.364080272,1.2584249,0,0.105655329,16,3,27.615,48,42.7983539,0.275682,496,19,19,2,8,2,16.4231,0.0169,0.0075,8,13,2,0,3,1.7766,0.9774,0.7507488,0.4750668,0.275682
Bayer 04 Leverkusen,18,VfL Wolfsburg,Home,Bundesliga,2020,433,4231,0,1.3407672,1.3271533,0,0.0136139,10,3,30.0000,0.0000,1,0.92740331,0.9274033,0,0,8,4,41.6325,64,59.6226415,0.4555765,599,17,16,0,21,1,9.1379,0.0658,0.0521,7,13,1,0,0,1.6818,1.0098,0.6855546,0.2299781,0.4555765
Bayer 04 Leverkusen,19,RB Leipzig,Away,Bundesliga,2020,433,3142,0,0.588515621,0.5086042,0,0.079911441,8,3,37.5000,0.0000,1,1.558060504,0.8037388,0,0.632148294,16,2,31.0275,54,49.5689655,0.5823872,510,12,16,0,18,1,12.3704,0.0615,0.0275,11,15,2,0,0,0.593,2.1488,0.7670874,0.1847002,0.5823872
Bayer 04 Leverkusen,20,VfB Stuttgart,Home,Bundesliga,2020,433,3421,5,4.26221226,4.2175181,0.309127331,0.044694185,24,11,45.8333,0.0000,2,1.315867981,1.0416473,0.508216355,0.211459085,13,7,38.01,56,59.4827586,0.9730782,482,14,52,1,17,3,8.8611,0.0767,0.0586,8,12,0,0,3,2.74,0.1834,1.5018551,0.5287769,0.9730782
Bayer 04 Leverkusen,21,1. FSV Mainz 05,Home,Bundesliga,2020,433,3412,2,1.389491527,1.3404213,0,0.049070308,11,5,45.4545,0.0000,2,2.367997096,2.2176617,0.081581406,0.150335353,19,5,23.835,69,60,0.4434496,643,17,22,0,10,4,9.3636,0.0525,0.0233,14,13,5,0,1,0.7578,2.0232,0.7758184,0.3323688,0.4434496
