Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
1. FSV Mainz 05,1,VfL Bochum 1848,Away,Bundesliga,2022,541,4231,2,1.308171974,1.104518,0,0.151981033,13,6,46.1538,0.0000,1,0.728890037,0.3244101,0.071658365,0.306429264,16,3,34.1775,40,45.145631,0.4164273,350,4,13,1,19,0,15.4138,0.0252,0.0091,11,16,3,0,3,1.8046,0.8884,0.4817903,0.065363,0.4164273
1. FSV Mainz 05,2,1. FC Union Berlin,Home,Bundesliga,2022,352,352,0,0.5192272,0.4720219,0,0.0472053,11,5,45.4545,0.0000,0,0.26824727,0.2191939,0,0.0490534,10,2,32.34,50,42.7906976,0.4699177,393,6,18,1,14,2,11.4138,0.666666667,0.4,14,9,1,0,1,1.5194,0.9668,0.6592182,0.1893005,0.4699177
1. FSV Mainz 05,3,FC Augsburg,Away,Bundesliga,2022,352,3421,2,2.002921006,0.7824296,0,0.411640395,13,6,46.1538,0.0000,1,0.290244599,0.1315007,0,0.111551115,7,2,44.1,49,63.7931034,0.7102855,359,9,18,5,18,1,9.2368,0.037,0.0184,12,19,2,0,3,2.7022,0.184,0.9044911,0.1942056,0.7102855
1. FSV Mainz 05,4,Bayer 04 Leverkusen,Home,Bundesliga,2022,3421,352,0,1.615314073,1.1985492,0,0.337767264,18,3,16.6667,0.0000,3,1.219212498,1.0782937,0.513092399,0.114559978,8,5,35.595,61,66.5289256,0.7322677,577,7,28,1,20,2,17.3889,0.0414,0.0287,11,10,1,0,0,1.6558,1.0714,0.8393245,0.1070568,0.7322677
1. FSV Mainz 05,5,Borussia Mönchengladbach,Away,Bundesliga,2022,3421,4231,1,0.617872022,0.2759314,0,0.193593405,11,5,45.4545,0.0000,0,1.328268103,1.1839694,0.047556702,0.144298732,14,2,37.59,47,59.2233009,0.5842177,373,7,29,0,32,3,11.5,0.1878,0.1231,7,15,4,0,3,0.704,2.0126,0.6707988,0.0865811,0.5842177
1. FSV Mainz 05,6,TSG Hoffenheim,Away,Bundesliga,2022,3421,3142,1,0.994557175,0.9822134,0.051955536,0.01234376,9,2,22.2222,0.0000,4,5.184243781,4.1004448,0.629693448,0.224190027,21,9,24.36,35,31.8725099,0.1855178,315,6,20,1,12,2,18.8636,0.0237,0.0103,9,13,2,1,0,0.0276,2.9532,0.2679378,0.08242,0.1855178
1. FSV Mainz 05,7,Hertha BSC,Home,Bundesliga,2022,3421,433,1,0.498229298,0.1941072,0,0.304122083,11,2,18.1818,0.0000,1,0.645324477,0.6523762,0,0,4,2,37.17,56,57.1428571,0.7385499,464,6,22,0,16,1,9.0968,0.0523,0.041,10,12,3,0,1,1.0564,1.5304,0.8481656,0.1096157,0.7385499
1. FSV Mainz 05,8,SC Freiburg,Away,Bundesliga,2022,3421,4231,1,1.616187537,1.1597624,0.01636235,0.414934035,15,7,46.6667,0.0000,2,2.442716315,2.2098414,0,0.148389518,13,6,33.075,47,50,1.020384,420,7,36,0,15,0,13.6071,0.0625,0.0512,9,15,4,0,0,1.0536,1.6884,1.1130558,0.0926718,1.020384
1. FSV Mainz 05,9,RB Leipzig,Home,Bundesliga,2022,352,4231,1,0.5153899,0.5153899,0,0,9,3,33.3333,0.0000,1,1.24327447,0.9412366,0,0.3020378,13,3,36.5925,36,46.0905349,0.4541744,325,7,22,2,23,1,13.7879,0.0292,0.0213,12,12,1,0,1,0.7488,1.9422,0.3345558,-0.1196186,0.4541744
1. FSV Mainz 05,10,SV Werder Bremen,Away,Bundesliga,2022,3421,352,2,1.5808391,1.5552831,0.025483731,0.025556,11,5,45.4545,0.0000,0,1.2142973,0.8749467,0,0.3393505,14,3,30.975,32,46.7181467,0.6041045,312,8,26,1,10,1,26.4762,0.0258,0.0118,3,11,2,0,3,1.6508,1.085,0.7853978,0.1812933,0.6041045
