Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
FC Schalke 04,1,VfL Wolfsburg,Away,Bundesliga,2018,3421,-1,1,1.537012694,0.6208773,0.449898422,0.025678903,9,4,44.4444,0.0000,2,1.676914263,1.3518529,0,0.304623604,10,7,32.445,41,45.0777202,0.4742989,298,9,26,1,9,0,11.0313,0.0487,0.0431,15,12,3,1,0,1.3548,1.3326,0.703457,0.2291581,0.4742989
FC Schalke 04,2,Hertha BSC,Home,Bundesliga,2018,433,-1,0,1.642588794,0.5948568,0,0.265982992,16,4,25.0000,0.0000,2,0.747758457,0.6608778,0,0,5,3,43.575,58,65.700483,0.8426975,450,5,30,2,26,2,10.3,0.0462,0.0176,14,18,1,1,0,2.1484,0.595,1.2849006,0.4422031,0.8426975
FC Schalke 04,3,Borussia Mönchengladbach,Away,Bundesliga,2018,3412,-1,1,0.977174139,0.8011826,0.144018963,0.175991476,16,6,37.5000,0.0000,2,1.294468189,0.8192186,0.127635449,0.358754197,15,4,27.825,50,56.5400843,0.5703029,428,6,26,0,21,2,13.2963,0.0289,0.0249,5,13,4,0,0,1.1016,1.6008,0.7314411,0.1611382,0.5703029
FC Schalke 04,4,FC Bayern München,Home,Bundesliga,2018,3412,-1,0,0.302422703,0.2002363,0,0.102186471,10,2,20.0000,0.0000,2,2.361504016,1.2157501,0,0.303743806,14,7,38.9025,30,45.7446808,0.207693,299,5,12,0,9,0,14.675,0.0093,0.0076,11,12,2,0,0,0.1194,2.8044,0.3185021,0.1108091,0.207693
FC Schalke 04,5,SC Freiburg,Away,Bundesliga,2018,4231,-1,0,0.887174734,0.6974671,0,0.11956539,15,3,20.0000,0.0000,1,1.203973599,0.8501159,0,0.353857745,15,4,31.605,58,57.4879227,0.26864,418,16,21,0,27,2,10,0.0304,0.0156,12,13,4,0,0,1.0772,1.6064,0.4819484,0.2133084,0.26864
FC Schalke 04,6,1. FSV Mainz 05,Home,Bundesliga,2018,4231,-1,1,1.389604432,1.2582152,0.536647677,0.071722316,15,2,13.3333,0.0000,0,1.134456255,1.0562237,0,0.078232587,15,5,29.925,43,43.3862433,0.4144344,325,10,18,0,15,0,12.1379,0.0845,0.0799,20,22,2,0,3,1.6164,1.0938,0.7927564,0.378322,0.4144344
FC Schalke 04,7,Fortuna Düsseldorf,Away,Bundesliga,2018,41212,-1,2,1.712845328,1.485196,0,0.201583258,15,5,33.3333,0.0000,0,0.67457128,0.5631525,0,0.111418768,9,3,32.655,51,50.7317073,0.3047738,393,3,21,0,13,1,10.6786,0.0224,0.0209,14,13,1,0,3,2.1486,0.5928,0.4221479,0.1173741,0.3047738
FC Schalke 04,8,SV Werder Bremen,Home,Bundesliga,2018,4411,-1,0,0.919989254,0.737582,0,0.182407279,12,4,33.3333,0.0000,2,0.379908848,0.3412815,0.121227704,0.038627294,8,3,36.12,46,52.3206751,0.1720086,412,11,21,0,22,3,16.1923,0.0827,0.0168,9,13,1,0,0,1.8708,0.7686,0.2457328,0.0737242,0.1720086
FC Schalke 04,9,RB Leipzig,Away,Bundesliga,2018,352,-1,0,0.786555989,0.0379659,0,0.7485901,6,0,0.0000,0.0000,0,0.877459731,0.7140489,0,0.077835336,15,2,27.93,32,31.4285714,0.1677427,278,11,15,1,12,0,11.5676,0.0289,0.0139,11,15,2,0,1,1.2534,1.3962,0.2221368,0.0543941,0.1677427
FC Schalke 04,10,Hannover 96,Home,Bundesliga,2018,352,-1,3,3.202066684,2.2835531,0.095565557,0.033673532,15,6,40.0000,0.0000,1,1.52053132,1.0539398,0,0.372380445,19,6,34.8075,58,52.2321428,0.7650987,545,19,22,2,13,4,7.9474,0.0546,0.0442,10,10,2,0,3,2.4572,0.398,1.0387549,0.2736562,0.7650987
FC Schalke 04,11,Eintracht Frankfurt,Away,Bundesliga,2018,3142,-1,0,0.6254756,0.5343245,0.038919475,0.0911512,5,1,20.0000,0.0000,3,2.85015559,1.3578569,0.421812236,1.4922987,14,4,29.6625,49,35.5932203,0.2061203,363,12,6,0,10,0,10.1786,0.0286,0.0219,7,14,2,0,0,0.1946,2.6918,0.3743627,0.1682424,0.2061203
FC Schalke 04,12,1. FC Nürnberg,Home,Bundesliga,2018,3142,-1,5,2.330136465,2.1566544,0,0.11693473,20,10,50.0000,0.0000,2,2.703928433,2.7039285,0.431045085,0,12,6,43.155,55,64.1025641,0.7201398,495,14,38,0,16,2,10.4242,0.0332,0.0239,12,7,1,0,3,1.3242,1.4412,1.1194385,0.3992987,0.7201398
FC Schalke 04,13,TSG Hoffenheim,Away,Bundesliga,2018,41212,-1,1,1.997790623,0.7646402,0.261210822,0.451401349,15,5,33.3333,0.0000,1,2.467626731,1.2624016,0,0.276837725,20,7,24.36,51,40.4651162,0.3608546,405,18,31,0,25,1,10.25,0.188,0.0179,12,15,3,0,1,1.113,1.6314,0.7378877,0.3770331,0.3608546
FC Schalke 04,14,Borussia Dortmund,Home,Bundesliga,2018,4312,-1,1,1.420124455,0.0365064,0,0.601869144,6,3,50.0000,0.0000,2,0.832278143,0.6354965,0,0.196781695,9,3,28.56,47,49.7560975,0.3559084,432,9,15,1,13,2,11.4286,0.2243,0.0126,9,15,4,0,0,1.9782,0.738,0.5198962,0.1639878,0.3559084
FC Schalke 04,15,FC Augsburg,Away,Bundesliga,2018,343,-1,1,0.69002302,0.3447474,0,0.20088427,15,5,33.3333,0.0000,1,1.690749384,1.5759861,0,0.050810058,15,9,29.82,52,42.7230046,0.3231419,426,9,13,0,18,0,11.2857,0.0337,0.0284,17,10,1,0,1,0.6104,2.1596,0.4865944,0.1634525,0.3231419
FC Schalke 04,16,Bayer 04 Leverkusen,Home,Bundesliga,2018,442,-1,1,1.60172,0.954614,0,0.647106,18,4,22.2222,0.0000,2,0.50920806,0.2398072,0,0.2694008,8,5,48.93,55,71.291866,0.8905188,488,21,32,1,21,1,6.9057,0.0358,0.0203,18,16,4,0,0,2.2792,0.4966,1.225718,0.3351992,0.8905188
FC Schalke 04,17,VfB Stuttgart,Away,Bundesliga,2018,4231,-1,3,2.492148666,1.5160036,0.050741408,0.97614507,14,6,42.8571,0.0000,1,1.303043064,1.1442861,0,0.091905966,17,5,34.1775,38,55.4913294,0.7743022,326,10,29,1,12,4,17.0714,0.0969,0.0285,9,18,5,0,3,2.1884,0.6272,1.1753625,0.4010603,0.7743022
FC Schalke 04,18,VfL Wolfsburg,Home,Bundesliga,2018,4231,-1,2,2.65782406,1.5434928,0.593080982,0.332582176,20,5,25.0000,0.0000,1,1.599428952,1.4031377,0,0.15516394,12,5,39.0075,45,51.8134715,0.4931844,400,16,30,0,19,1,9.2,0.0627,0.0515,5,12,1,0,3,2.1628,0.6322,0.8777146,0.3845302,0.4931844
FC Schalke 04,19,Hertha BSC,Away,Bundesliga,2018,4231,-1,2,1.015927515,0.8836413,0.0966786,0.132286135,13,6,46.1538,0.0000,2,1.308694696,1.1284443,0,0.147963081,11,4,24.6225,53,48.5380116,0.3504861,427,8,23,0,20,1,13.7273,0.0245,0.016,15,10,1,0,1,1.0856,1.6124,0.2977103,-0.0527758,0.3504861
FC Schalke 04,20,Borussia Mönchengladbach,Home,Bundesliga,2018,442,-1,0,0.695781164,0.4640903,0,0.211893983,10,1,10.0000,0.0000,2,1.929405852,1.6065735,0,0.128449235,16,9,31.5,38,36.6666666,0.2376048,345,9,12,0,10,0,15.8889,0.0367,0.0193,8,10,1,1,0,0.5122,2.2882,0.4455769,0.2079721,0.2376048
FC Schalke 04,21,FC Bayern München,Away,Bundesliga,2018,4231,-1,1,1.361364726,1.2907108,0.519213438,0.070653913,7,5,71.4286,85.7143,3,2.152982951,2.0068251,0,0.111701515,17,4,18.9,30,20.1550387,0.1455601,296,9,8,1,10,0,21.7619,0.0392,0.003,8,11,2,0,0,0.8006,1.9574,0.3459202,0.2003601,0.1455601
FC Schalke 04,22,SC Freiburg,Home,Bundesliga,2018,4231,-1,0,0.479171987,0.2263725,0,0.122516021,12,2,16.6667,0.0000,0,1.064109616,0.3580994,0,0.706010111,12,3,30.3975,45,46.5517241,0.5126173,398,12,17,0,11,1,17.9091,0.0417,0.0353,13,10,0,1,1,0.762,1.911,0.6625829,0.1499656,0.5126173
FC Schalke 04,23,1. FSV Mainz 05,Away,Bundesliga,2018,3142,-1,0,0.671901866,0.3211985,0,0.35070328,10,3,30.0000,0.0000,3,2.32281997,1.5920162,0.136502966,0.548914123,20,6,29.4525,60,42.2018348,0.4293903,486,3,17,2,15,2,5.9211,0.0242,0.0137,10,15,2,0,0,0.3528,2.4948,0.5817502,0.1523599,0.4293903
FC Schalke 04,24,Fortuna Düsseldorf,Home,Bundesliga,2018,343,-1,0,0.8514328,0.599201,0,0.185180187,7,2,28.5714,0.0000,4,2.845357437,2.0462878,0.575679757,0.017320633,14,5,47.775,55,62.7659574,0.6116113,418,14,14,0,8,1,7.3571,0.0545,0.0276,16,17,4,0,0,0.2356,2.659,0.8163243,0.204713,0.6116113
FC Schalke 04,25,SV Werder Bremen,Away,Bundesliga,2018,3421,-1,2,1.306527917,0.5399684,0.058764208,0.746017419,14,8,57.1429,0.0000,4,2.940885126,1.8542039,0.064264551,0.304932233,20,7,23.7825,44,36.2595419,0.5660003,333,5,28,2,19,2,11.0833,0.1871,0.1821,17,10,1,0,0,0.3956,2.4662,0.6719318,0.1059315,0.5660003
FC Schalke 04,26,RB Leipzig,Home,Bundesliga,2018,3142,-1,0,0.947598922,0.62655,0,0.29687732,16,3,18.7500,0.0000,1,1.600551494,1.4172212,0,0.183330333,16,4,29.82,50,43.4426229,0.5563578,423,21,29,4,13,1,8.3529,0.0563,0.0486,16,13,1,0,0,0.8312,1.9028,0.706398,0.1500402,0.5563578
FC Schalke 04,27,Hannover 96,Away,Bundesliga,2018,3142,-1,1,0.595735539,0.3220144,0.210476678,0.273721188,6,3,50.0000,0.0000,0,0.908835405,0.7128495,0,0.124222115,15,3,29.19,39,45.2830188,0.3867041,332,14,13,2,9,2,13.9,0.058,0.0323,16,18,1,0,3,1.0496,1.5896,0.4899342,0.1032301,0.3867041
FC Schalke 04,28,Eintracht Frankfurt,Home,Bundesliga,2018,3142,-1,1,0.817122784,0.1168812,0,0.700241583,6,4,66.6667,0.0000,2,2.025833664,0.9946598,0,0.249424884,16,5,32.865,37,42.7312775,0.190432,274,10,16,1,13,1,11.1515,0.3052,0.2705,8,18,3,1,0,0.3672,2.4402,0.395266,0.204834,0.190432
FC Schalke 04,29,1. FC Nürnberg,Away,Bundesliga,2018,3142,-1,1,0.943296555,0.4694848,0,0.473811506,16,2,12.5000,0.0000,1,2.477820198,1.0615893,0.523782767,0.447451592,17,6,22.2075,47,55.4166666,0.2969617,373,9,21,0,27,0,12.25,0.0851,0.0809,12,14,2,0,1,0.467,2.3504,0.4838047,0.186843,0.2969617
FC Schalke 04,30,TSG Hoffenheim,Home,Bundesliga,2018,3142,-1,2,1.863040664,0.5362533,0,0.500069574,15,5,33.3333,0.0000,5,1.897227949,1.835473,0.657841921,0,11,6,40.635,40,50.2702702,0.4601432,313,12,30,0,16,0,11.6286,0.0328,0.0267,15,15,2,0,0,1.3406,1.3994,0.665921,0.2057778,0.4601432
FC Schalke 04,31,Borussia Dortmund,Away,Bundesliga,2018,532,-1,4,1.1839784,0.2448587,0,0.130963735,8,4,50.0000,0.0000,2,0.975741715,0.9263836,0,0.049358152,8,2,31.71,30,25.2427184,0.058068,280,5,12,0,8,0,13.8824,0.0128,0.0098,9,19,6,0,3,1.553,1.0814,0.1798605,0.1217925,0.058068
FC Schalke 04,32,FC Augsburg,Home,Bundesliga,2018,3142,-1,0,1.6915533,1.2138809,0,0.4776724,15,3,20.0000,0.0000,0,0.4767464,0.15895,0,0.3177964,7,3,44.9925,50,65.700483,0.4716106,505,13,37,2,18,2,14.3438,0.0254,0.0213,6,4,1,0,1,2.3242,0.4564,0.9137148,0.4421042,0.4716106
FC Schalke 04,33,Bayer 04 Leverkusen,Away,Bundesliga,2018,3142,-1,1,1.739989837,0.7768476,0,0.181393236,7,3,42.8571,0.0000,1,1.82494361,1.7777976,0,0.047146063,18,5,30.555,25,30.3278688,0.3987421,263,4,11,1,7,1,21.3929,0.0291,0.0167,10,12,1,0,1,1.3442,1.385,0.5678524,0.1691103,0.3987421
FC Schalke 04,34,VfB Stuttgart,Home,Bundesliga,2018,3142,-1,0,0.734290849,0.6597404,0,0.074550452,12,3,25.0000,0.0000,0,0.886489216,0.535311,0.05980264,0.330403341,16,8,35.5425,40,49.4897959,0.4911097,367,6,22,0,16,3,15.4,0.0277,0.0171,8,10,0,0,1,1.2032,1.4408,0.7346166,0.2435069,0.4911097
