Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
VfB Stuttgart,1,RB Leipzig,Home,Bundesliga,2022,352,3412,1,0.8129883,0.7231106,0.172614809,0.0898777,11,2,18.1818,0.0000,1,2.09966951,1.4495459,0,0.6501235,28,9,23.73,32,22.5806451,0.4327955,281,7,13,1,4,1,15.6667,0.0155,0.0125,9,14,2,0,1,0.5544,2.25,0.5467632,0.1139677,0.4327955
VfB Stuttgart,2,SV Werder Bremen,Away,Bundesliga,2022,352,352,2,1.443357,1.377666,0.894696444,0.065691,14,7,50.0000,0.0000,2,0.63461918,0.6346192,0.101251468,0,5,3,35.49,43,40.1709401,0.3994301,422,11,15,3,16,2,18.5652,0.0167,0.0122,6,10,2,0,1,2.049,0.6732,0.6029387,0.2035086,0.3994301
VfB Stuttgart,3,SC Freiburg,Home,Bundesliga,2022,343,4231,0,1.0031537,0.9696008,0,0.0335529,17,4,23.5294,0.0000,1,0.74795569,0.7479556,0,0,9,3,37.065,60,60,0.921649,557,10,43,2,19,1,18.875,0.2132,0.2108,10,8,4,0,0,1.532,1.1276,1.2197897,0.2981407,0.921649
VfB Stuttgart,4,1. FC Köln,Away,Bundesliga,2022,343,4132,0,2.2414507,1.9137582,0.440122515,0.3276925,14,5,35.7143,0.0000,0,0.28072546,0.0411245,0,0.239601,7,2,24.36,36,32.3383084,0.4509702,248,9,17,2,19,1,14.375,0.0929,0.0764,13,11,2,1,1,2.7674,0.137,0.6354054,0.1844352,0.4509702
VfB Stuttgart,5,FC Schalke 04,Home,Bundesliga,2022,352,4231,1,0.9572885,0.6641529,0,0.2931356,13,4,30.7692,0.0000,1,2.08109461,1.8941588,0,0.1869356,12,3,23.625,43,41.2556053,0.5845794,349,7,21,0,14,1,13.76,0.0363,0.0305,10,11,2,1,1,0.561,2.2368,0.6604831,0.0759037,0.5845794
VfB Stuttgart,6,FC Bayern München,Away,Bundesliga,2022,352,4231,2,1.133050452,0.3513014,0,0,7,3,42.8571,0.0000,2,2.067246186,1.9284581,0.4410026,0.064565763,19,6,28.98,33,36.5638766,0.3533519,298,8,13,0,9,1,17.0769,0.158,0.1508,12,9,5,0,1,0.7244,2.033,0.526666,0.1733141,0.3533519
VfB Stuttgart,7,Eintracht Frankfurt,Home,Bundesliga,2022,352,3421,1,0.940974345,0.4740173,0,0.463589555,15,2,13.3333,0.0000,3,1.607866293,0.7916364,0,0.517272804,13,8,39.9525,56,64.0495867,0.3353671,501,10,28,2,25,3,9.5556,0.2891,0.0242,10,9,2,0,0,0.909,1.8378,0.5809523,0.2455852,0.3353671
VfB Stuttgart,8,VfL Wolfsburg,Away,Bundesliga,2022,433,4141,2,2.124038,1.226035,0.069054231,0.898003,14,7,50.0000,0.0000,3,1.83598813,1.2503675,0.045337342,0.5856207,19,6,28.875,43,42.7860696,0.9477222,335,6,23,1,17,2,17.7,0.0289,0.0178,16,14,5,0,0,1.5898,1.15,1.2081973,0.2604751,0.9477222
VfB Stuttgart,9,1. FC Union Berlin,Home,Bundesliga,2022,3142,352,0,1.402055338,0.593889,0,0.7870958,9,3,33.3333,0.0000,1,0.661108695,0.4468283,0,0.214280412,7,4,27.8775,52,46.4454976,0.3006828,457,6,21,0,23,4,15.1739,0.0479,0.015,10,12,1,1,0,2.0068,0.7102,0.5283459,0.2276631,0.3006828
VfB Stuttgart,10,VfL Bochum 1848,Home,Bundesliga,2022,4132,433,4,2.317502483,0.7560069,0.137286663,0.739353349,17,7,41.1765,0.0000,1,1.967541614,1.9180786,0,0.049462993,15,5,12.8625,48,38.8185654,0.4533725,383,7,22,0,11,2,20.6,0.0235,0.015,17,6,0,0,3,1.6634,1.0886,0.7708336,0.3174611,0.4533725
