Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
SV Werder Bremen,1,Fortuna Düsseldorf,Home,Bundesliga,2019,433,-1,1,1.775309,1.209983,0,0.5653259,24,10,41.6667,0.0000,3,1.0663209,0.9294308,0,0.1368901,12,7,33.6,67,65.9003831,1.2480451,639,5,38,0,34,3,11.9048,0.0246,0.0163,13,9,0,0,0,1.8874,0.853,1.3101111,0.062066,1.2480451
SV Werder Bremen,2,TSG Hoffenheim,Away,Bundesliga,2019,3421,-1,2,1.0061058,0.8160059,0,0.1900997,18,6,33.3333,0.0000,3,1.00078249,0.6152419,0,0.3855406,10,3,33.495,46,49.7409326,0.3698355,425,7,19,0,14,1,18.7143,0.1466,0.1366,13,17,3,1,0,1.3314,1.3428,0.641111,0.2712755,0.3698355
SV Werder Bremen,3,FC Augsburg,Home,Bundesliga,2019,41212,-1,3,2.214139275,2.0378205,0.545790136,0.17631875,15,5,33.3333,0.0000,2,1.471728027,1.2950597,0.682773173,0.041623052,12,6,35.9625,67,69.140625,0.5744236,570,7,23,3,27,1,11.35,0.0509,0.0296,12,10,1,0,3,1.9432,0.8092,1.0894161,0.5149925,0.5744236
SV Werder Bremen,4,1. FC Union Berlin,Away,Bundesliga,2019,4132,-1,2,2.149183808,0.3078035,0.078598268,0.188304234,16,7,43.7500,0.0000,1,1.918337635,0.5849207,0,0.551667988,13,5,25.83,53,48.1132075,0.5320055,408,5,16,0,13,0,13.7895,0.0411,0.0287,23,12,2,1,3,1.5522,1.1502,0.494876,-0.0371295,0.5320055
SV Werder Bremen,5,RB Leipzig,Home,Bundesliga,2019,352,-1,0,0.566522983,0.5093127,0,0.057210309,8,1,12.5000,0.0000,3,1.811837353,1.4928875,0.133580849,0.262402512,14,7,27.405,47,42.9657794,0.4764741,479,14,26,1,17,1,14.875,0.0396,0.0278,13,12,0,0,0,0.5056,2.2792,0.7984841,0.32201,0.4764741
SV Werder Bremen,6,Borussia Dortmund,Away,Bundesliga,2019,4231,-1,2,0.9517757,0.5470086,0.073210701,0.4047672,11,5,45.4545,0.0000,2,1.6897668,1.6526409,0,0.0371258,18,7,19.32,34,21.5976331,0.3934791,399,10,14,1,10,1,24.3889,0.0243,0.0193,8,10,0,0,1,0.7832,1.9436,0.5414994,0.1480203,0.3934791
SV Werder Bremen,7,Eintracht Frankfurt,Away,Bundesliga,2019,433,-1,2,2.007992976,1.2262439,0.0863543,0,11,5,45.4545,0.0000,2,2.440916939,2.2531051,0,0.187811948,25,7,15.75,38,28.7401574,0.2632324,311,9,17,1,5,1,16.05,0.02,0.0148,12,8,1,0,1,0.884,1.8578,0.4271898,0.1639574,0.2632324
SV Werder Bremen,8,Hertha BSC,Home,Bundesliga,2019,433,-1,1,1.0306088,0.8292377,0,0.2013711,16,5,31.2500,0.0000,1,0.35422954,0.2046328,0,0.1495967,12,2,30.45,53,56.9230769,0.6032261,546,1,31,0,24,5,14.28,0.0347,0.0273,11,9,1,0,1,1.977,0.684,0.6977272,0.0945011,0.6032261
SV Werder Bremen,9,Bayer 04 Leverkusen,Away,Bundesliga,2019,41212,-1,2,1.3319118,1.3093279,0.475154668,0.022584023,11,3,27.2727,190.9091,2,2.565750679,1.6359403,0.533496201,0.929810326,25,4,20.055,38,35.4679802,0.4510882,333,6,14,0,9,0,17.95,0.0142,0.0021,12,13,1,0,1,0.595,2.2174,0.6177178,0.1666296,0.4510882
SV Werder Bremen,10,SC Freiburg,Home,Bundesliga,2019,433,-1,2,1.869018104,1.1908768,0,0.678141303,21,10,47.6190,0.0000,2,0.713861466,0.5525309,0,0.138792232,13,3,30.5025,46,50.5617977,0.4658625,437,4,28,0,12,1,15.7083,0.0314,0.017,9,18,3,0,1,2.195,0.5834,0.8434653,0.3776028,0.4658625
