Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
VfL Wolfsburg,1,VfL Bochum 1848,Home,Bundesliga,2021,4231,433,1,2.604314254,1.4347782,0,0.278368313,19,9,47.3684,0.0000,0,0.292814244,0.2063471,0.089253046,0.086467113,7,1,29.4,61,61.5671641,0.7527758,540,8,30,3,23,2,13.0476,0.0711,0.0454,6,9,0,0,3,2.8254,0.105,1.0400146,0.2872388,0.7527758
VfL Wolfsburg,2,Hertha BSC,Away,Bundesliga,2021,4231,4231,2,0.615021448,0.4509945,0,0.164026944,12,3,25.0000,0.0000,1,1.148072426,0.1904491,0,0.079836683,13,5,35.07,59,63.9534883,0.4397662,479,7,28,2,27,3,8.5,0.1802,0.1751,10,22,2,0,3,0.746,1.9472,0.6659277,0.2261615,0.4397662
VfL Wolfsburg,3,RB Leipzig,Home,Bundesliga,2021,4231,4231,1,0.916820545,0.8363882,0.039855834,0.057620021,8,2,25.0000,0.0000,0,1.316404503,0.1940253,0,1.101155678,11,2,32.55,47,44.1314553,0.2164907,376,14,9,0,14,2,12.72,0.0355,0.0309,17,13,4,0,3,0.9864,1.6938,0.2890819,0.0725912,0.2164907
VfL Wolfsburg,4,SpVgg Greuther Fürth,Away,Bundesliga,2021,4231,442,2,1.460098657,0.5547273,0.071533471,0.123622375,9,3,33.3333,0.0000,0,0.532018905,0.2685181,0,0.183090383,9,4,28.35,71,57.5757575,0.5687193,585,17,19,2,17,4,9.7895,0.0187,0.0079,17,15,3,0,3,2.2194,0.5256,0.7181933,0.149474,0.5687193
VfL Wolfsburg,5,Eintracht Frankfurt,Home,Bundesliga,2021,4231,4231,1,1.47657264,0.5755329,0,0.814879235,14,6,42.8571,0.0000,1,0.243053493,0.1555643,0,0.087489272,5,2,29.505,60,44.1558441,0.5201452,498,10,23,2,22,4,10.2174,0.2404,0.0304,17,14,2,0,1,2.3918,0.3746,0.6242772,0.104132,0.5201452
VfL Wolfsburg,6,TSG Hoffenheim,Away,Bundesliga,2021,4231,4222,1,0.472872929,0.2509824,0,0.221890584,13,2,15.3846,0.0000,3,1.529296309,0.5574954,0,0.915403286,11,3,20.16,50,48.2051282,0.1262177,423,12,25,0,17,0,18.8889,0.0299,0.0286,12,9,2,0,0,0.481,2.2948,0.3396773,0.2134596,0.1262177
VfL Wolfsburg,7,Borussia Mönchengladbach,Home,Bundesliga,2021,4231,352,1,1.096718971,0.8148474,0,0.281871615,12,5,41.6667,0.0000,3,2.969217054,1.2884175,0.234654546,0.843623622,19,10,27.5625,52,48.7562189,0.3195717,410,10,26,2,19,2,10.7143,0.0519,0.029,10,17,5,1,0,0.3076,2.572,0.1963297,-0.123242,0.3195717
VfL Wolfsburg,8,1. FC Union Berlin,Away,Bundesliga,2021,4231,352,0,1.105638426,1.0096373,0,0.09600104,13,4,30.7692,0.0000,2,1.130512286,1.080766,0,0,5,3,31.605,61,52.3316062,0.741443,560,5,16,0,20,1,12.3333,0.0416,0.0243,7,16,1,0,0,1.3026,1.3734,0.9014959,0.1600529,0.741443
VfL Wolfsburg,9,SC Freiburg,Home,Bundesliga,2021,433,343,0,1.579807678,1.3700599,0,0.187221332,18,4,22.2222,0.0000,2,1.91355266,0.7674988,0,1.112028006,11,4,35.49,56,51.4563106,0.2412384,427,11,30,1,36,2,8.1714,0.0138,0.0074,15,17,3,0,0,1.2786,1.4382,0.0259833,-0.2152551,0.2412384
VfL Wolfsburg,10,Bayer 04 Leverkusen,Away,Bundesliga,2021,3421,3421,2,1.738783794,1.6628151,0,0.07596856,12,8,66.6667,0.0000,0,1.267201918,0.2507796,0.087275736,0.148821251,13,1,27.405,34,26.609442,0.2278633,266,9,19,1,11,1,10.5455,0.0373,0.0191,11,15,2,1,3,1.7132,0.9914,-0.0686282,-0.2964915,0.2278633
VfL Wolfsburg,11,FC Augsburg,Home,Bundesliga,2021,3421,4411,1,0.921913858,0.8099681,0.084352113,0,8,3,37.5000,0.0000,0,0.769079089,0.5533854,0,0.193703265,10,3,29.505,62,62.5,0.6380669,584,5,14,1,13,4,9.931,0.0577,0.0411,12,14,2,0,3,1.5192,1.1346,0.9413065,0.3032396,0.6380669
VfL Wolfsburg,12,Arminia Bielefeld,Away,Bundesliga,2021,3421,4231,2,1.70753969,1.1238705,0,0.498534136,13,5,38.4615,0.0000,2,1.358814055,0.4601865,0,0.116878602,10,3,30.66,63,48.0686695,1.134553,538,14,22,1,21,3,8.52,0.0443,0.0318,15,9,1,0,1,1.6458,1.053,1.2265367,0.0919837,1.134553
VfL Wolfsburg,13,Borussia Dortmund,Home,Bundesliga,2021,3421,4231,1,1.983204022,1.1951756,0,0.788028371,15,7,46.6667,0.0000,3,2.425513321,1.29146,0,0.32383921,15,8,26.775,41,37.5776397,0.5593851,387,12,19,1,25,3,18.8947,0.0261,0.0161,9,8,4,0,0,0.952,1.7818,0.8225844,0.2631993,0.5593851
VfL Wolfsburg,14,1. FSV Mainz 05,Away,Bundesliga,2021,343,352,0,0.6221641,0.2150108,0,0.3857666,15,0,0.0000,0.0000,3,1.2832787,0.5593546,0,0.6947864,13,4,23.1525,59,44.5783132,0.2472942,382,9,26,0,23,2,9.3478,0.516129032,0.35483871,18,10,1,0,0,0.746,1.9646,0.0675123,-0.1797819,0.2472942
VfL Wolfsburg,15,VfB Stuttgart,Home,Bundesliga,2021,4231,3421,0,1.483632127,1.3587162,0,0.033501597,18,4,22.2222,0.0000,2,1.745306292,0.7900956,0,0.173461648,11,3,39.5325,52,59.0243902,0.7077439,437,13,24,1,27,1,9.8,0.0305,0.0221,9,17,2,0,0,1.102,1.6252,0.9071251,0.1993812,0.7077439
VfL Wolfsburg,16,1. FC Köln,Home,Bundesliga,2021,4231,4132,2,2.572658543,1.963799,1.12636251,0.510494545,19,5,26.3158,0.0000,3,3.458272017,3.0986325,0,0.338683,17,6,30.66,38,37.7777777,0.5634387,259,11,24,3,17,4,9.7429,0.2675,0.2622,9,18,3,0,0,1.0646,1.7078,0.9611008,0.3976621,0.5634387
VfL Wolfsburg,17,FC Bayern München,Away,Bundesliga,2021,3421,4231,0,1.1932833,0.7465019,0,0.4467814,9,2,22.2222,0.0000,4,3.75385469,3.1835674,0,0.5702873,25,9,21.2625,37,14.3552311,0.2082891,418,13,16,1,13,2,21.0714,0.007,0.0059,10,4,0,0,0,0.1892,2.732,0.1537854,-0.0545037,0.2082891
VfL Wolfsburg,18,VfL Bochum 1848,Away,Bundesliga,2021,3421,433,0,0.399986458,0.2545145,0,0.145472005,12,3,25.0000,0.0000,1,1.594244211,1.2400188,0,0.354225349,12,3,38.115,50,47.5961538,0.2643456,409,10,8,0,16,1,10.3333,0.0282,0.0226,15,18,2,0,0,0.3896,2.4128,0.4483373,0.1839917,0.2643456
VfL Wolfsburg,19,Hertha BSC,Home,Bundesliga,2021,3421,442,0,1.654066349,1.3250031,0,0.329063194,9,3,33.3333,0.0000,0,0.235681709,0.1919625,0,0.043719213,6,1,41.58,47,46.3768115,0.6348866,417,7,20,2,15,1,9.0698,0.0543,0.0184,11,12,1,0,1,2.542,0.2848,0.8274618,0.1925752,0.6348866
VfL Wolfsburg,20,RB Leipzig,Away,Bundesliga,2021,3421,3421,0,0.765316455,0.6301766,0,0.114624739,10,3,30.0000,0.0000,2,1.901634215,1.8412799,0.555307925,0.037540523,11,3,32.13,46,43.8914027,0.2364394,397,18,16,1,17,2,15.4091,0.0253,0.0086,15,16,1,0,0,0.476,2.2754,0.3697922,0.1333528,0.2364394
