Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Atalanta,1,Sampdoria,Away,Serie A,2022,3412,4141,2,2.255259881,2.2115162,0.44563657,0.043743765,9,3,33.3333,0.0000,0,0.566113641,0.4316526,0,0.021156779,11,1,29.4525,45,38.4615384,0.8585554,371,6,17,1,9,2,9.0833,0.055,0.0418,13,21,6,0,3,2.7168,0.1908,1.1387951,0.2802397,0.8585554
Atalanta,2,Milan,Home,Serie A,2022,3421,4231,1,0.7423091,0.7142471,0,0.028062,11,2,18.1818,0.0000,1,1.25973978,0.7560471,0,0.5036926,18,7,31.605,41,36.9158878,0.355815,343,1,9,1,14,2,14.9615,0.0754,0.0047,6,15,4,0,1,0.8894,1.8098,0.2828361,-0.0729789,0.355815
Atalanta,3,Verona,Away,Serie A,2022,3421,352,1,0.7151501,0.6398931,0,0.075257,15,7,46.6667,0.0000,0,0.36733844,0.3564757,0,0.0108628,14,2,26.4075,51,44.813278,0.877067,379,7,28,1,16,7,15.5294,0.333333333,0.25,14,7,3,0,3,1.6424,0.9386,1.0060486,0.1289816,0.877067
Atalanta,4,Torino,Home,Serie A,2022,3421,3421,3,2.985469029,0.5716893,0.051203895,0.850281682,12,5,41.6667,0.0000,1,0.765648182,0.7232477,0,0.042400535,8,2,35.0175,41,35.4166666,0.2050026,353,2,21,0,14,1,12.0667,0.0343,0.0216,13,14,1,0,3,2.7768,0.1404,0.6304385,0.4254359,0.2050026
Atalanta,5,Monza,Away,Serie A,2022,4231,352,2,2.0091931,1.5756387,0.141840987,0.4335545,13,6,46.1538,0.0000,0,0.8263508,0.7614552,0,0.0648955,10,3,42.84,40,50.5747126,1.3455587,366,6,39,0,19,5,11.4865,0.0218,0.0117,9,10,1,0,3,2.2722,0.5172,1.7156491,0.3700904,1.3455587
Atalanta,6,Cremonese,Home,Serie A,2022,3421,343,1,1.089793811,0.6403326,0,0.41822214,14,6,42.8571,0.0000,1,0.484348999,0.4410509,0,0.043298163,7,4,44.94,58,66.5048543,0.6701851,460,10,28,1,14,2,8.9063,0.0566,0.0137,17,9,3,0,1,1.8662,0.7982,0.8071393,0.1369542,0.6701851
Atalanta,7,Roma,Away,Serie A,2022,343,3421,1,0.213979,0.1974176,0,0.0165614,4,1,25.0000,0.0000,0,2.49351779,1.8904032,0,0.6031146,21,5,41.685,44,54.3933054,0.2903628,380,4,16,1,8,2,7.9804,0.0426,0.0204,9,19,7,0,3,0.1128,2.8128,0.5641391,0.2737763,0.2903628
Atalanta,8,Fiorentina,Home,Serie A,2022,3412,433,1,1.470788017,1.4479414,0.115058079,0,10,5,50.0000,0.0000,0,0.554976207,0.3687258,0,0.186250452,16,5,32.865,38,47.6868327,0.7305372,330,6,20,7,9,4,12.6875,0.0889,0.0186,10,12,2,0,3,2.211,0.5448,0.9353651,0.2048279,0.7305372
Atalanta,9,Udinese,Away,Serie A,2022,3412,352,2,1.907805297,0.8764567,0,0.074468531,9,5,55.5556,0.0000,2,0.996636447,0.3743675,0,0.577040402,10,2,29.715,41,41.3502109,0.69215,349,6,17,1,11,4,14.9231,0.0257,0.0139,11,12,3,0,1,2.1274,0.6274,0.8071541,0.1150041,0.69215
Atalanta,10,Sassuolo,Home,Serie A,2022,3412,433,2,2.2905719,2.1945287,0,0.0960432,16,4,25.0000,0.0000,1,0.74719998,0.7131382,0,0.0340617,11,3,35.805,48,52.097902,0.7709867,482,3,26,2,15,5,16.04,0.1058,0.0948,5,10,1,0,3,2.4568,0.3814,1.1396586,0.3686719,0.7709867
Atalanta,11,Lazio,Home,Serie A,2022,3412,433,0,0.7150662,0.6466806,0,0.0683856,7,0,0.0000,0.0000,2,1.08086729,1.0101739,0.063963331,0.0706934,12,5,37.8,47,63.4146341,0.7356063,480,6,24,0,24,1,15.4839,0.0207,0.0121,8,15,2,1,0,0.995,1.676,0.9546518,0.2190455,0.7356063
Atalanta,12,Empoli,Away,Serie A,2022,352,433,2,3.625950954,2.7393706,0.134397641,0.082891285,20,6,30.0000,0.0000,0,0.5779846,0.3583206,0,0.195805998,13,3,33.8625,48,59.7560975,0.6539059,412,1,38,1,10,5,11.3125,0.0243,0.0136,9,13,1,0,3,2.8874,0.0704,1.0257141,0.3718082,0.6539059
