Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Bologna,1,Milan,Away,Serie A,2020,4231,4231,0,0.775913439,0.559164,0.141133711,0.216749445,13,4,30.7692,0.0000,2,2.903807435,1.5819621,0.358169347,0.540096216,17,5,28.455,42,36.6071428,0.329503,366,8,17,0,15,3,13.5556,0.1139,0.0073,13,20,3,1,0,0.2128,2.695,0.6600208,0.3305178,0.329503
Bologna,2,Parma,Home,Serie A,2020,4231,433,4,2.137696238,1.7616338,0,0.252364531,12,8,66.6667,0.0000,1,1.069449279,0.9391197,0,0.107304227,9,3,32.865,58,58.4745762,0.4411014,516,14,30,1,21,2,7.75,0.1148,0.094,9,12,1,0,3,2.1784,0.6124,0.6976496,0.2565482,0.4411014
Bologna,3,Benevento,Away,Serie A,2020,4231,4321,0,1.748099618,1.5689975,0,0.157085707,17,7,41.1765,0.0000,1,0.872886578,0.298825,0,0.574061692,7,2,43.155,60,61.1940298,0.6338919,425,16,28,3,27,4,7.1563,0.0691,0.0161,12,15,1,0,0,2.0494,0.691,1.1664268,0.5325349,0.6338919
Bologna,4,Sassuolo,Home,Serie A,2020,442,4231,3,1.439773806,1.1505351,0,0.217923233,14,6,42.8571,292.8571,4,2.93690531,1.941523,0.50033766,0.995382212,26,12,34.44,47,51.6260162,0.7092681,345,9,24,0,25,0,8,0.0194,0.0154,11,20,2,0,0,0.5512,2.2906,0.9953612,0.2860931,0.7092681
Bologna,5,Lazio,Away,Serie A,2020,4231,352,1,1.625859529,0.9401374,0,0.633480417,21,5,23.8095,0.0000,2,1.351812808,1.2838006,0.025558582,0.06801226,10,3,39.375,52,61.0091743,0.5657977,473,13,28,0,24,1,10.697,0.0198,0.0151,14,16,3,0,0,1.5652,1.1506,0.8327122,0.2669145,0.5657977
Bologna,6,Cagliari,Home,Serie A,2020,4231,4231,3,1.136345793,0.5621597,0,0.497682687,22,9,40.9091,0.0000,2,1.078205032,1.078205,0,0,7,3,26.67,52,50.7575757,0.6074717,447,13,26,0,12,1,14.55,0.03,0.0235,17,11,3,0,3,1.3326,1.3554,0.9290344,0.3215627,0.6074717
Bologna,7,Napoli,Home,Serie A,2020,4231,4231,0,0.666537332,0.6665374,0,0,9,3,33.3333,0.0000,1,1.282247292,1.1214547,0.080193423,0.068524588,19,4,25.41,48,38.8157894,0.431046,448,3,18,0,18,0,9.375,0.0386,0.0279,9,12,3,0,0,0.7806,1.911,0.7432396,0.3121936,0.431046
Bologna,8,Sampdoria,Away,Serie A,2020,4141,433,2,1.5093069,1.5093069,0,0,11,3,27.2727,0.0000,1,0.76669123,0.6731009,0,0.0935904,11,4,27.2475,55,49.8257839,0.5071352,505,10,25,1,24,2,9.9259,0.0526,0.0404,12,9,2,0,3,2.0018,0.731,0.8801517,0.3730165,0.5071352
Bologna,9,Crotone,Home,Serie A,2020,4231,352,1,2.4179522,2.2480598,0,0.1698924,14,7,50.0000,0.0000,0,0.32891522,0.3289153,0,0,8,1,36.225,50,52.1400778,0.4162624,391,2,37,0,25,2,9.871,0.0222,0.0081,18,15,2,0,3,2.8542,0.0876,0.4455499,0.0292875,0.4162624
Bologna,10,Internazionale,Away,Serie A,2020,3421,352,1,1.54950292,1.3984762,0,0.072611546,14,7,50.0000,0.0000,3,2.55165498,2.2791976,0.323243737,0.147723544,14,7,27.6675,55,58.0858085,0.4174196,569,3,15,0,19,1,16,0.0528,0.0369,12,13,2,0,0,0.5976,2.205,0.8387134,0.4212938,0.4174196
