Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Cagliari,1,Sassuolo,Away,Serie A,2020,4141,4231,1,0.759359236,0.6992173,0,0.03966888,8,4,50.0000,0.0000,1,1.996024885,1.7218917,0,0.124727149,33,9,26.25,32,33.8709677,0.518456,313,7,15,0,7,1,17.8846,0.016,0.0103,8,18,3,0,1,0.5416,2.2336,0.349577,-0.168879,0.518456
Cagliari,2,Lazio,Home,Serie A,2020,433,352,0,1.167450169,0.7927423,0,0.154980309,9,2,22.2222,0.0000,2,2.039934868,1.8298753,0.053620797,0.21005957,16,6,34.65,45,37.4407582,0.1625096,412,6,7,0,14,1,11.7059,0.1084,0.1055,12,8,1,0,0,0.709,2.038,0.2871437,0.1246341,0.1625096
Cagliari,3,Atalanta,Away,Serie A,2020,442,3412,2,0.687931111,0.5310113,0.247719653,0.092307243,12,3,25.0000,0.0000,5,4.188384104,3.847509,0.374751389,0.09783534,21,12,28.245,41,38.095238,0.3500889,413,6,23,0,20,1,14.5172,0.033,0.0056,11,9,0,0,0,0.0742,2.89,0.5754651,0.2253762,0.3500889
Cagliari,4,Torino,Away,Serie A,2020,442,41212,3,1.86262197,1.0499667,0.074401341,0.812655267,12,5,41.6667,0.0000,2,1.28643185,0.4677113,0,0.036971459,13,6,31.0275,41,44.859813,0.2434258,356,6,20,0,15,5,15.4,0.0122,0.0007,13,16,3,0,3,1.8106,0.889,0.6029834,0.3595576,0.2434258
Cagliari,5,Crotone,Home,Serie A,2020,4411,352,4,2.247218225,1.4100006,0,0.788329203,19,8,42.1053,0.0000,2,1.537698354,1.4919135,0,0.045784961,12,6,39.69,44,64.8044692,0.5183887,394,10,25,1,13,1,14.0909,0.1165,0.0906,13,13,2,0,3,1.8524,0.9122,0.544086,0.0256973,0.5183887
Cagliari,6,Bologna,Away,Serie A,2020,4231,4231,2,1.078205032,1.078205,0,0,7,3,42.8571,0.0000,3,1.136345793,0.5621597,0,0.497682687,22,9,41.055,48,49.2424242,0.6138985,397,10,27,0,18,2,7.4667,0.1124,0.0229,9,18,3,0,0,1.3554,1.3326,0.7781488,0.1642503,0.6138985
Cagliari,7,Sampdoria,Home,Serie A,2020,4411,442,2,2.169216607,1.3874678,0.380933434,0,13,5,38.4615,0.0000,0,0.125351066,0.0731213,0,0.028569123,5,1,29.085,56,44.6601941,0.2644619,562,11,16,1,12,2,11.8214,0.0168,0.0032,16,12,0,0,3,2.843,0.0896,0.9023485,0.6378866,0.2644619
Cagliari,8,Juventus,Away,Serie A,2020,3421,442,0,0.1116941,0.1116941,0,0,4,0,0.0000,0.0000,2,2.50800114,1.6600044,0.425157249,0.8479967,24,6,29.295,34,41.8831168,0.2453018,379,21,15,0,7,1,23,0.0711,0.0691,11,7,2,0,0,0.0902,2.8418,0.5198602,0.2745584,0.2453018
Cagliari,9,Spezia,Home,Serie A,2020,4231,433,2,1.606833998,1.3823205,0,0.178343324,12,5,41.6667,0.0000,2,2.324401664,1.1381293,0,0.404523341,15,5,36.1725,39,36.099585,1.029533,330,16,24,1,16,2,12.125,0.0097,0.0082,17,16,0,0,1,0.8482,1.927,1.045532,0.015999,1.029533
Cagliari,10,Verona,Away,Serie A,2020,4231,3421,1,1.6493766,1.5984978,0.075622544,0.0508788,13,3,23.0769,0.0000,1,2.43064055,1.5476987,0,0.8829419,18,3,22.6275,48,57.7519379,0.657394,390,8,35,1,28,5,10.4516,0.0719,0.0634,11,14,0,0,1,0.8856,1.908,0.9514685,0.2940745,0.657394
Cagliari,11,Internazionale,Home,Serie A,2020,4231,352,1,1.6982051,1.6784851,0,0.0197199,11,3,27.2727,0.0000,3,2.74215193,2.2319287,0.97743538,0.5102233,21,11,18.585,42,41.9087136,0.4452929,416,18,19,0,20,1,23.6111,0.0741,0.031,17,11,2,0,0,0.7168,2.065,0.5851535,0.1398606,0.4452929
Cagliari,12,Parma,Away,Serie A,2020,4231,433,0,0.3695375,0.302557,0,0.0669805,8,4,50.0000,0.0000,0,1.09122493,0.7921811,0,0.299044,13,2,18.6375,43,44.3983402,0.3932713,383,11,21,0,18,3,15.3333,0.0313,0.0172,12,11,1,0,1,0.6558,2.031,0.6116336,0.2183623,0.3932713
Cagliari,13,Udinese,Home,Serie A,2020,4231,352,1,0.590780487,0.2701644,0,0.245902592,12,3,25.0000,0.0000,1,1.312649118,1.1382995,0,0.174349589,13,4,28.5075,53,50.6224066,0.8560049,491,6,27,0,16,2,10.8,0.1301,0.1188,13,13,2,0,1,0.7014,2.0166,0.8687,0.0126951,0.8560049
Cagliari,14,Roma,Away,Serie A,2020,352,3421,2,1.301169568,0.4477033,0,0.071717233,10,2,20.0000,0.0000,3,3.046590854,1.9973818,0.489866376,0.956991989,15,8,44.205,38,37.804878,0.6644215,325,16,18,1,8,1,9.1277,0.0363,0.0268,18,20,2,0,0,0.3444,2.5134,0.7831394,0.1187179,0.6644215
Cagliari,15,Napoli,Home,Serie A,2020,4231,4231,1,0.653001096,0.5715406,0,0.081460524,8,1,12.5000,0.0000,4,5.622181157,3.4735412,0.556810796,1.320342623,34,11,19.95,38,23.6734693,0.1732457,361,5,18,0,12,0,16.0833,0.0149,0.0052,6,11,2,1,0,0.0152,2.9732,0.2585384,0.0852927,0.1732457
Cagliari,16,Benevento,Home,Serie A,2020,4321,4321,1,1.0969977,0.4161381,0.026499854,0.6808595,12,5,41.6667,0.0000,2,1.1466873,1.0143055,0.072736889,0.1323818,10,4,30.555,62,60.4651162,0.3047522,505,13,25,0,33,3,12.85,0.0187,0.0154,11,18,4,1,0,1.3054,1.3792,0.5646141,0.2598619,0.3047522
