Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Cremonese,,Cosenza,Home,Serie B,2019,433,-1,0,0,0,0,0,21,2,9.5238,0.0000,2,0,0,0,0,13,0,0,61,67.8571428,0,499,5,0,0,37,0,0,0,0,12,21,1,0,0,0,0,0,0,0
Cremonese,,Virtus Entella,Away,Serie B,2019,4321,-1,1,0,0,0,0,15,6,40.0000,0.0000,1,0,0,0,0,16,0,0,49,50.4807692,0,413,9,0,0,18,0,0,0,0,13,15,4,0,1,0,0,0,0,0
Cremonese,,Pisa,Home,Serie B,2019,4321,-1,3,0,0,0,0,15,5,33.3333,0.0000,4,0,0,0,0,19,0,0,51,0,0,318,5,0,1,22,0,0,0,0,11,17,2,1,0,0,0,0,0,0
Cremonese,,Crotone,Away,Serie B,2019,4321,-1,0,0,0,0,0,9,4,44.4444,0.0000,1,0,0,0,0,14,0,0,32,0,0,315,11,0,0,9,0,0,0,0,8,15,2,0,0,0,0,0,0,0
Cremonese,,Trapani,Home,Serie B,2019,343,-1,5,0,0,0,0,21,9,42.8571,0.0000,0,0,0,0,0,16,0,0,55,46.5703971,0,466,13,0,1,15,0,0,0,0,15,14,2,0,3,0,0,0,0,0
Cremonese,,Ascoli,Away,Serie B,2019,433,-1,3,0,0,0,0,15,6,40.0000,0.0000,1,0,0,0,0,12,0,0,36,38.6454183,0,328,4,0,1,12,0,0,0,0,14,16,3,0,3,0,0,0,0,0
Cremonese,,Cittadella,Away,Serie B,2019,352,-1,0,0,0,0,0,10,1,10.0000,0.0000,0,0,0,0,0,10,0,0,45,48.7394957,0,363,7,0,0,34,0,0,0,0,14,7,2,0,1,0,0,0,0,0
Cremonese,,Empoli,Home,Serie B,2019,352,-1,2,0,0,0,0,20,6,30.0000,0.0000,3,0,0,0,0,17,0,0,42,52.3255813,0,360,4,0,0,26,0,0,0,0,10,17,3,0,0,0,0,0,0,0
Cremonese,,Frosinone,Away,Serie B,2019,433,-1,2,0,0,0,0,11,6,54.5455,0.0000,0,0,0,0,0,12,0,0,33,40.2135231,0,333,3,0,3,14,0,0,0,0,5,15,2,0,3,0,0,0,0,0
Cremonese,,Benevento,Home,Serie B,2019,433,-1,0,0,0,0,0,16,5,31.2500,0.0000,1,0,0,0,0,8,0,0,43,49.7652582,0,352,13,0,0,22,0,0,0,0,13,14,2,0,0,0,0,0,0,0
Cremonese,,Venezia,Home,Serie B,2019,352,-1,0,0,0,0,0,8,3,37.5000,0.0000,0,0,0,0,0,19,0,0,45,46.6666666,0,402,5,0,0,30,0,0,0,0,8,13,1,1,1,0,0,0,0,0
Cremonese,,Salernitana,Away,Serie B,2019,4141,-1,3,0,0,0,0,13,5,38.4615,0.0000,3,0,0,0,0,14,0,0,30,27.9279279,0,245,4,0,1,10,0,0,0,0,16,16,1,1,1,0,0,0,0,0
Cremonese,,Pescara,Home,Serie B,2019,433,-1,1,0,0,0,0,9,2,22.2222,0.0000,0,0,0,0,0,14,0,0,32,35.4166666,0,296,6,0,0,22,0,0,0,0,11,20,2,0,3,0,0,0,0,0
Cremonese,,Livorno,Away,Serie B,2019,433,-1,2,0,0,0,0,20,7,35.0000,0.0000,1,0,0,0,0,3,0,0,57,73.6301369,0,572,4,0,0,38,0,0,0,0,10,12,2,0,3,0,0,0,0,0
Cremonese,,Chievo,Home,Serie B,2019,433,-1,1,0,0,0,0,10,4,40.0000,0.0000,0,0,0,0,0,8,0,0,37,39.7260273,0,372,7,0,0,17,0,0,0,0,9,19,1,0,3,0,0,0,0,0
Cremonese,,Perugia,Away,Serie B,2019,433,-1,0,0,0,0,0,12,6,50.0000,0.0000,0,0,0,0,0,9,0,0,38,53.7037037,0,366,5,0,1,24,0,0,0,0,10,12,2,0,1,0,0,0,0,0
Cremonese,,Spezia,Home,Serie B,2019,451,-1,0,0,0,0,0,6,1,16.6667,0.0000,0,0,0,0,0,11,0,0,29,25.9842519,0,256,5,0,0,8,0,0,0,0,8,16,3,0,1,0,0,0,0,0
Cremonese,,Juve Stabia,Away,Serie B,2019,433,-1,2,0,0,0,0,9,6,66.6667,0.0000,1,0,0,0,0,14,0,0,35,39.8340248,0,269,7,0,1,11,0,0,0,0,8,21,4,0,3,0,0,0,0,0
Cremonese,,Pordenone,Home,Serie B,2019,4312,-1,2,0,0,0,0,18,8,44.4444,0.0000,2,0,0,0,0,4,0,0,57,52.5096525,0,530,4,0,0,29,0,0,0,0,5,5,2,0,1,0,0,0,0,0
Cremonese,,Cosenza,Away,Serie B,2019,4312,-1,0,0,0,0,0,13,2,15.3846,0.0000,2,0,0,0,0,13,0,0,60,55.4545454,0,526,5,0,0,28,0,0,0,0,17,13,3,0,0,0,0,0,0,0
Cremonese,,Virtus Entella,Home,Serie B,2019,352,-1,0,0,0,0,0,23,8,34.7826,0.0000,1,0,0,0,0,14,0,0,62,69.2307692,0,521,15,0,0,37,0,0,0,0,11,11,1,0,0,0,0,0,0,0
Cremonese,,Pisa,Away,Serie B,2019,352,-1,1,0,0,0,0,23,5,21.7391,0.0000,4,0,0,0,0,15,0,0,61,61.3636363,0,480,8,0,0,22,0,0,0,0,7,15,3,0,0,0,0,0,0,0
