Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Empoli,,Salernitana,Home,Serie B,2017,4312,-1,2,0,0,0,0,2,2,100.0000,0.0000,0,0,0,0,0,0,0,0,100,100,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Empoli,,Bari,Away,Serie B,2017,4312,-1,4,0,0,0,0,4,4,100.0000,0.0000,0,0,0,0,0,0,0,0,100,100,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Empoli,,Palermo,Home,Serie B,2017,4312,-1,4,0,0,0,0,4,4,100.0000,0.0000,0,0,0,0,0,0,0,0,100,100,0,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
Empoli,,Ascoli,Away,Serie B,2017,4312,-1,2,0,0,0,0,2,2,100.0000,0.0000,1,0,0,0,0,0,0,0,67,100,0,2,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
Empoli,,Parma,Home,Serie B,2017,4312,-1,4,0,0,0,0,4,4,100.0000,0.0000,0,0,0,0,0,0,0,0,100,100,0,4,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Empoli,,Cittadella,Away,Serie B,2017,4312,-1,1,0,0,0,0,1,1,100.0000,0.0000,1,0,0,0,0,0,0,0,100,100,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Empoli,,Avellino,Home,Serie B,2017,4312,-1,1,0,0,0,0,1,1,100.0000,0.0000,1,0,0,0,0,0,0,0,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Empoli,,Foggia,Away,Serie B,2017,4312,-1,3,0,0,0,0,3,3,100.0000,0.0000,0,0,0,0,0,0,0,0,100,100,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Empoli,,Virtus Entella,Home,Serie B,2017,4312,-1,2,0,0,0,0,2,2,100.0000,0.0000,1,0,0,0,0,0,0,0,67,50,0,1,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0
Empoli,,Venezia,Home,Serie B,2017,4312,-1,3,0,0,0,0,3,3,100.0000,0.0000,2,0,0,0,0,0,0,0,50,33.3333333,0,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
Empoli,,Pescara,Away,Serie B,2017,4312,-1,1,0,0,0,0,1,1,100.0000,0.0000,0,0,0,0,0,0,0,0,100,100,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
Empoli,,Ternana,Home,Serie B,2017,4312,-1,2,0,0,0,0,2,2,100.0000,0.0000,1,0,0,0,0,0,0,0,100,100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Empoli,,Spezia,Away,Serie B,2017,4312,-1,1,0,0,0,0,1,1,100.0000,0.0000,1,0,0,0,0,0,0,0,100,100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Empoli,,Pro Vercelli,Home,Serie B,2017,4312,-1,3,0,0,0,0,3,3,100.0000,0.0000,2,0,0,0,0,0,0,0,60,50,0,2,0,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0
Empoli,,Cesena,Away,Serie B,2017,4312,-1,3,0,0,0,0,3,3,100.0000,0.0000,2,0,0,0,0,0,0,0,50,50,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
