Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Fiorentina,1,Sampdoria,Away,Serie A,2018,4141,-1,1,1.558036817,1.0800579,0,0.4779789,15,9,60.0000,0.0000,1,0.473315357,0.2905254,0,0.013318589,10,4,29.295,40,30,0.6165426,321,4,18,1,20,0,13.88,0.0028,0.002,13,15,2,0,1,2.2234,0.5422,0.8338945,0.2173519,0.6165426
Fiorentina,2,Chievo,Home,Serie A,2018,433,433,6,3.5536799,2.438837,0,1.1148427,22,12,54.5455,0.0000,1,0.64296096,0.5938574,0,0.0491035,8,3,31.605,47,46.3768115,0.7342398,491,5,21,5,8,2,16.3704,0.0311,0.0222,8,14,1,0,3,2.8198,0.1132,0.8670893,0.1328495,0.7342398
Fiorentina,3,Udinese,Home,Serie A,2018,433,-1,1,0.913530044,0.7508346,0,0.136211136,14,3,21.4286,0.0000,0,0.142642157,0.1138142,0,0.028827956,6,1,28.9275,63,59.375,0.6632839,451,7,22,1,27,2,8.2692,0.0166,0.0097,15,11,3,0,3,2.1204,0.5082,0.8798586,0.2165747,0.6632839
Fiorentina,4,Napoli,Away,Serie A,2018,433,-1,0,0.312592938,0.3125929,0,0,9,1,11.1111,0.0000,1,1.261938663,1.082121,0,0.132687559,22,4,33.39,43,36.5296803,0.4217491,431,8,8,0,8,0,15.1923,0.0124,0.0063,15,17,4,0,0,0.5402,2.1788,0.5905959,0.1688468,0.4217491
Fiorentina,5,SPAL,Home,Serie A,2018,433,-1,3,1.858614158,1.0470242,0,0.811590046,17,5,29.4118,0.0000,0,0.639210198,0.5990811,0,0,7,2,31.5,53,64.4808743,0.6229009,435,5,28,1,22,5,17,0.0196,0.0056,11,8,1,0,3,2.3414,0.4574,0.922689,0.2997881,0.6229009
Fiorentina,6,Internazionale,Away,Serie A,2018,433,-1,1,1.690996589,1.6350232,0.021726687,0.055973417,16,4,25.0000,0.0000,2,1.786050216,0.6991937,0,0.305107556,13,3,31.395,50,50.9433962,0.5343891,411,6,40,1,17,2,6.2245,0.0386,0.0288,17,23,3,0,0,1.2302,1.4924,0.6157896,0.0814005,0.5343891
Fiorentina,7,Atalanta,Home,Serie A,2018,433,-1,2,0.957241115,0.0312773,0,0.09508938,7,4,57.1429,0.0000,0,0.548302871,0.3951789,0,0.130017055,17,3,23.73,34,34.9753694,0.1738601,262,4,10,0,15,0,16.7826,0.0204,0.0169,12,13,3,0,3,1.8732,0.7884,0.25314,0.0792799,0.1738601
Fiorentina,8,Lazio,Away,Serie A,2018,433,-1,0,0.95319453,0.8269601,0,0.126234287,15,5,33.3333,0.0000,1,1.299328249,0.2795389,0,0.998014569,13,6,36.75,60,65.5172413,0.5049798,496,9,24,0,24,1,10.5185,0.0437,0.0402,17,10,3,0,0,1.0132,1.675,0.7635982,0.2586184,0.5049798
Fiorentina,9,Cagliari,Home,Serie A,2018,433,-1,1,1.366814152,0.4466502,0,0.092179254,11,2,18.1818,0.0000,1,1.05436142,0.7964872,0,0.136083908,9,4,28.4025,57,54.5454545,0.3639984,478,4,24,0,22,3,9.3214,0.0235,0.0205,20,13,0,0,1,1.6758,1.0044,0.5280361,0.1640377,0.3639984
Fiorentina,10,Torino,Away,Serie A,2018,433,-1,1,1.243699869,1.1614001,0,0.082299771,9,5,55.5556,88.8889,1,0.794058082,0.6427324,0,0.111053561,22,2,28.875,45,31.9819819,0.3722871,311,7,17,2,10,1,6.9091,0.05,0.0189,14,22,4,0,1,1.67,1.0136,0.5452273,0.1729402,0.3722871
Fiorentina,11,Roma,Home,Serie A,2018,433,-1,1,1.296723304,0.4145592,0,0.04499465,14,3,21.4286,0.0000,1,1.668527201,1.4908144,0,0.119078699,19,4,19.32,37,34.4339622,0.2487461,285,10,13,1,9,2,20.3529,0.0066,0.0066,20,11,3,0,1,1.1618,1.5212,0.4336054,0.1848593,0.2487461
Fiorentina,12,Frosinone,Away,Serie A,2018,433,-1,1,1.799075226,1.5380942,0.610726587,0.138928296,24,8,33.3333,0.0000,1,0.716096393,0.4896996,0,0.226396844,10,3,25.305,57,60.7638888,0.6747225,530,6,32,1,18,2,9.5,0.0258,0.0116,7,13,0,0,1,2.188,0.5836,1.1228773,0.4481548,0.6747225
Fiorentina,13,Bologna,Away,Serie A,2018,433,-1,0,1.4782763,0.9758429,0.418295085,0.5024335,20,5,25.0000,0.0000,0,0.28032245,0.1413526,0,0.1389698,8,4,33.39,57,55.3921568,0.5481042,435,24,33,2,26,0,9.3571,0.1592,0.0504,11,20,1,0,1,2.3572,0.4114,0.5269648,-0.0211394,0.5481042
Fiorentina,14,Juventus,Home,Serie A,2018,433,-1,0,1.139674715,0.9956863,0,0.074979912,17,5,29.4118,0.0000,3,1.724031377,0.4942171,0.13174966,0.114104554,16,6,27.93,46,53.7383177,0.2423508,359,9,23,0,21,0,10.871,0.0311,0.0211,5,16,6,0,0,0.8692,1.8466,0.5968793,0.3545285,0.2423508
Fiorentina,15,Sassuolo,Away,Serie A,2018,4141,-1,3,2.401377926,2.1469706,0,0.254407298,18,6,33.3333,0.0000,3,1.027183337,0.975309,0.024563722,0.029227946,17,7,26.67,46,43.75,0.5153125,317,5,29,0,30,0,12.9565,0.0283,0.0258,13,15,3,1,1,2.2588,0.5398,0.8322997,0.3169872,0.5153125
Fiorentina,16,Empoli,Home,Serie A,2018,3412,-1,3,1.446626116,1.1701788,0.041943748,0.276447343,21,8,38.0952,0.0000,1,1.38022016,1.1945729,0,0.161307944,11,4,31.815,60,60.0840336,0.9098161,481,8,24,5,15,3,8.0345,0.0315,0.0212,18,20,2,0,3,1.3522,1.3546,1.9155241,1.005708,0.9098161
Fiorentina,17,Milan,Away,Serie A,2018,433,-1,1,0.2533367,0.2035556,0,0.0497811,8,1,12.5000,0.0000,0,0.6190786,0.6070362,0,0.0120423,13,6,31.92,45,53.8812785,0.2986355,375,6,8,0,17,2,9.05,0.0243,0.0211,12,18,4,0,3,0.852,1.6638,0.4365498,0.1379143,0.2986355
Fiorentina,18,Parma,Home,Serie A,2018,433,-1,0,1.524233223,1.2018755,0,0.280847795,34,8,23.5294,0.0000,1,0.464523805,0.2991091,0,0.05536815,6,2,41.8425,68,77.8225806,1.1108404,504,7,44,0,36,4,6.8438,0.0429,0.021,14,16,4,1,0,2.1886,0.5566,1.7256225,0.6147821,1.1108404
Fiorentina,19,Genoa,Away,Serie A,2018,4231,-1,0,1.7252197,1.1353209,0,0.5898988,13,3,23.0769,0.0000,0,0.43850842,0.3319223,0,0.1065861,11,3,21.6825,56,41.4634146,0.5371196,407,4,19,0,20,1,8.3043,0.0357,0.0285,21,7,1,0,1,2.3978,0.4076,0.919946,0.3828264,0.5371196
Fiorentina,20,Sampdoria,Home,Serie A,2018,433,-1,3,2.193564543,1.5467138,0.356209956,0.646850696,14,4,28.5714,0.0000,3,2.015759473,0.9826755,0,0.199091226,11,5,25.8825,44,42.578125,1.070106,361,13,31,3,15,2,11.8519,0.0266,0.0223,21,16,4,1,1,1.5264,1.218,1.3183214,0.2482154,1.070106
Fiorentina,21,Chievo,Away,Serie A,2018,433,-1,4,2.103125084,1.5184059,0.739059091,0.584719129,14,5,35.7143,0.0000,3,3.188902004,0.7499743,0,0.807673969,22,8,21.525,49,56.6523605,0.5657494,368,6,24,3,10,0,12.8182,0.042,0.026,16,20,1,1,3,0.7472,2.0624,0.9764581,0.4107087,0.5657494
Fiorentina,22,Udinese,Away,Serie A,2018,4312,-1,1,0.6716672,0.2336767,0,0.4379905,14,4,28.5714,0.0000,1,1.41851251,1.3129773,0.749776077,0.1055352,9,1,47.985,58,61.6279069,0.4521102,457,9,18,0,25,0,7.4865,0.0235,0.0078,12,14,3,0,1,0.6462,2.0742,0.6030302,0.15092,0.4521102
Fiorentina,23,Napoli,Home,Serie A,2018,343,-1,0,0.7318402,0.4916974,0,0.2401428,15,3,20.0000,0.0000,0,2.72515479,2.7129164,0.056128196,0.0122384,13,4,30.87,40,45.5319148,0.3800011,336,9,20,0,23,1,12.9355,0.0914,0.0827,17,9,2,0,1,0.2472,2.6412,0.207494,-0.1725071,0.3800011
