Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Genoa,1,Roma,Away,Serie A,2019,3142,4231,3,1.242838661,0.4348933,0,0.026196299,6,4,66.6667,0.0000,3,2.521552223,2.2632242,0.495422762,0.101305951,23,9,20.79,46,32.3843416,0.455957,391,1,18,1,10,0,8.9231,0.01,0.0093,14,15,1,0,1,0.532,2.2666,0.5447226,0.0887656,0.455957
Genoa,2,Fiorentina,Home,Serie A,2019,3412,-1,2,2.941747017,1.4610218,0.096903466,1.446752293,23,8,34.7826,0.0000,1,1.878123107,0.9111399,0,0.185234131,19,6,29.19,49,40.5622489,0.3551229,357,3,23,1,26,5,7.8333,0.0434,0.0166,13,17,2,0,3,2.0076,0.7854,0.6163502,0.2612273,0.3551229
Genoa,3,Atalanta,Home,Serie A,2019,352,-1,1,1.422594757,0.4713656,0,0.097597001,16,3,18.7500,0.0000,2,2.269229936,1.4599634,0.083677456,0.027517432,18,6,32.025,52,45.7264957,0.3821007,364,3,11,0,23,2,8.8462,0.0347,0.0255,14,13,3,0,0,0.7418,2.0216,0.6346074,0.2525067,0.3821007
Genoa,4,Cagliari,Away,Serie A,2019,3412,-1,1,1.279907642,0.8539704,0,0.371166812,11,2,18.1818,90.9091,3,1.396873154,1.2162931,0.480472952,0.180580063,14,4,28.1925,57,59.8290598,0.461602,467,8,27,0,24,3,11.3913,0.0708,0.0578,11,9,1,0,0,1.2596,1.4516,0.4551107,-0.0064913,0.461602
Genoa,5,Bologna,Home,Serie A,2019,3142,-1,0,0.181934271,0.1103501,0,0.038626423,7,1,14.2857,0.0000,0,1.512926988,0.5601642,0.08154238,0.13063007,18,1,31.4475,41,39.7590361,0.4379511,295,6,17,0,22,2,9,0.036,0.0223,10,16,5,0,1,0.2354,2.5994,0.584066,0.1461149,0.4379511
Genoa,6,Lazio,Away,Serie A,2019,3142,-1,0,0.716759107,0.5921497,0,0.124609377,13,6,46.1538,0.0000,4,1.413889639,1.3440327,0.193196684,0.044356607,15,10,26.88,45,48.8970588,0.4586433,430,10,19,0,22,2,18.9048,0.0303,0.0198,7,11,2,0,0,0.7604,1.9472,0.629579,0.1709357,0.4586433
Genoa,7,Milan,Home,Serie A,2019,3412,-1,1,1.708838127,0.4504998,0.12584804,0.403042626,14,6,42.8571,0.0000,2,1.137988321,0.1987561,0,0.113252934,9,6,38.535,51,57.3221757,0.7862426,420,6,30,1,24,0,13.8696,0.1545,0.1254,14,23,4,2,0,1.836,0.8502,0.9211104,0.1348678,0.7862426
Genoa,8,Parma,Away,Serie A,2019,3142,-1,1,1.760433743,0.5171274,0,1.243306421,17,5,29.4118,0.0000,5,2.465017311,2.3214139,0,0.091271155,22,7,37.905,63,56.8265682,0.599366,517,9,47,0,43,3,7.3448,0.037,0.0265,9,12,2,0,0,0.7006,2.0836,0.8990087,0.2996427,0.599366
Genoa,9,Brescia,Home,Serie A,2019,3412,-1,3,0.935533139,0.7737091,0,0.129448278,17,10,58.8235,0.0000,1,1.307141978,0.6153603,0,0.433303267,7,2,34.545,62,43.8502673,0.2345615,496,6,21,0,16,3,5.6842,0.037,0.0057,13,24,6,0,3,0.9636,1.734,0.6024608,0.3678993,0.2345615
Genoa,10,Juventus,Away,Serie A,2019,4231,-1,1,0.30926274,0.2371634,0,0.039932713,8,3,37.5000,0.0000,2,2.975721407,1.6716633,0,0.52230905,27,11,21.4725,47,18.5714285,0.1366642,473,19,10,0,11,2,16.8235,0.033,0.0007,23,11,1,2,0,0.0796,2.8708,0.2624419,0.1257777,0.1366642
