Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Internazionale,1,Fiorentina,Home,Serie A,2017,4231,-1,3,2.711821735,1.8638392,0,0.066233616,16,6,37.5000,0.0000,0,0.446565761,0.3272812,0,0.087102731,15,3,23.2575,52,44.9275362,0.7652669,541,11,29,2,19,0,19.3158,0.0237,0.0218,13,7,0,0,3,2.784,0.135,0.9544698,0.1892029,0.7652669
Internazionale,2,Roma,Away,Serie A,2017,4231,-1,3,2.406930344,2.3703946,0.13348414,0,14,8,57.1429,0.0000,1,1.340930525,1.3170959,0.075026162,0,18,3,20.37,51,51.6981132,0.8529874,476,7,24,3,22,0,14.9545,0.0207,0.0162,12,8,1,0,3,2.0486,0.7334,1.29791,0.4449226,0.8529874
Internazionale,3,SPAL,Home,Serie A,2017,4231,-1,2,2.093223265,1.1703009,0,0.064330038,19,7,36.8421,0.0000,0,0.386828734,0.199747,0,0.143619085,10,1,27.93,63,77.704918,0.7991189,656,4,29,0,31,2,11.3929,0.0389,0.0275,12,15,2,0,3,2.6528,0.2192,1.3090135,0.5098946,0.7991189
Internazionale,4,Crotone,Away,Serie A,2017,4231,-1,2,0.585502455,0.5073066,0.321122259,0.07819584,6,3,50.0000,0.0000,0,0.990963754,0.9146262,0,0.054661185,12,4,25.725,68,60.5577689,0.5014305,578,11,22,3,25,2,10.55,0.044,0.029,10,6,2,0,3,0.9346,1.6996,0.8473876,0.3459571,0.5014305
Internazionale,5,Bologna,Away,Serie A,2017,4231,-1,1,1.082388472,0.2079497,0,0.092689661,10,3,30.0000,0.0000,1,0.825855943,0.5651322,0,0.057448514,14,3,38.9025,58,64.3835616,0.6642519,501,4,19,1,31,0,10.9655,0.2509,0.0418,12,18,3,0,1,1.6408,1.009,0.7266643,0.0624124,0.6642519
Internazionale,6,Genoa,Home,Serie A,2017,4231,-1,1,0.6247231,0.375494,0,0.2492291,14,7,50.0000,0.0000,0,0.6824008,0.5216442,0,0.1607566,9,3,36.54,64,69.8181818,0.4228324,626,5,25,1,34,4,9.9655,0.0486,0.0318,14,10,0,0,3,1.2032,1.3952,0.7262918,0.3034594,0.4228324
Internazionale,7,Benevento,Away,Serie A,2017,4231,-1,2,1.817714162,1.6273979,0,0.084995029,22,7,31.8182,0.0000,1,1.420152461,1.2237237,0.799281716,0.196428763,11,2,32.13,65,77.5316455,0.7747381,669,12,33,2,27,4,11.84,0.1041,0.1008,12,10,3,0,3,1.6476,1.0884,1.1902146,0.4154765,0.7747381
Internazionale,8,Milan,Home,Serie A,2017,4231,-1,3,1.969216875,1.0661155,0,0.121352367,15,6,40.0000,293.3333,2,0.872580164,0.6928954,0,0.147397634,22,6,32.9175,41,37.6288659,0.2793874,326,6,17,1,15,3,14.44,0.0087,0.0071,11,17,6,0,3,2.1996,0.5856,0.5073469,0.2279595,0.2793874
Internazionale,9,Napoli,Away,Serie A,2017,4231,-1,0,0.3248942,0.2327556,0,0.0921386,11,2,18.1818,0.0000,0,0.99183253,0.9760612,0,0.0157713,13,4,25.41,38,21.2996389,0.31697,426,16,12,2,14,4,20.9048,0.0223,0.0074,9,9,1,0,1,0.6544,2.017,0.2577383,-0.0592317,0.31697
Internazionale,10,Sampdoria,Home,Serie A,2017,4231,-1,3,3.072971235,1.6635238,0.220618218,1.409447463,24,8,33.3333,0.0000,2,0.818443115,0.7566127,0,0.013562863,12,2,25.515,52,51.5748031,0.7086253,508,5,24,3,21,2,12.7407,0.0137,0.0131,10,12,2,0,3,2.6898,0.2064,1.2608591,0.5522338,0.7086253
Internazionale,11,Verona,Away,Serie A,2017,4231,-1,2,1.093073767,0.9125355,0,0.180538213,17,4,23.5294,0.0000,1,1.089986139,0.2043219,0,0.103915306,10,2,28.56,60,66.5137614,0.3612849,568,6,28,1,33,4,12.5,0.0614,0.0324,9,9,2,0,3,1.2706,1.381,0.6072993,0.2460144,0.3612849
Internazionale,12,Torino,Home,Serie A,2017,4231,-1,1,1.8794204,1.6582806,0,0.2211398,20,5,25.0000,0.0000,1,0.91406568,0.4340863,0,0.4799792,8,3,36.33,53,49.4071146,0.7519143,473,9,26,1,36,2,11.7778,0.0588,0.0488,11,19,3,0,1,2.0624,0.6914,1.1112275,0.3593132,0.7519143
Internazionale,13,Atalanta,Home,Serie A,2017,4231,-1,2,0.989805,0.6833217,0,0.3064833,8,4,50.0000,0.0000,0,0.32855419,0.2358776,0,0.0926766,8,1,40.005,52,49.5535714,0.4298203,548,8,13,3,18,6,10.7368,0.1281,0.1147,12,10,0,0,3,1.981,0.679,0.7117067,0.2818864,0.4298203
Internazionale,14,Cagliari,Away,Serie A,2017,4231,-1,3,1.214189837,1.0447895,0,0.065319523,10,4,40.0000,0.0000,1,1.14725969,0.9083782,0,0.178852985,15,4,26.46,56,54.090909,0.413382,538,6,15,1,14,3,10.1212,0.0305,0.0116,12,15,2,0,3,1.4268,1.2654,0.6100497,0.1966677,0.413382
Internazionale,15,Chievo,Home,Serie A,2017,4231,-1,5,3.4447233,2.3536999,0.898576468,1.0910234,40,13,32.5000,0.0000,0,0.75467707,0.7546771,0,0,7,4,39.48,65,75.2265861,0.5712359,649,10,66,0,53,6,8.8438,0.0553,0.008,4,11,1,0,3,2.7768,0.1464,1.0770281,0.5057922,0.5712359
Internazionale,16,Juventus,Away,Serie A,2017,4231,-1,0,0.35894138,0.3158518,0,0.043089554,6,1,16.6667,0.0000,0,0.943677951,0.8161084,0,0.101393862,19,8,28.665,48,38.3620689,0.2409148,478,7,14,0,11,1,9.7105,0.0341,0.013,10,21,5,0,1,0.7668,1.869,0.4774167,0.2365019,0.2409148
Internazionale,17,Udinese,Home,Serie A,2017,4231,-1,1,2.121537192,1.2832368,0,0.807560618,26,8,30.7692,0.0000,3,2.704786648,1.9230377,0,0,8,5,31.08,66,69.0196078,0.5433946,533,11,32,0,43,5,9.6957,0.0851,0.0643,14,9,1,0,0,0.929,1.8494,0.832138,0.2887434,0.5433946
Internazionale,18,Sassuolo,Away,Serie A,2017,4231,-1,0,1.417416181,0.4968524,0,0.138814827,16,4,25.0000,0.0000,1,0.886178545,0.8462563,0.090167008,0.039922167,9,4,36.8025,72,68.9655172,0.876297,582,12,38,1,55,4,5.6875,0.0589,0.0501,12,18,2,0,0,1.8222,0.8574,1.2436035,0.3673065,0.876297
Internazionale,19,Lazio,Home,Serie A,2017,4231,-1,0,0.7649327,0.7228462,0,0.0420865,10,3,30.0000,0.0000,0,1.01764454,0.6682681,0.468422353,0.3493766,11,4,22.05,54,49.134948,0.2705972,507,11,16,1,34,3,8.5,0.1107,0.0632,9,13,2,0,1,1.0994,1.559,0.7157005,0.4451033,0.2705972
Internazionale,20,Fiorentina,Away,Serie A,2017,4231,-1,1,1.221561563,0.637695,0.260987729,0.583866581,13,4,30.7692,0.0000,1,1.886507533,1.1972268,0.038919475,0.637037072,23,4,20.265,48,36.0153256,0.3288162,439,15,13,0,22,2,15.2273,0.0295,0.0231,9,11,3,0,1,0.849,1.9092,0.3584763,0.0296601,0.3288162
