Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Juventus,1,Sampdoria,Home,Serie A,2020,3412,4141,3,2.936030474,1.026694,0.089079909,1.861301228,20,8,40.0000,0.0000,0,0.630219332,0.4161009,0.117561486,0.193439399,15,1,31.395,66,64.3356643,0.6943344,728,8,41,0,17,3,8.9667,0.0465,0.0377,8,15,1,0,3,2.6398,0.2374,1.0802141,0.3858797,0.6943344
Juventus,2,Roma,Away,Serie A,2020,442,3421,2,1.758276393,0.8744623,0,0.102065124,8,3,37.5000,0.0000,2,3.07315622,2.2497266,1.001138151,0.041680604,11,5,40.74,60,59.8214285,0.2690245,601,11,24,0,19,3,10.1379,0.0307,0.0191,18,9,1,1,1,0.5198,2.2916,0.4181282,0.1491037,0.2690245
Juventus,3,Napoli,Home,Serie A,2020,442,4231,2,1.494635459,1.4509977,0.048883162,0.04363776,12,3,25.0000,0.0000,1,1.669564306,0.8313242,0,0,14,4,23.52,47,32.3943661,0.2006777,515,16,17,0,11,2,15.6087,0.0224,0.0088,12,17,1,0,3,1.2266,1.4864,0.3979267,0.197249,0.2006777
Juventus,4,Crotone,Away,Serie A,2020,3421,532,1,1.43840445,1.272378,0,0.144710291,11,2,18.1818,0.0000,1,1.224632862,0.4292784,0,0.013605383,10,3,26.46,53,46.1538461,0.7219413,518,15,21,2,14,3,10.7419,0.0141,0.0082,16,14,3,1,1,1.5114,1.1328,0.9107919,0.1888506,0.7219413
Juventus,5,Verona,Home,Serie A,2020,352,343,1,2.101969589,1.8767919,0.097600617,0.14930388,22,6,27.2727,0.0000,1,0.679848457,0.606269,0,0.073579535,6,2,34.65,62,60.7142857,1.0275793,587,8,43,1,16,2,9.92,0.114,0.0993,17,14,1,0,1,2.3382,0.4656,1.513484,0.4859047,1.0275793
Juventus,6,Spezia,Away,Serie A,2020,442,433,4,2.604080119,1.8223311,0,0,7,4,57.1429,0.0000,1,0.831007263,0.7731299,0,0.057877295,16,3,28.4025,56,46.2616822,0.8799194,560,11,27,5,6,2,13.8696,0.1764,0.005,14,7,1,0,3,2.6154,0.2664,1.3502229,0.4703035,0.8799194
Juventus,7,Lazio,Away,Serie A,2020,442,352,1,1.326439107,1.131234,0.090067681,0.093211539,11,5,45.4545,0.0000,1,0.993236206,0.9298546,0,0.009677106,14,4,23.205,46,26.1437908,0.484617,500,17,17,0,9,1,15.0455,0.0462,0.0318,12,11,2,0,1,1.6844,1.016,0.7005454,0.2159284,0.484617
Juventus,8,Cagliari,Home,Serie A,2020,442,3421,2,2.5080012,1.6600044,0.425157249,0.8479967,24,6,25.0000,0.0000,0,0.11169418,0.1116941,0,0,0,0,42.945,66,58.1168831,0.5513299,744,12,50,1,23,3,5.8409,0.0508,0.0374,7,11,3,0,3,2.8418,0.0902,1.1010733,0.5497434,0.5513299
Juventus,9,Benevento,Away,Serie A,2020,442,4321,1,1.648946609,1.2821455,0,0.344026912,16,5,31.2500,0.0000,1,0.341413831,0.1744061,0.075500779,0.167007757,8,3,38.115,64,74.7169811,1.1829712,641,12,30,0,21,4,8.6176,0.0774,0.0518,11,13,1,1,1,2.3912,0.398,1.4478429,0.2648717,1.1829712
Juventus,10,Torino,Home,Serie A,2020,442,352,2,2.031783056,0.9258909,0.305215836,1.086042568,17,4,23.5294,0.0000,1,1.084363246,0.5001807,0.404152751,0.537615247,7,2,55.23,66,76.9841269,0.5736156,600,10,32,0,39,3,7.125,0.0673,0.0407,10,17,3,1,3,2.013,0.7332,0.6842086,0.110593,0.5736156
