Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lazio,1,Atalanta,Home,Serie A,2020,352,3421,1,1.948730653,1.9487307,0,0,14,6,42.8571,0.0000,4,1.963519059,1.9029623,0,0.034769226,10,6,40.95,61,56.2231759,0.3683332,644,8,33,0,20,2,8.8108,0.0559,0.0434,11,16,6,0,0,1.3868,1.3568,0.9461332,0.5778,0.3683332
Lazio,2,Cagliari,Away,Serie A,2020,352,433,2,2.039934868,1.8298753,0.053620797,0.21005957,16,6,37.5000,0.0000,0,1.167450169,0.7927423,0,0.154980309,9,2,39.27,55,62.5592417,0.5647964,514,9,32,0,17,4,12.8571,0.0152,0.0118,8,13,1,0,3,2.038,0.709,1.1829653,0.6181689,0.5647964
Lazio,3,Internazionale,Home,Serie A,2020,352,3412,1,1.0486695,0.9000513,0.11619164,0.1486182,12,4,33.3333,0.0000,1,0.92639999,0.9025093,0,0.0238906,12,3,24.6225,40,28.4132841,0.2675851,401,7,22,0,15,0,12.8276,0.039,0.0353,13,14,3,1,1,1.4598,1.2168,0.4153945,0.1478094,0.2675851
Lazio,4,Sampdoria,Away,Serie A,2020,352,442,0,0.4133985,0.3004356,0,0.1129628,10,0,0.0000,0.0000,3,2.17679396,1.8280983,0,0.3486956,12,7,26.565,48,51.4814814,0.6864054,493,4,20,0,17,2,13.8571,0.0206,0.0178,9,10,2,0,0,0.2832,2.5566,1.0525116,0.3661062,0.6864054
Lazio,5,Bologna,Home,Serie A,2020,352,4231,2,1.351812808,1.2838006,0.025558582,0.06801226,10,3,30.0000,0.0000,1,1.625859529,0.9401374,0,0.633480417,21,5,31.2375,48,38.9908256,0.548201,449,9,17,0,22,0,9.0811,0.0187,0.006,15,14,3,0,3,1.1506,1.5652,0.727937,0.179736,0.548201
Lazio,6,Torino,Away,Serie A,2020,352,4312,4,1.723079541,0.8047191,0,0.058637064,12,5,41.6667,0.0000,3,2.49191438,1.3891254,0,0.299446365,11,4,46.3575,55,68.2608695,0.6463271,540,3,22,0,19,2,8.2889,0.0266,0.0127,9,11,4,0,3,0.8012,1.961,0.7254305,0.0791034,0.6463271
Lazio,7,Juventus,Home,Serie A,2020,352,442,1,0.993236206,0.9298546,0,0.009677106,14,4,28.5714,0.0000,1,1.326439107,1.131234,0.090067681,0.093211539,11,5,56.28,54,73.8562091,0.7383095,584,13,25,1,23,3,10.3158,0.0279,0.0139,11,12,2,0,1,1.016,1.6844,1.0782833,0.3399738,0.7383095
Lazio,8,Crotone,Away,Serie A,2020,352,352,2,1.744878486,1.66384,0,0.060496435,15,9,60.0000,0.0000,0,0.999695687,0.9604534,0,0.039242273,13,4,29.61,49,48.076923,0.4736108,459,5,22,1,18,1,14.28,0.0591,0.0401,9,10,4,0,3,1.9418,0.8036,0.7069162,0.2333054,0.4736108
Lazio,9,Udinese,Home,Serie A,2020,352,352,1,1.467350659,0.6439041,0,0,11,6,54.5455,0.0000,3,1.411805464,0.8905726,0.582868397,0.521232884,9,4,39.7425,56,63.5135135,0.5650171,544,7,14,1,25,2,9.0811,0.0387,0.0222,10,16,3,0,0,1.376,1.301,0.8304197,0.2654026,0.5650171
Lazio,10,Spezia,Away,Serie A,2020,3511,433,2,0.493096515,0.3794693,0,0.033587173,4,2,50.0000,0.0000,1,1.306997106,1.1778334,0,0.1067963,15,4,28.455,35,29.5546558,0.2147429,343,8,5,0,4,2,24.2632,0.0166,0.0076,15,12,1,0,3,0.6818,2.0288,0.3609825,0.1462396,0.2147429
