Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lecce,,Crotone,Away,Serie B,2018,4312,-1,2,0,0,0,0,12,5,41.6667,0.0000,2,0,0,0,0,9,0,0,46,35,0,398,9,0,0,18,0,0,0,0,18,13,2,0,1,0,0,0,0,0
Lecce,,Salernitana,Away,Serie B,2018,4312,-1,2,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,13,0,0,50,55.7077625,0,434,3,0,1,21,0,0,0,0,10,17,2,0,3,0,0,0,0,0
Lecce,,Ascoli,Home,Serie B,2018,4312,-1,7,0,0,0,0,17,9,52.9412,0.0000,0,0,0,0,0,8,0,0,66,55.3459119,0,706,6,0,1,12,0,0,0,0,10,10,2,0,3,0,0,0,0,0
Lecce,,Venezia,Away,Serie B,2018,4312,-1,1,0,0,0,0,20,5,25.0000,0.0000,1,0,0,0,0,15,0,0,62,72.7915194,0,569,5,0,0,43,0,0,0,0,10,12,1,0,1,0,0,0,0,0
Lecce,,Livorno,Home,Serie B,2018,4312,-1,3,0,0,0,0,25,6,24.0000,0.0000,2,0,0,0,0,11,0,0,68,65.3465346,0,520,3,0,3,33,0,0,0,0,19,8,3,0,3,0,0,0,0,0
Lecce,,Cittadella,Away,Serie B,2018,442,-1,1,0,0,0,0,7,4,57.1429,0.0000,4,0,0,0,0,20,0,0,48,37.1794871,0,397,3,0,1,17,0,0,0,0,22,12,0,0,0,0,0,0,0,0
Lecce,,Verona,Home,Serie B,2018,4321,-1,2,0,0,0,0,10,6,60.0000,0.0000,1,0,0,0,0,15,0,0,46,46.3519313,0,428,3,0,2,23,0,0,0,0,9,15,2,0,3,0,0,0,0,0
Lecce,,Palermo,Away,Serie B,2018,4321,-1,1,0,0,0,0,27,10,37.0370,0.0000,2,0,0,0,0,15,0,0,56,57.704918,0,516,6,0,0,38,0,0,0,0,12,11,3,0,0,0,0,0,0,0
Lecce,,Foggia,Home,Serie B,2018,4321,-1,1,0,0,0,0,14,6,42.8571,0.0000,0,0,0,0,0,0,0,0,51,61.2244897,0,472,11,0,0,32,0,0,0,0,19,11,2,0,3,0,0,0,0,0
Lecce,,Benevento,Home,Serie B,2018,4312,-1,1,0,0,0,0,20,6,30.0000,0.0000,1,0,0,0,0,11,0,0,56,61.6740088,0,428,6,0,0,38,0,0,0,0,12,16,2,0,1,0,0,0,0,0
Lecce,,Pescara,Home,Serie B,2018,4312,-1,2,0,0,0,0,16,6,37.5000,0.0000,0,0,0,0,0,4,0,0,52,55.7522123,0,479,3,0,2,24,0,0,0,0,17,18,1,0,3,0,0,0,0,0
Lecce,,Cosenza,Home,Serie B,2018,4312,-1,3,0,0,0,0,11,4,36.3636,0.0000,1,0,0,0,0,8,0,0,63,60.576923,0,570,3,0,0,21,0,0,0,0,11,8,0,0,3,0,0,0,0,0
Lecce,,Cremonese,Away,Serie B,2018,4312,-1,0,0,0,0,0,8,1,12.5000,0.0000,2,0,0,0,0,10,0,0,57,47.6595744,0,471,5,0,0,31,0,0,0,0,18,6,3,1,0,0,0,0,0,0
Lecce,,Carpi,Home,Serie B,2018,4312,-1,4,0,0,0,0,25,10,40.0000,0.0000,1,0,0,0,0,8,0,0,73,65.6357388,0,667,8,0,1,20,0,0,0,0,9,9,1,1,3,0,0,0,0,0
Lecce,,Perugia,Away,Serie B,2018,4321,-1,2,0,0,0,0,10,6,60.0000,0.0000,1,0,0,0,0,10,0,0,46,45,0,444,4,0,0,12,0,0,0,0,20,8,1,0,3,0,0,0,0,0
Lecce,,Brescia,Home,Serie B,2018,4321,-1,1,0,0,0,0,14,2,14.2857,0.0000,0,0,0,0,0,8,0,0,64,61.7100371,0,574,10,0,0,31,0,0,0,0,14,14,4,0,3,0,0,0,0,0
Lecce,,Padova,Away,Serie B,2018,4321,-1,1,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,9,0,0,63,70.9163346,0,536,8,0,0,36,0,0,0,0,17,17,3,0,0,0,0,0,0,0
Lecce,,Spezia,Home,Serie B,2018,4321,-1,2,0,0,0,0,10,5,50.0000,0.0000,1,0,0,0,0,13,0,0,38,41.8518518,0,350,5,0,0,10,0,0,0,0,12,8,1,0,3,0,0,0,0,0
Lecce,,Crotone,Home,Serie B,2018,4312,-1,1,0,0,0,0,15,3,20.0000,0.0000,0,0,0,0,0,17,0,0,47,45.7983193,0,406,7,0,2,19,0,0,0,0,12,12,2,0,3,0,0,0,0,0
Lecce,,Salernitana,Home,Serie B,2018,433,-1,2,0,0,0,0,12,4,33.3333,0.0000,2,0,0,0,0,10,0,0,52,49.1735537,0,364,3,0,0,21,0,0,0,0,24,18,3,0,1,0,0,0,0,0
Lecce,,Ascoli,Away,Serie B,2018,4312,-1,0,0,0,0,0,8,2,25.0000,0.0000,1,0,0,0,0,10,0,0,60,59.9221789,0,467,2,0,0,26,0,0,0,0,18,15,2,0,0,0,0,0,0,0
Lecce,,Venezia,Home,Serie B,2018,4312,-1,2,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,8,0,0,57,60.9561752,0,553,3,0,3,12,0,0,0,0,13,14,2,0,3,0,0,0,0,0
Lecce,,Livorno,Away,Serie B,2018,4312,-1,3,0,0,0,0,9,5,55.5556,0.0000,0,0,0,0,0,9,0,0,51,60.6060606,0,436,5,0,2,18,0,0,0,0,12,17,2,0,3,0,0,0,0,0
Lecce,,Cittadella,Home,Serie B,2018,4312,-1,1,0,0,0,0,6,5,83.3333,0.0000,1,0,0,0,0,19,0,0,41,33.1877729,0,275,1,0,1,15,0,0,0,0,14,12,3,0,1,0,0,0,0,0
Lecce,,Verona,Away,Serie B,2018,4132,-1,2,0,0,0,0,11,6,54.5455,0.0000,0,0,0,0,0,20,0,0,37,36.5546218,0,327,2,0,0,18,0,0,0,0,10,13,4,0,3,0,0,0,0,0
Lecce,,Palermo,Home,Serie B,2018,4312,-1,1,0,0,0,0,17,5,29.4118,0.0000,2,0,0,0,0,14,0,0,54,45.6066945,0,386,4,0,1,21,0,0,0,0,22,16,1,0,0,0,0,0,0,0
