Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Milan,1,Udinese,Away,Serie A,2019,4312,352,0,0.541483007,0.3882342,0,0.129913207,14,0,0.0000,0.0000,1,0.764258058,0.5829701,0,0.181288079,17,6,18.375,59,55.5023923,0.3532966,535,7,14,1,16,1,13,0.0093,0.0045,14,11,3,0,0,1.0898,1.5104,0.7778037,0.4245071,0.3532966
Milan,2,Brescia,Home,Serie A,2019,4321,-1,1,1.827805433,1.368237,0,0.459568378,16,4,25.0000,0.0000,0,0.816524536,0.2274005,0.076199874,0.569887988,6,1,44.2575,63,63.1840796,0.478785,520,13,31,2,22,4,7.6,0.04,0.0294,14,14,3,0,3,2.1466,0.6064,0.7594764,0.2806914,0.478785
Milan,3,Verona,Away,Serie A,2019,4321,-1,1,1.4523482,0.6346918,0,0,17,4,23.5294,0.0000,0,0.419235814,0.2828167,0,0.044899739,8,1,43.3125,70,78.3216783,0.9516897,626,5,20,2,13,2,5.9722,0.0225,0.0133,12,17,3,1,3,2.3126,0.4442,1.4912794,0.5395897,0.9516897
Milan,4,Internazionale,Home,Serie A,2019,4312,-1,0,0.913727457,0.8933636,0.139645964,0,9,1,11.1111,0.0000,2,2.368308532,2.1669848,0.130035892,0.201323743,16,7,20.895,52,45.4545454,0.2554969,482,9,14,1,14,4,13.1304,0.013,0.0075,22,14,2,0,0,0.5104,2.2918,0.5248192,0.2693223,0.2554969
Milan,5,Torino,Away,Serie A,2019,4312,-1,1,2.457187683,1.5359116,0.108976388,0.116720844,16,4,25.0000,0.0000,2,1.024124064,0.9950838,0,0.02904026,9,4,37.485,54,55.7377049,0.6479436,429,11,31,0,16,6,9.2857,0.0643,0.0229,14,20,5,1,0,2.4708,0.3612,1.1100349,0.4620913,0.6479436
Milan,6,Fiorentina,Home,Serie A,2019,4312,-1,1,0.692862219,0.6928622,0,0,11,3,27.2727,0.0000,3,2.937067274,1.2599044,0,0.113664908,16,7,33.6,55,58.1314878,0.4167699,582,20,18,1,19,6,11.0645,0.0143,0.0106,13,10,2,1,0,0.1536,2.772,0.7148768,0.2981069,0.4167699
Milan,7,Genoa,Away,Serie A,2019,433,-1,2,1.137988321,0.1987561,0,0.113252934,9,6,66.6667,0.0000,1,1.708838127,0.4504998,0.12584804,0.403042626,14,6,26.775,49,42.6778242,0.3184078,420,6,17,0,8,5,13.913,0.0487,0.0148,22,14,2,2,3,0.8502,1.836,0.4746665,0.1562587,0.3184078
Milan,8,Lecce,Home,Serie A,2019,433,-1,2,1.46221724,1.3071407,0,0.155076571,22,6,27.2727,0.0000,2,1.733002361,0.2456098,0.035797756,0.674084028,13,6,39.2175,65,73.1517509,0.7841086,603,15,41,2,25,3,8.6364,0.0321,0.0218,12,13,1,0,1,1.0732,1.6588,1.246034,0.4619254,0.7841086
Milan,9,Roma,Away,Serie A,2019,433,-1,1,0.710382455,0.5621535,0,0.108590011,12,4,33.3333,0.0000,2,1.683779824,0.7445717,0,0.849475391,12,5,30.1875,58,53.488372,0.4124791,475,12,23,0,22,1,11.1304,0.0112,0.0072,12,17,5,0,0,0.6324,2.1198,0.9793717,0.5668926,0.4124791
Milan,10,SPAL,Home,Serie A,2019,433,-1,1,1.685524009,1.434038,0.015571002,0.162815504,16,4,25.0000,0.0000,0,0.322705025,0.1384283,0,0.162075817,10,2,31.5,56,49.3087557,0.6113674,450,19,22,3,16,1,8.5,0.0347,0.0305,20,17,4,0,3,2.4806,0.3344,0.8359289,0.2245615,0.6113674
Milan,11,Lazio,Home,Serie A,2019,433,-1,1,0.703620728,0.5465922,0,0.040029779,12,3,25.0000,0.0000,2,0.918668505,0.8496455,0,0.069023035,8,4,30.03,47,48.3333333,0.5307983,389,14,16,0,18,5,11.1667,0.0414,0.0078,13,12,3,0,0,1.103,1.5362,0.7720793,0.241281,0.5307983
Milan,12,Juventus,Away,Serie A,2019,433,-1,0,0.786230066,0.7212541,0.032581534,0.043299649,13,7,53.8462,0.0000,1,1.187779932,1.18778,0.05305868,0,13,5,34.335,46,42.3611111,0.5773972,419,12,18,3,18,1,11.4,0.0342,0.0269,12,10,5,0,0,0.9854,1.7006,0.7395776,0.1621804,0.5773972
Milan,13,Napoli,Home,Serie A,2019,433,-1,1,0.7830475,0.7589772,0,0.0240703,13,3,23.0769,0.0000,1,1.20503627,1.096068,0.067801707,0.1089684,12,5,32.445,47,53.960396,1.0681027,437,11,22,0,16,4,11.7059,0.0255,0.0138,11,19,3,0,1,0.978,1.7142,1.0347924,-0.0333103,1.0681027
Milan,14,Parma,Away,Serie A,2019,433,-1,1,2.1003499,1.6413354,0.059412744,0.4590145,27,8,29.6296,0.0000,0,0.17812973,0.1539547,0,0.0241749,8,0,45.78,67,73.6842105,0.7786522,603,19,38,0,28,8,6.1905,0.1292,0.1029,11,16,3,0,3,2.6778,0.1884,1.2885771,0.5099249,0.7786522
Milan,15,Bologna,Away,Serie A,2019,433,-1,3,2.366095287,1.5843462,0.152421057,0,12,7,58.3333,291.6667,2,1.230695101,0.3158397,0,0.091358341,12,4,31.71,51,55.017301,0.4655157,435,11,22,1,6,3,8.8529,0.0277,0.0063,15,19,2,0,3,2.25,0.5382,0.873518,0.4080023,0.4655157
Milan,16,Sassuolo,Home,Serie A,2019,433,-1,0,2.4547012,2.1803581,0.196407855,0.2743431,23,9,39.1304,0.0000,0,0.80553745,0.6290028,0.147710726,0.1765346,18,6,23.8875,50,55.7971014,0.5920965,428,10,34,2,18,3,12.8333,0.0266,0.0204,16,14,5,0,1,2.3856,0.45,0.9965296,0.4044331,0.5920965
Milan,17,Atalanta,Away,Serie A,2019,433,-1,0,0.3065951,0.2220708,0,0.0845243,8,1,12.5000,0.0000,5,2.43728665,2.3941124,0.407801956,0.0431743,19,11,28.455,41,34.1085271,0.319603,369,7,13,2,8,0,17.1905,0.0226,0.0123,7,12,4,0,0,0.1616,2.732,0.5192858,0.1996828,0.319603
Milan,18,Sampdoria,Home,Serie A,2019,433,-1,0,1.3729791,0.8341202,0,0.5388588,19,7,36.8421,0.0000,0,1.00208324,1.0020832,0,0,6,2,33.915,68,76.1029411,0.960715,589,11,40,0,37,4,8.963,0.1408,0.1136,18,13,1,0,1,1.6542,1.059,1.1370383,0.1763233,0.960715
Milan,19,Cagliari,Away,Serie A,2019,442,-1,2,1.356893759,0.1498476,0,1.117492269,13,4,30.7692,0.0000,0,0.752192265,0.3170659,0,0.435126483,9,2,26.775,42,46.9387755,0.4585952,380,11,23,1,15,1,17.7273,0.0527,0.0177,13,13,1,0,3,1.8748,0.8212,0.5951142,0.136519,0.4585952
Milan,20,Udinese,Home,Serie A,2019,442,-1,3,3.021802651,2.7327134,0.362267524,0.247700424,24,7,29.1667,0.0000,2,1.527599953,1.4370817,0.150234431,0.09051824,12,6,46.305,52,57.7981651,1.3296484,407,14,42,1,32,1,6,0.0927,0.017,7,17,4,0,3,2.2594,0.577,1.6432617,0.3136133,1.3296484
