Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Monza,1,Torino,Home,Serie A,2022,352,3421,1,0.986765278,0.9028376,0.084429473,0.063687618,15,4,26.6667,0.0000,2,2.812801205,2.7782996,0.132395059,0.034501586,13,6,31.185,54,43.5028248,0.2358641,447,8,16,0,14,3,13.0909,0.423076923,0.230769231,17,6,1,0,0,0.3286,2.5378,0.4749842,0.2391201,0.2358641
Monza,2,Napoli,Away,Serie A,2022,352,433,0,0.090385213,0.0536936,0,0.036691606,4,1,25.0000,0.0000,4,3.203281136,1.9337802,0,1.244063187,22,5,30.555,46,39.6313364,0.1623274,410,3,5,1,17,1,14.5217,0.0161,0.0056,11,13,1,0,0,0.0392,2.93,0.160239,-0.0020884,0.1623274
Monza,3,Udinese,Home,Serie A,2022,352,352,1,1.171022648,1.0632884,0,0.107734244,10,5,50.0000,0.0000,2,2.029174598,1.8816113,0.114686124,0.124491412,15,4,21.525,56,45.5752212,0.4899473,469,8,20,1,13,0,11.6818,0.0108,0.0035,10,16,3,0,0,0.7794,1.9812,0.7123477,0.2224004,0.4899473
Monza,4,Roma,Away,Serie A,2022,352,3421,0,0.5128903,0.3466418,0,0.1662485,13,1,7.6923,0.0000,3,2.65446714,2.3340496,0.800164253,0.3204175,15,8,37.485,61,70.8860759,0.5418154,595,8,21,0,22,2,12.6538,0.0337,0.0293,10,7,3,0,0,0.2118,2.6826,1.0832633,0.5414479,0.5418154
Monza,5,Atalanta,Home,Serie A,2022,352,4231,0,0.8263507,0.7614552,0,0.0648955,10,3,30.0000,0.0000,2,2.00919312,1.5756387,0.141840987,0.4335545,14,6,29.505,60,49.4252873,0.3622043,557,8,15,1,14,1,10.0769,0.0208,0.0141,9,9,1,0,0,0.5172,2.2722,0.5304255,0.1682212,0.3622043
Monza,6,Lecce,Away,Serie A,2022,352,433,1,0.10456923,0.0521387,0,0,2,1,50.0000,0.0000,1,1.200709932,0.385859,0,0.780824997,7,3,31.92,47,54,0.603449,341,4,11,0,19,1,10.6786,0.533333333,0.3,17,22,3,0,1,0.3232,2.425,0.511792,-0.091657,0.603449
Monza,7,Juventus,Home,Serie A,2022,3421,433,1,2.2141487,2.2141487,0.091274828,0,17,4,23.5294,0.0000,0,1.04957766,0.6144896,0,0.4350881,10,2,31.5,60,56.6787003,0.4174988,542,2,16,0,20,1,9.4815,0.428571429,0.142857143,15,16,2,0,3,2.2012,0.5968,0.9763948,0.558896,0.4174988
Monza,8,Sampdoria,Away,Serie A,2022,3421,4141,3,1.3629687,1.2465081,0,0.1164606,13,6,46.1538,0.0000,0,0.11976612,0.106371,0,0.013395,0,1,35.175,50,39.047619,0.6617126,396,2,18,2,16,1,8.9412,0.0169,0.0109,15,24,2,0,3,2.6056,0.223,1.1467431,0.4850305,0.6617126
Monza,9,Spezia,Home,Serie A,2022,3421,352,2,0.817738482,0.3553933,0,0.462345242,7,4,57.1429,0.0000,0,0.496724301,0.3292807,0,0.088115063,10,1,26.355,48,48.5849056,0.3574393,411,7,11,2,9,0,17.9,0.325581395,0.162790698,17,10,3,0,3,1.6202,0.9644,0.6058063,0.248367,0.3574393
Monza,10,Empoli,Away,Serie A,2022,343,4312,0,0.942386611,0.7103379,0,0.109600277,16,4,25.0000,0.0000,1,2.290480623,2.0035069,0,0.286973747,11,5,44.3625,64,78.076923,0.4549065,542,9,30,0,37,4,9.2667,0.0184,0.0159,17,14,3,1,0,0.5474,2.2586,1.0412595,0.586353,0.4549065
Monza,11,Milan,Away,Serie A,2022,3421,4231,1,1.324285234,1.1079796,0,0.141147225,16,6,37.5000,0.0000,4,1.441363504,1.4413636,0,0,12,7,36.855,51,48.1481481,0.3524742,471,3,20,0,9,1,12.6429,0.1608,0.1571,17,9,1,0,0,1.2468,1.4754,0.6715614,0.3190872,0.3524742
Monza,12,Bologna,Home,Serie A,2022,3412,3421,1,1.422287557,0.5344924,0.416783154,0.10604614,9,3,33.3333,0.0000,2,1.502952913,1.4442708,0.490239114,0.058682032,10,5,35.4375,55,54.4554455,0.4392575,511,10,13,0,18,2,14.5417,0.0196,0.0126,18,13,4,0,0,1.302,1.3962,0.6601239,0.2208664,0.4392575
Monza,13,Verona,Home,Serie A,2022,3421,3421,2,0.824522674,0.7266313,0,0.097891357,14,3,21.4286,0.0000,0,0.238837524,0.0288409,0,0.138008628,7,2,26.04,76,68.3127572,0.8239475,639,3,25,0,21,4,8.7647,0.0475,0.0272,9,10,3,0,3,1.867,0.7204,1.1170363,0.2930888,0.8239475
Monza,14,Lazio,Away,Serie A,2022,3421,433,0,0.344703766,0.2793063,0.059382644,0.0653974,8,0,0.0000,0.0000,1,1.487851561,0.9520992,0,0.515210442,12,4,30.2925,53,42.4657534,0.2942542,560,6,15,0,15,2,19.8235,0.0133,0.0092,13,14,1,0,0,0.4028,2.3708,0.5301396,0.2358854,0.2942542
Monza,15,Salernitana,Home,Serie A,2022,3421,352,3,2.892564473,2.0080207,0,0.10279474,19,7,36.8421,0.0000,0,0.188655216,0.0964514,0,0.05609696,5,0,35.07,57,52.5821596,0.7692805,565,7,35,2,15,1,14.3182,0.571428571,0.428571429,11,9,0,0,3,2.8984,0.0562,1.0404899,0.2712094,0.7692805
Monza,16,Fiorentina,Away,Serie A,2022,3421,4231,1,1.354985505,1.3029291,0.302564204,0.05205632,10,3,30.0000,0.0000,1,1.39035377,1.1866919,0,0.144582615,22,6,19.635,47,28.1632653,0.2597113,382,6,20,0,10,2,15.4375,0.0109,0.0074,10,13,3,0,1,1.35,1.3842,0.6180236,0.3583123,0.2597113
Monza,17,Internazionale,Home,Serie A,2022,3421,352,2,1.80623439,0.7205695,0,1.062611878,13,4,30.7692,0.0000,2,1.532123825,1.1291992,0,0.402924508,11,3,29.8725,54,50.6726457,0.2295916,513,7,26,1,19,2,17.4444,0.0184,0.0107,17,14,0,0,1,1.591,1.1404,0.4713409,0.2417493,0.2295916
Monza,18,Cremonese,Away,Serie A,2022,3421,3421,3,2.837053173,2.0553041,0.099795215,0,8,3,37.5000,0.0000,2,0.457480292,0.3424344,0,0.115045804,11,7,24.99,50,48.8188976,0.572428,420,9,18,1,11,2,11.88,0.0628,0.0362,12,12,4,0,3,2.821,0.1108,0.7082969,0.1358689,0.572428
Monza,19,Sassuolo,Home,Serie A,2022,3421,4231,1,1.1635266,1.007391,0,0.1561356,14,3,21.4286,0.0000,1,1.55051724,0.9975803,0,0.5529369,13,1,43.26,62,65.4008438,0.5207353,497,13,38,3,32,5,6.475,0.0484,0.0454,16,17,2,0,1,0.994,1.7302,0.6963729,0.1756376,0.5207353
Monza,20,Juventus,Away,Serie A,2022,3421,352,2,1.034340761,1.0343408,0,0,3,3,100.0000,0.0000,0,1.185374091,0.481696,0,0.70367816,22,9,17.5875,54,35.2631578,0.3657933,535,4,9,2,5,1,23.9231,0.482758621,0.310344828,11,10,2,0,3,1.312,1.3564,0.4668348,0.1010415,0.3657933
Monza,21,Sampdoria,Home,Serie A,2022,3421,3421,2,2.278262977,1.3441555,0,0.152358435,17,5,29.4118,0.0000,2,1.084750902,1.0599806,0,0.024770362,11,6,43.575,72,70.9956709,0.8021571,635,10,34,1,34,2,8.0741,0.0734,0.0654,11,12,2,0,1,2.2942,0.5122,1.0971548,0.2949977,0.8021571
Monza,22,Bologna,Away,Serie A,2022,3421,4231,1,0.8128195,0.4606448,0.034413136,0.3521747,5,4,80.0000,0.0000,0,1.26547393,1.0781993,0,0.1872746,13,4,21.0525,37,21.5246636,0.1303268,308,8,8,0,6,0,14.8182,0.411764706,0.294117647,14,18,4,0,3,0.8436,1.7952,0.2057783,0.0754515,0.1303268
Monza,23,Milan,Home,Serie A,2022,3421,3421,0,0.517843941,0.4198419,0,0.076603707,11,5,45.4545,0.0000,1,2.389822324,1.7373472,0.819515765,0.652475143,14,8,37.6425,59,61.1111111,0.5068341,535,12,21,0,31,3,9.0294,0.5,0.323529412,18,10,4,0,0,0.2526,2.6262,0.7052788,0.1984447,0.5068341
Monza,24,Salernitana,Away,Serie A,2022,3421,3421,0,1.291890504,0.9738628,0,0.22746817,15,4,26.6667,0.0000,3,1.689398609,1.5877951,0.273729451,0.101603564,12,5,32.76,62,65.7458563,0.6551794,570,7,26,0,15,1,13.0435,0.545454545,0.303030303,9,16,2,1,0,1.0728,1.6854,0.9494937,0.2943143,0.6551794
Monza,25,Empoli,Home,Serie A,2022,3421,4312,2,1.1642749,1.1161436,0.077736706,0.0481313,10,3,30.0000,0.0000,1,0.95555234,0.7549624,0,0.20059,18,3,17.43,43,33.5766423,0.2865774,385,9,15,1,8,0,22,0.347826087,0.217391304,12,10,2,0,3,1.5882,1.11,0.764952,0.4783746,0.2865774
Monza,26,Verona,Away,Serie A,2022,3421,3421,1,1.053784322,0.8992021,0,0.154582232,9,3,33.3333,0.0000,1,0.597588983,0.4454017,0,0.152187351,8,3,24.255,61,51.4851485,0.5666808,598,3,13,2,9,4,12.1739,0.392857143,0.25,15,12,0,0,1,1.801,0.8638,0.6624369,0.0957561,0.5666808
Monza,27,Cremonese,Home,Serie A,2022,3142,352,1,1.4562057,1.3039115,0,0.1522943,15,7,46.6667,0.0000,1,0.67150853,0.5959049,0,0.0756036,8,2,35.385,65,55.3921568,0.5872979,644,11,25,3,24,1,13.381,0.535714286,0.464285714,10,12,3,0,1,1.9428,0.7602,0.8349346,0.2476367,0.5872979
Monza,28,Lazio,Home,Serie A,2022,3421,433,0,1.54419628,1.0039644,0,0.540231865,11,3,27.2727,0.0000,2,0.443567347,0.3679779,0,0,8,4,44.52,56,51.8018018,0.4780227,630,7,16,1,18,3,14.3462,0.36,0.24,8,13,5,0,0,2.248,0.502,0.7540737,0.276051,0.4780227
