Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Napoli,1,Verona,Away,Serie A,2017,433,-1,3,2.359143641,1.8858499,0.330072582,0.3891958,22,12,54.5455,0.0000,1,1.364702829,0.240116,0,0.342837809,12,4,44.1,61,71.7948717,0.8659553,667,10,29,2,15,4,11.6667,0.0884,0.0642,6,9,2,1,3,2.0196,0.7488,1.5122063,0.646251,0.8659553
Napoli,2,Atalanta,Home,Serie A,2017,433,-1,3,1.023435639,0.9205961,0.109183289,0.102839571,10,4,40.0000,0.0000,1,0.685056297,0.2322824,0,0.387518259,14,2,42,59,68.1034482,0.7243565,576,13,25,3,19,0,9.3421,0.035,0.0253,9,15,1,0,3,1.6566,1.0158,0.982926,0.2585695,0.7243565
Napoli,3,Bologna,Away,Serie A,2017,433,-1,3,1.520179394,1.3522332,0,0.11222886,17,7,41.1765,0.0000,0,0.223269638,0.1032036,0,0,5,2,46.935,64,71.1111111,0.7061504,710,9,25,1,22,3,8.7073,0.046,0.0272,9,16,1,0,3,2.4636,0.33,0.8570472,0.1508968,0.7061504
Napoli,4,Benevento,Home,Serie A,2017,433,-1,6,5.132119418,3.1395898,0,0.429031629,27,14,51.8519,0.0000,0,0.218358906,0.2183588,0.069575265,0,6,0,58.9575,72,84.2281879,1.1364356,912,9,41,4,19,5,8.2195,0.1063,0.0969,7,6,0,0,3,2.9938,0.0034,1.5023254,0.3658898,1.1364356
Napoli,5,Lazio,Away,Serie A,2017,433,-1,4,2.826626335,0.9518041,0,0.939195417,17,11,64.7059,0.0000,1,0.723778245,0.0446794,0,0.653513372,4,2,44.415,63,72.7272727,0.8713034,765,5,21,3,11,3,9.7381,0.0279,0.0198,8,13,3,0,3,2.7592,0.1456,0.9955385,0.1242351,0.8713034
Napoli,6,SPAL,Away,Serie A,2017,433,-1,3,1.693519838,1.69352,0,0,21,12,57.1429,0.0000,2,0.236502457,0.1407835,0,0.01187468,6,2,44.0475,60,78.4375,0.6114008,635,7,21,0,22,5,12.1875,0.0266,0.0159,7,11,1,0,3,2.5116,0.3,1.0835115,0.4721107,0.6114008
Napoli,7,Cagliari,Home,Serie A,2017,433,-1,3,2.694303819,1.7879247,0,0.124630075,25,6,24.0000,0.0000,0,0.163696394,0.1636965,0,0,4,0,42.105,72,84.4936708,1.2140349,915,8,43,2,20,11,14.2381,0.0754,0.0342,10,6,0,0,3,2.898,0.0558,1.5766463,0.3626114,1.2140349
Napoli,8,Roma,Away,Serie A,2017,433,-1,1,1.2496607,1.1336969,0,0.1159638,16,6,37.5000,0.0000,0,0.40059806,0.2323504,0,0.1682477,10,2,29.085,56,54.8780487,0.5235845,679,12,23,4,7,4,14.5667,0.0576,0.0351,11,9,2,0,3,2.0898,0.6246,0.9036903,0.3801058,0.5235845
Napoli,9,Internazionale,Home,Serie A,2017,433,-1,0,0.9918325,0.9760612,0,0.0157713,13,4,30.7692,0.0000,0,0.32489418,0.2327556,0,0.0921386,11,2,47.46,62,78.700361,0.6047622,714,16,30,1,12,5,8.9318,0.093,0.0306,9,9,1,0,1,2.017,0.6544,1.0225018,0.4177396,0.6047622
Napoli,10,Genoa,Away,Serie A,2017,433,-1,3,1.760526612,1.6378231,0,0.046087513,19,6,31.5789,0.0000,2,1.328193104,0.5070893,0,0.821103722,8,4,42.945,70,67.6056338,0.7146011,902,7,26,0,7,1,11.7037,0.1119,0.0338,8,5,1,0,3,1.6574,0.9992,1.0617462,0.3471451,0.7146011
Napoli,11,Sassuolo,Home,Serie A,2017,433,-1,3,3.462863455,1.655998,0,0.950138923,26,9,34.6154,0.0000,1,0.495761303,0.1031768,0,0.28225188,8,1,51.135,73,82.0261437,1.100623,798,11,40,3,20,3,6.1628,0.0589,0.0394,13,14,2,0,3,2.9032,0.0598,1.4700548,0.3694318,1.100623
Napoli,12,Chievo,Away,Serie A,2017,433,-1,0,0.7112996,0.6261205,0,0.0851791,19,5,26.3158,0.0000,0,0.55519975,0.0419855,0,0.5132143,3,1,30.345,73,79.0229885,0.8344853,838,4,24,0,20,2,12.7,0.0236,0.0165,5,7,3,0,1,1.3792,1.2052,1.1344271,0.2999418,0.8344853
Napoli,13,Milan,Home,Serie A,2017,433,-1,2,1.5279998,1.4549386,0,0.0730612,16,10,62.5000,0.0000,1,0.3456643,0.2300934,0,0.115571,13,3,32.235,45,43.7956204,0.7079226,502,7,22,2,16,5,12.973,0.03,0.0161,7,17,2,0,3,2.3276,0.4352,0.9755287,0.2676061,0.7079226
Napoli,14,Udinese,Away,Serie A,2017,433,-1,1,2.028505375,0.5419339,0,0.629825026,9,4,44.4444,0.0000,0,0.274551219,0.185129,0,0.089422286,10,2,38.0625,67,65.6521739,0.4611318,690,9,14,0,14,3,10.0357,0.0574,0.0481,14,7,1,0,3,2.757,0.1434,0.6499232,0.1887914,0.4611318
Napoli,15,Juventus,Home,Serie A,2017,433,-1,0,0.6463369,0.5204461,0,0.1258907,21,6,28.5714,0.0000,1,0.90248176,0.855831,0.433958858,0.0466508,7,4,62.37,67,87.6971608,0.6833739,751,3,29,0,41,4,8.4286,0.0487,0.0334,5,9,2,0,0,1.0442,1.6136,1.1131125,0.4297386,0.6833739
